Target_genes	Klf15|Average	SRX10012505|Liver	SRX10012506|Liver	STRING
Tssk1	827.5	590	1065	0
Dgcr2	827.5	590	1065	0
Nt5dc3	826.0	534	1118	0
Tubb6	817.5	687	948	0
Kansl1l	815.0	718	912	0
Zfp821	813.5	635	992	0
Ggt6	812.0	736	888	0
Cfhr1	812.0	577	1047	0
Ppp2r5e	808.5	624	993	0
Shroom1	806.0	744	868	0
Setd3	805.5	721	890	0
Ddt	805.5	528	1083	0
Ccnk	805.5	721	890	0
1810013L24Rik	805.5	635	976	0
Fam210b	797.0	709	885	0
Dpysl5	793.5	704	883	0
Srm	793.0	616	970	0
Ikzf5	792.5	544	1041	0
Col18a1	792.5	697	888	0
Acadsb	792.5	544	1041	0
Them7	791.0	551	1031	0
Ube4a	789.0	609	969	0
Tmem183a	783.0	615	951	0
Mccc2	782.0	805	759	0
Inf2	781.5	657	906	0
Skiv2l	778.5	539	1018	0
Nelfe	778.5	539	1018	0
Gnat1	778.5	693	864	0
Mtmr14	777.5	684	871	0
Farp2	777.5	582	973	0
Aadat	774.0	581	967	0
Cyp4a10	771.5	596	947	0
Slc25a34	769.5	621	918	0
Socs5	765.5	572	959	0
Cyp20a1	764.5	572	957	0
Llgl2	762.5	673	852	0
Zkscan5	761.5	508	1015	0
Zkscan14	761.5	508	1015	0
AW549877	759.0	667	851	0
Ttc16	758.0	441	1075	0
Ptrh1	758.0	441	1075	0
Fam20b	755.0	578	932	0
Pwwp3a	751.5	654	849	0
Letm1	751.5	648	855	0
Il11ra1	751.5	559	944	0
Galt	751.5	559	944	0
Stk40	750.5	614	887	0
Pias4	746.0	703	789	0
Lsm1	746.0	567	925	0
Bag4	746.0	567	925	0
Manea	744.5	670	819	0
Luc7l2	744.5	571	918	0
Gmnn	743.5	634	853	0
Higd1a	743.0	566	920	0
Man2a1	739.0	644	834	0
Itpr2	738.5	524	953	0
Mettl17	736.0	577	895	0
Ift140	736.0	584	888	0
Crebl2	736.0	622	850	0
Cramp1l	736.0	584	888	0
Gpbp1	732.5	609	856	0
Sox7	727.5	694	761	0
Qprt	727.0	583	871	0
Pcyt2	725.5	588	863	0
Pcx	721.5	560	883	0
Hps3	715.0	562	868	0
Syne2	714.5	617	812	0
Cds2	712.5	602	823	0
Phax	710.0	491	929	0
Aldh7a1	710.0	491	929	0
Pdp2	707.5	592	823	0
Usp31	707.0	562	852	0
Nags	706.0	458	954	0
Nr2f2	705.0	565	845	0
Ppp1r16a	703.5	571	836	0
Foxh1	703.5	571	836	0
Slc25a44	701.5	600	803	0
Ilvbl	701.5	524	879	0
Plekha7	699.0	519	879	0
Rngtt	695.0	477	913	0
Ano10	695.0	536	854	0
Pnrc1	690.5	604	777	0
Leng1	689.0	587	791	0
Uox	688.0	648	728	0
Lrrc51	685.0	515	855	0
Zfp672	681.5	571	792	0
Stard7	681.0	547	815	0
Mccc1	680.5	577	784	0
Macrod1	680.0	525	835	0
Lrba	677.5	479	876	0
Crebrf	671.5	521	822	0
Ap1ar	670.0	401	939	0
Snx25	669.5	507	832	0
Ece1	667.0	471	863	0
Spc25	666.5	482	851	0
G6pc2	666.5	482	851	0
Ccl9	666.5	491	842	0
Rraga	663.0	479	847	0
Atxn7l1	662.5	516	809	0
Hif1a	662.0	572	752	0
Rnf214	659.5	422	897	0
Pcsk7	659.5	422	897	0
Fth1	657.5	592	723	0
Coq8a	657.5	518	797	0
Fabp5	654.0	606	702	0
Eprs	653.0	460	846	0
Sgk2	652.0	426	878	0
Whamm	651.5	543	760	0
Fsd2	651.5	543	760	0
Arhgef37	651.5	604	699	0
Rgs16	647.5	519	776	0
Gins1	645.5	580	711	0
Slc2a1	641.5	477	806	0
Srpr	640.5	537	744	0
Septin2	640.5	490	791	0
Hdlbp	640.5	490	791	0
Foxred1	640.5	537	744	0
Pacsin2	640.0	505	775	0
Nhsl1	640.0	540	740	0
Lrrc45	640.0	476	804	0
Cenpx	640.0	476	804	0
Elovl1	639.0	475	803	0
Kpna6	638.0	476	800	0
Slc7a2	637.0	471	803	0
Rbm27	637.0	570	704	0
Sfxn5	635.0	520	750	0
Elof1	634.0	438	830	0
Slc38a3	633.5	373	894	0
Samd1	631.0	454	808	0
1700067K01Rik	631.0	454	808	0
Birc5	630.5	496	765	0
Prkar2a	627.5	561	694	0
Esyt2	627.5	582	673	0
Sft2d2	626.5	513	740	0
H3c15	626.5	500	753	0
H3c14	626.5	500	753	0
H2ac19	626.5	500	753	0
H2ac18	626.5	500	753	0
Mrpl27	626.0	491	761	0
Eme1	626.0	491	761	0
Arl13b	626.0	535	717	0
Tmem201	625.0	528	722	0
Mcrip2	624.5	624	625	0
Tomm40	623.5	539	708	0
Adipor1	623.0	448	798	0
Timm44	622.0	487	757	0
Susd6	621.0	461	781	0
Zmym3	620.5	510	731	0
H2-DMa	620.5	446	795	0
Ciart	620.5	513	728	0
Brd2	620.5	446	795	0
Snai3	619.0	440	798	0
Gan	618.5	527	710	0
Sh2b3	616.0	449	783	0
Rbl2	616.0	403	829	0
Morc2a	616.0	444	788	0
Shb	615.5	524	707	0
Ice1	613.5	497	730	0
Gpd1l	613.5	440	787	0
Tfdp2	613.0	468	758	0
Zfp36l2	609.0	496	722	0
Ube2d2a	608.0	427	789	0
Pou3f1	603.5	397	810	0
Ces1b	603.0	517	689	0
Pbld2	601.0	643	559	0
Hnrnph3	601.0	643	559	0
Shld2	599.5	429	770	0
Glud1	599.5	429	770	0
Agl	599.0	506	692	0
Odc1	598.5	575	622	0
Epb41	597.5	473	722	0
Fkbpl	597.0	549	645	0
Atf6b	597.0	549	645	0
Pigs	595.0	405	785	0
Aldoc	595.0	405	785	0
Spcs3	594.5	395	794	0
Nipsnap1	593.5	478	709	0
Itpk1	593.5	425	762	0
Pah	592.0	485	699	0
Gsk3b	592.0	470	714	0
Gzf1	591.5	343	840	0
Hs3st3b1	591.0	423	759	0
Cdk9	590.5	386	795	0
Ggct	587.5	357	818	0
Klf9	583.0	196	970	0
Wrap73	582.5	339	826	0
Trp73	582.5	339	826	0
Mfsd14a	582.5	374	791	0
Ptpra	582.0	394	770	0
Klf10	581.5	485	678	0
