Target_genes	Hoxc8|Average	SRX7416178|Embryoid_Bodies	SRX7416179|Embryoid_Bodies	STRING
Lars2	683.0	994	372	0
Palld	680.0	739	621	0
Pxk	678.5	807	550	0
Ptpn6	678.0	1114	242	0
Th	677.0	988	366	0
Slc48a1	674.5	904	445	0
G2e3	674.5	1069	280	0
D130040H23Rik	673.5	1046	301	0
Gsx2	671.5	722	621	0
Thnsl1	670.5	929	412	0
Enkur	670.5	929	412	0
Med13l	667.5	974	361	0
Gem	667.0	1013	321	0
Sox14	665.0	1063	267	0
Nsun4	663.5	943	384	0
Setd5	662.5	596	729	0
Rfx6	661.0	771	551	0
Cnot2	660.5	979	342	0
Tacc1	660.0	715	605	0
Lhx2	659.0	771	547	0
C6	659.0	808	510	0
BC048671	653.5	877	430	0
Pex2	652.5	710	595	0
Shroom2	649.0	739	559	0
Pttg1ip2	647.0	949	345	0
Slc31a2	646.5	993	300	0
Usp4	645.5	990	301	0
Gpx1	645.5	990	301	0
Tmco5	644.5	1075	214	0
Gcnt2	644.5	697	592	0
Atxn7l3b	643.5	925	362	0
Eml1	643.0	1017	269	0
Stk33	642.0	959	325	0
Tanc1	641.5	875	408	0
Crybg1	641.5	1006	277	0
P2ry12	640.0	834	446	0
Psd3	636.5	846	427	0
Dyrk3	636.0	902	370	0
Slc44a3	634.0	920	348	0
Pax6	632.5	825	440	0
Lysmd3	632.0	792	472	0
Mro	631.5	824	439	0
Psma5	630.5	865	396	0
Mad2l2	629.5	989	270	0
Fmr1	629.5	922	337	0
Draxin	629.5	989	270	0
Trp53bp1	627.5	1018	237	0
Ncam1	627.5	920	335	0
Elmo2	625.0	738	512	0
Uts2b	624.0	931	317	0
AA623943	624.0	773	475	0
Clasp2	623.0	821	425	0
Purb	621.0	785	457	0
Scfd2	620.5	1084	157	0
Abr	620.5	688	553	0
Sgce	620.0	677	563	0
Peg10	620.0	677	563	0
Ebf3	617.5	627	608	0
Pax2	614.0	768	460	0
Hnrnpa0	613.0	842	384	0
Nrg1	611.0	828	394	0
Spag4	608.5	975	242	0
Nebl	607.5	847	368	0
Cpsf4l	606.5	870	343	0
Lpgat1	601.5	790	413	0
Ptgr1	601.0	694	508	0
Gspt1	598.5	938	259	0
Olfr893	598.0	979	217	0
Pdia6	597.5	832	363	0
Gm4951	596.0	804	388	0
Iqschfp	594.5	708	481	0
Iqcj	594.5	708	481	0
Aldh3a1	593.0	946	240	0
Baalc	592.0	865	319	0
Mutyh	589.5	792	387	0
Zfpm1	588.5	948	229	0
C2cd4a	588.5	824	353	0
Capn10	587.0	712	462	0
Hmox2	584.5	612	557	0
Nrf1	584.0	906	262	0
Tmie	581.0	669	493	0
Als2cl	581.0	669	493	0
B3galt2	579.5	651	508	0
Adgrg1	579.0	924	234	0
4930550C14Rik	579.0	805	353	0
Slc45a3	571.0	724	418	0
Pax8	571.0	731	411	0
Vmn1r71	569.5	839	300	0
Epc1	567.0	811	323	0
