Target_genes	Dbp|Average	DRX178619|Liver	DRX178621|Liver	DRX178627|Liver	DRX178629|Liver	STRING
Gstt1	908.5	970	644	573	1447	0
Kifc1	907.0	558	293	517	2260	0
Ubxn6	906.0	818	496	444	1866	0
Hdgfl2	906.0	818	496	444	1866	0
Orm1	902.0	879	596	727	1406	0
Lman1	901.5	970	686	788	1162	0
F2	901.0	991	510	537	1566	0
Ccdc97	899.5	733	457	469	1939	0
Smarcd2	898.25	907	396	237	2053	0
Actn4	897.0	1142	599	564	1283	0
Crp	896.0	1206	714	630	1034	0
Golim4	895.75	1118	758	586	1121	0
Rab40c	894.0	716	694	585	1581	0
Acnat1	891.5	745	809	765	1247	0
Rrnad1	890.0	1349	655	478	1078	0
Isg20l2	890.0	1349	655	478	1078	0
Slc10a5	888.25	644	798	848	1263	0
Impa1	888.25	644	798	848	1263	0
Myo1d	886.0	818	424	735	1567	0
Cd244a	886.0	648	387	782	1727	0
Psmd9	885.5	1071	573	721	1177	0
9430015G10Rik	885.0	635	310	528	2067	0
Ralgds	882.25	992	596	535	1406	0
Ctnnbl1	881.5	923	474	544	1585	0
Ubap2l	879.0	1033	716	526	1241	0
4933434E20Rik	879.0	1033	716	526	1241	0
Ell	876.0	855	691	502	1456	0
Nat8f7	875.25	931	575	563	1432	0
Slc7a15	874.75	848	487	661	1503	0
Ccp110	874.0	776	535	431	1754	0
Psmc6	872.25	848	695	604	1342	0
Samd9l	871.75	1175	878	350	1084	0
Aadac	869.5	704	695	744	1335	0
Ptma	866.5	852	515	592	1507	0
Thoc2l	865.25	985	652	497	1327	0
Rpl36	864.5	880	599	625	1354	0
Micos13	864.5	880	599	625	1354	0
Il1r1	863.5	957	821	700	976	0
Trim2	862.25	1051	535	477	1386	0
Pcyox1	860.5	514	546	508	1874	0
Pgm1	860.25	1009	609	430	1393	0
Hsd11b1	860.25	726	727	468	1520	0
Kxd1	859.75	915	619	628	1277	0
Fkbp8	859.75	915	619	628	1277	0
Sult6b2	859.0	892	570	486	1488	0
Txnrd1	857.5	678	551	543	1658	0
