Target_genes	Mxi1|Average	SRX140388|CH12	SRX140391|MEL	SRX15939545|NIH/3T3	SRX15939546|NIH/3T3	STRING
Pprc1	1572.25	877	1140	2159	2113	0
Gtf2h3	1571.25	1269	1678	1748	1590	0
Eif2b1	1571.25	1269	1678	1748	1590	0
Gtf3c4	1571.0	1256	1251	1857	1920	0
Ddx31	1571.0	1256	1251	1857	1920	0
Kti12	1568.25	1062	1436	1862	1913	0
Knop1	1566.25	1396	1416	1942	1511	0
Iqck	1566.25	1396	1416	1942	1511	0
Yars	1565.25	1172	1588	1673	1828	0
S100pbp	1565.25	1172	1588	1673	1828	0
Mcm3	1565.25	1392	1213	1885	1771	0
Prmt3	1561.25	1065	1097	2057	2026	0
Pcx	1561.25	1321	1673	1548	1703	0
Ttc24	1559.75	849	1403	2195	1792	0
Iqgap3	1559.75	849	1403	2195	1792	0
Tigd5	1556.75	934	1403	1962	1928	0
Pbrm1	1556.75	1367	1297	1913	1650	0
Eef1d	1556.75	934	1403	1962	1928	0
Wdr74	1555.0	1378	1588	1705	1549	0
1700092M07Rik	1555.0	1378	1588	1705	1549	0
Ddx18	1550.0	912	1334	1973	1981	0
Mrpl38	1547.5	1482	1787	1498	1423	0
Lztfl1	1542.25	1690	1586	1238	1655	0
Qtrt2	1541.5	1503	1616	1631	1416	0
Ccdc191	1541.5	1503	1616	1631	1416	0
Npm1	1539.0	1237	1158	1670	2091	0
Tspan4	1538.5	1662	1450	1344	1698	0
Polr2l	1538.5	1662	1450	1344	1698	0
Lss	1537.0	914	1251	1819	2164	0
Rpp38	1534.25	1171	1203	1890	1873	0
Acbd7	1534.25	1171	1203	1890	1873	0
Polr3h	1534.0	1068	1497	1882	1689	0
Gfm1	1531.25	1030	1550	1780	1765	0
Fkbp11	1531.25	1090	1661	1575	1799	0
Slc6a9	1529.0	1376	1053	1845	1842	0
Mnd1	1529.0	1177	965	1890	2084	0
Erich4	1529.0	1453	1728	1386	1549	0
Dmac2	1529.0	1453	1728	1386	1549	0
Cmss1	1524.75	1490	1517	1438	1654	0
Ube2g1	1523.25	1415	1458	1447	1773	0
Snd1	1521.5	1186	1238	1880	1782	0
Meig1	1516.5	1600	1761	1264	1441	0
Dclre1c	1516.5	1600	1761	1264	1441	0
Adpgk	1514.0	1211	1160	1888	1797	0
Timm10	1512.5	1637	1708	1426	1279	0
Smtnl1	1512.5	1637	1708	1426	1279	0
Gsto1	1509.25	1029	1562	1627	1819	0
Cacng2	1508.5	2104	2318	1205	407	0
Pole3	1507.25	1074	922	2102	1931	0
Epc1	1506.25	1398	1217	1389	2021	0
Telo2	1506.0	1243	1273	1642	1866	0
Ptx4	1506.0	1243	1273	1642	1866	0
Slc12a9	1503.5	1095	1244	1826	1849	0
Cnot4	1501.5	1436	1500	1594	1476	0
Lrpprc	1498.5	1048	1392	1760	1794	0
Pinx1	1497.5	1669	1778	1467	1076	0
Eef1e1	1494.25	1031	1139	1939	1868	0
Ddx56	1493.5	1348	1590	1218	1818	0
Lhfpl5	1491.5	1232	1921	1450	1363	0
Rpia	1490.75	1211	915	1827	2010	0
Psme3	1486.5	1180	1177	1736	1853	0
Llph	1485.0	1046	1135	1949	1810	0
Ldha	1481.5	1220	1089	1761	1856	0
Arid4a	1474.5	1272	1043	1941	1642	0
Alad	1472.5	1074	783	2102	1931	0
Tmem203	1469.75	1498	1519	1524	1338	0
Ndor1	1469.75	1498	1519	1524	1338	0
Eif3e	1468.25	750	943	2016	2164	0
Gm10130	1467.0	1024	1411	1720	1713	0
Cdk7	1464.75	1512	1773	1350	1224	0
Pes1	1464.0	1235	1455	1376	1790	0
Wdr18	1463.0	1094	1578	1668	1512	0
Wdr46	1462.75	1334	1412	1603	1502	0
Pfdn6	1462.75	1334	1412	1603	1502	0
Dhx37	1461.5	1087	1176	1739	1844	0
Dym	1459.75	1653	1679	1194	1313	0
Erlin1	1457.25	688	1016	2044	2081	0
Nol8	1456.75	1425	1554	1221	1627	0
Cenpp	1456.75	1425	1554	1221	1627	0
Hk2	1455.25	976	1082	1831	1932	0
Dynll1	1454.75	1594	1416	1368	1441	0
Pwp1	1452.5	602	1030	1822	2356	0
Mrto4	1451.0	1106	1192	1560	1946	0
Emc1	1451.0	1106	1192	1560	1946	0
Atad3a	1443.25	1174	1236	1729	1634	0
Max	1439.5	1102	1352	1765	1539	0
Exosc5	1438.0	1182	1250	1799	1521	0
Bckdha	1438.0	1182	1250	1799	1521	0
Phgdh	1436.75	1173	1260	1524	1790	0
Srfbp1	1434.5	893	1336	1775	1734	0
Hgh1	1429.75	773	955	1922	2069	0
Ncbp2	1428.75	1414	1482	1645	1174	0
0610012G03Rik	1428.75	1414	1482	1645	1174	0
Mks1	1428.25	1746	2047	931	989	0
Mtg1	1427.0	1439	1145	1497	1627	0
Slc19a1	1425.75	916	1502	1407	1878	0
Zpr1	1425.25	1364	1272	1684	1381	0
Dctd	1425.25	644	865	2064	2128	0
Apoa5	1425.25	1364	1272	1684	1381	0
Ilf3	1424.5	1172	837	1872	1817	0
