Target_genes	Chd1|Average	SRX188823|CH12	SRX188825|MEL	STRING
Mdm2	490.5	981	0	0
Lyrm1	490.0	422	558	0
Dcun1d3	490.0	422	558	0
Kdelr1	489.5	461	518	0
Wasf1	487.0	269	705	0
Cdc40	487.0	269	705	0
Igtp	486.5	973	0	0
Dcps	481.0	295	667	0
Zmat3	477.0	954	0	0
Nphp4	474.5	949	0	0
Pabpc1	472.0	307	637	0
Ahnak2	471.5	840	103	0
Prss38	469.0	938	0	0
Ifna13	468.5	491	446	0
Zfp598	468.0	431	505	0
Arl2	468.0	261	675	0
Syvn1	466.0	370	562	0
Ltb4r1	466.0	0	932	0
Smc1a	464.5	324	605	0
Ribc1	464.5	324	605	0
Smyd3	463.0	355	571	0
Yipf2	462.5	214	711	0
Timm29	462.5	214	711	0
5430403G16Rik	462.0	924	0	0
Il4i1	459.5	919	0	0
Dap3	454.5	249	660	0
Hrh2	441.5	404	479	0
1700013G24Rik	441.5	883	0	0
Hyi	437.5	446	429	0
Pard6a	437.0	417	457	0
Acd	437.0	417	457	0
Zc3h11a	435.5	730	141	0
Zbed6	435.5	730	141	0
Csf2ra	424.0	372	476	0
Prpf40a	423.5	304	543	0
Arl6ip6	423.5	304	543	0
Inka1	423.0	846	0	0
Zfp456	421.0	842	0	0
Zbtb10	420.5	841	0	0
Orm1	418.5	837	0	0
Setd1a	415.0	752	78	0
Ibtk	412.5	490	335	0
Gng3	412.0	824	0	0
Bscl2	412.0	824	0	0
Ift140	410.5	504	317	0
Cramp1l	410.5	504	317	0
Gbp4	409.5	819	0	0
H2bc21	408.5	181	636	0
H2ac21	408.5	181	636	0
H2ac20	408.5	181	636	0
Tmem102	407.0	0	814	0
Fgf11	407.0	0	814	0
Chrnb1	407.0	0	814	0
Inpp5b	404.5	670	139	0
Foxj1	402.5	739	66	0
Zfp513	402.0	231	573	0
Glipr1	398.0	796	0	0
Ube2n	397.0	656	138	0
Zfp219	396.0	325	467	0
Tmem253	396.0	325	467	0
Fam20b	395.0	332	458	0
Nqo1	394.5	103	686	0
Tacc1	394.0	196	592	0
