Target_genes	Hes1|Average	SRX1550525|Macrophages	SRX1550526|Macrophages	STRING
Iba57	539.0	432	646	0
Xpo7	538.0	587	489	0
Slc5a3	537.5	593	482	0
Phlda3	537.5	473	602	0
Mrps6	537.5	593	482	0
Ypel5	537.0	550	524	0
Asph	537.0	593	481	0
Uck2	536.5	603	470	0
Abcf1	536.5	474	599	0
Knop1	535.5	639	432	0
Iqck	535.5	639	432	0
Gpr176	534.0	563	505	0
Vav3	533.5	865	202	0
Rev1	533.5	624	443	0
Prkaca	533.5	860	207	0
Naa16	533.5	567	500	0
Impdh1	533.5	501	566	0
Fam20c	533.5	675	392	0
Bag3	533.5	569	498	0
Pacs1	532.5	675	390	0
Ocel1	532.5	531	534	0
Itsn1	532.5	560	505	0
Dot1l	532.5	693	372	0
Cryzl1	532.5	560	505	0
Ssr1	532.0	553	511	0
Vps26c	531.5	430	633	0
Klf11	531.5	558	505	0
Ggta1	531.0	580	482	0
N4bp2	530.5	748	313	0
Faf1	530.5	473	588	0
Arl8a	529.5	483	576	0
Acbd6	529.5	488	571	0
Pdxp	528.5	591	466	0
B3galnt2	527.5	538	517	0
Yif1b	527.0	527	527	0
Kcnk6	527.0	527	527	0
Etnk1	527.0	633	421	0
Map3k8	526.5	473	580	0
Ddx50	526.5	542	511	0
Arih2	526.5	570	483	0
Ankrd10	526.0	539	513	0
Ski	525.5	547	504	0
Commd7	525.5	655	396	0
Fam91a1	524.0	590	458	0
Dhrs13	524.0	589	459	0
Camk2d	524.0	562	486	0
Phf7	523.5	732	315	0
Gopc	523.5	509	538	0
Bap1	523.5	732	315	0
Rnpepl1	523.0	651	395	0
Dusp28	523.0	651	395	0
Frmd6	522.5	604	441	0
Pts	521.5	416	627	0
Raph1	520.5	799	242	0
Nrp2	520.5	478	563	0
Tarbp1	520.0	566	474	0
Malt1	520.0	456	584	0
Abcb1b	520.0	319	721	0
Trib1	519.5	511	528	0
Ppp1r13b	519.5	673	366	0
Pabpc4	519.5	458	581	0
Dusp5	519.5	580	459	0
Camk1d	519.5	616	423	0
Vhl	519.0	474	564	0
Stat5b	519.0	603	435	0
Vma21	518.0	330	706	0
Capn2	517.5	594	441	0
Zdhhc5	517.0	423	611	0
Rasal2	517.0	539	495	0
2210016F16Rik	517.0	489	545	0
Oxct1	515.0	537	493	0
Fbxo30	515.0	451	579	0
Trak1	514.5	523	506	0
Tmem185b	514.5	483	546	0
Cdc42bpb	514.5	480	549	0
Kctd12	514.0	633	395	0
Ppm1h	513.0	551	475	0
Pcyt1a	512.5	416	609	0
Rcbtb2	512.0	779	245	0
Arhgdia	512.0	619	405	0
Tlnrd1	511.5	685	338	0
Rps8	511.5	530	493	0
Mesd	511.5	685	338	0
Jmjd1c	511.0	716	306	0
Akap7	510.0	534	486	0
Phox2a	509.0	565	453	0
Nr4a2	508.5	634	383	0
Tmub1	507.0	716	298	0
Klf4	507.0	558	456	0
Agap3	507.0	716	298	0
Mxi1	506.5	542	471	0
Adm	506.5	489	524	0
Pmf1	506.0	552	460	0
Pdik1l	505.5	598	413	0
Zfp326	504.5	537	472	0
Sash1	504.5	814	195	0
Neurod2	504.5	513	496	0
Smad7	504.0	575	433	0
Ikbkb	502.0	528	476	0
Tmem64	501.5	446	557	0
St3gal1	501.5	406	597	0
Fut8	501.0	487	515	0
Sost	500.5	579	422	0
Kpna1	500.5	420	581	0
Tmem170b	500.0	795	205	0
Cables1	500.0	534	466	0
Eea1	499.5	491	508	0
Il10rb	498.5	465	532	0
Ets1	498.5	480	517	0
Ulk2	498.0	705	291	0
Ube2j1	498.0	753	243	0
Nav2	497.5	511	484	0
Sdf4	497.0	480	514	0
B3galt6	497.0	480	514	0
Csrnp1	496.5	513	480	0
Ssbp1	496.0	483	509	0
Pkn2	496.0	379	613	0
Sertad2	495.5	536	455	0
Elmo1	495.0	494	496	0
Mgat1	494.5	493	496	0
Sfmbt1	494.0	444	544	0
Appl1	494.0	620	368	0
Msi2	493.5	493	494	0
Itgb1	493.5	543	444	0
Fryl	493.5	740	247	0
Atp2b1	493.5	502	485	0
Npepps	492.5	537	448	0
Dyrk1a	492.5	418	567	0
Mtss1	492.0	783	201	0
Llgl1	492.0	788	196	0
Dhrs11	492.0	575	409	0
Zkscan6	491.5	499	484	0
Pvr	491.5	418	565	0
Mtmr2	491.0	459	523	0
Junb	491.0	454	528	0
Rnf111	490.5	580	401	0
