Target_genes	Thra|Average	SRX14934614|Brown_adipose_tissue	SRX150787|C17-2	SRX22612657|MC3T3-E1	STRING
Usp39	100.0	300	0	0	0
Tmem268	100.0	300	0	0	0
0610030E20Rik	100.0	300	0	0	0
Tpt1	99.333333	298	0	0	0
Gtf2ird2	99.333333	298	0	0	0
Rrp12	99.0	132	165	0	0
Socs2	98.666667	296	0	0	0
Tpcn1	98.333333	295	0	0	0
Iqcd	98.333333	295	0	0	0
Alppl2	98.0	294	0	0	0
Idh1	97.666667	293	0	0	0
Ssh1	97.333333	0	292	0	0
Yif1b	97.0	291	0	0	0
Gpd1	96.666667	290	0	0	0
Ehd2	96.666667	290	0	0	0
Dhrs7	95.0	285	0	0	0
Slc25a19	94.333333	283	0	0	0
Reep4	93.666667	281	0	0	0
Osbpl9	93.666667	281	0	0	0
Hr	93.666667	281	0	0	0
Slc22a20	93.333333	0	280	0	0
Cpeb1	93.333333	280	0	0	0
Ccm2	93.333333	280	0	0	0
Abcb4	93.333333	0	280	0	0
Smad7	93.0	279	0	0	0
H4c11	93.0	279	0	0	0
Dnal4	93.0	279	0	0	0
Cerk	93.0	279	0	0	0
Tmem250-ps	92.666667	137	141	0	0
Pfkfb1	92.666667	278	0	0	0
Dnaja3	91.666667	0	275	0	0
Coro7	91.666667	0	275	0	0
St3gal6	91.0	273	0	0	0
Scarf1	90.666667	272	0	0	0
Rilp	90.666667	272	0	0	0
Map3k5	90.666667	272	0	0	0
Zfp78	90.0	270	0	0	0
Mup3	90.0	270	0	0	0
Lpin3	90.0	152	118	0	0
Zfp386	89.333333	133	135	0	0
Ace3	89.333333	268	0	0	0
Rgs9bp	88.666667	0	266	0	0
Malt1	88.666667	0	266	0	0
Ankrd27	88.666667	0	266	0	0
Tubb4b	87.333333	148	114	0	0
Rgma	87.333333	262	0	0	0
Rpl13a	87.0	261	0	0	0
Ddt	87.0	261	0	0	0
Qrsl1	86.666667	260	0	0	0
Adad2	86.666667	260	0	0	0
Olfr70	86.0	176	82	0	0
Ikbkg	86.0	258	0	0	0
G6pdx	86.0	258	0	0	0
Insr	85.666667	257	0	0	0
Bhlhe40	85.666667	257	0	0	0
Vmn2r102	85.0	0	255	0	0
Slc1a7	84.333333	0	253	0	0
Zcchc4	83.333333	0	250	0	0
Klb	83.0	249	0	0	0
Vdac1	82.666667	248	0	0	0
Hnrnpl	82.666667	248	0	0	0
Cdc14a	82.666667	248	0	0	0
Rnf14	82.333333	247	0	0	0
Unc50	82.0	246	0	0	0
Tcf15	82.0	246	0	0	0
Syngr1	82.0	0	246	0	0
Nudt7	82.0	246	0	0	0
Coa5	82.0	246	0	0	0
Fuom	81.333333	244	0	0	0
6430571L13Rik	81.333333	244	0	0	0
Arhgap12	81.0	243	0	0	0
Nfkbia	80.666667	242	0	0	0
Tlcd2	80.333333	241	0	0	0
Pkm	80.333333	241	0	0	0
Aph1b	80.333333	241	0	0	0
Zfyve16	80.0	240	0	0	0
Irak3	79.666667	239	0	0	0
Cyp2b10	79.666667	239	0	0	0
Akirin1	79.666667	239	0	0	0
Serpinh1	79.333333	238	0	0	0
Tmem45b	79.0	237	0	0	0
Slc25a51	79.0	237	0	0	0
Myh11	78.666667	236	0	0	0
