Target_genes	Elf4|Average	SRX2242847|Macrophages	SRX2242848|Macrophages	SRX2242849|Macrophages	SRX2242850|Macrophages	STRING
Gpatch2l	1876.25	2658	860	2594	1393	0
Txndc9	1868.25	2030	553	2685	2205	0
Eif5b	1868.25	2030	553	2685	2205	0
Ddx24	1868.0	2770	825	2469	1408	0
Sec24c	1866.5	2423	524	2538	1981	0
Tmem189	1861.25	2290	461	2799	1895	0
Cd2bp2	1853.0	1696	563	2572	2581	0
Maats1	1850.5	2330	576	2720	1776	0
Cox17	1850.5	2330	576	2720	1776	0
Fnbp4	1844.75	2197	277	2770	2135	0
Stk16	1843.75	2262	542	2420	2151	0
Glb1l	1843.75	2262	542	2420	2151	0
Hspa14	1832.75	2160	384	2856	1931	0
Cdnf	1832.75	2160	384	2856	1931	0
Ccdc15	1832.5	2323	431	2695	1881	0
Yipf1	1830.5	2221	456	2737	1908	0
Fbh1	1827.75	2180	480	2701	1950	0
Ankrd16	1827.75	2180	480	2701	1950	0
L3hypdh	1827.0	2261	617	2759	1671	0
Jkamp	1827.0	2261	617	2759	1671	0
Poc5	1826.25	2084	346	2755	2120	0
Trappc6a	1823.25	2149	310	2698	2136	0
Bloc1s3	1823.25	2149	310	2698	2136	0
Haus6	1821.75	2018	524	2664	2081	0
Rnh1	1820.75	2038	375	2687	2183	0
Ercc3	1819.75	1899	316	2631	2433	0
Amn1	1815.75	2272	575	2316	2100	0
Echdc1	1815.5	2332	384	2429	2117	0
Rpl27	1809.75	2110	533	2484	2112	0
Thap1	1805.5	2262	438	2581	1941	0
Rbck1	1803.5	3623	635	1877	1079	0
AI987944	1795.5	1865	277	2833	2207	0
Ankhd1	1791.75	2000	357	2608	2202	0
Asb1	1788.75	2309	552	2605	1689	0
Zpr1	1784.0	2890	615	2263	1368	0
Apoa5	1784.0	2890	615	2263	1368	0
Zfp712	1777.5	1943	371	2684	2112	0
Arhgap12	1777.5	1798	329	2638	2345	0
Fis1	1777.25	2070	387	2400	2252	0
Cwc25	1776.5	2036	401	2438	2231	0
Elac2	1772.25	2159	381	2679	1870	0
Slx1b	1770.5	2576	479	2599	1428	0
Bola2	1770.5	2576	479	2599	1428	0
Tyw1	1762.75	1873	287	2754	2137	0
Sbds	1762.75	1873	287	2754	2137	0
Fdxr	1759.0	2088	576	2560	1812	0
Exoc1	1758.25	2185	557	2515	1776	0
Actr3	1756.5	2383	702	1907	2034	0
Ebna1bp2	1755.5	1810	429	2794	1989	0
Cfap57	1755.5	1810	429	2794	1989	0
