	source	target	weight	p_value
112794	PI3K	SEC23IP	2.7281282	6.4217485e-11
112795	PI3K	OS9	-3.5182278	6.556362e-11
112796	PI3K	HRK	-2.093198	6.7974563e-11
112797	PI3K	DSCR8	-3.3042567	7.1073265e-11
112798	PI3K	DMAC1	-4.159563	7.150847e-11
112799	PI3K	KCTD2	-1.887244	7.604083e-11
112800	PI3K	RAB17	-4.385932	7.634637e-11
112801	PI3K	CCDC78	-2.9097817	7.8438825e-11
112802	PI3K	HHLA3	-3.581682	8.39819e-11
112803	PI3K	TMEM100	5.925692	8.496312e-11
112804	PI3K	HDAC5	-3.6670187	8.6680774e-11
112805	PI3K	SPATA7	-5.612553	8.8328754e-11
112806	PI3K	GLB1L	-2.3535497	9.017908e-11
112807	PI3K	BAIAP3	-1.4568973	9.2643046e-11
112808	PI3K	CAPN3	-5.8087378	9.267247e-11
112809	PI3K	WSB2	3.938044	9.458711e-11
112810	PI3K	STON1	-8.816463	9.873503e-11
112811	PI3K	VAMP2	-2.4499605	9.9086184e-11
112812	PI3K	BANK1	3.0467072	1.0069337e-10
112813	PI3K	PASD1	2.137302	1.0140705e-10
112814	PI3K	RMND1	-3.9980938	1.02833714e-10
112815	PI3K	ZNF277	-3.1408677	1.05895e-10
112816	PI3K	HYOU1	4.737233	1.1001208e-10
112817	PI3K	XPO6	2.9800224	1.1356656e-10
112818	PI3K	ANXA2R	-4.0200663	1.1387763e-10
112819	PI3K	CCNDBP1	-5.6930027	1.2015483e-10
112820	PI3K	HTR2B	-4.7864575	1.3674306e-10
112821	PI3K	ZCWPW1	-1.7191616	1.4418945e-10
112822	PI3K	RING1	-2.2458682	1.4999556e-10
112823	PI3K	BBS4	-3.3332605	1.5276858e-10
112824	PI3K	PIWIL4	-3.567248	1.6155488e-10
112825	PI3K	ENSA	2.3653898	1.6253467e-10
112826	PI3K	WASHC2C	-4.863733	1.6477616e-10
112827	PI3K	BSDC1	-2.4070566	1.7498646e-10
112828	PI3K	EIF4G1	3.841237	1.7622502e-10
