Ligand	Receptor
Inhbb	Acvr1
Inhbb	Acvr1b
Inhbb	Acvr1c
Inhbb	Acvr2a
Inhbb	Acvr2b
Inhbc	Acvr1
Inhbc	Acvr1b
Inhbc	Acvr2a
Inhbc	Acvr2b
Inhbe	Acvr1
Inhbe	Acvr1b
Inhbe	Acvr2a
Inhbe	Eng
Ins2	Igf1r
Ins2	Insr
Ins2	Lrp2
Kitl	Epor
Kitl	Kit
Lefty1	Acvr2b
Lep	Lepr
Lep	Lrp2
Lif	Il6st
Lif	Lifr
Lta	Cachd1
Lta	Ednra
Lta	Ltbr
Lta	Tnfrsf14
Lta	Tnfrsf1a
Lta	Tnfrsf1b
Ltb	Cd40
Ltb	Ltbr
Ltb	Tnfrsf1a
Mdk	Alk
Mdk	Gm43720
Mdk	Itga4
Mdk	Itga6
Mdk	Itgb1
Mdk	Lrp1
Mdk	Lrp2
Mdk	Ptprb
Mdk	Ptprz1
Mdk	Sdc1
Mdk	Sdc3
Mdk	Sdc4
Mdk	Tspan1
Mst1	Mst1r
Mstn	Acvr2b
Nampt	Insr
Ngf	Kidins220
Ngf	Maged1
Ngf	Ngfr
Ngf	Bex3
Ngf	Ntrk1
Ngf	Sorcs3
Ngf	Sort1
Nodal	Acvr1b
Nodal	Acvr1c
Nodal	Acvr2a
Nodal	Acvr2b
Ccn3	Notch1
Ccn3	Plxna1
Nrg1	Erbb2
Nrg1	Erbb3
Nrg1	Erbb4
Nrg1	Gpc1
Nrg2	Erbb2
Nrg2	Erbb3
Nrg2	Erbb4
Nrg4	Egfr
Nrg4	Erbb2
Nrg4	Erbb4
Nrtn	Gfra1
Nrtn	Gfra2
Nrtn	Ret
Ntf3	Ngfr
Ntf3	Ntrk1
Ntf3	Ntrk2
Ntf3	Ntrk3
Ntf5	Ngfr
Ntf5	Bex3
Ntf5	Ntrk1
Ntf5	Ntrk2
Ntf5	Ntrk3
Osm	Il6st
Osm	Lifr
Osm	Osmr
Pdgfa	Pdgfra
Pdgfa	Pdgfrb
Pdgfb	Art1
Pdgfb	Itgav
Pdgfb	Lrp1
Pdgfb	Pdgfra
Pdgfb	Pdgfrb
Pdgfb	S1pr1
Pdgfc	Flt1
Pdgfc	Flt4
Pdgfc	Kdr
Pdgfc	Pdgfra
Pdgfc	Pdgfrb
Pdgfd	Pdgfra
Pdgfd	Pdgfrb
Pf4	Cxcr3
Pf4	Fgfr2
Pf4	Ldlr
Pf4	Procr
Pf4	Sdc2
Pf4	Thbd
Pgf	Flt1
Pgf	Nrp1
Pgf	Nrp2
Ppbp	Cxcr1
Ppbp	Cxcr2
Prl6a1	Gm21973
Prok1	Prokr1
Prok1	Prokr2
Pspn	Gfra1
Pspn	Gfra4
Pspn	Ret
Pspn	Sdc3
Ptn	Alk
Ptn	Cdh10
Ptn	Plxnb2
Ptn	Ptprb
Ptn	Ptprs
Ptn	Ptprz1
Ptn	Sdc1
Ptn	Sdc3
Rarres2	Ccrl2
Rarres2	Cmklr1
Rarres2	Gpr1
Rspo1	Fzd8
Rspo1	Lgr4
Rspo1	Lgr5
Rspo1	Lgr6
Rspo1	Lrp6
Rspo1	Znrf3
Rspo2	Lgr4
Rspo2	Lgr5
Rspo2	Lgr6
Rspo3	Fzd8
Rspo3	Lgr4
Rspo3	Lgr5
Rspo3	Lgr6
Rspo3	Lrp6
Rspo3	Sdc4
Rspo4	Lgr4
Rspo4	Lgr5
Rspo4	Lgr6
Scgb1a1	Lmbr1l
Scgb1a1	Lrp2
Scgb3a1	Marco
Shh	Boc
Shh	Cdon
Shh	Gpc5
Shh	Hhip
Shh	Lrp2
Shh	Ptch1
Shh	Ptch2
Shh	Smo
Sost	Lrp5
Sost	Lrp6
Tdgf1	Acvr1b
Tdgf1	Acvr1c
Tdgf1	Acvr2a
Tdgf1	Acvr2b
Tdgf1	Gpc1
Tgfa	Egfr
Tgfa	Erbb2
Tgfa	Erbb3
Tgfa	Erbb4
Tgfb1	Acvrl1
Tgfb1	Cav1
Tgfb1	Cd109
Tgfb1	Cxcr4
Tgfb1	Eng
Tgfb1	Itgav
Tgfb1	Itgb6
Tgfb1	Itgb8
Tgfb1	Sdc2
Tgfb1	Tgfbr1
Tgfb1	Tgfbr2
Tgfb1	Tgfbr3
Tgfb2	Acvr1
Tgfb2	Eng
Tgfb2	Tgfbr1
Tgfb2	Tgfbr2
Tgfb2	Tgfbr3
Tgfb3	Acvrl1
Tgfb3	Eng
Tgfb3	Tgfbr1
Tgfb3	Tgfbr2
Tgfb3	Tgfbr3
Thpo	Mpl
Thpo	Sirpb1a
Tnfsf10	Tnfrsf10b
Tnfsf10	Tnfrsf26
Tnfsf10	Nradd
Tnfsf10	Tnfrsf11b
Tnfsf11	Tnfrsf11a
Tnfsf11	Tnfrsf11b
Tnfsf12	Tnfrsf12a
Tnfsf12	Tnfrsf25
