"tf"	"confidence"	"target"	"mor"
"249"	"ADNP"	"D"	"MIR3922"	1
"250"	"ADNP"	"D"	"MIR4418"	1
"251"	"ADNP"	"D"	"MIR4425"	1
"252"	"ADNP"	"D"	"MIR4472"	1
"253"	"ADNP"	"D"	"MIR5093"	1
"254"	"ADNP"	"D"	"MIR5189"	1
"255"	"ADNP"	"D"	"MIR7854"	1
"256"	"ADNP"	"D"	"MLXIPL"	1
"257"	"ADNP"	"D"	"MN1"	1
"258"	"ADNP"	"D"	"MRC2"	1
"259"	"ADNP"	"D"	"MRPS22"	1
"260"	"ADNP"	"D"	"MTSS1"	1
"261"	"ADNP"	"D"	"MYB"	1
"262"	"ADNP"	"D"	"MYL10"	1
"263"	"ADNP"	"D"	"NCAM2"	1
"264"	"ADNP"	"D"	"NCLN"	1
"265"	"ADNP"	"D"	"NCOR2"	1
"266"	"ADNP"	"D"	"NDST1"	1
"267"	"ADNP"	"D"	"NEBL"	1
"268"	"ADNP"	"D"	"NEK6"	1
"269"	"ADNP"	"D"	"NFAT5"	1
"270"	"ADNP"	"D"	"NFATC2"	1
"271"	"ADNP"	"D"	"NFIA"	1
"272"	"ADNP"	"D"	"NFIC"	1
"273"	"ADNP"	"D"	"NIBAN2"	1
"274"	"ADNP"	"D"	"NIBAN3"	1
"275"	"ADNP"	"D"	"NOP56P1"	1
"276"	"ADNP"	"D"	"NOSTRIN"	1
"277"	"ADNP"	"D"	"NPRL3"	1
"278"	"ADNP"	"D"	"NUP210"	1
"279"	"ADNP"	"D"	"OAS3"	1
"280"	"ADNP"	"D"	"PACSIN1"	1
"281"	"ADNP"	"D"	"PADI4"	1
"282"	"ADNP"	"D"	"PCBP1"	1
"283"	"ADNP"	"D"	"PCYT1A"	1
"284"	"ADNP"	"D"	"PDE4A"	1
"285"	"ADNP"	"D"	"PDGFB"	1
"286"	"ADNP"	"D"	"PECAM1"	1
"287"	"ADNP"	"D"	"PELATON"	1
"288"	"ADNP"	"D"	"PHF20"	1
"289"	"ADNP"	"D"	"PKHD1L1"	1
"290"	"ADNP"	"D"	"PKN1"	1
"291"	"ADNP"	"D"	"PLCG2"	1
"292"	"ADNP"	"D"	"PLD1"	1
"293"	"ADNP"	"D"	"PLIN3"	1
"294"	"ADNP"	"D"	"PLPP7"	1
"295"	"ADNP"	"D"	"PLXNA2"	1
"296"	"ADNP"	"D"	"PLXND1"	1
"297"	"ADNP"	"D"	"POM121L2"	1
"298"	"ADNP"	"D"	"PPIL3"	1
"299"	"ADNP"	"D"	"PPP1R16B"	1
"300"	"ADNP"	"D"	"PRCP"	1
"301"	"ADNP"	"D"	"PREX1"	1
"302"	"ADNP"	"D"	"PRF1"	1
"303"	"ADNP"	"D"	"PRKAR2B"	1
"304"	"ADNP"	"D"	"PRKCB"	1
"305"	"ADNP"	"D"	"PRPF31"	1
"306"	"ADNP"	"D"	"PRR5"	1
"307"	"ADNP"	"D"	"PRSS16"	1
"308"	"ADNP"	"D"	"PRX"	1
"309"	"ADNP"	"D"	"PTP4A2"	1
"310"	"ADNP"	"D"	"PTP4A3"	1
"311"	"ADNP"	"D"	"PTPRJ"	1
"312"	"ADNP"	"D"	"PTPRS"	1
"313"	"ADNP"	"D"	"PVT1"	1
"314"	"ADNP"	"D"	"R3HDM2"	1
"315"	"ADNP"	"D"	"R3HDM4"	1
"316"	"ADNP"	"D"	"RALGPS1"	1
"317"	"ADNP"	"D"	"RANBP9"	1
"318"	"ADNP"	"D"	"RAP1GAP"	1
"319"	"ADNP"	"D"	"RAPGEF5"	1
"320"	"ADNP"	"D"	"RASAL1"	1
"321"	"ADNP"	"D"	"RBM19"	1
