Target_genes	Patz1|Average	SRX20088451|ES_cells	SRX20088452|ES_cells	SRX20088453|ES_cells	SRX20088454|ES_cells	STRING
Agbl5	202.500000	333	477	0	0	0
Rdx	201.250000	385	420	0	0	0
Hsp90aa1	201.250000	303	282	220	0	0
Ccdc102a	201.250000	409	396	0	0	0
Cdkn2a	201.000000	346	458	0	0	0
Hmgb1	200.750000	537	266	0	0	0
Camta2	200.250000	392	409	0	0	0
Rab1b	199.250000	472	325	0	0	0
Ctdsp2	199.000000	220	576	0	0	0
Ppp1r12a	198.750000	281	514	0	0	0
Ankrd10	198.500000	313	481	0	0	0
Wfdc2	198.250000	412	381	0	0	0
Uaca	198.250000	313	480	0	0	0
Eif4e	198.000000	281	511	0	0	0
Pabpc4	197.750000	321	470	0	0	0
Rnf220	197.500000	381	409	0	0	0
Ano6	197.500000	412	378	0	0	0
Phb2	197.000000	460	328	0	0	0
Emg1	197.000000	460	328	0	0	0
Vps26b	196.750000	498	289	0	0	0
Rexo1	196.750000	262	525	0	0	0
Ncapd3	196.750000	498	289	0	0	0
Topors	196.500000	364	422	0	0	0
Smim27	196.500000	364	422	0	0	0
Kcnn1	196.500000	480	306	0	0	0
Cux2	196.500000	341	445	0	0	0
Anapc5	196.500000	343	443	0	0	0
Znrf4	195.250000	372	409	0	0	0
Hmga1b	195.000000	409	371	0	0	0
Hmga1	195.000000	409	371	0	0	0
Fzd2	194.250000	232	545	0	0	0
Slc25a4	194.000000	324	452	0	0	0
Tmem44	193.500000	372	402	0	0	0
Slc35a1	193.500000	287	487	0	0	0
Rchy1	193.500000	422	352	0	0	0
Mbd3	193.500000	358	416	0	0	0
Cbx5	193.250000	379	394	0	0	0
Zfp207	193.000000	366	406	0	0	0
Srrt	193.000000	352	420	0	0	0
Ctdsp1	193.000000	205	567	0	0	0
5730455P16Rik	193.000000	366	406	0	0	0
Lonp2	192.500000	367	403	0	0	0
Tmem198b	192.250000	415	354	0	0	0
Dnajc14	192.250000	415	354	0	0	0
Trnau1ap	191.750000	261	506	0	0	0
Ccdc136	191.750000	338	429	0	0	0
Clk1	191.500000	396	370	0	0	0
Mme	190.750000	373	390	0	0	0
Nid2	190.250000	417	344	0	0	0
Xndc1	190.000000	297	463	0	0	0
Rnf121	190.000000	297	463	0	0	0
Ubl3	189.750000	341	418	0	0	0
Hoxc12	189.750000	384	375	0	0	0
Sema4c	189.500000	408	350	0	0	0
Adgre5	189.250000	396	361	0	0	0
Lrp6	188.500000	274	480	0	0	0
Kctd15	188.500000	353	401	0	0	0
Rac1	188.250000	348	405	0	0	0
Morf4l1	187.750000	403	348	0	0	0
Cux1	187.500000	498	252	0	0	0
Tsku	187.250000	319	430	0	0	0
Sik3	187.250000	331	418	0	0	0
Sall4	187.250000	449	300	0	0	0
Pafah1b2	187.250000	331	418	0	0	0
Isyna1	187.250000	371	378	0	0	0
Atp11a	187.250000	524	225	0	0	0
Dgke	186.750000	323	424	0	0	0
Fscn1	185.750000	391	352	0	0	0
Gpr146	185.000000	327	413	0	0	0
Selenoh	184.750000	307	432	0	0	0
Crtc1	184.750000	315	424	0	0	0
Bdnf	184.500000	364	374	0	0	0
Tceanc	184.250000	402	335	0	0	0
Adnp2	184.250000	285	452	0	0	0
Ccng2	184.000000	332	404	0	0	0
Znhit1	183.750000	419	316	0	0	0
Tnrc18	183.750000	337	398	0	0	0
Plod3	183.750000	419	316	0	0	0
Stmn1	183.500000	207	527	0	0	0
Ephb4	183.500000	324	410	0	0	0
Mllt1	183.250000	308	425	0	0	0
Ptprj	182.750000	383	348	0	0	0
Iqcc	182.750000	332	399	0	0	0
Dcdc2b	182.750000	332	399	0	0	0
Ccdc28b	182.750000	332	399	0	0	0
Bcam	182.750000	417	314	0	0	0
Notch4	182.500000	298	432	0	0	0
Pcgf3	181.750000	379	348	0	0	0
Srsf9	181.500000	310	416	0	0	0
Arhgap32	181.250000	413	312	0	0	0
Tsc1	180.500000	372	350	0	0	0
Cnp	180.000000	413	307	0	0	0
Ubac2	179.500000	401	317	0	0	0
Tmem41a	179.250000	312	405	0	0	0
Trh	179.000000	248	468	0	0	0
Nanos3	178.500000	516	198	0	0	0
Tmem131l	178.250000	297	416	0	0	0
Ppp1r14b	178.250000	292	421	0	0	0
LOC114841036	178.250000	292	421	0	0	0
Fkbp2	178.250000	292	421	0	0	0
Clip4	178.250000	292	421	0	0	0
Ube2i	178.000000	374	338	0	0	0
Enah	178.000000	351	361	0	0	0
Ly6g5b	177.250000	320	389	0	0	0
Gpank1	177.250000	320	389	0	0	0
D17H6S53E	177.250000	320	389	0	0	0
Csnk2b	177.250000	320	389	0	0	0
Pik3ca	177.000000	339	369	0	0	0
Spry4	176.750000	313	394	0	0	0
Fam171b	176.500000	321	385	0	0	0
Smad7	176.250000	347	358	0	0	0
Tubb5	176.000000	331	373	0	0	0
Mdc1	176.000000	331	373	0	0	0
Axin1	176.000000	295	409	0	0	0
Snx24	175.250000	307	394	0	0	0
G2e3	175.250000	401	300	0	0	0
2700081O15Rik	174.750000	408	291	0	0	0
Rerg	174.000000	397	299	0	0	0
Neurog1	173.750000	304	391	0	0	0
Ajuba	173.750000	487	208	0	0	0
Kansl1	173.250000	361	332	0	0	0
Hook2	173.000000	260	432	0	0	0
Vamp4	172.750000	348	343	0	0	0
Nfat5	172.750000	367	324	0	0	0
Ddx42	172.500000	273	417	0	0	0
Ccdc47	172.500000	273	417	0	0	0
Mex3a	172.250000	389	300	0	0	0
Pgk1	172.000000	232	456	0	0	0
Slc25a29	171.500000	247	439	0	0	0
Igf1r	171.500000	399	287	0	0	0
Xpnpep3	170.750000	322	232	129	0	0
St13	170.750000	322	232	129	0	0
Dbn1	170.500000	331	351	0	0	0
Zfp628	170.250000	255	426	0	0	0
Fundc2	170.250000	344	337	0	0	0
F8	170.250000	344	337	0	0	0
Trip4	170.000000	337	343	0	0	0
Odf2	170.000000	336	344	0	0	0
Csnk1g1	170.000000	337	343	0	0	0
Zmym3	169.750000	292	387	0	0	0
Slc37a3	169.500000	324	354	0	0	0
Rab19	169.500000	324	354	0	0	0
Ddr1	169.000000	433	243	0	0	0
