Target_genes	Sox10|Average	SRX1062970|embryonic_skin	SRX1062971|embryonic_skin	SRX7856758|Melanoma	SRX7856759|Melanoma	STRING
Ro60	83.750000	0	335	0	0	0
Rdh14	83.750000	108	227	0	0	0
H1f2	83.750000	117	218	0	0	0
Raver1	83.500000	149	185	0	0	0
Psmc3	83.500000	169	165	0	0	0
Pih1d2	83.500000	115	219	0	0	0
Nkapd1	83.500000	115	219	0	0	0
Dcp1a	83.500000	0	334	0	0	0
Bpifa6	83.500000	0	334	0	0	0
Plcd3	83.250000	0	333	0	0	0
Gpr19	83.250000	150	183	0	0	0
Acbd4	83.250000	0	333	0	0	0
Abr	83.250000	0	333	0	0	0
Trim50	83.000000	0	118	214	0	0
Rbl1	82.750000	0	331	0	0	0
Zfp119b	82.250000	137	192	0	0	0
Hexim2	82.250000	126	203	0	0	0
Stox2	81.750000	103	224	0	0	0
Fzd1	81.750000	125	202	0	0	0
Erlin2	81.750000	135	192	0	0	0
Duxbl3	81.500000	125	201	0	0	0
Duxbl2	81.500000	125	201	0	0	0
Duxbl1	81.500000	125	201	0	0	0
Cox7a2	81.250000	146	179	0	0	0
Mbd6	80.500000	181	141	0	0	0
Ddit3	80.500000	181	141	0	0	0
Zfp821	80.250000	202	119	0	0	0
Ist1	80.250000	202	119	0	0	0
Tnrc18	80.000000	171	149	0	0	0
Szrd1	79.750000	128	191	0	0	0
Syt8	79.750000	161	158	0	0	0
Stat1	79.750000	160	159	0	0	0
Tbc1d4	79.500000	138	180	0	0	0
Rsad1	79.250000	116	201	0	0	0
Cops8	79.250000	88	229	0	0	0
T2	79.000000	0	316	0	0	0
Taf9	78.750000	157	158	0	0	0
Rad17	78.750000	157	158	0	0	0
H4c3	78.750000	162	153	0	0	0
H1f6	78.750000	162	153	0	0	0
Ak6	78.750000	157	158	0	0	0
Zfp119a	78.500000	138	176	0	0	0
Wdr25	78.500000	111	203	0	0	0
Wars	78.500000	111	203	0	0	0
Tyw5	78.500000	170	144	0	0	0
Trip4	78.500000	162	152	0	0	0
Rbm39	78.500000	135	179	0	0	0
Maip1	78.500000	170	144	0	0	0
Cdrt4	78.500000	314	0	0	0	0
Sem1	78.250000	176	137	0	0	0
Wdr75	78.000000	171	141	0	0	0
Ccnt1	78.000000	172	140	0	0	0
4930415O20Rik	78.000000	172	140	0	0	0
Phb2	77.750000	111	200	0	0	0
Emg1	77.750000	111	200	0	0	0
Eef1akmt2	77.750000	131	180	0	0	0
Taco1	77.500000	163	147	0	0	0
Rcor1	77.250000	125	184	0	0	0
Kcnn4	77.250000	111	198	0	0	0
Cfap298	76.750000	101	206	0	0	0
Ppil3	76.500000	215	91	0	0	0
Nif3l1	76.500000	215	91	0	0	0
Chadl	76.500000	194	112	0	0	0
Ap5s1	76.500000	96	210	0	0	0
Ano6	76.500000	126	180	0	0	0
Zfp560	76.250000	0	305	0	0	0
Mrpl21	76.250000	206	99	0	0	0
Kmt2e	76.250000	108	197	0	0	0
Inpp5e	76.250000	184	121	0	0	0
Ighmbp2	76.250000	206	99	0	0	0
Wdr27	76.000000	186	118	0	0	0
Gpatch8	76.000000	91	213	0	0	0
G2e3	76.000000	174	130	0	0	0
Ccdc91	76.000000	133	171	0	0	0
1600012H06Rik	76.000000	186	118	0	0	0
Angel2	75.500000	138	164	0	0	0
Snx17	75.250000	160	141	0	0	0
Eif2b4	75.250000	160	141	0	0	0
Ddr1	75.250000	157	144	0	0	0
Srp68	75.000000	117	183	0	0	0
Ptdss1	75.000000	133	167	0	0	0
Mterf3	75.000000	133	167	0	0	0
Tmem189	74.750000	159	140	0	0	0
Rgmb	74.750000	130	169	0	0	0
Exoc2	74.750000	175	124	0	0	0
Diaph1	74.750000	0	299	0	0	0
Znhit1	74.250000	297	0	0	0	0
Rad54l2	74.250000	0	297	0	0	0
Plod3	74.250000	297	0	0	0	0
Nudt1	74.250000	93	204	0	0	0
Smarcd1	74.000000	164	132	0	0	0
Tmem39b	73.750000	0	295	0	0	0
Mideas	73.750000	155	140	0	0	0
Mettl1	73.750000	162	133	0	0	0
Eef1akmt3	73.750000	162	133	0	0	0
Atp5g2	73.500000	154	140	0	0	0
Arhgef2	73.500000	116	178	0	0	0
Tmem242	73.250000	137	156	0	0	0
H3c15	73.250000	168	125	0	0	0
H3c14	73.250000	168	125	0	0	0
H2ac19	73.250000	168	125	0	0	0
H2ac18	73.250000	168	125	0	0	0
C87436	73.250000	153	140	0	0	0
Thumpd3	72.750000	0	291	0	0	0
Nr1h4	72.750000	169	122	0	0	0
Spg11	72.500000	96	194	0	0	0
Insr	72.500000	153	137	0	0	0
Gar1	72.500000	94	196	0	0	0
Inpp1	72.250000	0	289	0	0	0
H3c13	72.250000	120	169	0	0	0
H2bc18	72.250000	120	169	0	0	0
Exd1	72.250000	137	152	0	0	0
Chp1	72.250000	137	152	0	0	0
Setd5	72.000000	0	288	0	0	0
Rwdd1	71.750000	155	132	0	0	0
Slc26a1	71.500000	134	152	0	0	0
Pole4	71.500000	104	182	0	0	0
