Target_genes	Dbp|Average	DRX178619|Liver	DRX178621|Liver	DRX178627|Liver	DRX178629|Liver	STRING
Crp	896.000000	1206	714	630	1034	0
Golim4	895.750000	1118	758	586	1121	0
Rab40c	894.000000	716	694	585	1581	0
Acnat1	891.500000	745	809	765	1247	0
Rrnad1	890.000000	1349	655	478	1078	0
Isg20l2	890.000000	1349	655	478	1078	0
Slc10a5	888.250000	644	798	848	1263	0
Impa1	888.250000	644	798	848	1263	0
Myo1d	886.000000	818	424	735	1567	0
Cd244a	886.000000	648	387	782	1727	0
Psmd9	885.500000	1071	573	721	1177	0
9430015G10Rik	885.000000	635	310	528	2067	0
Ralgds	882.250000	992	596	535	1406	0
Ctnnbl1	881.500000	923	474	544	1585	0
Ubap2l	879.000000	1033	716	526	1241	0
4933434E20Rik	879.000000	1033	716	526	1241	0
Ell	876.000000	855	691	502	1456	0
Nat8f7	875.250000	931	575	563	1432	0
Slc7a15	874.750000	848	487	661	1503	0
Ccp110	874.000000	776	535	431	1754	0
Psmc6	872.250000	848	695	604	1342	0
Samd9l	871.750000	1175	878	350	1084	0
Aadac	869.500000	704	695	744	1335	0
Ptma	866.500000	852	515	592	1507	0
Thoc2l	865.250000	985	652	497	1327	0
Rpl36	864.500000	880	599	625	1354	0
Micos13	864.500000	880	599	625	1354	0
Il1r1	863.500000	957	821	700	976	0
Trim2	862.250000	1051	535	477	1386	0
Pcyox1	860.500000	514	546	508	1874	0
Pgm1	860.250000	1009	609	430	1393	0
Hsd11b1	860.250000	726	727	468	1520	0
Kxd1	859.750000	915	619	628	1277	0
Fkbp8	859.750000	915	619	628	1277	0
Sult6b2	859.000000	892	570	486	1488	0
Txnrd1	857.500000	678	551	543	1658	0
Bmf	855.250000	827	576	554	1464	0
Nat8f6	854.000000	787	566	456	1607	0
Thrsp	850.750000	1076	929	372	1026	0
Fetub	850.750000	901	589	587	1326	0
Atg14	849.750000	1125	429	473	1372	0
Nfkbia	849.250000	965	585	527	1320	0
Ralgapa2	848.000000	1070	839	488	995	0
Tom1l1	847.500000	869	700	560	1261	0
