Target_genes	Nfya|Average	SRX12799800|Acute_myeloid_leukemia	SRX12799801|Acute_myeloid_leukemia	SRX032472|ES_cells	SRX032473|ES_cells	SRX518333|ES_cells	SRX032482|mESC_derived_neural_cells	SRX032483|mESC_derived_neural_cells	SRX032491|Neurons	SRX032492|Neurons	STRING
Zfp574	521.222222	694	1382	0	159	1605	275	0	362	214	0
Narf	521.222222	846	1762	0	261	1169	170	0	275	208	0
Grik5	521.222222	694	1382	0	159	1605	275	0	362	214	0
Cabin1	521.222222	921	1522	0	233	775	224	75	491	450	0
Josd1	521.111111	1105	1157	0	0	1915	0	0	212	301	0
Gtpbp1	521.111111	1105	1157	0	0	1915	0	0	212	301	0
Rspry1	518.555556	1219	1934	0	0	1187	0	0	125	202	0
Psme3ip1	518.555556	1219	1934	0	0	1187	0	0	125	202	0
Drosha	518.444444	980	2016	0	139	888	0	0	402	241	0
6030458C11Rik	518.444444	980	2016	0	139	888	0	0	402	241	0
Ggct	517.777778	1012	1785	0	0	1307	0	0	361	195	0
Hnrnpab	516.888889	469	1378	0	397	1214	261	83	529	321	0
Aph1c	516.444444	1429	1665	0	0	1050	0	0	333	171	0
Ncapd2	515.555556	1077	1549	0	0	1261	129	0	385	239	0
Mrpl51	515.555556	1077	1549	0	0	1261	129	0	385	239	0
Cebpg	515.222222	1843	2078	0	157	0	0	0	327	232	0
Kif14	513.777778	1266	1294	0	0	386	140	0	793	745	0
Rnf181	512.888889	601	1867	0	143	1334	0	0	380	291	0
Ints3	512.666667	823	1477	0	0	1366	120	0	482	346	0
Tle4	512.222222	1460	2570	0	0	307	0	0	181	92	0
Slc25a28	512.111111	729	1471	0	94	1612	0	0	407	296	0
Ubxn6	511.333333	827	1006	0	163	1919	0	0	321	366	0
Hdgfl2	511.333333	827	1006	0	163	1919	0	0	321	366	0
Mrpl37	510.666667	690	1541	0	119	1281	217	0	514	234	0
Cyb5rl	510.666667	690	1541	0	119	1281	217	0	514	234	0
Pycr2	510.333333	947	1700	0	321	541	181	0	432	471	0
Nap1l4	510.333333	724	1318	0	202	1515	0	0	381	453	0
Kat6b	510.222222	586	1404	0	159	1668	139	51	314	271	0
Copz1	510.222222	322	1346	0	209	2191	0	0	265	259	0
Tmbim6	509.777778	499	1533	0	174	1607	122	0	357	296	0
Sptlc2	509.111111	962	1592	0	135	1377	0	0	309	207	0
Hltf	508.888889	976	1843	0	0	968	93	0	340	360	0
Tmem60	508.111111	1063	1380	0	0	1608	0	0	322	200	0
Phtf2	508.111111	1063	1380	0	0	1608	0	0	322	200	0
Cenpf	507.000000	1232	2190	0	0	652	125	0	209	155	0
Baz1b	506.222222	875	1213	0	227	1170	164	0	594	313	0
Ivd	505.888889	405	1177	0	328	1542	168	108	512	313	0
Fam76a	505.888889	1337	1755	0	0	754	0	0	331	376	0
Actn1	505.777778	613	1140	0	209	1483	225	0	437	445	0
Gdf15	505.555556	640	400	142	771	0	834	225	716	822	0
Ehmt1	505.000000	1370	1176	0	0	0	266	0	870	863	0
Gls	504.444444	950	1755	0	0	1288	0	0	329	218	0
Megf9	503.111111	1832	2071	0	0	206	0	0	123	296	0
Hinfp	503.000000	1405	1815	0	0	831	0	0	303	173	0
Pms2	502.333333	1003	1818	0	0	1215	0	0	279	206	0
Aimp2	502.333333	1003	1818	0	0	1215	0	0	279	206	0
Srgap2	502.111111	488	1226	0	253	1613	120	0	461	358	0
Fam72a	502.111111	488	1226	0	253	1613	120	0	461	358	0
Kctd9	501.777778	911	1465	0	104	1508	0	0	294	234	0
Cdca2	501.777778	911	1465	0	104	1508	0	0	294	234	0
Eri3	501.666667	809	1321	0	313	1122	117	0	445	388	0
Incenp	500.888889	567	1409	0	0	1939	0	0	319	274	0
Tubb4b	500.444444	510	1214	0	83	2222	0	0	222	253	0
Hgs	500.222222	1100	1616	0	140	1191	0	0	269	186	0
Arl16	500.222222	1100	1616	0	140	1191	0	0	269	186	0
Sap130	499.444444	1694	2294	0	0	507	0	0	0	0	0
Maco1	499.222222	1085	1831	0	111	843	167	0	224	232	0
Lyrm7	498.777778	1317	1768	0	0	1202	0	0	202	0	0
Nup214	498.111111	1633	1551	0	0	371	192	0	392	344	0
Bcl2l1	497.555556	1232	1763	0	222	740	0	0	239	282	0
Psma2	497.111111	766	1489	0	0	352	222	109	819	717	0
Mrpl32	497.111111	766	1489	0	0	352	222	109	819	717	0
Elavl1	496.000000	1174	1695	0	292	371	203	0	399	330	0
