Target_genes	Nfya|Average	SRX12799800|Acute_myeloid_leukemia	SRX12799801|Acute_myeloid_leukemia	SRX032472|ES_cells	SRX032473|ES_cells	SRX518333|ES_cells	SRX032482|mESC_derived_neural_cells	SRX032483|mESC_derived_neural_cells	SRX032491|Neurons	SRX032492|Neurons	STRING
Sdhaf4	123.111111	627	481	0	0	0	0	0	0	0	0
Rnf185	123.111111	603	505	0	0	0	0	0	0	0	0
Ranbp6	123.000000	323	487	0	0	0	0	0	135	162	0
Pias3	123.000000	631	476	0	0	0	0	0	0	0	0
Pcdh10	123.000000	0	0	0	0	585	0	0	216	306	0
Jmjd7	123.000000	683	424	0	0	0	0	0	0	0	0
Pold3	122.888889	624	482	0	0	0	0	0	0	0	0
Cyren	122.888889	462	644	0	0	0	0	0	0	0	0
Zbtb32	122.777778	618	487	0	0	0	0	0	0	0	0
Usf1	122.777778	545	560	0	0	0	0	0	0	0	0
Kmt2b	122.777778	618	487	0	0	0	0	0	0	0	0
Dpp8	122.777778	564	541	0	0	0	0	0	0	0	0
Vtn	122.666667	583	424	0	0	97	0	0	0	0	0
Sarm1	122.666667	583	424	0	0	97	0	0	0	0	0
Ankfy1	122.666667	559	545	0	0	0	0	0	0	0	0
AI467606	122.666667	506	598	0	0	0	0	0	0	0	0
Ube3b	122.555556	625	478	0	0	0	0	0	0	0	0
Trmt10c	122.555556	539	564	0	0	0	0	0	0	0	0
Mfsd14b	122.555556	189	661	0	0	0	0	0	110	143	0
Kctd10	122.555556	625	478	0	0	0	0	0	0	0	0
Slc66a1	122.444444	652	450	0	0	0	0	0	0	0	0
Rcn2	122.444444	398	547	0	0	157	0	0	0	0	0
Ppm1l	122.444444	654	448	0	0	0	0	0	0	0	0
Pgpep1	122.444444	677	425	0	0	0	0	0	0	0	0
Ogfod2	122.444444	583	519	0	0	0	0	0	0	0	0
Arl6ip4	122.444444	583	519	0	0	0	0	0	0	0	0
Akr7a5	122.444444	652	450	0	0	0	0	0	0	0	0
Nudt7	122.333333	609	492	0	0	0	0	0	0	0	0
Armc8	122.333333	482	619	0	0	0	0	0	0	0	0
Tmem68	122.222222	435	665	0	0	0	0	0	0	0	0
Tgs1	122.222222	435	665	0	0	0	0	0	0	0	0
Polr2e	122.222222	364	736	0	0	0	0	0	0	0	0
Mat2a	122.222222	639	461	0	0	0	0	0	0	0	0
Fbxo30	122.222222	549	551	0	0	0	0	0	0	0	0
Clp1	122.222222	539	561	0	0	0	0	0	0	0	0
Ntpcr	122.111111	671	428	0	0	0	0	0	0	0	0
Zfp707	122.000000	434	499	0	0	165	0	0	0	0	0
Ppp2cb	122.000000	673	425	0	0	0	0	0	0	0	0
Kif3a	122.000000	520	578	0	0	0	0	0	0	0	0
Itpr2	122.000000	613	485	0	0	0	0	0	0	0	0
Znrd2	121.888889	452	518	0	0	0	0	0	127	0	0
Slc16a1	121.888889	643	454	0	0	0	0	0	0	0	0
Rbsn	121.888889	448	649	0	0	0	0	0	0	0	0
Prps1	121.888889	347	481	0	0	269	0	0	0	0	0
Fam89b	121.888889	452	518	0	0	0	0	0	127	0	0
Becn1	121.888889	519	578	0	0	0	0	0	0	0	0
Ankrd26	121.888889	485	612	0	0	0	0	0	0	0	0
Zfat	121.777778	574	522	0	0	0	0	0	0	0	0
Syap1	121.777778	646	450	0	0	0	0	0	0	0	0
Dgcr6	121.777778	525	571	0	0	0	0	0	0	0	0
Yaf2	121.666667	513	582	0	0	0	0	0	0	0	0
Ttc27	121.666667	344	751	0	0	0	0	0	0	0	0
Sema3b	121.666667	504	591	0	0	0	0	0	0	0	0
Osbpl11	121.666667	491	604	0	0	0	0	0	0	0	0
Ccs	121.666667	496	599	0	0	0	0	0	0	0	0
Ccdc87	121.666667	496	599	0	0	0	0	0	0	0	0
Acer2	121.666667	692	403	0	0	0	0	0	0	0	0
Tpm3	121.555556	541	553	0	0	0	0	0	0	0	0
Rwdd2b	121.555556	449	645	0	0	0	0	0	0	0	0
Hif1an	121.555556	585	509	0	0	0	0	0	0	0	0
Gga2	121.555556	557	537	0	0	0	0	0	0	0	0
Psap	121.444444	473	620	0	0	0	0	0	0	0	0
Pitpna	121.444444	549	544	0	0	0	0	0	0	0	0
Pdlim7	121.444444	598	495	0	0	0	0	0	0	0	0
Klf1	121.444444	591	502	0	0	0	0	0	0	0	0
Cox5a	121.444444	605	488	0	0	0	0	0	0	0	0
Xpot	121.333333	564	528	0	0	0	0	0	0	0	0
Trit1	121.333333	563	529	0	0	0	0	0	0	0	0
Snrnp27	121.333333	595	497	0	0	0	0	0	0	0	0
4933430I17Rik	121.333333	506	586	0	0	0	0	0	0	0	0
Ttll1	121.222222	560	531	0	0	0	0	0	0	0	0
Polr1e	121.222222	522	569	0	0	0	0	0	0	0	0
Klhl5	121.222222	547	544	0	0	0	0	0	0	0	0
Fam149b	121.222222	381	710	0	0	0	0	0	0	0	0
Ecd	121.222222	381	710	0	0	0	0	0	0	0	0
Ccdc107	121.222222	543	548	0	0	0	0	0	0	0	0
Psme4	121.111111	550	540	0	0	0	0	0	0	0	0
Nudt3	121.111111	631	459	0	0	0	0	0	0	0	0
Hvcn1	121.111111	0	119	0	0	971	0	0	0	0	0
H2bc21	121.111111	191	476	0	0	292	0	0	131	0	0
H2ac21	121.111111	191	476	0	0	292	0	0	131	0	0
H2ac20	121.111111	191	476	0	0	292	0	0	131	0	0
Zfp952	121.000000	0	171	0	0	502	0	0	281	135	0
Tia1	121.000000	466	623	0	0	0	0	0	0	0	0
Taf3	121.000000	451	638	0	0	0	0	0	0	0	0
Sf3a2	121.000000	531	558	0	0	0	0	0	0	0	0
Rab21	121.000000	563	526	0	0	0	0	0	0	0	0
Plekhj1	121.000000	531	558	0	0	0	0	0	0	0	0
G2e3	121.000000	566	523	0	0	0	0	0	0	0	0
Uhmk1	120.888889	583	505	0	0	0	0	0	0	0	0
Ube2z	120.888889	562	526	0	0	0	0	0	0	0	0
Rbmx2	120.888889	434	391	0	0	263	0	0	0	0	0
Fyttd1	120.888889	533	555	0	0	0	0	0	0	0	0
Dnajc7	120.888889	540	363	0	0	185	0	0	0	0	0
Stard3	120.777778	594	493	0	0	0	0	0	0	0	0
Pigv	120.777778	611	476	0	0	0	0	0	0	0	0
Armc7	120.777778	605	482	0	0	0	0	0	0	0	0
Wsb2	120.666667	732	354	0	0	0	0	0	0	0	0
Qsox2	120.666667	629	457	0	0	0	0	0	0	0	0
Ier3ip1	120.666667	590	496	0	0	0	0	0	0	0	0
Wdr44	120.555556	481	604	0	0	0	0	0	0	0	0
Spink10	120.555556	600	485	0	0	0	0	0	0	0	0
Plekhg5	120.555556	740	345	0	0	0	0	0	0	0	0
Lrpap1	120.555556	531	554	0	0	0	0	0	0	0	0
Fbxo38	120.555556	600	485	0	0	0	0	0	0	0	0
Rab2a	120.444444	618	466	0	0	0	0	0	0	0	0
Herc3	120.444444	557	527	0	0	0	0	0	0	0	0
H6pd	120.444444	640	444	0	0	0	0	0	0	0	0
Usp7	120.333333	675	408	0	0	0	0	0	0	0	0
Supv3l1	120.333333	470	613	0	0	0	0	0	0	0	0
Srek1	120.333333	511	572	0	0	0	0	0	0	0	0
Pa2g4	120.333333	525	438	0	0	120	0	0	0	0	0
Gpr137	120.333333	560	389	0	0	134	0	0	0	0	0
Cast	120.333333	460	623	0	0	0	0	0	0	0	0
Bad	120.333333	560	389	0	0	134	0	0	0	0	0
Asns	120.333333	430	653	0	0	0	0	0	0	0	0
Tkt	120.222222	703	379	0	0	0	0	0	0	0	0
Zfp426	120.111111	384	697	0	0	0	0	0	0	0	0
Pfkp	120.111111	523	558	0	0	0	0	0	0	0	0
Pag1	120.111111	533	548	0	0	0	0	0	0	0	0
Guk1	120.111111	596	485	0	0	0	0	0	0	0	0
Erich4	120.111111	503	578	0	0	0	0	0	0	0	0
Dmac2	120.111111	503	578	0	0	0	0	0	0	0	0
Celsr3	120.111111	435	320	0	0	326	0	0	0	0	0
Ccdc28a	120.111111	450	631	0	0	0	0	0	0	0	0
Blvra	120.111111	239	694	0	0	148	0	0	0	0	0
Zyx	120.000000	660	420	0	0	0	0	0	0	0	0
Tnfaip2	120.000000	603	477	0	0	0	0	0	0	0	0
Sdhaf3	120.000000	532	548	0	0	0	0	0	0	0	0
Dnmt1	120.000000	489	591	0	0	0	0	0	0	0	0
Wdr5b	119.888889	327	657	0	0	0	0	0	95	0	0
Washc1	119.888889	531	548	0	0	0	0	0	0	0	0
Ube2k	119.888889	489	590	0	0	0	0	0	0	0	0
Rps27l	119.888889	448	631	0	0	0	0	0	0	0	0
Polr2b	119.888889	578	501	0	0	0	0	0	0	0	0
Pacs1	119.888889	686	393	0	0	0	0	0	0	0	0
Noa1	119.888889	578	501	0	0	0	0	0	0	0	0
Katnbl1	119.888889	592	487	0	0	0	0	0	0	0	0
Fabp5	119.888889	523	556	0	0	0	0	0	0	0	0
Cnnm4	119.888889	659	420	0	0	0	0	0	0	0	0
Suv39h1	119.777778	360	718	0	0	0	0	0	0	0	0
Chst11	119.777778	573	505	0	0	0	0	0	0	0	0
Brap	119.777778	489	589	0	0	0	0	0	0	0	0
Acad10	119.777778	489	589	0	0	0	0	0	0	0	0
Cutc	119.666667	549	528	0	0	0	0	0	0	0	0
Cox15	119.666667	549	528	0	0	0	0	0	0	0	0
Bet1	119.666667	248	580	0	0	0	0	0	249	0	0
Zfp563	119.555556	0	547	0	0	379	0	0	150	0	0
Rlim	119.555556	522	554	0	0	0	0	0	0	0	0
Mtmr2	119.555556	447	629	0	0	0	0	0	0	0	0
Amacr	119.555556	396	680	0	0	0	0	0	0	0	0
Dcp1a	119.444444	461	614	0	0	0	0	0	0	0	0
D230025D16Rik	119.333333	583	491	0	0	0	0	0	0	0	0
Cdkl5	119.333333	401	469	0	0	204	0	0	0	0	0
Tcf25	119.222222	544	438	0	0	0	0	0	91	0	0
Srcap	119.222222	595	478	0	0	0	0	0	0	0	0
Ptgr2	119.222222	539	534	0	0	0	0	0	0	0	0
Mospd2	119.222222	236	561	0	0	276	0	0	0	0	0
Fancb	119.222222	236	561	0	0	276	0	0	0	0	0
Dus1l	119.222222	496	577	0	0	0	0	0	0	0	0
Slc6a9	119.111111	665	407	0	0	0	0	0	0	0	0
Slc5a3	119.111111	538	534	0	0	0	0	0	0	0	0
Nmnat3	119.111111	355	717	0	0	0	0	0	0	0	0
Mrps6	119.111111	538	534	0	0	0	0	0	0	0	0
Ints12	119.111111	360	563	0	0	0	0	0	149	0	0
Gstcd	119.111111	360	563	0	0	0	0	0	149	0	0
Cmss1	119.111111	526	546	0	0	0	0	0	0	0	0
Arhgap10	119.111111	675	397	0	0	0	0	0	0	0	0
Tcof1	119.000000	279	556	0	0	236	0	0	0	0	0
Ssh3	119.000000	576	495	0	0	0	0	0	0	0	0
Dsn1	119.000000	536	535	0	0	0	0	0	0	0	0
Trappc3	118.888889	564	506	0	0	0	0	0	0	0	0
Rb1	118.888889	551	519	0	0	0	0	0	0	0	0
Fbl	118.888889	611	459	0	0	0	0	0	0	0	0
Mrpl12	118.777778	400	669	0	0	0	0	0	0	0	0
Capsl	118.777778	0	0	0	172	897	0	0	0	0	0
Zfp747	118.666667	191	718	0	0	159	0	0	0	0	0
Taco1	118.666667	364	704	0	0	0	0	0	0	0	0
Fbxw11	118.666667	366	569	0	0	133	0	0	0	0	0
B9d2	118.666667	538	530	0	0	0	0	0	0	0	0
Ube2m	118.555556	520	404	0	0	0	0	0	143	0	0
Paxip1	118.555556	486	581	0	0	0	0	0	0	0	0
Nxpe3	118.555556	404	663	0	0	0	0	0	0	0	0
Maz	118.555556	520	343	0	0	204	0	0	0	0	0
Chmp2a	118.555556	520	404	0	0	0	0	0	143	0	0
Sptan1	118.444444	518	548	0	0	0	0	0	0	0	0
Ldlrad3	118.444444	658	408	0	0	0	0	0	0	0	0
Inpp1	118.444444	550	516	0	0	0	0	0	0	0	0
Baz2a	118.444444	428	292	0	0	0	204	0	0	142	0
Alms1	118.444444	535	531	0	0	0	0	0	0	0	0
Prrt2	118.333333	310	416	0	0	339	0	0	0	0	0
Pagr1a	118.333333	310	416	0	0	339	0	0	0	0	0
Mvp	118.333333	310	416	0	0	339	0	0	0	0	0
Vps16	118.222222	428	636	0	0	0	0	0	0	0	0
Relt	118.222222	632	432	0	0	0	0	0	0	0	0
Pced1a	118.222222	428	636	0	0	0	0	0	0	0	0
Med11	118.222222	462	602	0	0	0	0	0	0	0	0
Fam160b1	118.222222	653	411	0	0	0	0	0	0	0	0
Cntln	118.222222	590	474	0	0	0	0	0	0	0	0
Pgm2	118.111111	689	374	0	0	0	0	0	0	0	0
Dusp6	118.111111	230	380	0	0	453	0	0	0	0	0
Cstb	118.000000	572	490	0	0	0	0	0	0	0	0
Cops7a	118.000000	653	409	0	0	0	0	0	0	0	0
Tmem8b	117.888889	423	638	0	0	0	0	0	0	0	0
Rsph3a	117.888889	554	507	0	0	0	0	0	0	0	0
Pgls	117.888889	522	539	0	0	0	0	0	0	0	0
Nsrp1	117.888889	389	541	0	0	0	0	0	0	131	0
Haus6	117.888889	391	670	0	0	0	0	0	0	0	0
Fam221b	117.888889	423	638	0	0	0	0	0	0	0	0
Slc25a20	117.777778	522	538	0	0	0	0	0	0	0	0
Uqcc2	117.666667	524	535	0	0	0	0	0	0	0	0
Nxn	117.666667	660	399	0	0	0	0	0	0	0	0
Nbn	117.666667	580	479	0	0	0	0	0	0	0	0
Mcat	117.666667	340	719	0	0	0	0	0	0	0	0
D8Ertd738e	117.666667	490	569	0	0	0	0	0	0	0	0
Bcl2l12	117.666667	422	637	0	0	0	0	0	0	0	0
Uggt1	117.555556	525	533	0	0	0	0	0	0	0	0
Tmem209	117.555556	455	603	0	0	0	0	0	0	0	0
Ssmem1	117.555556	455	603	0	0	0	0	0	0	0	0
Traf5	117.444444	605	452	0	0	0	0	0	0	0	0
Tmem80	117.444444	731	326	0	0	0	0	0	0	0	0
Rhno1	117.444444	490	567	0	0	0	0	0	0	0	0
Nol7	117.444444	579	478	0	0	0	0	0	0	0	0
Foxm1	117.444444	490	567	0	0	0	0	0	0	0	0
Deaf1	117.444444	731	326	0	0	0	0	0	0	0	0
Cst3	117.444444	568	489	0	0	0	0	0	0	0	0
Cnot6l	117.444444	463	594	0	0	0	0	0	0	0	0
Ticam1	117.333333	434	622	0	0	0	0	0	0	0	0
Net1	117.333333	280	550	0	0	226	0	0	0	0	0
Emsy	117.333333	217	669	0	0	170	0	0	0	0	0
Zfp523	117.222222	505	550	0	0	0	0	0	0	0	0
Ssbp1	117.222222	418	637	0	0	0	0	0	0	0	0
Rev3l	117.222222	550	505	0	0	0	0	0	0	0	0
Prmt7	117.222222	599	456	0	0	0	0	0	0	0	0
Mpp6	117.222222	441	614	0	0	0	0	0	0	0	0
Mcph1	117.222222	402	653	0	0	0	0	0	0	0	0
Kctd5	117.222222	490	565	0	0	0	0	0	0	0	0
Csde1	117.222222	379	676	0	0	0	0	0	0	0	0
Zfp746	117.111111	679	375	0	0	0	0	0	0	0	0
Rhbdd1	117.111111	515	539	0	0	0	0	0	0	0	0
Fam162a	117.111111	509	413	0	0	132	0	0	0	0	0
Ccdc58	117.111111	509	413	0	0	132	0	0	0	0	0
Zbtb8b	117.000000	0	0	0	0	700	0	0	218	135	0
Trim36	117.000000	653	400	0	0	0	0	0	0	0	0
Slc9a5	117.000000	590	463	0	0	0	0	0	0	0	0
Ptms	117.000000	0	192	0	0	861	0	0	0	0	0
Nek4	117.000000	459	594	0	0	0	0	0	0	0	0
Fhod1	117.000000	590	463	0	0	0	0	0	0	0	0
Clcn7	117.000000	438	615	0	0	0	0	0	0	0	0
Chsy1	117.000000	609	444	0	0	0	0	0	0	0	0
Ptp4a3	116.888889	545	507	0	0	0	0	0	0	0	0
Ppp1r11	116.888889	393	464	0	0	195	0	0	0	0	0
Ctbs	116.888889	486	566	0	0	0	0	0	0	0	0
Cbx2	116.777778	439	612	0	0	0	0	0	0	0	0
Znhit6	116.666667	591	459	0	0	0	0	0	0	0	0
Pard6g	116.666667	694	356	0	0	0	0	0	0	0	0
Orai3	116.666667	124	228	0	0	698	0	0	0	0	0
Nrf1	116.666667	235	400	0	0	0	0	0	201	214	0
Dtnb	116.666667	617	433	0	0	0	0	0	0	0	0
Zfp865	116.444444	619	429	0	0	0	0	0	0	0	0
Zfp524	116.444444	619	429	0	0	0	0	0	0	0	0
Rars	116.444444	553	495	0	0	0	0	0	0	0	0
Eif3m	116.444444	445	603	0	0	0	0	0	0	0	0
D2hgdh	116.444444	356	560	0	0	0	0	0	132	0	0
Cdkn2aipnl	116.444444	527	521	0	0	0	0	0	0	0	0
Atxn7l2	116.444444	488	560	0	0	0	0	0	0	0	0
Noxo1	116.333333	652	395	0	0	0	0	0	0	0	0
Lemd2	116.333333	621	426	0	0	0	0	0	0	0	0
Kdm1a	116.333333	520	527	0	0	0	0	0	0	0	0
Gfer	116.333333	652	395	0	0	0	0	0	0	0	0
Dennd5a	116.333333	545	502	0	0	0	0	0	0	0	0
Chek1	116.333333	491	556	0	0	0	0	0	0	0	0
Auh	116.333333	497	550	0	0	0	0	0	0	0	0
2310022B05Rik	116.333333	702	345	0	0	0	0	0	0	0	0
Fam133b	116.222222	650	396	0	0	0	0	0	0	0	0
Ttc30a1	116.111111	0	0	0	0	0	265	0	488	292	0
Polr2f	116.111111	603	442	0	0	0	0	0	0	0	0
Mrpl39	116.111111	463	582	0	0	0	0	0	0	0	0
Llgl1	116.111111	578	467	0	0	0	0	0	0	0	0
Ccdc181	116.111111	462	583	0	0	0	0	0	0	0	0
1700088E04Rik	116.111111	603	442	0	0	0	0	0	0	0	0
Phf13	116.000000	525	519	0	0	0	0	0	0	0	0
Map4k2	116.000000	636	408	0	0	0	0	0	0	0	0
Hax1	116.000000	587	457	0	0	0	0	0	0	0	0
Fbxo7	116.000000	402	642	0	0	0	0	0	0	0	0
Vcpkmt	115.888889	398	645	0	0	0	0	0	0	0	0
St8sia4	115.888889	391	381	0	0	158	0	0	0	113	0
Setd1a	115.888889	485	402	0	0	156	0	0	0	0	0
Sdcbp	115.888889	442	601	0	0	0	0	0	0	0	0
Rpl7a	115.888889	572	471	0	0	0	0	0	0	0	0
Med22	115.888889	572	471	0	0	0	0	0	0	0	0
Snx30	115.777778	664	378	0	0	0	0	0	0	0	0
Sema6c	115.777778	576	466	0	0	0	0	0	0	0	0
Mrpl30	115.777778	364	678	0	0	0	0	0	0	0	0
Mitd1	115.777778	364	678	0	0	0	0	0	0	0	0
Eci2	115.777778	470	572	0	0	0	0	0	0	0	0
C330007P06Rik	115.777778	407	635	0	0	0	0	0	0	0	0
Zfp939	115.666667	167	455	0	0	261	0	0	158	0	0
Zfp628	115.666667	459	582	0	0	0	0	0	0	0	0
Ube2r2	115.666667	503	538	0	0	0	0	0	0	0	0
Rad23a	115.666667	249	250	0	0	0	0	0	326	216	0
Coq2	115.666667	465	576	0	0	0	0	0	0	0	0
Ap1s3	115.666667	504	537	0	0	0	0	0	0	0	0
Socs3	115.555556	224	479	0	0	337	0	0	0	0	0
Sigmar1	115.555556	271	356	0	0	286	0	0	0	127	0
Rabep2	115.555556	519	521	0	0	0	0	0	0	0	0
Mtpn	115.555556	500	540	0	0	0	0	0	0	0	0
Klhl26	115.555556	658	382	0	0	0	0	0	0	0	0
Drg1	115.555556	566	474	0	0	0	0	0	0	0	0
Rfc2	115.444444	527	512	0	0	0	0	0	0	0	0
Nudt8	115.444444	390	649	0	0	0	0	0	0	0	0
Doc2g	115.444444	390	649	0	0	0	0	0	0	0	0
Mt1	115.333333	483	440	0	0	115	0	0	0	0	0
Parn	115.222222	343	547	0	0	147	0	0	0	0	0
Cyth3	115.222222	658	379	0	0	0	0	0	0	0	0
Cep120	115.222222	386	555	0	0	0	0	0	0	96	0
Bfar	115.222222	343	547	0	0	147	0	0	0	0	0
Sccpdh	115.111111	572	464	0	0	0	0	0	0	0	0
Bmp8a	115.111111	476	560	0	0	0	0	0	0	0	0
Trak1	115.000000	491	544	0	0	0	0	0	0	0	0
Hsp90ab1	115.000000	713	322	0	0	0	0	0	0	0	0
Gm12500	115.000000	572	463	0	0	0	0	0	0	0	0
Cep170b	115.000000	630	405	0	0	0	0	0	0	0	0
Cdk5rap2	115.000000	451	584	0	0	0	0	0	0	0	0
Ampd2	115.000000	572	463	0	0	0	0	0	0	0	0
Lancl2	114.888889	330	704	0	0	0	0	0	0	0	0
Gmps	114.888889	439	595	0	0	0	0	0	0	0	0
Efr3a	114.888889	416	618	0	0	0	0	0	0	0	0
Deptor	114.888889	531	503	0	0	0	0	0	0	0	0
Thoc3	114.777778	449	584	0	0	0	0	0	0	0	0
Ddx56	114.777778	372	517	0	0	0	0	0	144	0	0
Trp53i13	114.666667	674	358	0	0	0	0	0	0	0	0
Ilvbl	114.666667	374	535	0	0	123	0	0	0	0	0
Abhd15	114.666667	674	358	0	0	0	0	0	0	0	0
Vps4a	114.555556	667	364	0	0	0	0	0	0	0	0
Vbp1	114.555556	241	494	0	0	296	0	0	0	0	0
Rgcc	114.555556	664	367	0	0	0	0	0	0	0	0
Dgat1	114.555556	603	428	0	0	0	0	0	0	0	0
Vps37c	114.444444	520	510	0	0	0	0	0	0	0	0
Hexb	114.444444	483	547	0	0	0	0	0	0	0	0
Senp5	114.333333	420	609	0	0	0	0	0	0	0	0
Gm32856	114.333333	136	568	0	0	325	0	0	0	0	0
Cox6b1	114.333333	368	505	0	0	156	0	0	0	0	0
Timm17b	114.222222	356	545	0	0	127	0	0	0	0	0
Rnf215	114.222222	529	499	0	0	0	0	0	0	0	0
Pqbp1	114.222222	356	545	0	0	127	0	0	0	0	0
Dennd2c	114.222222	661	367	0	0	0	0	0	0	0	0
Plk1	114.111111	288	435	0	0	141	0	0	163	0	0
Eif3d	114.111111	559	468	0	0	0	0	0	0	0	0
Dcaf12	114.111111	478	549	0	0	0	0	0	0	0	0
Ube3a	114.000000	471	555	0	0	0	0	0	0	0	0
Qtrt1	114.000000	504	522	0	0	0	0	0	0	0	0
Mpdu1	114.000000	557	469	0	0	0	0	0	0	0	0
Fscn3	114.000000	570	456	0	0	0	0	0	0	0	0
Cybc1	114.000000	435	591	0	0	0	0	0	0	0	0
Cpt1c	114.000000	0	0	0	0	796	96	0	134	0	0
Utp25	113.888889	578	447	0	0	0	0	0	0	0	0
Smc5	113.888889	578	447	0	0	0	0	0	0	0	0
Rabggta	113.888889	443	428	0	0	154	0	0	0	0	0
Prkx	113.888889	630	395	0	0	0	0	0	0	0	0
Zfp944	113.777778	279	745	0	0	0	0	0	0	0	0
Zfp758	113.777778	279	745	0	0	0	0	0	0	0	0
Wdyhv1	113.777778	533	491	0	0	0	0	0	0	0	0
Ube2o	113.777778	503	521	0	0	0	0	0	0	0	0
Polr3e	113.777778	513	511	0	0	0	0	0	0	0	0
Pelo	113.777778	529	495	0	0	0	0	0	0	0	0
Hdgf	113.777778	512	512	0	0	0	0	0	0	0	0
Ccdc150	113.777778	387	473	0	0	164	0	0	0	0	0
Atp23	113.777778	568	456	0	0	0	0	0	0	0	0
Zfp703	113.666667	562	461	0	0	0	0	0	0	0	0
Nupr1l	113.666667	322	701	0	0	0	0	0	0	0	0
Polrmt	113.555556	518	504	0	0	0	0	0	0	0	0
Med10	113.555556	527	495	0	0	0	0	0	0	0	0
Dock6	113.555556	785	237	0	0	0	0	0	0	0	0
2310009B15Rik	113.555556	549	473	0	0	0	0	0	0	0	0
Trnau1ap	113.444444	595	426	0	0	0	0	0	0	0	0
Timm10b	113.444444	388	511	0	0	0	0	0	122	0	0
Ralbp1	113.444444	531	490	0	0	0	0	0	0	0	0
Haspin	113.444444	415	364	0	0	0	0	0	146	96	0
Arfip2	113.444444	388	511	0	0	0	0	0	122	0	0
Tmem45a	113.333333	0	112	0	264	644	0	0	0	0	0
Chd1l	113.333333	355	665	0	0	0	0	0	0	0	0
Ift88	113.111111	393	625	0	0	0	0	0	0	0	0
Sox4	113.000000	127	85	0	0	554	0	0	142	109	0
Reps1	113.000000	417	600	0	0	0	0	0	0	0	0
Parp16	113.000000	556	461	0	0	0	0	0	0	0	0
Rfc5	112.888889	412	604	0	0	0	0	0	0	0	0
Gtf2i	112.888889	448	568	0	0	0	0	0	0	0	0
Cask	112.888889	572	444	0	0	0	0	0	0	0	0
Slc25a23	112.777778	379	463	0	0	173	0	0	0	0	0
Klhl15	112.777778	547	468	0	0	0	0	0	0	0	0
Fam122c	112.777778	560	455	0	0	0	0	0	0	0	0
Fam122b	112.777778	560	455	0	0	0	0	0	0	0	0
Crb3	112.777778	379	463	0	0	173	0	0	0	0	0
Pygo2	112.666667	630	384	0	0	0	0	0	0	0	0
Garnl3	112.666667	597	417	0	0	0	0	0	0	0	0
Dcaf10	112.666667	404	610	0	0	0	0	0	0	0	0
Wrn	112.555556	581	432	0	0	0	0	0	0	0	0
Txndc9	112.555556	216	594	0	0	203	0	0	0	0	0
Purg	112.555556	581	432	0	0	0	0	0	0	0	0
Polr3b	112.555556	372	549	0	0	0	0	0	92	0	0
Eml5	112.555556	571	442	0	0	0	0	0	0	0	0
Eif5b	112.555556	216	594	0	0	203	0	0	0	0	0
Clcn4	112.555556	539	474	0	0	0	0	0	0	0	0
Ccne2	112.555556	495	518	0	0	0	0	0	0	0	0
Atad1	112.555556	464	549	0	0	0	0	0	0	0	0
Rnf8	112.444444	429	583	0	0	0	0	0	0	0	0
Polr3f	112.444444	260	527	0	0	225	0	0	0	0	0
Myo1c	112.444444	608	404	0	0	0	0	0	0	0	0
Map1lc3a	112.444444	424	493	0	0	0	0	0	95	0	0
Maats1	112.444444	445	567	0	0	0	0	0	0	0	0
Dzank1	112.444444	260	527	0	0	225	0	0	0	0	0
Cox17	112.444444	445	567	0	0	0	0	0	0	0	0
Cdip1	112.444444	391	621	0	0	0	0	0	0	0	0
Usp35	112.333333	638	373	0	0	0	0	0	0	0	0
Sgsm1	112.333333	0	387	0	0	453	0	0	171	0	0
Sec11c	112.333333	466	470	0	0	75	0	0	0	0	0
Ramac	112.333333	434	577	0	0	0	0	0	0	0	0
Kctd21	112.333333	638	373	0	0	0	0	0	0	0	0
B4galt5	112.333333	626	385	0	0	0	0	0	0	0	0
Sdhaf2	112.222222	539	471	0	0	0	0	0	0	0	0
Nf1	112.222222	442	568	0	0	0	0	0	0	0	0
Erlin1	112.222222	521	489	0	0	0	0	0	0	0	0
Cpsf7	112.222222	539	471	0	0	0	0	0	0	0	0
Cep162	112.222222	338	672	0	0	0	0	0	0	0	0
Zhx3	112.111111	523	486	0	0	0	0	0	0	0	0
Eif4ebp1	112.111111	576	433	0	0	0	0	0	0	0	0
Coa3	112.111111	109	280	0	0	482	0	0	138	0	0
Cntd1	112.111111	109	280	0	0	482	0	0	138	0	0
Bpnt2	112.111111	545	464	0	0	0	0	0	0	0	0
Traf3ip1	112.000000	590	418	0	0	0	0	0	0	0	0
Rora	112.000000	602	406	0	0	0	0	0	0	0	0
Gcc2	112.000000	520	488	0	0	0	0	0	0	0	0
Ywhaz	111.888889	582	425	0	0	0	0	0	0	0	0
Zscan29	111.777778	496	510	0	0	0	0	0	0	0	0
Htatsf1	111.777778	401	605	0	0	0	0	0	0	0	0
Zcchc9	111.666667	431	574	0	0	0	0	0	0	0	0
Thap4	111.666667	364	641	0	0	0	0	0	0	0	0
Slc41a3	111.666667	553	452	0	0	0	0	0	0	0	0
Lrwd1	111.666667	519	486	0	0	0	0	0	0	0	0
Cdkn2c	111.666667	623	382	0	0	0	0	0	0	0	0
Atg4b	111.666667	364	641	0	0	0	0	0	0	0	0
Alkbh4	111.666667	519	486	0	0	0	0	0	0	0	0
Ttc38	111.555556	383	514	0	0	107	0	0	0	0	0
Tmem50a	111.555556	529	475	0	0	0	0	0	0	0	0
