Target_genes	Spib|Average	SRX556710|WEHI-279	SRX556711|WEHI-279	STRING
Gm6551	202.500000	405	0	0
Laptm5	200.000000	273	127	0
Cdc37	200.000000	400	0	0
Arf2	200.000000	400	0	0
Rgs19	199.500000	268	131	0
Prorsd1	199.000000	398	0	0
Kynu	199.000000	288	110	0
Guca2b	199.000000	398	0	0
Cd40	198.500000	234	163	0
Pira1	197.500000	395	0	0
Padi6	197.500000	395	0	0
Ncald	197.500000	395	0	0
Slfn8	195.500000	391	0	0
Smpdl3b	195.000000	390	0	0
Tut4	194.500000	389	0	0
St3gal1	194.500000	389	0	0
Dido1	194.500000	389	0	0
A630001G21Rik	194.500000	277	112	0
Myo1g	192.500000	235	150	0
Zfp706	192.000000	297	87	0
Wnk1	190.500000	381	0	0
Wdr34	190.500000	158	223	0
Gnai2	190.500000	230	151	0
Zfp991	189.000000	166	212	0
Sp100	188.500000	377	0	0
Kdm2a	188.500000	377	0	0
Cyrib	188.500000	235	142	0
Hgh1	188.000000	250	126	0
Tctex1d4	187.500000	375	0	0
Btbd19	187.500000	375	0	0
Arpp19	187.500000	194	181	0
E2f1	187.000000	230	144	0
Nkain3	185.500000	303	68	0
Cyba	185.000000	257	113	0
Rwdd1	184.500000	202	167	0
Zfp119b	183.500000	204	163	0
Ebi3	183.500000	204	163	0
Agps	183.500000	239	128	0
Peli1	182.000000	364	0	0
Gm21119	182.000000	155	209	0
Vamp5	181.500000	363	0	0
Iqgap1	181.500000	363	0	0
Pacc1	181.000000	223	139	0
Mterf2	181.000000	218	144	0
F9	181.000000	362	0	0
Atad2b	180.500000	217	144	0
Trim50	180.000000	360	0	0
Pik3r6	179.000000	251	107	0
Erlin1	179.000000	358	0	0
Olfr314	178.500000	357	0	0
Rnf141	177.500000	355	0	0
Mgat1	177.000000	0	354	0
Snx30	176.500000	353	0	0
Pik3cg	176.500000	247	106	0
Arhgdib	176.500000	353	0	0
S100a6	175.500000	351	0	0
Mfsd12	175.500000	351	0	0
Foxn2	175.500000	351	0	0
Kif27	174.000000	348	0	0
Noc2l	173.500000	170	177	0
Mapk7	173.500000	347	0	0
Klhl17	173.500000	170	177	0
Pafah1b3	173.000000	346	0	0
Tomm5	172.500000	345	0	0
Fam168a	172.500000	218	127	0
Smim14	172.000000	344	0	0
Ccdc88b	171.500000	158	185	0
Antxr2	171.500000	238	105	0
Trmt112	171.000000	260	82	0
Slc15a3	171.000000	342	0	0
Prdx5	171.000000	260	82	0
Itsn2	170.500000	341	0	0
Dmpk	169.000000	205	133	0
Taar7a	168.500000	337	0	0
Taar6	168.500000	337	0	0
Clec4a3	168.000000	210	126	0
Traf3ip3	167.000000	155	179	0
Grk6	167.000000	334	0	0
Anln	167.000000	334	0	0
9530077C05Rik	167.000000	334	0	0
Xcr1	166.500000	230	103	0
Myo1c	165.000000	330	0	0
Alg8	165.000000	330	0	0
Gm7592	164.000000	205	123	0
Spop	163.500000	327	0	0
Rab24	163.500000	238	89	0
Prelid1	163.500000	238	89	0
Ago4	163.500000	199	128	0
Orai3	163.000000	134	192	0
Hus1b	163.000000	200	126	0
Exoc2	163.000000	200	126	0
Csf2ra	163.000000	326	0	0
Alox5ap	163.000000	326	0	0
Lpxn	162.000000	324	0	0
Lamp1	161.500000	323	0	0
Igip	161.000000	242	80	0
Naaa	160.500000	148	173	0
Bin2	160.500000	243	78	0
Ppfibp2	160.000000	159	161	0
Tada3	159.500000	211	108	0
Picalm	159.500000	319	0	0
Arpc4	159.500000	211	108	0
Phf11b	159.000000	318	0	0
Robo1	158.500000	168	149	0
Rmnd5b	158.500000	193	124	0
Tlr13	158.000000	316	0	0
Pde4b	158.000000	316	0	0
Xkr7	157.500000	315	0	0
Parp8	157.500000	315	0	0
Gad1	157.500000	315	0	0
Ptgr2	156.500000	186	127	0
Pik3cd	155.500000	201	110	0
Jph1	154.500000	309	0	0
Arl10	154.500000	188	121	0
Gid8	153.500000	307	0	0
Limd2	153.000000	153	153	0
Inpp5f	153.000000	178	128	0
Gusb	153.000000	306	0	0
Tbc1d1	152.500000	305	0	0
Nceh1	152.500000	208	97	0
3425401B19Rik	152.000000	304	0	0
Unc50	151.500000	303	0	0
Notch3	151.500000	159	144	0
Nmt1	151.500000	303	0	0
Ifi202b	151.500000	303	0	0
Coa5	151.500000	303	0	0
B430306N03Rik	151.500000	303	0	0
Ankle2	151.500000	303	0	0
4930467E23Rik	151.500000	155	148	0
Exoc7	150.500000	120	181	0
Dnaja2	149.500000	299	0	0
Dedd	149.500000	299	0	0
Slc17a4	149.000000	298	0	0
Nfkbid	148.500000	153	144	0
Hcst	148.500000	153	144	0
Tsen54	148.000000	200	96	0
Caskin2	148.000000	200	96	0
Synj1	147.500000	295	0	0
Atp9b	147.000000	149	145	0
Nsfl1c	146.500000	293	0	0
Slc2a5	146.000000	292	0	0
Psmb8	146.000000	162	130	0
Ms4a4c	146.000000	292	0	0
Clta	145.500000	169	122	0
Ankrd44	144.500000	289	0	0
Ywhag	143.500000	150	137	0
Atic	143.000000	103	183	0
C130026I21Rik	142.500000	285	0	0
Sart3	142.000000	284	0	0
Iscu	142.000000	284	0	0
Hexa	142.000000	284	0	0
Fam32a	141.000000	282	0	0
Cib3	141.000000	282	0	0
BC051019	141.000000	282	0	0
Ascl3	141.000000	282	0	0
H3c6	140.500000	179	102	0
Jtb	140.000000	192	88	0
Igtp	140.000000	160	120	0
