Target_genes	Mybl1|Average	SRX10052064|Testis	SRX1764251|Testis	SRX1764252|Testis	SRX244353|Testis	STRING
Emp3	666.250000	1999	0	262	404	0
Ccdc114	666.250000	1999	0	262	404	0
Uqcc1	665.500000	2440	0	0	222	0
Lypd10	665.500000	2182	0	123	357	0
Mroh4	664.000000	1529	165	258	704	0
Hyou1	662.500000	2254	0	0	396	0
Klhdc1	661.500000	2072	0	0	574	0
Ilf3	661.500000	1942	169	178	357	0
Top3a	661.000000	2334	0	192	118	0
Smcr8	661.000000	2334	0	192	118	0
Mt2	661.000000	2089	0	160	395	0
Henmt1	660.750000	2156	0	163	324	0
Hspa2	660.250000	1911	0	191	539	0
Gm16430	660.000000	2246	0	0	394	0
Gm16405	660.000000	2246	0	0	394	0
Adcy10	660.000000	2378	0	71	191	0
Kctd9	659.500000	2008	122	166	342	0
Cdca2	659.500000	2008	122	166	342	0
Sertad1	659.250000	2409	0	0	228	0
Cenpv	659.250000	2126	0	166	345	0
Top2a	658.000000	2028	0	153	451	0
Meioc	657.750000	2224	0	119	288	0
Prps1l1	657.500000	2334	0	86	210	0
Cfap47	656.750000	1883	109	158	477	0
Sox30	656.500000	2326	0	0	300	0
Rpp14	655.500000	2210	0	125	287	0
Htd2	655.500000	2210	0	125	287	0
Birc2	655.500000	1788	0	154	680	0
Upf3a	655.250000	2223	0	0	398	0
Abl1	654.750000	1971	0	234	414	0
Ncoa5	654.250000	1996	0	221	400	0
Ropn1l	654.000000	1952	0	146	518	0
Agtrap	653.500000	2005	0	0	609	0
Tpp2	653.250000	1789	0	265	559	0
Zbtb9	652.250000	1155	214	337	903	0
Msto1	652.250000	1961	0	118	530	0
Sycp3	651.750000	1701	0	180	726	0
Pcid2	650.000000	1096	0	273	1231	0
Cul4a	650.000000	1096	0	273	1231	0
Fbxo8	649.250000	1782	0	156	659	0
Cep44	649.250000	1782	0	156	659	0
4930519G04Rik	649.250000	1835	0	195	567	0
Zfp263	648.250000	1789	0	206	598	0
Gm7102	647.750000	1852	106	290	343	0
H2al1k	647.250000	2381	0	0	208	0
Rassf1	646.000000	1605	0	300	679	0
Rnf168	641.000000	2270	0	97	197	0
Dnph1	640.750000	2035	0	286	242	0
Faf2	638.500000	2191	0	214	149	0
Pld6	638.250000	1698	0	158	697	0
Rbm5	637.000000	2217	0	133	198	0
Hnrnph1	637.000000	2050	0	0	498	0
Ints13	636.750000	2243	0	0	304	0
Fgfr1op2	636.750000	2243	0	0	304	0
Tnp2	636.500000	1991	0	0	555	0
Socs1	636.500000	1991	0	0	555	0
Nfyc	634.500000	2230	0	0	308	0
Kifc1	632.750000	1791	0	178	562	0
Cfap161	632.500000	1885	0	0	645	0
Tcam1	632.250000	1647	0	262	620	0
Smarcd2	632.250000	1647	0	262	620	0
Pnrc1	631.750000	2235	0	0	292	0
Adam5	631.750000	2283	0	0	244	0
Rad54b	631.500000	1834	0	132	560	0
Cdan1	631.250000	2078	0	99	348	0
Psmc3	630.750000	2212	0	0	311	0
Lcmt2	630.750000	2032	0	132	359	0
Adal	630.750000	2032	0	132	359	0
Kri1	629.750000	1841	0	164	514	0
Cdkn2d	629.750000	1841	0	164	514	0
Traf2	629.250000	1283	177	188	869	0
Tkfc	629.000000	2049	0	140	327	0
Spesp1	629.000000	2141	0	0	375	0
Ddb1	629.000000	2049	0	140	327	0
Spata17	628.250000	1800	0	101	612	0
Gpatch2	628.250000	1800	0	101	612	0
Cenpf	628.250000	1600	0	242	671	0
Wee1	628.000000	1751	0	217	544	0
Ftmt	627.750000	1852	0	139	520	0
Srsf1	627.500000	1901	0	160	449	0
Rps9	627.500000	2170	0	0	340	0
Poli	626.750000	2213	0	0	294	0
Birc6	626.500000	2226	0	107	173	0
Scoc	626.250000	2017	0	0	488	0
Lsm6	626.250000	2094	0	111	300	0
Add3	625.250000	1864	0	241	396	0
Otud7a	624.000000	1617	0	0	879	0
Pigv	622.750000	1981	0	178	332	0
Thbs3	621.750000	2061	0	0	426	0
Mtx1	621.750000	2061	0	0	426	0
Mtfp1	621.500000	2205	0	126	155	0
Adam3	621.500000	1798	0	185	503	0
Ncaph	621.000000	2270	0	0	214	0
Tchp	619.000000	2200	0	0	276	0
Efcab14	618.500000	2172	0	0	302	0
Piga	617.750000	2003	0	145	323	0
Ube2n	617.000000	2056	0	0	412	0
Trim11	616.000000	2125	0	0	339	0
Rbm44	615.500000	2060	0	194	208	0
Wipi2	615.000000	1877	0	150	433	0
Srsf2	614.750000	1408	0	238	813	0
Mfsd11	614.750000	1408	0	238	813	0
Tpi1	614.250000	1948	0	203	306	0
B9d2	614.250000	1918	0	158	381	0
Usp1	614.000000	1245	196	217	798	0
Mt1	614.000000	1866	0	0	590	0
Cecr2	613.750000	1674	0	290	491	0
Ipo9	613.500000	2386	0	0	68	0
Ing5	611.750000	2203	0	0	244	0
Dtymk	611.750000	2203	0	0	244	0
Nsdhl	611.250000	2314	0	0	131	0
Cetn2	611.250000	2314	0	0	131	0
Pim1	610.500000	2177	0	0	265	0
Mospd3	610.500000	1647	198	169	428	0
Pcnt	609.750000	2011	0	144	284	0
Zfp1	609.500000	2270	0	0	168	0
Scpep1	609.500000	2184	0	90	164	0
Stard6	608.750000	2063	0	0	372	0
4930503L19Rik	608.750000	2063	0	0	372	0
Snrnp70	606.750000	2069	0	143	215	0
Osbpl1a	606.750000	2109	0	0	318	0
Nxf2	606.500000	2057	0	184	185	0
Cebpg	605.750000	1648	0	153	622	0
Stag3	605.250000	1903	0	136	382	0
Smc4	605.250000	1803	0	110	508	0
Ranbp3	605.250000	1973	0	0	448	0
Ift80	605.250000	1803	0	110	508	0
Gpc2	605.250000	1903	0	136	382	0
Repin1	604.500000	1988	0	0	430	0
Gm5111	604.500000	1988	0	0	430	0
Jmjd7	603.250000	2093	0	0	320	0
Tusc1	601.750000	2171	0	0	236	0
Ncoa4	601.250000	2136	0	0	269	0
Nr4a3	600.250000	1565	0	114	722	0
Skp2	600.000000	1983	0	0	417	0
Prame	600.000000	2206	0	0	194	0
Lmbrd2	600.000000	1983	0	0	417	0
Cep70	599.500000	1793	0	120	485	0
Tmem170	598.750000	1863	0	91	441	0
1810013L24Rik	598.250000	1897	0	0	496	0
Ints7	597.750000	1680	0	116	595	0
Dtl	597.750000	1680	0	116	595	0
H2al1m	597.500000	2250	0	0	140	0
Adad2	597.500000	1963	0	107	320	0
Zbtb22	597.000000	1697	0	222	469	0
Ythdf3	597.000000	2210	0	0	178	0
Tapbp	597.000000	1697	0	222	469	0
Hjurp	597.000000	1949	0	0	439	0
A730008H23Rik	597.000000	1949	0	0	439	0
Rad9a	596.750000	1966	0	145	276	0
Esyt2	596.250000	2110	0	0	275	0
Ppm1a	596.000000	1799	0	221	364	0
Pnisr	596.000000	1896	0	166	322	0
Dym	596.000000	2215	0	0	169	0
Rad18	595.000000	2029	0	120	231	0
Ypel1	594.750000	1081	105	163	1030	0
U2af2	594.750000	1927	0	109	343	0
Dctn4	594.750000	1993	0	0	386	0
Ccdc106	594.750000	1927	0	109	343	0
Pdhb	594.000000	1986	0	108	282	0
H2al3	593.500000	1729	0	250	395	0
Zswim3	593.000000	1864	0	215	293	0
Acot8	593.000000	1864	0	215	293	0
Tead2	592.750000	1963	0	0	408	0
Dkkl1	592.750000	1963	0	0	408	0
Ap1s2	592.000000	1991	0	0	377	0
Tbpl1	590.750000	1477	0	128	758	0
Tnrc6c	590.000000	1936	0	0	424	0
Fam181a	589.750000	1758	69	191	341	0
Slc25a38	589.500000	1945	0	132	281	0
Utp18	589.000000	1472	0	184	700	0
Slc7a5	589.000000	1544	0	252	560	0
Mbtd1	589.000000	1472	0	184	700	0
Tbl1xr1	588.500000	875	164	123	1192	0
Rmi2	588.000000	2220	0	0	132	0
Cap1	586.750000	2235	0	0	112	0
Stxbp6	586.500000	1437	0	172	737	0
Rbm39	584.000000	1746	0	127	463	0
Dnaaf2	583.750000	1810	0	211	314	0
Pdhx	583.500000	2116	0	0	218	0
Apip	583.500000	2116	0	0	218	0
Spty2d1	583.000000	1987	0	0	345	0
Enkd1	582.000000	2002	0	0	326	0
4933405L10Rik	582.000000	2002	0	0	326	0
Trmt10c	581.500000	1955	0	0	371	0
Phospho2	581.250000	2029	0	0	296	0
Ccdc173	581.250000	2029	0	0	296	0
Dars2	580.250000	2159	0	0	162	0
Mzt2	580.000000	2033	0	0	287	0
Flacc1	578.750000	2000	0	148	167	0
Mul1	578.500000	2112	0	0	202	0
Smpd5	577.250000	1410	79	217	603	0
Tbc1d31	576.250000	1452	0	292	561	0
Dennd5b	576.000000	1770	0	112	422	0
Prr7	575.500000	1813	0	122	367	0
Pcbp3	574.250000	1910	0	0	387	0
Gm9	574.250000	1929	0	0	368	0
Plekhg2	574.000000	2053	0	0	243	0
Hmgcr	573.250000	2111	0	0	182	0
Septin2	572.500000	1995	0	0	295	0
Mmachc	572.500000	1849	0	144	297	0
Hdlbp	572.500000	1995	0	0	295	0
Ccdc163	572.500000	1849	0	144	297	0
Tdrd7	572.000000	1667	0	0	621	0
Cand1	571.750000	1750	168	132	237	0
Necap1	571.250000	1847	0	0	438	0
Pspc1	570.750000	1934	0	0	349	0
Catsperb	570.500000	1998	0	0	284	0
Aprt	570.500000	2002	0	0	280	0
Stk38l	569.250000	2140	0	0	137	0
Ccnl2	569.250000	2179	0	0	98	0
Spsb3	567.500000	1705	111	129	325	0
Nubp2	567.500000	1705	111	129	325	0
Bod1	567.500000	1808	0	0	462	0
Bcap31	567.500000	2038	0	0	232	0
Abcd1	567.500000	2038	0	0	232	0
Hgh1	567.250000	1978	0	0	291	0
Nnt	566.750000	1500	0	164	603	0
Dipk1b	566.000000	1575	0	132	557	0
