Target_genes	E2f1|Average	SRX122390|Dendritic_Cells	SRX122391|Dendritic_Cells	SRX122392|Dendritic_Cells	SRX122393|Dendritic_Cells	SRX2897262|ES_cells	SRX2897263|ES_cells	SRX1334844|Hepatocytes	SRX1120752|MEF	SRX1120755|MEF	STRING
Pola2	86.222222	0	0	0	0	0	0	776	0	0	0
Oip5	86.222222	0	0	0	0	0	0	776	0	0	0
Nusap1	86.222222	0	0	0	0	0	0	776	0	0	0
Zfand6	86.111111	0	0	0	0	453	322	0	0	0	0
Smc3	86.111111	0	0	0	0	231	141	403	0	0	0
Pik3ap1	86.111111	0	0	0	0	0	0	775	0	0	0
Pcbd2	86.111111	0	0	0	0	519	256	0	0	0	0
Mfsd13b	86.000000	0	0	0	0	304	226	244	0	0	0
Cdr2	86.000000	0	0	0	0	304	226	244	0	0	0
Gabpb1	85.888889	0	0	0	0	499	274	0	0	0	0
Zbtb41	85.777778	0	0	0	0	413	359	0	0	0	0
Cdc42	85.777778	0	0	0	0	261	117	394	0	0	0
Rps6ka1	85.666667	0	0	0	0	522	249	0	0	0	0
Alms1	85.666667	0	0	0	0	0	0	771	0	0	0
Lats1	85.555556	0	0	0	0	447	323	0	0	0	0
H1f2	85.555556	0	0	0	0	375	180	215	0	0	0
Git2	85.555556	0	0	0	0	430	340	0	0	0	0
Foxp4	85.555556	0	0	0	0	384	386	0	0	0	0
Ankrd13a	85.555556	0	0	0	0	430	340	0	0	0	0
Slc16a10	85.444444	0	0	0	0	0	0	769	0	0	0
Brd3	85.444444	0	0	0	0	231	128	410	0	0	0
Ubqln2	85.333333	0	0	0	0	339	197	232	0	0	0
Tet2	85.333333	0	0	0	0	442	326	0	0	0	0
Tnks	85.111111	0	0	0	0	251	0	515	0	0	0
Rb1	85.111111	0	0	0	0	493	273	0	0	0	0
Pcgf5	85.111111	0	0	0	0	293	130	343	0	0	0
Calm1	85.111111	0	0	0	0	358	408	0	0	0	0
Thoc7	85.000000	0	0	0	0	352	197	216	0	0	0
Ppp1r12c	85.000000	0	0	0	0	490	108	167	0	0	0
Lmo4	85.000000	0	0	0	0	466	299	0	0	0	0
Tcte2	84.888889	0	0	0	0	532	232	0	0	0	0
Rbm17	84.888889	0	0	0	0	530	234	0	0	0	0
Qk	84.888889	0	0	0	0	424	340	0	0	0	0
Afdn	84.888889	0	0	0	0	532	232	0	0	0	0
Hmgb1	84.777778	0	0	0	0	457	306	0	0	0	0
Fasn	84.777778	0	0	0	0	432	206	125	0	0	0
Tpst2	84.666667	0	0	0	0	325	190	247	0	0	0
Nup43	84.666667	0	0	0	0	272	128	362	0	0	0
Phf21a	84.444444	0	0	0	0	526	234	0	0	0	0
Zbtb34	84.333333	0	0	0	0	502	257	0	0	0	0
Wdr43	84.333333	0	0	0	0	408	351	0	0	0	0
Ttf2	84.333333	0	0	0	0	0	0	575	184	0	0
Tada2b	84.333333	0	0	0	0	392	217	150	0	0	0
Lipt2	84.333333	0	0	0	0	283	172	304	0	0	0
D3Ertd751e	84.333333	0	0	0	0	297	290	172	0	0	0
Ccdc96	84.333333	0	0	0	0	392	217	150	0	0	0
Gm3435	84.222222	0	0	0	0	319	0	236	203	0	0
Cux2	84.222222	0	0	0	0	495	263	0	0	0	0
Amigo1	84.222222	0	0	0	0	238	0	520	0	0	0
Fam90a1b	84.111111	0	0	0	0	0	0	591	166	0	0
Apoo	84.111111	0	0	0	0	0	0	591	166	0	0
Tnks2	84.000000	0	0	0	0	510	246	0	0	0	0
Zbtb14	83.888889	0	0	0	0	502	253	0	0	0	0
Ppp1r27	83.888889	0	0	0	0	510	245	0	0	0	0
Pitpnb	83.888889	0	0	0	0	152	208	255	140	0	0
Mcrip1	83.888889	0	0	0	0	510	245	0	0	0	0
Sik3	83.777778	0	0	0	0	413	341	0	0	0	0
Zcchc14	83.666667	0	0	0	0	513	240	0	0	0	0
Pou2f1	83.666667	0	0	0	0	258	324	171	0	0	0
2700081O15Rik	83.666667	0	0	0	0	400	353	0	0	0	0
Carmil1	83.555556	0	0	0	0	367	385	0	0	0	0
Adrm1	83.555556	0	0	0	0	415	337	0	0	0	0
Xpo4	83.444444	0	0	0	0	429	322	0	0	0	0
Btbd8	83.333333	0	0	0	0	0	0	557	193	0	0
Atp13a3	83.333333	0	0	0	0	443	307	0	0	0	0
Vegfb	83.222222	0	0	0	0	365	234	150	0	0	0
Dnajc4	83.222222	0	0	0	0	365	234	150	0	0	0
Ttc7b	83.111111	0	0	0	0	223	92	433	0	0	0
Foxk2	83.111111	0	0	0	0	557	191	0	0	0	0
Zfp706	82.888889	0	0	0	0	462	284	0	0	0	0
Osbp	82.888889	0	0	0	0	497	249	0	0	0	0
Fem1c	82.777778	0	0	0	0	256	168	321	0	0	0
Elavl1	82.777778	0	0	0	0	514	231	0	0	0	0
Pten	82.666667	0	0	0	0	478	266	0	0	0	0
2310061I04Rik	82.666667	0	0	0	0	423	321	0	0	0	0
Kctd5	82.555556	0	0	0	0	377	230	136	0	0	0
Ttll9	82.444444	0	0	0	0	0	0	742	0	0	0
Ppp4r1	82.444444	0	0	0	0	534	208	0	0	0	0
Mcat	82.444444	0	0	0	0	516	226	0	0	0	0
Ctbp2	82.333333	0	0	0	0	484	257	0	0	0	0
Pum2	82.222222	0	0	0	0	469	271	0	0	0	0
Hnrnpa2b1	82.222222	0	0	0	0	356	212	172	0	0	0
Cdv3	82.222222	0	0	0	0	453	287	0	0	0	0
Cbx3	82.222222	0	0	0	0	356	212	172	0	0	0
BC005537	82.222222	0	0	0	0	317	121	302	0	0	0
Rab6a	82.111111	0	0	0	0	288	165	286	0	0	0
Zfp704	82.000000	0	0	0	0	424	314	0	0	0	0
Ncaph	82.000000	0	0	0	0	0	0	564	174	0	0
Cox16	82.000000	0	0	0	0	0	0	738	0	0	0
Btg3	82.000000	0	0	0	0	528	210	0	0	0	0
Wdhd1	81.888889	0	0	0	0	257	304	176	0	0	0
Tmem201	81.888889	0	0	0	0	320	176	241	0	0	0
Socs4	81.888889	0	0	0	0	257	304	176	0	0	0
Rrs1	81.888889	0	0	0	0	362	173	202	0	0	0
Brwd1	81.888889	0	0	0	0	495	242	0	0	0	0
Adhfe1	81.888889	0	0	0	0	362	173	202	0	0	0
Abhd17c	81.888889	0	0	0	0	379	199	159	0	0	0
Gsk3a	81.777778	0	0	0	0	472	264	0	0	0	0
Smad4	81.666667	0	0	0	0	339	245	151	0	0	0
Fermt2	81.666667	0	0	0	0	420	315	0	0	0	0
Dlg1	81.555556	0	0	0	0	484	250	0	0	0	0
Pfas	81.444444	0	0	0	0	0	0	595	138	0	0
Cdca8	81.444444	0	0	0	0	0	0	733	0	0	0
9930104L06Rik	81.444444	0	0	0	0	0	0	733	0	0	0
Upf1	81.333333	0	0	0	0	491	241	0	0	0	0
Slc35g1	81.333333	0	0	0	0	468	264	0	0	0	0
Arrdc3	81.333333	0	0	0	0	580	152	0	0	0	0
Ago2	81.333333	0	0	0	0	480	252	0	0	0	0
Zfp553	81.222222	0	0	0	0	389	342	0	0	0	0
Tmed2	81.111111	0	0	0	0	471	259	0	0	0	0
Cebpg	81.000000	0	0	0	0	322	190	217	0	0	0
Xrcc2	80.888889	0	0	0	0	0	0	728	0	0	0
Wiz	80.888889	0	0	0	0	483	245	0	0	0	0
Slc25a28	80.888889	0	0	0	0	319	253	156	0	0	0
Ccnj	80.888889	0	0	0	0	511	217	0	0	0	0
Uck2	80.777778	0	0	0	0	470	257	0	0	0	0
Tmem245	80.777778	0	0	0	0	274	302	151	0	0	0
Strn4	80.777778	0	0	0	0	423	304	0	0	0	0
Fkrp	80.777778	0	0	0	0	423	304	0	0	0	0
Atp11a	80.777778	0	0	0	0	495	232	0	0	0	0
Zranb1	80.666667	0	0	0	0	531	195	0	0	0	0
Znrf3	80.666667	0	0	0	0	457	269	0	0	0	0
Zfp407	80.666667	0	0	0	0	408	318	0	0	0	0
Mcm6	80.666667	0	0	0	0	0	0	726	0	0	0
Hnrnpf	80.666667	0	0	0	0	372	177	177	0	0	0
Spsb3	80.555556	0	0	0	0	0	0	725	0	0	0
Sh3rf1	80.555556	0	0	0	0	454	271	0	0	0	0
Nubp2	80.555556	0	0	0	0	0	0	725	0	0	0
Lrrc56	80.555556	0	0	0	0	480	245	0	0	0	0
Hras	80.555556	0	0	0	0	480	245	0	0	0	0
Zfp346	80.444444	0	0	0	0	362	362	0	0	0	0
Uimc1	80.444444	0	0	0	0	362	362	0	0	0	0
Prpf19	80.444444	0	0	0	0	0	0	724	0	0	0
Brd7	80.333333	0	0	0	0	431	292	0	0	0	0
2610507B11Rik	80.333333	0	0	0	0	464	259	0	0	0	0
Ier2	80.222222	0	0	0	0	0	0	722	0	0	0
Gng13	80.222222	0	0	0	0	325	397	0	0	0	0
Steap2	80.111111	0	0	0	0	391	330	0	0	0	0
Myo5a	80.111111	0	0	0	0	530	191	0	0	0	0
Atxn2l	80.111111	0	0	0	0	443	278	0	0	0	0
Dst	80.000000	0	0	0	0	482	238	0	0	0	0
