Target_genes	E2f1|Average	SRX122390|Dendritic_Cells	SRX122391|Dendritic_Cells	SRX122392|Dendritic_Cells	SRX122393|Dendritic_Cells	SRX2897262|ES_cells	SRX2897263|ES_cells	SRX1334844|Hepatocytes	SRX1120752|MEF	SRX1120755|MEF	STRING
Abcf2	80.000000	0	0	0	0	0	0	720	0	0	0
Zfp236	79.777778	0	0	0	0	498	220	0	0	0	0
Tcerg1	79.777778	0	0	0	0	256	0	462	0	0	0
Slc12a4	79.777778	0	0	0	0	492	226	0	0	0	0
Rnf157	79.777778	0	0	0	0	493	225	0	0	0	0
Mkrn2	79.777778	0	0	0	0	376	168	174	0	0	0
Mki67	79.777778	0	0	0	0	469	249	0	0	0	0
Fbxo48	79.777778	0	0	0	0	0	0	718	0	0	0
Ncoa7	79.666667	0	0	0	0	453	264	0	0	0	0
Ube2j1	79.555556	0	0	0	0	525	191	0	0	0	0
Ina	79.555556	0	0	0	0	525	191	0	0	0	0
Brf1	79.555556	0	0	0	0	418	298	0	0	0	0
Ap1ar	79.555556	0	0	0	0	341	234	141	0	0	0
Zfp609	79.444444	0	0	0	0	469	246	0	0	0	0
Pkn2	79.444444	0	0	0	0	450	265	0	0	0	0
Noxo1	79.333333	0	0	0	0	416	298	0	0	0	0
Gpbp1	79.333333	0	0	0	0	258	183	273	0	0	0
Gfer	79.333333	0	0	0	0	416	298	0	0	0	0
Ube2d2a	79.222222	0	0	0	0	449	264	0	0	0	0
Gpam	79.222222	0	0	0	0	505	208	0	0	0	0
Fam122c	79.222222	0	0	0	0	0	0	713	0	0	0
Fam122b	79.222222	0	0	0	0	0	0	713	0	0	0
Cdk9	79.222222	0	0	0	0	409	304	0	0	0	0
Zbtb38	79.111111	0	0	0	0	502	210	0	0	0	0
Rsrc2	79.111111	0	0	0	0	0	0	712	0	0	0
Kntc1	79.111111	0	0	0	0	0	0	712	0	0	0
Erf	79.111111	0	0	0	0	322	390	0	0	0	0
Arid3b	79.111111	0	0	0	0	0	0	712	0	0	0
