Target_genes	Irf5|Average	SRX10652558|CD4+_T_cells	SRX3380962|Dendritic_Cells	SRX3380963|Dendritic_Cells	SRX3380964|Dendritic_Cells	STRING
Akr1b3	124.250000	0	144	251	102	0
Smurf1	124.000000	0	194	166	136	0
Ppm1d	124.000000	0	144	165	187	0
Mtif3	124.000000	0	132	181	183	0
Eif3b	124.000000	0	154	129	213	0
Zfp866	123.750000	0	156	124	215	0
Serinc1	123.750000	0	110	152	233	0
Prdm4	123.750000	0	140	228	127	0
Cxcr2	123.750000	0	325	170	0	0
Anapc10	123.750000	0	147	121	227	0
Amdhd2	123.750000	0	250	245	0	0
Abce1	123.750000	0	147	121	227	0
Vmn2r3	123.500000	0	310	184	0	0
Uqcrq	123.500000	0	101	145	248	0
Tuba1c	123.500000	0	137	171	186	0
Sec11c	123.500000	0	277	217	0	0
Prdx6	123.500000	0	113	231	150	0
Per1	123.500000	0	264	230	0	0
Myg1	123.500000	0	213	188	93	0
H2ac6	123.500000	0	125	75	294	0
Efnb2	123.500000	0	144	158	192	0
Cr1l	123.500000	0	111	239	144	0
Tmco1	123.250000	0	134	89	270	0
Ticam1	123.250000	0	262	231	0	0
Stam	123.250000	0	104	174	215	0
Rpf1	123.250000	0	132	105	256	0
Rbm8a	123.250000	0	179	158	156	0
Primpol	123.250000	0	131	170	192	0
Ppid	123.250000	0	81	112	300	0
Erlec1	123.250000	0	125	144	224	0
Eaf2	123.250000	0	118	169	206	0
Dnph1	123.250000	0	222	145	126	0
Casp3	123.250000	0	131	170	192	0
Asb3	123.250000	0	125	144	224	0
4932438H23Rik	123.250000	0	121	140	232	0
Zfp955b	123.000000	0	119	182	191	0
Zfp738	123.000000	0	156	224	112	0
Szrd1	123.000000	0	223	182	87	0
Srp19	123.000000	0	125	134	233	0
Pum1	123.000000	0	230	175	87	0
Oaz1	123.000000	0	191	197	104	0
Ipo8	123.000000	0	144	146	202	0
Cd6	123.000000	0	214	278	0	0
Cavin4	123.000000	0	232	260	0	0
Zhx1	122.750000	0	143	168	180	0
Tnfsf9	122.750000	0	257	135	99	0
Sltm	122.750000	0	244	141	106	0
Rab4b	122.750000	0	164	86	241	0
Pbdc1	122.750000	0	110	242	139	0
Otud4	122.750000	0	0	91	400	0
Micu1	122.750000	0	152	168	171	0
Mia	122.750000	0	164	86	241	0
Hps6	122.750000	0	211	141	139	0
H1f4	122.750000	0	133	0	358	0
Galnt1	122.750000	0	118	185	188	0
Cmpk1	122.750000	0	116	236	139	0
Cdk14	122.750000	0	93	112	286	0
Armh3	122.750000	0	211	141	139	0
Ubl5	122.500000	0	240	186	64	0
Tmprss13	122.500000	0	237	253	0	0
Rpl30	122.500000	0	85	111	294	0
Il15ra	122.500000	0	117	184	189	0
H4c17	122.500000	0	99	97	294	0
Fxr2	122.500000	0	157	180	153	0
Fbxl12	122.500000	0	240	186	64	0
Dpp8	122.500000	0	164	148	178	0
Ccz1	122.500000	0	103	130	257	0
Arfip1	122.500000	0	113	83	294	0
Strn4	122.250000	0	250	239	0	0
Sipa1	122.250000	0	188	179	122	0
Sh3bp5	122.250000	0	134	194	161	0
Nme1	122.250000	0	132	159	198	0
Mtpap	122.250000	0	103	144	242	0
Man1c1	122.250000	0	224	146	119	0
Fkrp	122.250000	0	250	239	0	0
Rbm12b2	122.000000	0	103	175	210	0
Neto2	122.000000	0	129	173	186	0
Hnrnpa3	122.000000	0	168	164	156	0
Fosl1	122.000000	0	204	177	107	0
Slc35g3	121.750000	0	261	226	0	0
Sigmar1	121.750000	0	157	147	183	0
Rasd1	121.750000	0	200	287	0	0
Psmg3	121.750000	0	133	198	156	0
Polr2a	121.750000	0	261	226	0	0
Nt5dc3	121.750000	0	205	182	100	0
Mbd4	121.750000	0	177	310	0	0
Kif15	121.750000	0	121	128	238	0
Kdm2b	121.750000	0	341	146	0	0
Ift122	121.750000	0	177	310	0	0
Havcr1	121.750000	0	246	241	0	0
Dll1	121.750000	0	133	170	184	0
Cutc	121.750000	0	123	113	251	0
Cox15	121.750000	0	123	113	251	0
Chrac1	121.750000	0	108	154	225	0
Chd7	121.750000	0	283	204	0	0
2700062C07Rik	121.750000	0	107	254	126	0
1110059G10Rik	121.750000	0	121	128	238	0
Zfp523	121.500000	0	156	175	155	0
Rsbn1	121.500000	0	145	205	136	0
Nuggc	121.500000	0	278	208	0	0
Mier1	121.500000	0	167	192	127	0
Cox16	121.500000	0	135	128	223	0
Cdk9	121.500000	0	235	251	0	0
Acin1	121.500000	0	127	157	202	0
Tmem154	121.250000	0	203	117	165	0
Snn	121.250000	0	140	268	77	0
Ppil3	121.250000	0	203	160	122	0
Nif3l1	121.250000	0	203	160	122	0
Nars2	121.250000	0	165	114	206	0
Ifi214	121.250000	0	221	264	0	0
Fbxl5	121.250000	0	229	256	0	0
Dnajb12	121.250000	0	135	95	255	0
Csnk1d	121.250000	0	154	159	172	0
Cdkn2b	121.250000	0	127	212	146	0
Catsperg1	121.250000	0	260	225	0	0
Baz2b	121.250000	0	142	180	163	0
Tedc2	121.000000	0	137	140	207	0
Rundc1	121.000000	0	151	243	90	0
Ptges3l	121.000000	0	151	243	90	0
Mettl18	121.000000	0	109	130	245	0
Jak1	121.000000	0	131	229	124	0
H3c7	121.000000	0	0	147	337	0
H2bc9	121.000000	0	0	147	337	0
Chfr	121.000000	0	153	115	216	0
BC055324	121.000000	0	109	130	245	0
Timm10b	120.750000	0	222	160	101	0
Smpdl3b	120.750000	0	197	138	148	0
Skp1	120.750000	0	131	178	174	0
Pvalb	120.750000	0	244	239	0	0
Npr3	120.750000	0	150	144	189	0
Mfsd2a	120.750000	0	154	180	149	0
Lgals8	120.750000	0	138	222	123	0
Fbxl14	120.750000	0	231	252	0	0
Csrp1	120.750000	0	145	135	203	0
Arfip2	120.750000	0	222	160	101	0
Cxcr4	120.500000	0	154	220	108	414
Zfp386	120.500000	0	200	126	156	0
Zc3h8	120.500000	0	109	177	196	0
Ubn2	120.500000	0	190	175	117	0
Tmem109	120.500000	0	124	230	128	0
Specc1	120.500000	0	228	254	0	0
Lgals3	120.500000	0	272	210	0	0
Eif1ad	120.500000	0	0	190	292	0
Banf1	120.500000	0	0	190	292	0
Zfp707	120.250000	0	136	87	258	0
Zbtb44	120.250000	0	130	174	177	0
St3gal2	120.250000	0	145	180	156	0
Rhbdd1	120.250000	0	0	166	315	0
Mrpl4	120.250000	0	116	154	211	0
Lyrm4	120.250000	0	112	179	190	0
Lrrc20	120.250000	0	108	83	290	0
Ipo11	120.250000	0	128	148	205	0
Fars2	120.250000	0	112	179	190	0
Clint1	120.250000	0	191	290	0	0
Zbed4	120.000000	0	165	127	188	0
Srsf4	120.000000	0	106	131	243	0
Rnaseh2a	120.000000	0	123	119	238	0
Prdx2	120.000000	0	123	119	238	0
Gxylt1	120.000000	0	110	216	154	0
Aptx	120.000000	0	221	176	83	0
Wfs1	119.750000	0	0	175	304	0
Utp25	119.750000	0	113	112	254	0
Twistnb	119.750000	0	114	0	365	0
Rnf183	119.750000	0	270	209	0	0
Coq8a	119.750000	0	137	256	86	0
Alg14	119.750000	0	163	197	119	0
Zfp953	119.500000	0	92	185	201	0
Xpo6	119.500000	0	116	165	197	0
Vamp1	119.500000	0	189	153	136	0
Ubxn1	119.500000	0	89	151	238	0
Tbc1d13	119.500000	0	148	214	116	0
Msh5	119.500000	0	179	189	110	0
Golph3	119.500000	0	181	161	136	0
Glipr2	119.500000	0	220	258	0	0
Etfrf1	119.500000	0	104	85	289	0
Comt	119.500000	0	269	209	0	0
Clic1	119.500000	0	179	189	110	0
Casc1	119.500000	0	104	85	289	0
4932438A13Rik	119.500000	0	211	267	0	0
Vps36	119.250000	0	137	193	147	0
Ubqln1	119.250000	0	165	173	139	0
Lonp1	119.250000	0	139	230	108	0
Insig1	119.250000	0	128	168	181	0
Gm4981	119.250000	0	149	177	151	0
Dlgap4	119.250000	0	199	278	0	0
Ctdsp2	119.250000	0	292	185	0	0
Creb5	119.250000	0	236	241	0	0
Catsperd	119.250000	0	139	230	108	0
Bag6	119.250000	0	203	135	139	0
Zfp296	119.000000	0	216	169	91	0
Rbm48	119.000000	0	112	163	201	0
Rac1	119.000000	0	152	324	0	0
Pex1	119.000000	0	112	163	201	0
Npat	119.000000	0	186	290	0	0
Mars1	119.000000	0	116	156	204	0
Ints1	119.000000	0	185	155	136	0
Gemin7	119.000000	0	216	169	91	0
Fam161b	119.000000	0	153	163	160	0
Coq6	119.000000	0	153	163	160	0
Col4a2	119.000000	0	113	166	197	0
Col4a1	119.000000	0	113	166	197	0
Atm	119.000000	0	186	290	0	0
Arpc5l	119.000000	0	256	220	0	0
Zbtb43	118.750000	0	141	122	212	0
Upf3a	118.750000	0	111	0	364	0
Unk	118.750000	0	91	215	169	0
Unc119	118.750000	0	222	253	0	0
Tut4	118.750000	0	243	232	0	0
Slc6a6	118.750000	114	145	104	112	0
She	118.750000	0	206	171	98	0
Pitpna	118.750000	0	181	294	0	0
Lrrc45	118.750000	0	175	163	137	0
Cenpx	118.750000	0	175	163	137	0
Btbd7	118.750000	0	96	157	222	0
Zkscan8	118.500000	0	0	0	474	0
Tmem140	118.500000	0	198	179	97	0
Sirt6	118.500000	0	219	146	109	0
Mrps35	118.500000	0	103	0	371	0
Mff	118.500000	0	111	103	260	0
Mcemp1	118.500000	0	179	295	0	0
Map7	118.500000	0	232	242	0	0
Ankrd24	118.500000	0	219	146	109	0
Zfp622	118.250000	0	122	217	134	0
Vps4a	118.250000	0	121	229	123	0
Snrnp70	118.250000	0	102	119	252	0
Rab11b	118.250000	0	158	219	96	0
Oard1	118.250000	0	147	181	145	0
Ndufv1	118.250000	0	0	229	244	0
Klra2	118.250000	0	288	185	0	0
Klhl25	118.250000	0	133	191	149	0
Hspa5	118.250000	0	144	100	229	0
Tmem9b	118.000000	0	160	120	192	0
Tatdn3	118.000000	0	101	129	242	0
Srrm1	118.000000	0	160	223	89	0
Pole2	118.000000	0	140	131	201	0
Nsl1	118.000000	0	101	129	242	0
Mvp	118.000000	0	169	192	111	0
Mrps9	118.000000	0	160	118	194	0
Mettl6	118.000000	0	118	137	217	0
Eaf1	118.000000	0	118	137	217	0
Zcchc4	117.750000	0	89	87	295	0
Taf11	117.750000	0	201	270	0	0
H2bc18	117.750000	0	0	77	394	0
Casp1	117.750000	0	206	265	0	0
Anks1	117.750000	0	201	270	0	0
Vps33b	117.500000	0	98	262	110	0
Uckl1	117.500000	0	114	146	210	0
Tulp4	117.500000	0	157	146	167	0
Sptbn5	117.500000	0	222	248	0	0
Spef2	117.500000	0	209	145	116	0
Slc35a1	117.500000	0	125	121	224	0
Pdcd2l	117.500000	0	174	150	146	0
Ndufb6	117.500000	0	196	136	138	0
Dlst	117.500000	0	101	111	258	0
Cenpi	117.500000	0	241	229	0	0
Cacybp	117.500000	0	113	162	195	0
Bmp2	117.500000	0	287	183	0	0
Bex6	117.500000	0	254	216	0	0
Acadm	117.500000	0	181	0	289	0
Vps45	117.250000	0	139	98	232	0
Sec14l2	117.250000	0	256	213	0	0
Rps23	117.250000	0	0	119	350	0
Efcab9	117.250000	0	0	469	0	0
Clasp2	117.250000	0	239	230	0	0
Cetn3	117.250000	0	115	116	238	0
Atg10	117.250000	0	119	145	205	0
Apc2	117.250000	0	156	183	130	0
Abhd18	117.250000	0	0	181	288	0
Sumo1	117.000000	0	103	170	195	0
Spz1	117.000000	0	246	222	0	0
Spred1	117.000000	0	89	189	190	0
Selenos	117.000000	0	125	145	198	0
Ptprv	117.000000	0	181	147	140	0
Ptpn7	117.000000	0	181	147	140	0
Mrpl52	117.000000	0	153	134	181	0
Lgals9	117.000000	0	148	225	95	0
L2hgdh	117.000000	0	148	172	148	0
Ifitm1	117.000000	0	266	202	0	0
Fam98c	117.000000	0	206	155	107	0
Etfdh	117.000000	0	86	178	204	0
Esyt2	117.000000	0	138	196	134	0
Dmac2l	117.000000	0	148	172	148	0
Clptm1	117.000000	0	219	249	0	0
Bzw1	117.000000	0	0	140	328	0
Arl5a	117.000000	0	234	234	0	0
4930579G24Rik	117.000000	0	86	178	204	0
Zfp830	116.750000	185	0	177	105	0
Wdr92	116.750000	0	133	140	194	0
Tsc22d2	116.750000	0	228	80	159	0
Timm23	116.750000	0	151	146	170	0
Sdad1	116.750000	0	203	264	0	0
Pno1	116.750000	0	133	140	194	0
Parg	116.750000	0	151	146	170	0
Mga	116.750000	0	125	218	124	0
Cct6b	116.750000	185	0	177	105	0
Casp4	116.750000	0	268	199	0	0
Appbp2	116.750000	0	139	169	159	0
Wdr77	116.500000	0	137	136	193	0
Ppp1cb	116.500000	0	122	170	174	0
Clec4d	116.500000	0	267	199	0	0
Chd1l	116.500000	0	145	125	196	0
Atp5pb	116.500000	0	137	136	193	0
Zfp775	116.250000	0	206	159	100	0
Zfp566	116.250000	0	135	161	169	0
Zfp260	116.250000	0	135	161	169	0
Stx16	116.250000	0	142	102	221	0
Rnf122	116.250000	0	112	153	200	0
Rc3h1	116.250000	0	138	93	234	0
Il5ra	116.250000	0	223	242	0	0
Dnajb2	116.250000	0	0	302	163	0
Csf1	116.250000	0	146	140	179	0
Tcf24	116.000000	0	133	138	193	0
Nxf1	116.000000	0	0	232	232	0
Mrpl21	116.000000	0	133	175	156	0
Mkrn1	116.000000	0	241	223	0	0
Mis12	116.000000	0	80	150	234	0
Malt1	116.000000	0	133	139	192	0
Lad1	116.000000	0	188	276	0	0
Ighmbp2	116.000000	0	133	175	156	0
Gorab	116.000000	0	0	216	248	0
Dis3l2	116.000000	0	96	149	219	0
Derl2	116.000000	0	80	150	234	0
Cep20	116.000000	0	159	212	93	0
Acap1	116.000000	0	212	166	86	0
Tom1	115.750000	0	143	142	178	0
Slc44a5	115.750000	0	215	248	0	0
Rexo5	115.750000	0	156	136	171	0
Mthfsd	115.750000	0	99	140	224	0
Mfsd8	115.750000	0	0	259	204	0
H4f16	115.750000	0	222	122	119	0
H2aj	115.750000	0	222	122	119	0
Fbxo33	115.750000	0	104	120	239	0
Faf2	115.750000	0	97	200	166	0
Eri2	115.750000	0	156	136	171	0
Ccdc88b	115.750000	0	212	251	0	0
Zfp97	115.500000	0	175	171	116	0
Tnfrsf13b	115.500000	0	0	462	0	0
Smim12	115.500000	0	148	87	227	0
Rhot1	115.500000	0	0	94	368	0
Rab3a	115.500000	0	298	164	0	0
Qdpr	115.500000	0	95	178	189	0
Man1b1	115.500000	0	132	133	197	0
Ctdp1	115.500000	0	167	154	141	0
Crebzf	115.500000	0	103	165	194	0
Clrn2	115.500000	0	95	178	189	0
Zfp458	115.250000	0	96	172	193	0
Tspan4	115.250000	0	166	130	165	0
Sgo1	115.250000	0	116	181	164	0
Sema4a	115.250000	0	143	318	0	0
Kif14	115.250000	0	109	90	262	0
E2f5	115.250000	0	133	131	197	0
Brpf3	115.250000	0	180	191	90	0
Zkscan6	115.000000	0	110	117	233	0
Txn1	115.000000	0	171	173	116	0
Smc2	115.000000	0	197	124	139	0
Rbm4b	115.000000	0	137	169	154	0
Olfr414	115.000000	0	250	210	0	0
Gdpd5	115.000000	0	237	223	0	0
Cx3cl1	115.000000	0	170	290	0	0
Calm4	115.000000	0	307	153	0	0
Tbca	114.750000	0	108	189	162	0
Smarcal1	114.750000	0	133	142	184	0
Mrfap1	114.750000	0	113	139	207	0
Lactb	114.750000	0	151	174	134	0
Hes3	114.750000	0	202	155	102	0
Haspin	114.750000	0	115	197	147	0
Elp1	114.750000	0	110	113	236	0
Abitram	114.750000	0	110	113	236	0
Zfp874b	114.500000	0	162	176	120	0
Tbrg1	114.500000	0	114	137	207	0
Oxa1l	114.500000	0	143	134	181	0
Nsun4	114.500000	0	169	184	105	0
Ncoa4	114.500000	0	176	159	123	0
Lrriq3	114.500000	0	127	168	163	0
Grk5	114.500000	0	0	183	275	0
Fpgt	114.500000	0	127	168	163	0
Cntnap5c	114.500000	0	246	212	0	0
Celf5	114.500000	0	250	208	0	0
Arap3	114.500000	0	302	156	0	0
Sh3pxd2b	114.250000	0	234	223	0	0
Pdcd6	114.250000	0	65	114	278	0
Ncoa2	114.250000	0	118	149	190	0
Hsd17b12	114.250000	0	147	150	160	0
Gm51425	114.250000	0	155	83	219	0
Fam111a	114.250000	0	166	182	109	0
Cdkn2a	114.250000	0	85	157	215	0
Zw10	114.000000	0	96	195	165	0
Whamm	114.000000	0	165	150	141	0
Tbl3	114.000000	0	141	101	214	0
Tango6	114.000000	0	114	140	202	0
St6galnac6	114.000000	0	142	314	0	0
Napg	114.000000	0	148	151	157	0
Cd2ap	114.000000	0	124	119	213	0
Zfp383	113.750000	0	113	217	125	0
Zfp27	113.750000	0	113	217	125	0
Serpinb13	113.750000	0	246	209	0	0
Rwdd1	113.750000	0	111	165	179	0
Ptges3	113.750000	0	82	82	291	0
Dhx34	113.750000	0	138	162	155	0
Cox7c	113.750000	0	138	98	219	0
Alms1	113.750000	0	164	178	113	0
Actn1	113.750000	0	93	215	147	0
Vapa	113.500000	0	177	110	167	0
Usp16	113.500000	0	85	197	172	0
Twsg1	113.500000	0	113	134	207	0
Mfap3	113.500000	0	187	160	107	0
Foxr1	113.500000	0	119	229	106	0
Fam114a2	113.500000	0	187	160	107	0
Ube2k	113.250000	0	98	167	188	0
Tnip2	113.250000	0	196	131	126	0
Sharpin	113.250000	0	87	161	205	0
Selenof	113.250000	0	99	140	214	0
Sarnp	113.250000	0	83	205	165	0
Pus10	113.250000	0	106	146	201	0
Pira7	113.250000	0	174	279	0	0
Pira4	113.250000	0	174	279	0	0
Pira11	113.250000	0	174	279	0	0
P4ha1	113.250000	0	95	169	189	0
Ormdl2	113.250000	0	83	205	165	0
Meis1	113.250000	0	131	207	115	0
Maf1	113.250000	0	87	161	205	0
Hs2st1	113.250000	0	99	140	214	0
Gm35339	113.250000	0	87	161	205	0
Gm14548	113.250000	0	174	279	0	0
Dpagt1	113.250000	0	262	191	0	0
Cdc42ep4	113.250000	0	197	136	120	0
Anapc7	113.250000	0	0	157	296	0
Zfp369	113.000000	0	98	221	133	0
Tpt1	113.000000	0	153	153	146	0
Slbp	113.000000	0	97	132	223	0
Ptgr2	113.000000	0	144	211	97	0
Psmc2	113.000000	0	90	138	224	0
Prkce	113.000000	0	0	203	249	0
Hnrnpr	113.000000	0	151	138	163	0
Gm12250	113.000000	0	201	251	0	0
Fam185a	113.000000	0	126	142	184	0
Dnajc2	113.000000	0	90	138	224	0
Dars2	113.000000	0	90	198	164	0
Ccdc146	113.000000	0	126	142	184	0
Bicd2	113.000000	0	143	153	156	0
Ugdh	112.750000	0	202	115	134	0
Tmem225	112.750000	0	268	183	0	0
Tmem129	112.750000	0	131	160	160	0
Tacc3	112.750000	0	131	160	160	0
Slc36a1	112.750000	0	196	140	115	0
Rufy1	112.750000	0	142	209	100	0
Papola	112.750000	0	119	191	141	0
Lzts2	112.750000	0	234	217	0	0
Heatr4	112.750000	0	97	153	201	0
Gemin6	112.750000	0	135	177	139	0
App	112.750000	0	137	148	166	0
Ap5s1	112.750000	0	125	172	154	0
Acot2	112.750000	0	97	153	201	0
Zfp609	112.500000	0	183	113	154	0
Zfp110	112.500000	0	162	198	90	0
Smg1	112.500000	0	117	171	162	0
Mib2	112.500000	0	163	186	101	0
Kazald1	112.500000	0	125	199	126	0
Ildr1	112.500000	0	215	235	0	0
Ep300	112.500000	0	91	135	224	0
Dcakd	112.500000	0	103	129	218	0
Tcf25	112.250000	0	107	138	204	0
Slc6a16	112.250000	0	253	196	0	0
Rbbp7	112.250000	0	262	187	0	0
Rab33b	112.250000	0	95	0	354	0
Proser2	112.250000	0	164	160	125	0
Nmnat3	112.250000	0	110	121	218	0
Cd37	112.250000	0	253	196	0	0
Bcas2	112.250000	0	142	94	213	0
Zc3h11a	112.000000	0	98	178	172	0
Zbed6	112.000000	0	98	178	172	0
Thoc1	112.000000	0	133	100	215	0
Rhebl1	112.000000	0	144	152	152	0
Inafm2	112.000000	0	181	190	77	0
Ggt7	112.000000	184	0	105	159	0
Fbrsl1	112.000000	0	256	192	0	0
Ctsz	112.000000	0	243	205	0	0
Acss2	112.000000	184	0	105	159	0
Stat6	111.750000	0	137	206	104	0
Rbms2	111.750000	0	151	296	0	0
Pbrm1	111.750000	0	153	128	166	0
Nphp3	111.750000	0	140	0	307	0
Usp12	111.500000	0	189	257	0	0
Tomm20	111.500000	0	0	149	297	0
Tmtc4	111.500000	0	212	234	0	0
Stt3a	111.500000	0	178	158	110	0
Septin7	111.500000	0	225	79	142	0
Rbm14	111.500000	0	102	144	200	0
Ramp1	111.500000	0	281	165	0	0
Nckap5	111.500000	0	203	243	0	0
Lysmd3	111.500000	0	190	139	117	0
Lsm2	111.500000	0	105	113	228	0
Lifr	111.500000	0	133	172	141	0
Klrg2	111.500000	0	174	110	162	0
Insl6	111.500000	0	157	289	0	0
Gm21992	111.500000	0	102	144	200	0
Dnajc21	111.500000	0	179	140	127	0
B4galt2	111.500000	0	185	163	98	0
Atp6v0b	111.500000	0	185	163	98	0
Timm17a	111.250000	0	128	164	153	0
Tada3	111.250000	0	0	286	159	0
T2	111.250000	0	108	215	122	0
Rrp9	111.250000	0	220	225	0	0
Pcid2	111.250000	0	76	154	215	0
Parp3	111.250000	0	220	225	0	0
Parn	111.250000	0	100	145	200	0
Mtres1	111.250000	0	129	154	162	0
Map4	111.250000	0	231	214	0	0
Hibch	111.250000	0	214	231	0	0
Gramd1a	111.250000	0	258	96	91	0
Dusp3	111.250000	0	166	118	161	0
Cul4a	111.250000	0	76	154	215	0
Cfap97d1	111.250000	0	166	118	161	0
Ccnt1	111.250000	0	151	117	177	0
Bfar	111.250000	0	100	145	200	0
Arpc4	111.250000	0	0	286	159	0
Acsl4	111.250000	0	328	117	0	0
4930415O20Rik	111.250000	0	151	117	177	0
Tmem185b	111.000000	0	148	0	296	0
Nuak2	111.000000	0	137	100	207	0
Mast3	111.000000	0	152	111	181	0
Lbhd1	111.000000	0	165	128	151	0
Fam167b	111.000000	0	227	217	0	0
Edc4	111.000000	0	111	168	165	0
1110032A03Rik	111.000000	0	237	207	0	0
Scyl3	110.750000	0	92	149	202	0
Rpl29	110.750000	205	86	0	152	0
Nck1	110.750000	0	197	0	246	0
Gimap6	110.750000	0	268	175	0	0
Atg9b	110.750000	0	121	179	143	0
Atf2	110.750000	0	144	145	154	0
Adpgk	110.750000	0	149	114	180	0
Ttc37	110.500000	0	172	162	108	0
Tep1	110.500000	0	265	0	177	0
Pura	110.500000	0	110	144	188	0
Pak1ip1	110.500000	0	85	147	210	0
Olfr1418	110.500000	0	170	272	0	0
Micu2	110.500000	0	133	129	180	0
Map3k4	110.500000	0	126	190	126	0
Gm11545	110.500000	0	198	244	0	0
Glul	110.500000	0	125	90	227	0
Eif3h	110.500000	116	0	177	149	0
Depdc1a	110.500000	0	130	117	195	0
Cmtr1	110.500000	0	130	0	312	0
Cacfd1	110.500000	0	0	0	442	0
Arsk	110.500000	0	172	162	108	0
Arrb2	110.500000	0	290	152	0	0
Ttc9c	110.250000	0	131	188	122	0
Tpk1	110.250000	0	128	131	182	0
Stt3b	110.250000	0	188	138	115	0
Rnps1	110.250000	0	159	155	127	0
Nudt19	110.250000	0	134	153	154	0
Lztr1	110.250000	0	143	140	158	0
Kif13a	110.250000	0	141	129	171	0
Hnrnpul2	110.250000	0	131	188	122	0
Ecsit	110.250000	0	189	171	81	0
Cmc2	110.250000	0	69	118	254	0
Cfap43	110.250000	0	186	255	0	0
Cenpn	110.250000	0	69	118	254	0
Abca7	110.250000	0	200	241	0	0
Plk1	110.000000	0	147	138	155	0
Fam241a	110.000000	0	183	257	0	0
Cisd2	110.000000	0	195	245	0	0
Camsap2	110.000000	0	173	162	105	0
Wdr12	109.750000	0	167	107	165	0
Umad1	109.750000	0	106	126	207	0
Rpa3	109.750000	0	106	126	207	0
Ppil4	109.750000	0	149	113	177	0
Hspa2	109.750000	0	182	257	0	0
Gmnn	109.750000	0	0	153	286	0
Carf	109.750000	0	167	107	165	0
4933402N22Rik	109.750000	0	251	188	0	0
Vdac1	109.500000	0	125	156	157	0
Stac	109.500000	0	249	189	0	0
Map2k4	109.500000	0	227	211	0	0
Hspa9	109.500000	0	92	144	202	0
Gpr65	109.500000	0	194	244	0	0
Carhsp1	109.500000	0	112	172	154	0
Tmem222	109.250000	254	0	0	183	0
Thap7	109.250000	0	195	135	107	0
Snrpe	109.250000	0	122	0	315	0
Sec63	109.250000	0	126	188	123	0
Pkm	109.250000	0	244	193	0	0
Ms4a6d	109.250000	0	319	118	0	0
Gm12185	109.250000	0	230	207	0	0
Cdk10	109.250000	0	120	179	138	0
Atg2a	109.250000	0	110	133	194	0
Rock2	109.000000	0	174	0	262	0
Rbm39	109.000000	0	151	148	137	0
Ptpn4	109.000000	0	86	123	227	0
Mvd	109.000000	0	117	209	110	0
Mrtfa	109.000000	0	139	208	89	0
Gtf2b	109.000000	0	109	102	225	0
Edem3	109.000000	0	180	118	138	0
Dennd6a	109.000000	0	126	187	123	0
Arid1a	109.000000	0	113	108	215	0
Tsen15	108.750000	0	0	92	343	0
Trim41	108.750000	163	0	102	170	0
Tmem131	108.750000	0	178	134	123	0
Tinf2	108.750000	0	171	148	116	0
Tbrg4	108.750000	0	147	78	210	0
Stx18	108.750000	0	123	109	203	0
Rbm27	108.750000	0	156	155	124	0
Racgap1	108.750000	0	149	182	104	0
Plec	108.750000	0	136	138	161	0
Pkig	108.750000	0	153	282	0	0
Nutf2	108.750000	0	101	226	108	0
Heatr6	108.750000	0	110	93	232	0
Gpat4	108.750000	0	108	78	249	0
Fam71e1	108.750000	160	0	68	207	0
Emc10	108.750000	160	0	68	207	0
Chmp7	108.750000	0	121	162	152	0
Ash2l	108.750000	0	105	118	212	0
Zfp598	108.500000	0	178	256	0	0
Spen	108.500000	0	123	175	136	0
Snapc5	108.500000	347	0	87	0	0
Nufip2	108.500000	0	163	271	0	0
Ldha	108.500000	0	159	108	167	0
Dennd2d	108.500000	0	171	127	136	0
Cox5b	108.500000	0	88	147	199	0
Trappc10	108.250000	0	164	269	0	0
Tmem161b	108.250000	0	109	161	163	0
Stx5a	108.250000	0	144	127	162	0
Rpl8	108.250000	0	74	154	205	0
Nampt	108.250000	0	132	159	142	0
Nadk2	108.250000	0	165	167	101	0
Mrps36	108.250000	0	88	124	221	0
Lcor	108.250000	0	237	196	0	0
Itgb3	108.250000	0	233	200	0	0
Fignl1	108.250000	0	76	167	190	0
Dock2	108.250000	0	99	212	122	0
Commd5	108.250000	0	74	154	205	0
Asrgl1	108.250000	0	168	265	0	0
1700092M07Rik	108.250000	0	144	127	162	0
Wrap53	108.000000	0	155	131	146	0
Trub2	108.000000	0	156	151	125	0
Trp53	108.000000	0	155	131	146	0
Phf11c	108.000000	0	165	267	0	0
Metrnl	108.000000	0	96	204	132	0
Gdi2	108.000000	0	107	169	156	0
Dpy30	108.000000	0	173	121	138	0
Ccdc174	108.000000	0	110	151	171	0
Bcap29	108.000000	0	123	229	80	0
Zfp940	107.750000	0	257	174	0	0
Zfp420	107.750000	0	257	174	0	0
Septin2	107.750000	0	126	111	194	0
Morn2	107.750000	0	88	117	226	0
Hdlbp	107.750000	0	126	111	194	0
Dhx57	107.750000	0	88	117	226	0
Zcrb1	107.500000	0	0	108	322	0
Xab2	107.500000	0	162	161	107	0
Ttc14	107.500000	0	98	146	186	0
Trappc11	107.500000	0	125	83	222	0
Stoml3	107.500000	0	129	301	0	0
Slc7a1	107.500000	0	120	125	185	0
Rwdd4a	107.500000	0	125	83	222	0
Pphln1	107.500000	0	0	108	322	0
Pet100	107.500000	0	162	161	107	0
Pcp2	107.500000	0	162	161	107	0
Ubxn4	107.250000	0	116	156	157	0
Tppp	107.250000	0	90	143	196	0
Mtmr9	107.250000	0	164	94	171	0
