Target_genes	Irf5|Average	SRX10652558|CD4+_T_cells	SRX3380962|Dendritic_Cells	SRX3380963|Dendritic_Cells	SRX3380964|Dendritic_Cells	STRING
Rpl12	31.750000	0	0	0	127	0
Ppp2r1b	31.750000	0	0	0	127	0
Polr3h	31.750000	0	0	0	127	0
Pkd1	31.750000	0	0	0	127	0
Nudt4	31.750000	0	0	0	127	0
Nt5m	31.750000	0	0	0	127	0
Npepps	31.750000	0	127	0	0	0
Mrpl40	31.750000	0	0	0	127	0
Mrpl35	31.750000	0	0	127	0	0
Med19	31.750000	0	0	127	0	0
Mapk8ip3	31.750000	0	0	0	127	0
Lrsam1	31.750000	0	0	0	127	0
Josd2	31.750000	0	0	0	127	0
Hyls1	31.750000	0	0	0	127	0
Hs3st3a1	31.750000	0	0	0	127	0
Hira	31.750000	0	0	0	127	0
Fam210b	31.750000	0	0	0	127	0
Eno1b	31.750000	127	0	0	0	0
Crtc3	31.750000	0	0	0	127	0
Ccdc110	31.750000	0	0	0	127	0
Bsg	31.750000	0	0	0	127	0
Aspdh	31.750000	0	0	0	127	0
Aldoa	31.750000	0	127	0	0	0
Aggf1	31.750000	0	0	0	127	0
Ube3a	31.500000	0	0	0	126	0
Siva1	31.500000	0	0	0	126	0
Pdgfb	31.500000	0	126	0	0	0
Hs3st1	31.500000	0	0	0	126	0
Hinfp	31.500000	0	0	0	126	0
Helt	31.500000	0	126	0	0	0
Dnajc30	31.500000	0	0	0	126	0
Cystm1	31.500000	0	0	0	126	0
Cbl	31.500000	0	0	126	0	0
Bud23	31.500000	0	0	0	126	0
Atp6v1fnb	31.500000	0	0	126	0	0
Atp6v1f	31.500000	0	0	126	0	0
Ube2c	31.250000	0	0	0	125	0
Tcerg1l	31.250000	0	125	0	0	0
Taf8	31.250000	0	125	0	0	0
Rsad1	31.250000	0	0	0	125	0
Rab40b	31.250000	0	0	0	125	0
Phrf1	31.250000	0	0	0	125	0
Pdik1l	31.250000	0	0	0	125	0
Nfyb	31.250000	0	0	125	0	0
Mrps16	31.250000	0	0	0	125	0
Morf4l1	31.250000	0	0	0	125	0
Fam171b	31.250000	0	0	0	125	0
Dpp3	31.250000	0	0	125	0	0
Dnajc9	31.250000	0	0	0	125	0
Cmah	31.250000	0	125	0	0	0
Chrne	31.250000	0	125	0	0	0
Wdr26	31.000000	0	0	0	124	0
Tubb2a	31.000000	0	0	0	124	0
Taf3	31.000000	0	0	0	124	0
Spdl1	31.000000	0	0	0	124	0
Ppp1r3e	31.000000	0	0	0	124	0
Mif	31.000000	0	0	0	124	0
Mgrn1	31.000000	0	0	0	124	0
Lss	31.000000	0	124	0	0	0
Limk2	31.000000	0	0	0	124	0
H2ax	31.000000	0	0	0	124	0
Frg2f1	31.000000	0	0	0	124	0
Foxj3	31.000000	0	0	0	124	0
Fam76a	31.000000	0	0	0	124	0
Fam13b	31.000000	0	0	0	124	0
Derl1	31.000000	0	0	0	124	0
Cox6a1	31.000000	0	0	0	124	0
Commd7	31.000000	0	0	0	124	0
Chn2	31.000000	0	0	0	124	0
Aurkaip1	31.000000	0	0	0	124	0
Zfyve9	30.750000	0	0	0	123	0
Zfp606	30.750000	0	0	0	123	0
Zfp563	30.750000	0	0	0	123	0
Zfp428	30.750000	0	0	0	123	0
Yaf2	30.750000	0	0	0	123	0
Usp47	30.750000	0	0	0	123	0
Usp45	30.750000	0	0	0	123	0
Uqcc1	30.750000	0	0	123	0	0
Tprkb	30.750000	0	0	0	123	0
Tom1l2	30.750000	0	0	0	123	0
Thada	30.750000	0	0	0	123	0
Smarcad1	30.750000	0	0	0	123	0
Slu7	30.750000	0	0	0	123	0
Slc9a1	30.750000	0	0	0	123	0
Sdhaf3	30.750000	0	0	0	123	0
Sdf4	30.750000	0	0	0	123	0
Rgs10	30.750000	0	0	0	123	0
Rbm28	30.750000	0	0	0	123	0
Pspc1	30.750000	0	0	0	123	0
Pomgnt1	30.750000	0	0	123	0	0
Plod1	30.750000	0	0	0	123	0
Nat8f1	30.750000	0	0	0	123	0
Naa60	30.750000	0	0	0	123	0
Msi2	30.750000	0	0	0	123	0
Mavs	30.750000	0	0	0	123	0
Ly6a	30.750000	0	123	0	0	0
Lurap1	30.750000	0	0	123	0	0
Ltbp4	30.750000	0	0	0	123	0
Larp4b	30.750000	0	0	0	123	0
Ktn1	30.750000	0	0	123	0	0
Fkbp4	30.750000	0	0	0	123	0
Farp1	30.750000	0	0	0	123	0
Etaa1	30.750000	0	0	0	123	0
Drc3	30.750000	0	0	0	123	0
Creld1	30.750000	0	0	0	123	0
Col11a2	30.750000	0	123	0	0	0
B3galt6	30.750000	0	0	0	123	0
Aqr	30.750000	0	0	0	123	0
Aph1b	30.750000	0	0	0	123	0
Agmat	30.750000	0	0	0	123	0
2510039O18Rik	30.750000	0	0	0	123	0
Zfp799	30.500000	0	0	0	122	0
Tomm40	30.500000	0	0	122	0	0
Tmem158	30.500000	0	0	0	122	0
Tcte2	30.500000	0	0	122	0	0
Syncrip	30.500000	0	0	0	122	0
Slc26a4	30.500000	0	0	0	122	0
Sec23ip	30.500000	0	0	0	122	0
Rb1	30.500000	0	0	122	0	0
Rab35	30.500000	0	122	0	0	0
Pop5	30.500000	0	0	0	122	0
Pla2g12a	30.500000	0	122	0	0	0
Pitx3	30.500000	0	0	0	122	0
Pdpk1	30.500000	0	0	122	0	0
Mrpl38	30.500000	0	0	0	122	0
Lamc1	30.500000	0	0	0	122	0
Jmy	30.500000	0	0	0	122	0
Il2rb	30.500000	122	0	0	0	0
Ice1	30.500000	0	0	0	122	0
Gbf1	30.500000	0	0	0	122	0
Eef2	30.500000	0	0	0	122	0
Dhrs7b	30.500000	0	0	0	122	0
Cep85	30.500000	0	0	0	122	0
Cdkn1b	30.500000	0	122	0	0	0
Cd200r1	30.500000	0	0	122	0	0
Cbfa2t2	30.500000	0	0	0	122	0
Arfgef2	30.500000	0	0	0	122	0
Afdn	30.500000	0	0	122	0	0
Zic5	30.250000	0	0	0	121	0
Zc3h3	30.250000	0	0	0	121	0
Utp6	30.250000	0	121	0	0	0
Ubfd1	30.250000	0	0	0	121	0
Ttc21a	30.250000	0	0	0	121	0
Trip13	30.250000	0	0	0	121	0
Tmtc1	30.250000	0	0	0	121	0
Tmem265	30.250000	0	0	121	0	0
Tfb2m	30.250000	0	0	0	121	0
Sar1b	30.250000	0	0	0	121	0
Rgs1	30.250000	0	121	0	0	0
Rest	30.250000	0	0	0	121	0
Prxl2a	30.250000	0	0	0	121	0
Plxnb2	30.250000	0	0	121	0	0
Patl1	30.250000	0	0	0	121	0
Osbp	30.250000	0	0	121	0	0
Olfr545	30.250000	0	0	121	0	0
Olfr544	30.250000	0	0	121	0	0
Nfx1	30.250000	0	0	0	121	0
Misp3	30.250000	0	0	0	121	0
Maged1	30.250000	0	0	121	0	0
Lime1	30.250000	0	0	121	0	0
Kif17	30.250000	0	0	121	0	0
Kctd6	30.250000	0	0	121	0	0
Josd1	30.250000	0	0	0	121	0
Insl5	30.250000	0	0	121	0	0
Ifne	30.250000	121	0	0	0	0
Gpr160	30.250000	0	0	0	121	0
Gorasp1	30.250000	0	0	0	121	0
Foxj2	30.250000	0	121	0	0	0
Ears2	30.250000	0	0	0	121	0
Ddx1	30.250000	0	0	0	121	0
Brd9	30.250000	0	0	0	121	0
Baz1b	30.250000	0	0	0	121	0
Arpc1a	30.250000	0	0	0	121	0
Adat1	30.250000	0	0	121	0	0
Actn4	30.250000	0	0	0	121	0
Abcg3	30.250000	0	0	121	0	0
Zbtb7c	30.000000	0	0	0	120	0
Vdr	30.000000	0	0	120	0	0
Ube2j1	30.000000	0	120	0	0	0
Tbcc	30.000000	0	0	0	120	0
Ran	30.000000	0	0	0	120	0
Prpf40b	30.000000	0	0	0	120	0
Pif1	30.000000	0	0	0	120	0
Pde12	30.000000	0	0	0	120	0
Nupr1l	30.000000	0	0	0	120	0
Nos1ap	30.000000	0	0	0	120	0
Ip6k1	30.000000	0	0	120	0	0
Hes6	30.000000	0	0	0	120	0
Fnip1	30.000000	0	0	0	120	0
Evi5l	30.000000	0	0	0	120	0
Erbb3	30.000000	0	0	0	120	0
Cuedc2	30.000000	0	0	120	0	0
Coch	30.000000	0	0	0	120	0
Bphl	30.000000	0	0	0	120	0
Atxn7l2	30.000000	0	0	120	0	0
Arpp19	30.000000	0	0	0	120	0
Angel2	30.000000	0	0	0	120	0
Anapc15	30.000000	0	120	0	0	0
Abhd17b	30.000000	0	0	120	0	0
1110059E24Rik	30.000000	0	0	120	0	0
Zfp553	29.750000	0	0	0	119	0
Zbtb37	29.750000	0	0	0	119	0
Tmed10	29.750000	0	0	0	119	0
Tcf3	29.750000	0	0	119	0	0
Spata2l	29.750000	0	0	0	119	0
Rhbdf2	29.750000	0	0	0	119	0
Rax	29.750000	0	0	0	119	0
Ndufc1	29.750000	0	0	0	119	0
Metap2	29.750000	0	0	0	119	0
Med30	29.750000	0	0	0	119	0
Lrrc56	29.750000	0	0	0	119	0
Hras	29.750000	0	0	0	119	0
Harbi1	29.750000	0	0	0	119	0
Gcnt1	29.750000	0	0	0	119	0
Dnajc7	29.750000	0	0	0	119	0
Crebbp	29.750000	0	0	0	119	0
B4galt4	29.750000	0	0	0	119	0
Atg13	29.750000	0	0	0	119	0
Zfp64	29.500000	0	0	0	118	0
Vps33a	29.500000	0	0	0	118	0
Uevld	29.500000	0	0	0	118	0
Tpx2	29.500000	0	0	0	118	0
Tpra1	29.500000	0	0	0	118	0
Srbd1	29.500000	0	0	0	118	0
Son	29.500000	0	0	0	118	0
Rgs7bp	29.500000	0	0	0	118	0
Repin1	29.500000	0	0	0	118	0
Medag	29.500000	0	118	0	0	0
Mcm2	29.500000	0	0	0	118	0
Kyat1	29.500000	0	118	0	0	0
H1f0	29.500000	0	0	0	118	0
Gnaq	29.500000	0	0	0	118	0
Gmnc	29.500000	0	118	0	0	0
Gmcl1	29.500000	0	0	0	118	0
Gm9949	29.500000	0	0	0	118	0
Gm5111	29.500000	0	0	0	118	0
Gm36712	29.500000	0	0	0	118	0
Gcat	29.500000	0	0	0	118	0
Gart	29.500000	0	0	0	118	0
Fam117a	29.500000	0	118	0	0	0
D630045J12Rik	29.500000	0	118	0	0	0
Comp	29.500000	0	0	0	118	0
Chic2	29.500000	0	0	0	118	0
Adrb2	29.500000	0	0	0	118	0
Actr3b	29.500000	0	0	0	118	0
8030462N17Rik	29.500000	0	0	0	118	0
Zmiz1	29.250000	0	0	117	0	0
Ykt6	29.250000	0	0	0	117	0
Slc30a5	29.250000	0	0	0	117	0
Rps10	29.250000	0	0	0	117	0
Romo1	29.250000	0	0	0	117	0
Ralbp1	29.250000	0	0	0	117	0
Ppie	29.250000	0	0	117	0	0
Phactr4	29.250000	0	0	0	117	0
Nfs1	29.250000	0	0	0	117	0
Neurl2	29.250000	0	0	0	117	0
Ndel1	29.250000	0	0	0	117	0
Mesp2	29.250000	0	0	0	117	0
Jag2	29.250000	0	0	117	0	0
Inpp5e	29.250000	0	0	0	117	0
Hgfac	29.250000	0	117	0	0	0
Frrs1	29.250000	0	0	0	117	0
Fahd2a	29.250000	0	0	0	117	0
Exoc7	29.250000	0	0	0	117	0
Ctsa	29.250000	0	0	0	117	0
Atg12	29.250000	0	0	0	117	0
Ap3s1	29.250000	0	0	0	117	0
Actr10	29.250000	0	0	0	117	0
Abl2	29.250000	0	0	0	117	0
Zfp560	29.000000	0	0	0	116	0
Zdhhc7	29.000000	0	0	0	116	0
Whrn	29.000000	0	0	0	116	0
Tsfm	29.000000	0	0	0	116	0
Trnt1	29.000000	0	0	0	116	0
Tigd2	29.000000	0	0	0	116	0
Sox30	29.000000	0	0	0	116	0
Smagp	29.000000	0	0	0	116	0
Shroom1	29.000000	0	0	0	116	0
Rps6ka3	29.000000	0	0	0	116	0
Rexo1	29.000000	0	0	0	116	0
Rae1	29.000000	0	0	0	116	0
Plag1	29.000000	0	0	0	116	0
Pdxk	29.000000	0	116	0	0	0
Ndufa5	29.000000	0	0	0	116	0
Mamld1	29.000000	0	0	0	116	0
Llgl2	29.000000	0	0	0	116	0
Klk10	29.000000	0	0	0	116	0
Kiz	29.000000	0	0	0	116	0
Gnl2	29.000000	0	0	0	116	0
Gatad1	29.000000	0	0	0	116	0
Esd	29.000000	0	0	0	116	0
Endov	29.000000	0	0	0	116	0
Edem2	29.000000	0	0	0	116	0
Ccdc142	29.000000	0	0	0	116	0
Atp5e	29.000000	0	0	0	116	0
Asb15	29.000000	0	0	0	116	0
Ankrd28	29.000000	0	0	0	116	0
Actl6b	29.000000	0	0	0	116	0
9930012K11Rik	29.000000	0	0	0	116	0
9130019O22Rik	29.000000	0	0	0	116	0
1810013L24Rik	29.000000	0	0	0	116	0
Usp25	28.750000	0	0	115	0	0
Samd4b	28.750000	0	0	115	0	0
Rps17	28.750000	0	0	0	115	0
Ppib	28.750000	0	0	0	115	0
Npm3	28.750000	0	0	0	115	0
Minpp1	28.750000	0	0	0	115	0
Map1a	28.750000	0	0	0	115	0
Klhl26	28.750000	0	0	0	115	0
Kcnj2	28.750000	0	0	0	115	0
Hmgn1	28.750000	0	0	0	115	0
Arhgef18	28.750000	0	0	0	115	0
Zswim1	28.500000	0	0	114	0	0
Zfp626	28.500000	0	0	114	0	0
Zfp595	28.500000	0	114	0	0	0
Zfp324	28.500000	0	0	0	114	0
Uhmk1	28.500000	0	114	0	0	0
Ttc23	28.500000	0	0	114	0	0
Tex9	28.500000	0	0	114	0	0
Tars	28.500000	0	0	0	114	0
Sval1	28.500000	0	0	114	0	0
Slfn4	28.500000	0	0	114	0	0
Scd1	28.500000	0	0	114	0	0
Rpa2	28.500000	0	0	0	114	0
Rnf123	28.500000	0	0	0	114	0
Plekhh2	28.500000	0	0	114	0	0
Pcgf1	28.500000	0	0	0	114	0
Ndufaf5	28.500000	0	0	114	0	0
Mst1	28.500000	0	0	0	114	0
Mrc1	28.500000	0	0	114	0	0
Misp	28.500000	0	0	114	0	0
Lrrc28	28.500000	0	0	114	0	0
Lcn12	28.500000	0	0	114	0	0
Glce	28.500000	0	0	0	114	0
Gfpt1	28.500000	0	0	0	114	0
Fgfrl1	28.500000	0	0	114	0	0
Esrra	28.500000	0	0	114	0	0
Esf1	28.500000	0	0	114	0	0
Cwc22	28.500000	0	0	114	0	0
Col6a5	28.500000	0	0	114	0	0
Catsperz	28.500000	0	0	114	0	0
Bud13	28.500000	0	0	0	114	0
Ankrd33b	28.500000	0	0	114	0	0
Zfp787	28.250000	0	0	0	113	0
Vhl	28.250000	0	0	0	113	0
Syt2	28.250000	113	0	0	0	0
Stambp	28.250000	0	0	0	113	0
Ssh1	28.250000	0	0	0	113	0
Spef1	28.250000	0	0	0	113	0
Rtn4rl1	28.250000	0	0	113	0	0
Rnf138	28.250000	0	0	0	113	0
Rab1b	28.250000	0	0	0	113	0
Pitpnb	28.250000	0	0	0	113	0
Pdzk1ip1	28.250000	113	0	0	0	0
Pard3b	28.250000	0	0	0	113	0
Nprl3	28.250000	0	0	0	113	0
Nelfa	28.250000	0	0	0	113	0
Maz	28.250000	0	0	113	0	0
Klk4	28.250000	0	0	113	0	0
Hip1	28.250000	0	0	113	0	0
Gnpda1	28.250000	0	0	0	113	0
Farp2	28.250000	0	0	0	113	0
Dph1	28.250000	0	0	113	0	0
Dennd10	28.250000	0	0	0	113	0
Clk3	28.250000	0	0	0	113	0
Cenpb	28.250000	0	0	0	113	0
Brf1	28.250000	0	0	0	113	0
Zmynd12	28.000000	0	0	0	112	0
Wdr55	28.000000	0	0	112	0	0
Vamp2	28.000000	0	0	0	112	0
Tlcd2	28.000000	0	0	112	0	0
Sorbs1	28.000000	0	0	0	112	0
Slc6a9	28.000000	0	0	0	112	0
Rsf1	28.000000	0	0	0	112	0
Ptpn9	28.000000	0	0	0	112	0
Ppcs	28.000000	0	0	0	112	0
Pigu	28.000000	0	0	0	112	0
Pbx3	28.000000	0	0	0	112	0
Panx1	28.000000	0	0	0	112	0
Nup85	28.000000	0	0	0	112	0
Mrpl23	28.000000	0	0	0	112	0
Mfap3l	28.000000	0	0	0	112	0
Lin7c	28.000000	0	0	0	112	0
Herpud2	28.000000	0	0	0	112	0
Gpd1l	28.000000	0	0	0	112	0
Epb41l4a	28.000000	0	0	0	112	0
Dnd1	28.000000	0	0	112	0	0
Ctps	28.000000	0	0	0	112	0
Cstb	28.000000	0	0	0	112	0
Cnnm1	28.000000	0	0	0	112	0
Aamdc	28.000000	0	0	0	112	0
Zic2	27.750000	0	0	0	111	0
Zfp747	27.750000	0	0	0	111	0
Unc13b	27.750000	0	0	0	111	0
Stxbp4	27.750000	0	0	0	111	0
Slc29a1	27.750000	0	0	0	111	0
Samhd1	27.750000	0	0	0	111	0
Pxdc1	27.750000	0	0	0	111	0
Prss30	27.750000	0	111	0	0	0
Prrt2	27.750000	0	0	0	111	0
Plxnc1	27.750000	0	0	0	111	0
Plekha7	27.750000	0	0	0	111	0
Pja2	27.750000	0	0	111	0	0
Oscar	27.750000	0	0	111	0	0
Oas2	27.750000	0	0	111	0	0
Ndufa3	27.750000	0	0	111	0	0
Mfsd13a	27.750000	0	0	111	0	0
Fhl3	27.750000	0	0	111	0	0
Cox11	27.750000	0	0	0	111	0
Chaf1a	27.750000	0	0	0	111	0
Cactin	27.750000	0	0	111	0	0
Baz1a	27.750000	0	0	0	111	0
Wbp1	27.500000	0	0	0	110	0
Ttc3	27.500000	0	0	0	110	0
Tdpoz3	27.500000	0	110	0	0	0
Ssh2	27.500000	0	0	0	110	0
Setmar	27.500000	0	110	0	0	0
R3hdm2	27.500000	0	110	0	0	0
Pigp	27.500000	0	0	0	110	0
Pds5a	27.500000	0	0	0	110	0
Ndufb8	27.500000	0	0	0	110	0
Mocs1	27.500000	0	0	0	110	0
Ino80b	27.500000	0	0	0	110	0
Hk2	27.500000	0	0	0	110	0
Hey2	27.500000	0	0	0	110	0
Gna11	27.500000	0	0	0	110	0
Ergic3	27.500000	0	0	0	110	0
Cstdc2	27.500000	0	0	110	0	0
Clec4a4	27.500000	0	110	0	0	0
C87436	27.500000	0	0	0	110	0
Ahdc1	27.500000	0	0	0	110	0
6430550D23Rik	27.500000	0	0	0	110	0
Zfp148	27.250000	0	0	0	109	0
Vps18	27.250000	0	109	0	0	0
Tle6	27.250000	0	0	109	0	0
Snx16	27.250000	0	0	0	109	0
Slc12a6	27.250000	0	0	109	0	0
Sesn3	27.250000	0	0	109	0	0
Rngtt	27.250000	0	0	0	109	0
Rfxap	27.250000	0	0	0	109	0
Rassf2	27.250000	0	0	0	109	0
Ppp2r5a	27.250000	0	0	0	109	0
Kpnb1	27.250000	0	0	0	109	0
Idua	27.250000	0	0	0	109	0
Dgkq	27.250000	0	0	0	109	0
Dazl	27.250000	0	0	0	109	0
Asap2	27.250000	0	0	0	109	0
A530064D06Rik	27.250000	0	0	109	0	0
Zfp558	27.000000	0	0	0	108	0
Zdhhc21	27.000000	0	0	0	108	0
Wdpcp	27.000000	0	0	0	108	0
