Target_genes	Nfatc1|Average	SRX376930|Hair_Follicle	DRX111909|Osteoclasts	SRX174585|Pancreatic_cancer_cells	SRX174586|Pancreatic_cancer_cells	STRING
Map3k3	81.500000	0	326	0	0	0
Lta	81.500000	0	326	0	0	0
Arpc1a	81.500000	0	326	0	0	0
Arhgef15	81.500000	0	326	0	0	0
Pyurf	81.250000	0	325	0	0	0
Ndfip2	81.250000	0	325	0	0	0
Mphosph8	81.250000	0	325	0	0	0
H2bc12	81.250000	0	325	0	0	0
H2ac12	81.250000	0	325	0	0	0
Gon4l	81.250000	0	325	0	0	0
Epas1	81.250000	0	325	0	0	0
Cdkn2b	81.250000	0	325	0	0	0
Acbd5	81.250000	191	134	0	0	0
Zfp959	81.000000	0	324	0	0	0
Tpcn1	81.000000	0	324	0	0	0
Stap2	81.000000	94	230	0	0	0
Smap2	81.000000	0	159	165	0	0
Slx4	81.000000	0	324	0	0	0
Rusc2	81.000000	0	324	0	0	0
Rap1b	81.000000	0	324	0	0	0
Ranbp3l	81.000000	0	0	0	324	0
Pmf1	81.000000	0	324	0	0	0
Pigl	81.000000	0	324	0	0	0
Pcx	81.000000	0	118	0	206	0
Ncor1	81.000000	0	324	0	0	0
Mpnd	81.000000	94	230	0	0	0
Itgav	81.000000	0	324	0	0	0
Iqcd	81.000000	0	324	0	0	0
Hnrnpdl	81.000000	0	324	0	0	0
Ercc5	81.000000	0	324	0	0	0
Enoph1	81.000000	0	324	0	0	0
Ctsk	80.750000	0	323	0	0	530
Zbtb41	80.750000	0	323	0	0	0
Tmem238	80.750000	0	323	0	0	0
Tdrd3	80.750000	0	323	0	0	0
Slc35f6	80.750000	0	323	0	0	0
Rpl28	80.750000	0	323	0	0	0
Rgl2	80.750000	0	323	0	0	0
Ppib	80.750000	0	323	0	0	0
Park7	80.750000	0	323	0	0	0
Myo1e	80.750000	0	323	0	0	0
Dbi	80.750000	0	323	0	0	0
Cnot2	80.750000	0	323	0	0	0
Cmc1	80.750000	0	323	0	0	0
Chmp7	80.750000	0	323	0	0	0
Cherp	80.750000	0	323	0	0	0
Atg16l1	80.750000	0	323	0	0	0
3110009E18Rik	80.750000	0	323	0	0	0
Zfp710	80.500000	0	203	0	119	0
Sec61g	80.500000	0	322	0	0	0
Rfesd	80.500000	0	322	0	0	0
Popdc2	80.500000	0	322	0	0	0
Nkapl	80.500000	0	322	0	0	0
Gsk3b	80.500000	0	177	0	145	0
Edem2	80.500000	0	322	0	0	0
Crebzf	80.500000	0	322	0	0	0
Actr2	80.500000	0	322	0	0	0
Shpk	80.250000	0	321	0	0	0
Olfr180	80.250000	0	0	0	321	0
Lyrm2	80.250000	0	321	0	0	0
Gnai3	80.250000	0	321	0	0	0
Ctr9	80.250000	0	321	0	0	0
Ctns	80.250000	0	321	0	0	0
Zmynd12	80.000000	0	320	0	0	0
Supt5	80.000000	0	320	0	0	0
Stk3	80.000000	0	118	0	202	0
Skp1	80.000000	0	320	0	0	0
Ppcs	80.000000	0	320	0	0	0
P4hb	80.000000	0	320	0	0	0
Cers6	80.000000	0	320	0	0	0
Car2	80.000000	0	320	0	0	0
Zfp433	79.750000	0	319	0	0	0
Zfp36l1	79.750000	0	319	0	0	0
Ulk1	79.750000	0	319	0	0	0
Stip1	79.750000	141	178	0	0	0
Rnf135	79.750000	0	319	0	0	0
Ppp1r15b	79.750000	0	319	0	0	0
Pofut2	79.750000	0	319	0	0	0
Nt5dc1	79.750000	0	319	0	0	0
Nsmce3	79.750000	0	319	0	0	0
Nomo1	79.750000	0	319	0	0	0
Meaf6	79.750000	0	319	0	0	0
Lemd3	79.750000	0	319	0	0	0
Ipo7	79.750000	0	319	0	0	0
Gm32687	79.750000	0	319	0	0	0
Glce	79.750000	0	319	0	0	0
Crem	79.750000	0	319	0	0	0
Cep78	79.750000	0	319	0	0	0
Akap8l	79.750000	0	319	0	0	0
Abcc6	79.750000	0	319	0	0	0
2410002F23Rik	79.750000	0	319	0	0	0
Trim40	79.500000	0	0	0	318	0
Rps13	79.500000	0	318	0	0	0
Rhebl1	79.500000	318	0	0	0	0
Pxn	79.500000	0	318	0	0	0
Pgpep1	79.500000	197	121	0	0	0
Imp3	79.500000	0	318	0	0	0
Gch1	79.500000	0	318	0	0	0
Fes	79.500000	0	318	0	0	0
Fasn	79.500000	0	318	0	0	0
Endog	79.500000	0	318	0	0	0
Creb3l3	79.500000	0	0	0	318	0
Clcn4	79.500000	0	208	0	110	0
Cenpa	79.500000	0	318	0	0	0
Bcas3	79.500000	0	318	0	0	0
Arid4a	79.500000	0	318	0	0	0
Arhgap35	79.500000	0	318	0	0	0
Anapc11	79.500000	0	318	0	0	0
Alyref	79.500000	0	318	0	0	0
Zcchc17	79.250000	0	216	0	101	0
Vps36	79.250000	0	317	0	0	0
Tgoln2	79.250000	0	317	0	0	0
Tgoln1	79.250000	0	317	0	0	0
Snrnp40	79.250000	0	216	0	101	0
Sema4a	79.250000	0	0	0	317	0
Sec31a	79.250000	0	317	0	0	0
Rps7	79.250000	0	317	0	0	0
Rps17	79.250000	0	317	0	0	0
Rpl6	79.250000	0	317	0	0	0
Mms19	79.250000	0	172	0	145	0
Mib1	79.250000	0	317	0	0	0
Cdh13	79.250000	0	0	317	0	0
1700066M21Rik	79.250000	0	317	0	0	0
Zfp940	79.000000	0	316	0	0	0
Ttc41	79.000000	0	316	0	0	0
Spop	79.000000	316	0	0	0	0
Rpl8	79.000000	0	316	0	0	0
Rpl36a	79.000000	0	316	0	0	0
Mettl1	79.000000	316	0	0	0	0
Map3k1	79.000000	316	0	0	0	0
Hsp90b1	79.000000	0	316	0	0	0
Frg2f1	79.000000	0	316	0	0	0
Foxj3	79.000000	0	316	0	0	0
Fam24b	79.000000	0	0	0	316	0
Eef1akmt3	79.000000	316	0	0	0	0
Cwc25	79.000000	0	316	0	0	0
Commd5	79.000000	0	316	0	0	0
Clec2e	79.000000	316	0	0	0	0
Ccdc93	79.000000	0	200	0	116	0
Btk	79.000000	0	316	0	0	0
Add3	79.000000	0	316	0	0	0
Zfp276	78.750000	0	315	0	0	0
Vps9d1	78.750000	0	315	0	0	0
Vps33a	78.750000	0	315	0	0	0
Rhot2	78.750000	0	315	0	0	0
Pmaip1	78.750000	0	315	0	0	0
Mthfs	78.750000	0	315	0	0	0
Mrpl15	78.750000	0	315	0	0	0
Mast3	78.750000	0	315	0	0	0
Lonrf3	78.750000	0	315	0	0	0
H4c2	78.750000	0	315	0	0	0
H4c12	78.750000	0	315	0	0	0
H4c1	78.750000	0	315	0	0	0
H3c1	78.750000	0	315	0	0	0
H2bc15	78.750000	0	315	0	0	0
H2az1	78.750000	0	315	0	0	0
H2ac15	78.750000	0	315	0	0	0
H1f1	78.750000	0	315	0	0	0
Dynlrb1	78.750000	0	315	0	0	0
Dnajb14	78.750000	0	315	0	0	0
Bcor	78.750000	0	192	123	0	0
Strip1	78.500000	0	314	0	0	0
Sft2d3	78.500000	0	314	0	0	0
Psmb4	78.500000	0	314	0	0	0
Nubp1	78.500000	0	314	0	0	0
Ndufa8	78.500000	0	314	0	0	0
Nanp	78.500000	0	314	0	0	0
Morn5	78.500000	0	314	0	0	0
Esco2	78.500000	0	314	0	0	0
Cdadc1	78.500000	0	314	0	0	0
Ccdc25	78.500000	0	314	0	0	0
Arhgap31	78.500000	0	314	0	0	0
Ythdf3	78.250000	0	313	0	0	0
Wasf2	78.250000	0	313	0	0	0
Srgap2	78.250000	0	313	0	0	0
Ndufc2	78.250000	0	313	0	0	0
H3c11	78.250000	0	313	0	0	0
H2bc4	78.250000	0	313	0	0	0
H2bc22	78.250000	0	313	0	0	0
H2ac6	78.250000	0	313	0	0	0
H2ac22	78.250000	0	313	0	0	0
H1f5	78.250000	0	313	0	0	0
Gabpa	78.250000	0	313	0	0	0
Fam72a	78.250000	0	313	0	0	0
Bri3	78.250000	0	172	0	141	0
Atp5j	78.250000	0	313	0	0	0
Zwilch	78.000000	0	312	0	0	0
Uba52	78.000000	0	312	0	0	0
Tram1	78.000000	0	164	0	148	0
Stk17b	78.000000	0	312	0	0	0
Rufy1	78.000000	0	312	0	0	0
Rpl4	78.000000	0	312	0	0	0
Rnf5	78.000000	0	312	0	0	0
Rnf215	78.000000	0	312	0	0	0
Rex1bd	78.000000	0	312	0	0	0
Myoz3	78.000000	0	0	312	0	0
Mtres1	78.000000	0	312	0	0	0
Mrps24	78.000000	0	312	0	0	0
Hif1an	78.000000	0	312	0	0	0
Ctdsp2	78.000000	0	312	0	0	0
Agpat1	78.000000	0	312	0	0	0
Zpr1	77.750000	0	311	0	0	0
Vcpkmt	77.750000	0	311	0	0	0
Polr3d	77.750000	0	311	0	0	0
Nupr1	77.750000	0	311	0	0	0
Golga1	77.750000	0	311	0	0	0
Gm29317	77.750000	311	0	0	0	0
Gm28459	77.750000	311	0	0	0	0
Gm28093	77.750000	311	0	0	0	0
Gm21918	77.750000	311	0	0	0	0
Gm21908	77.750000	311	0	0	0	0
Gm21843	77.750000	311	0	0	0	0
Gm21810	77.750000	311	0	0	0	0
Gm21805	77.750000	311	0	0	0	0
Gm21753	77.750000	311	0	0	0	0
Gm21751	77.750000	311	0	0	0	0
Gm21745	77.750000	311	0	0	0	0
Gm21724	77.750000	311	0	0	0	0
Efr3a	77.750000	0	311	0	0	0
Dcaf10	77.750000	0	157	154	0	0
Cpsf6	77.750000	0	311	0	0	0
Apoa5	77.750000	0	311	0	0	0
Aldh3a2	77.750000	0	311	0	0	0
Wnk1	77.500000	0	310	0	0	0
Tlcd1	77.500000	0	181	129	0	0
Sugp1	77.500000	0	310	0	0	0
Stambp	77.500000	0	310	0	0	0
Plcg2	77.500000	0	310	0	0	0
Phkb	77.500000	0	310	0	0	0
Mau2	77.500000	0	310	0	0	0
Itfg1	77.500000	0	310	0	0	0
Dcun1d5	77.500000	0	310	0	0	0
Atp5g1	77.500000	0	310	0	0	0
Wdr73	77.250000	0	309	0	0	0
Tbc1d30	77.250000	0	0	0	309	0
Scd2	77.250000	0	309	0	0	0
Nrbp1	77.250000	0	309	0	0	0
Nmb	77.250000	0	309	0	0	0
Mlh1	77.250000	0	309	0	0	0
Kctd20	77.250000	0	309	0	0	0
Iars2	77.250000	0	309	0	0	0
Epm2aip1	77.250000	0	309	0	0	0
Cryl1	77.250000	0	309	0	0	0
Bzw1	77.250000	0	309	0	0	0
Bpnt1	77.250000	0	309	0	0	0
Trmt44	77.000000	0	308	0	0	0
Rrp36	77.000000	0	308	0	0	0
Rnpep	77.000000	0	308	0	0	0
Map7d1	77.000000	0	308	0	0	0
Lrp6	77.000000	0	308	0	0	0
Ing2	77.000000	0	308	0	0	0
G2e3	77.000000	0	308	0	0	0
Fam13b	77.000000	0	308	0	0	0
Eif4g3	77.000000	0	308	0	0	0
Xpnpep1	76.750000	0	307	0	0	0
Urm1	76.750000	0	307	0	0	0
Tubgcp5	76.750000	0	307	0	0	0
Tmem220	76.750000	0	307	0	0	0
Slc30a6	76.750000	0	307	0	0	0
Sh3tc1	76.750000	0	307	0	0	0
Rab10	76.750000	0	307	0	0	0
Nmnat3	76.750000	0	307	0	0	0
Nme7	76.750000	0	128	0	179	0
Nfyc	76.750000	0	307	0	0	0
Kazald1	76.750000	0	307	0	0	0
Gja4	76.750000	0	0	0	307	0
Esyt2	76.750000	0	307	0	0	0
Blzf1	76.750000	0	128	0	179	0
Atf4	76.750000	0	307	0	0	0
Arpc2	76.750000	0	307	0	0	0
Zcwpw1	76.500000	0	306	0	0	0
Tmem80	76.500000	0	306	0	0	0
S100a5	76.500000	0	166	140	0	0
S100a4	76.500000	0	166	140	0	0
S100a3	76.500000	0	166	140	0	0
Rragc	76.500000	0	306	0	0	0
Rfc4	76.500000	0	306	0	0	0
Mepce	76.500000	0	306	0	0	0
Mars2	76.500000	0	164	0	142	0
Gtf2f1	76.500000	0	306	0	0	0
Deaf1	76.500000	0	306	0	0	0
Zfpm1	76.250000	0	0	305	0	0
Zfp873	76.250000	0	305	0	0	0
Wdr5b	76.250000	0	305	0	0	0
Twf1	76.250000	0	305	0	0	0
Ttc14	76.250000	0	305	0	0	0
Serhl	76.250000	0	305	0	0	0
Rpap3	76.250000	0	305	0	0	0
Pik3cd	76.250000	0	160	0	145	0
Mtf2	76.250000	0	305	0	0	0
Mrpl36	76.250000	0	305	0	0	0
Mknk1	76.250000	0	305	0	0	0
Eef1akmt1	76.250000	0	305	0	0	0
Cyb5r4	76.250000	0	305	0	0	0
Aldh4a1	76.250000	0	305	0	0	0
Smim15	76.000000	0	304	0	0	0
Selenbp1	76.000000	0	114	0	190	0
Midn	76.000000	0	304	0	0	0
H1f0	76.000000	0	304	0	0	0
Gtf2a1l	76.000000	0	0	0	304	0
Gcat	76.000000	0	304	0	0	0
Dhodh	76.000000	0	304	0	0	0
Ddx24	76.000000	0	304	0	0	0
Commd1	76.000000	0	304	0	0	0
BC029722	76.000000	0	304	0	0	0
Atp5j2	76.000000	0	304	0	0	0
1810013L24Rik	76.000000	0	304	0	0	0
Zfc3h1	75.750000	0	172	131	0	0
Tmem50a	75.750000	0	303	0	0	0
Tmem230	75.750000	0	303	0	0	0
Thap2	75.750000	0	172	131	0	0
Rpsa	75.750000	0	303	0	0	0
Rnf149	75.750000	0	303	0	0	0
Rab6a	75.750000	0	303	0	0	0
Pradc1	75.750000	0	303	0	0	0
Lsm12	75.750000	0	303	0	0	0
G6pc3	75.750000	0	303	0	0	0
Etv3	75.750000	0	303	0	0	0
Chrac1	75.750000	0	303	0	0	0
Cct7	75.750000	0	303	0	0	0
Atxn10	75.750000	0	303	0	0	0
6330409D20Rik	75.750000	0	303	0	0	0
Zfp825	75.500000	0	302	0	0	0
Ubxn1	75.500000	0	302	0	0	0
Tbc1d9b	75.500000	0	302	0	0	0
Sppl2a	75.500000	0	302	0	0	0
Slc30a5	75.500000	0	302	0	0	0
Sdhaf1	75.500000	0	302	0	0	0
Rab24	75.500000	0	302	0	0	0
Prelid1	75.500000	0	302	0	0	0
Pdcd6ip	75.500000	0	302	0	0	0
Otoa	75.500000	302	0	0	0	0
Me2	75.500000	0	302	0	0	0
Igsf6	75.500000	302	0	0	0	0
Flna	75.500000	0	302	0	0	0
Cdkn1a	75.500000	0	302	0	0	0
Ascl4	75.500000	302	0	0	0	0
Aff1	75.500000	0	302	0	0	0
Zscan29	75.250000	0	301	0	0	0
Ubxn7	75.250000	0	301	0	0	0
Ube2d2a	75.250000	0	301	0	0	0
Snrpd3	75.250000	0	301	0	0	0
Slc41a2	75.250000	0	301	0	0	0
Phactr4	75.250000	0	301	0	0	0
Mindy2	75.250000	0	301	0	0	0
Lgals1	75.250000	0	0	301	0	0
Ifngr2	75.250000	0	301	0	0	0
Gucd1	75.250000	0	301	0	0	0
Gpd1l	75.250000	0	301	0	0	0
Fam71e1	75.250000	0	301	0	0	0
Emc10	75.250000	0	301	0	0	0
Cox18	75.250000	0	301	0	0	0
Abca3	75.250000	0	301	0	0	0
Abca17	75.250000	0	301	0	0	0
Ubac1	75.000000	0	300	0	0	0
Tnks2	75.000000	0	300	0	0	0
Tafa3	75.000000	0	300	0	0	0
Slc25a15	75.000000	0	300	0	0	0
Setdb2	75.000000	0	300	0	0	0
Pura	75.000000	0	300	0	0	0
Ppm1j	75.000000	0	300	0	0	0
Lnpep	75.000000	0	300	0	0	0
Hnrnpm	75.000000	0	300	0	0	0
Gm45935	75.000000	0	300	0	0	0
Gatd1	75.000000	0	300	0	0	0
Cab39l	75.000000	0	300	0	0	0
Bsdc1	75.000000	174	126	0	0	0
Tm9sf4	74.750000	0	299	0	0	0
Tiam2	74.750000	0	299	0	0	0
Rnasek	74.750000	0	299	0	0	0
Plekha1	74.750000	0	299	0	0	0
Cdan1	74.750000	0	299	0	0	0
4833439L19Rik	74.750000	0	299	0	0	0
0610010K14Rik	74.750000	0	299	0	0	0
Zxdc	74.500000	0	298	0	0	0
Ttc17	74.500000	0	298	0	0	0
Tmem116	74.500000	0	298	0	0	0
Tkt	74.500000	0	298	0	0	0
Tiprl	74.500000	0	298	0	0	0
Rhog	74.500000	0	298	0	0	0
Rab11fip1	74.500000	0	298	0	0	0
Pim3	74.500000	0	298	0	0	0
Panx1	74.500000	0	298	0	0	0
Klhl20	74.500000	0	298	0	0	0
Erp29	74.500000	0	298	0	0	0
Cyth2	74.500000	0	298	0	0	0
Csf2rb	74.500000	0	298	0	0	0
Capza1	74.500000	0	298	0	0	0
Arih2	74.500000	0	298	0	0	0
Atp2b1	74.250000	0	297	0	0	401
Zfp830	74.250000	0	297	0	0	0
Zfp148	74.250000	0	297	0	0	0
Tgfbr1	74.250000	0	297	0	0	0
Spink10	74.250000	0	297	0	0	0
Slc7a1	74.250000	0	143	154	0	0
Rrp15	74.250000	0	297	0	0	0
Pdf	74.250000	0	297	0	0	0
Pbld2	74.250000	0	297	0	0	0
Otub1	74.250000	0	297	0	0	0
Mtmr2	74.250000	0	297	0	0	0
Ldb1	74.250000	0	297	0	0	0
Hnrnph3	74.250000	0	297	0	0	0
Fbxo38	74.250000	0	297	0	0	0
Cct6b	74.250000	0	297	0	0	0
Zfp654	74.000000	0	296	0	0	0
Zfp322a	74.000000	0	296	0	0	0
Katnb1	74.000000	0	296	0	0	0
Fem1c	74.000000	0	296	0	0	0
Fam169b	74.000000	0	296	0	0	0
Diablo	74.000000	0	296	0	0	0
Cggbp1	74.000000	0	296	0	0	0
Bcl6	74.000000	0	132	0	164	0
Atg7	74.000000	0	296	0	0	0
Sprtn	73.750000	0	295	0	0	0
Slc25a51	73.750000	0	295	0	0	0
Rpl31	73.750000	0	295	0	0	0
Rac1	73.750000	0	295	0	0	0
Polg2	73.750000	0	295	0	0	0
Pip4k2a	73.750000	0	295	0	0	0
Exoc8	73.750000	0	295	0	0	0
Cmtm7	73.750000	0	295	0	0	0
Tango2	73.500000	0	294	0	0	0
Sh2b1	73.500000	0	294	0	0	0
Sec22b	73.500000	0	294	0	0	0
Rnf6	73.500000	0	294	0	0	0
Rara	73.500000	0	294	0	0	0
Mmp11	73.500000	0	294	0	0	0
Itgb1	73.500000	0	294	0	0	0
Ist1	73.500000	0	294	0	0	0
Gm867	73.500000	0	294	0	0	0
Dcaf5	73.500000	0	294	0	0	0
Crkl	73.500000	0	294	0	0	0
Clock	73.500000	0	294	0	0	0
Chchd10	73.500000	0	294	0	0	0
Capn7	73.500000	0	294	0	0	0
Arvcf	73.500000	0	294	0	0	0
Arl4a	73.500000	0	294	0	0	0
Zfp330	73.250000	0	293	0	0	0
Vcpip1	73.250000	0	293	0	0	0
Tgds	73.250000	0	293	0	0	0
Slc25a38	73.250000	0	293	0	0	0
Seh1l	73.250000	0	293	0	0	0
Llgl2	73.250000	0	293	0	0	0
H3f3a	73.250000	0	293	0	0	0
Gpr180	73.250000	0	293	0	0	0
Zfp869	73.000000	0	292	0	0	0
Vmn2r123	73.000000	292	0	0	0	0
Tymp	73.000000	0	292	0	0	0
Serpinb6a	73.000000	0	292	0	0	0
Sco2	73.000000	0	292	0	0	0
Scand1	73.000000	0	292	0	0	0
Ripk1	73.000000	0	292	0	0	0
Rbm15b	73.000000	0	292	0	0	0
Mrps18a	73.000000	0	292	0	0	0
Kctd3	73.000000	0	292	0	0	0
Inka2	73.000000	0	292	0	0	0
Ifnar2	73.000000	0	292	0	0	0
G3bp1	73.000000	0	292	0	0	0
Exoc5	73.000000	0	292	0	0	0
Cpeb4	73.000000	0	292	0	0	0
Cnbd2	73.000000	0	292	0	0	0
Ccni	73.000000	0	292	0	0	0
Arhgef7	73.000000	0	292	0	0	0
Ap5m1	73.000000	0	292	0	0	0
2010109A12Rik	73.000000	0	292	0	0	0
Ube2m	72.750000	0	291	0	0	0
Tsacc	72.750000	0	291	0	0	0
Tns1	72.750000	0	291	0	0	0
Rufy4	72.750000	0	291	0	0	0
Nup43	72.750000	0	291	0	0	0
Mxi1	72.750000	0	148	143	0	0
Csnk1g3	72.750000	0	291	0	0	0
Chmp2a	72.750000	0	291	0	0	0
Cct3	72.750000	0	291	0	0	0
Atp23	72.750000	0	291	0	0	0
Pcid2	72.500000	0	290	0	0	0
Glcci1	72.500000	0	290	0	0	0
Dpep2	72.500000	0	0	161	129	0
Cul4a	72.500000	0	290	0	0	0
Ccser2	72.500000	0	290	0	0	0
Ak3	72.500000	0	290	0	0	0
Whamm	72.250000	0	289	0	0	0
Wdr4	72.250000	0	289	0	0	0
Snu13	72.250000	0	289	0	0	0
Rusc1	72.250000	0	289	0	0	0
R3hcc1l	72.250000	0	289	0	0	0
Pygl	72.250000	0	289	0	0	0
Pld2	72.250000	0	162	0	127	0
Msh2	72.250000	0	289	0	0	0
Mrps31	72.250000	0	289	0	0	0
Ipcef1	72.250000	289	0	0	0	0
Gtpbp8	72.250000	0	162	0	127	0
Fsd2	72.250000	0	289	0	0	0
Dus1l	72.250000	0	289	0	0	0
A430005L14Rik	72.250000	0	289	0	0	0
Zswim4	72.000000	0	288	0	0	0
Ugdh	72.000000	0	288	0	0	0
Tusc1	72.000000	0	288	0	0	0
Tmtc3	72.000000	0	288	0	0	0
Stmn1	72.000000	0	288	0	0	0
Spns1	72.000000	0	288	0	0	0
Sema7a	72.000000	0	288	0	0	0
Rpl21	72.000000	0	288	0	0	0
Pithd1	72.000000	0	288	0	0	0
Nin	72.000000	0	288	0	0	0
Mocos	72.000000	0	288	0	0	0
Lpar2	72.000000	0	0	0	288	0
Cep290	72.000000	0	288	0	0	0
Cdk18	72.000000	0	288	0	0	0
Atxn7	72.000000	0	288	0	0	0
Unc13b	71.750000	287	0	0	0	0
Trim25	71.750000	0	287	0	0	0
Tbc1d10b	71.750000	287	0	0	0	0
Syngr2	71.750000	287	0	0	0	0
Stmn3	71.750000	287	0	0	0	0
Rwdd1	71.750000	0	287	0	0	0
Rhof	71.750000	0	287	0	0	0
Pik3r1	71.750000	0	287	0	0	0
Pcsk5	71.750000	287	0	0	0	0
Oaz2	71.750000	0	287	0	0	0
Mylpf	71.750000	287	0	0	0	0
Lrrk1	71.750000	0	287	0	0	0
L3mbtl1	71.750000	287	0	0	0	0
Emc7	71.750000	0	287	0	0	0
Eloa	71.750000	0	287	0	0	0
Egln2	71.750000	0	0	176	111	0
Decr1	71.750000	0	287	0	0	0
Clpp	71.750000	0	287	0	0	0
Adamtsl2	71.750000	0	0	287	0	0
2300009A05Rik	71.750000	0	287	0	0	0
Zzz3	71.500000	0	286	0	0	0
Zfp747	71.500000	0	286	0	0	0
Ybx1	71.500000	0	286	0	0	0
Uba6	71.500000	0	286	0	0	0
Tsga10	71.500000	0	286	0	0	0
Tm2d3	71.500000	0	286	0	0	0
Tex30	71.500000	0	286	0	0	0
Spata33	71.500000	0	286	0	0	0
Rab11b	71.500000	0	286	0	0	0
Pus7l	71.500000	0	286	0	0	0
Naglu	71.500000	0	286	0	0	0
Mfn2	71.500000	0	116	170	0	0
Matr3	71.500000	0	286	0	0	0
Irak4	71.500000	0	286	0	0	0
Fnbp4	71.500000	0	286	0	0	0
Dnase2a	71.500000	0	286	0	0	0
Cyc1	71.500000	0	286	0	0	0
Ciz1	71.500000	0	286	0	0	0
Chmp1a	71.500000	0	286	0	0	0
Bcl2l12	71.500000	0	286	0	0	0
Ppp3r1	71.250000	0	285	0	0	0
Osbpl11	71.250000	0	285	0	0	0
Mtif2	71.250000	0	285	0	0	0
H1f3	71.250000	0	285	0	0	0
Gm3776	71.250000	0	0	285	0	0
Ei24	71.250000	0	285	0	0	0
Csk	71.250000	0	285	0	0	0
Cops7a	71.250000	0	285	0	0	0
Bhlhe40	71.250000	0	285	0	0	0
BC031181	71.250000	0	285	0	0	0
Atp4a	71.250000	0	0	0	285	0
Arsa	71.250000	0	285	0	0	0
Zc3h6	71.000000	0	284	0	0	0
Prdm9	71.000000	0	284	0	0	0
Lmbr1l	71.000000	0	284	0	0	0
Dpf2	71.000000	0	284	0	0	0
Cd47	71.000000	0	284	0	0	0
Rcan1	70.750000	0	283	0	0	434
Zfp316	70.750000	0	283	0	0	0
Uvssa	70.750000	0	283	0	0	0
Steap4	70.750000	0	283	0	0	0
Rita1	70.750000	0	283	0	0	0
Prpsap1	70.750000	0	283	0	0	0
Pcnx3	70.750000	0	283	0	0	0
Pacsin2	70.750000	0	137	146	0	0
Mknk2	70.750000	0	283	0	0	0
Map3k11	70.750000	0	283	0	0	0
Lsm4	70.750000	0	283	0	0	0
Kdm5a	70.750000	0	283	0	0	0
Il11ra1	70.750000	0	283	0	0	0
Heatr6	70.750000	0	283	0	0	0
Galt	70.750000	0	283	0	0	0
Dpy19l4	70.750000	0	283	0	0	0
Ddx54	70.750000	0	283	0	0	0
Cltc	70.750000	0	283	0	0	0
Ccdc171	70.750000	0	283	0	0	0
Aacs	70.750000	0	283	0	0	0
Yipf3	70.500000	0	282	0	0	0
Uqcrc1	70.500000	0	282	0	0	0
Txn2	70.500000	0	282	0	0	0
Sco1	70.500000	0	282	0	0	0
Rpusd4	70.500000	0	282	0	0	0
Rnf214	70.500000	0	282	0	0	0
Rap2b	70.500000	0	282	0	0	0
Polr1c	70.500000	0	282	0	0	0
Pde4a	70.500000	0	110	0	172	0
Pcsk7	70.500000	0	282	0	0	0
Nsmf	70.500000	0	282	0	0	0
Nfrkb	70.500000	0	282	0	0	0
Nadsyn1	70.500000	0	282	0	0	0
Mthfsd	70.500000	0	282	0	0	0
Mia2	70.500000	0	282	0	0	0
Man1b1	70.500000	0	282	0	0	0
Higd1a	70.500000	0	282	0	0	0
Fam118b	70.500000	0	282	0	0	0
Dhcr7	70.500000	0	282	0	0	0
D030056L22Rik	70.500000	0	282	0	0	0
Ccnj	70.500000	0	282	0	0	0
Cars2	70.500000	0	282	0	0	0
Adprm	70.500000	0	282	0	0	0
Uqcrh	70.250000	0	281	0	0	0
Tm9sf2	70.250000	0	281	0	0	0
Tarbp2	70.250000	0	281	0	0	0
Srpr	70.250000	0	281	0	0	0
Setd1b	70.250000	0	281	0	0	0
Sbk2	70.250000	0	0	0	281	0
Rps15a	70.250000	0	281	0	0	0
Psma4	70.250000	0	281	0	0	0
Pcnt	70.250000	166	115	0	0	0
Mpp7	70.250000	95	186	0	0	0
Map3k12	70.250000	0	281	0	0	0
Lrrc41	70.250000	0	281	0	0	0
Khdrbs1	70.250000	0	281	0	0	0
Hspa14	70.250000	0	281	0	0	0
Hinfp	70.250000	0	281	0	0	0
Foxred1	70.250000	0	281	0	0	0
Crebl2	70.250000	0	179	0	102	0
Cluh	70.250000	0	281	0	0	0
Cdnf	70.250000	0	281	0	0	0
Camk1	70.250000	0	281	0	0	0
Btbd10	70.250000	0	281	0	0	0
AY074887	70.250000	0	281	0	0	0
4921539E11Rik	70.250000	0	0	0	281	0
Rnf11	70.000000	0	280	0	0	0
Pik3r3	70.000000	0	280	0	0	0
Pik3cb	70.000000	0	280	0	0	0
Nhlrc2	70.000000	0	280	0	0	0
Nenf	70.000000	0	280	0	0	0
Kdelr2	70.000000	0	280	0	0	0
Fh1	70.000000	0	280	0	0	0
Fam162a	70.000000	0	280	0	0	0
Edrf1	70.000000	0	280	0	0	0
Dclre1a	70.000000	0	280	0	0	0
Cldnd2	70.000000	0	280	0	0	0
Capn10	70.000000	0	280	0	0	0
Ubc	69.750000	0	279	0	0	0
Sptlc2	69.750000	0	279	0	0	0
Smad2	69.750000	0	279	0	0	0
Nsrp1	69.750000	0	279	0	0	0
Nav2	69.750000	0	279	0	0	0
Itfg2	69.750000	0	279	0	0	0
Hadhb	69.750000	0	279	0	0	0
Hadha	69.750000	0	279	0	0	0
Chd3	69.750000	0	279	0	0	0
Bend4	69.750000	0	279	0	0	0
Akap10	69.750000	0	279	0	0	0
Ahnak	69.750000	0	279	0	0	0
Acot9	69.750000	0	279	0	0	0
Zfp672	69.500000	0	278	0	0	0
