Target_genes	Nfatc1|Average	SRX376930|Hair_Follicle	DRX111909|Osteoclasts	SRX174585|Pancreatic_cancer_cells	SRX174586|Pancreatic_cancer_cells	STRING
Atraid	250.750000	0	300	349	354	0
Ier5	249.500000	0	998	0	0	0
Jpt1	248.500000	0	994	0	0	0
Asph	243.250000	0	609	0	364	0
Baiap2	242.500000	0	674	296	0	0
Tmem223	241.500000	287	679	0	0	0
Tmem179b	241.500000	287	679	0	0	0
Fbxw7	241.000000	0	420	0	544	0
H2-L	239.750000	0	959	0	0	0
H2-D1	239.750000	0	959	0	0	0
Ndrg4	239.250000	0	589	268	100	0
Tmem33	238.750000	0	147	258	550	0
Tmem125	237.750000	529	178	124	120	0
Rpl3	237.250000	0	949	0	0	0
Srsf3	236.750000	0	712	0	235	0
Fam53c	235.250000	0	941	0	0	0
Kbtbd7	234.250000	0	546	391	0	0
Errfi1	233.250000	0	933	0	0	0
Cad	232.500000	0	227	349	354	0
Trim41	231.250000	0	270	251	404	0
Clec4n	231.250000	651	274	0	0	0
Tmem79	230.500000	0	481	441	0	0
Smg5	230.500000	0	481	441	0	0
Calm1	230.250000	0	921	0	0	0
Asrgl1	230.250000	0	0	353	568	0
P4ha3	224.250000	0	0	243	654	0
Glul	224.250000	0	897	0	0	0
Nabp1	223.500000	0	894	0	0	0
Gtf2b	219.750000	0	879	0	0	0
Ccdc33	219.750000	0	150	655	74	0
Gm11213	219.000000	876	0	0	0	0
Wbp4	218.750000	259	616	0	0	0
Elf1	218.750000	259	616	0	0	0
Sspn	217.750000	456	230	90	95	0
Ilf2	217.750000	0	132	291	448	0
Flvcr1	215.500000	0	862	0	0	0
Ptpn2	215.250000	0	861	0	0	0
Taar7a	214.750000	859	0	0	0	0
Taar6	214.750000	859	0	0	0	0
Jund	214.250000	0	857	0	0	0
Iqcn	214.250000	0	857	0	0	0
BC005537	213.500000	0	854	0	0	0
Taf4	213.000000	0	852	0	0	0
Etnk1	212.750000	0	851	0	0	0
Zfp821	212.500000	0	294	251	305	0
Naaa	212.500000	0	251	185	414	0
Pdgfb	212.250000	0	849	0	0	0
Arid5a	211.500000	0	846	0	0	0
Ints6	209.000000	0	836	0	0	0
Nufip2	208.500000	0	834	0	0	0
Nrp2	208.000000	0	832	0	0	0
Lfng	206.750000	0	827	0	0	0
Znhit1	204.750000	245	436	138	0	0
Plod3	204.750000	245	436	138	0	0
Zbtb37	203.000000	0	812	0	0	0
Wdr3	202.500000	0	282	185	343	0
Olfr460	202.250000	0	473	202	134	0
Arrdc2	200.500000	0	802	0	0	0
Fth1	199.250000	0	797	0	0	0
Lcp2	198.250000	0	418	375	0	0
Fblim1	196.750000	0	549	238	0	0
Klf4	196.500000	0	257	135	394	0
Eif4g2	196.500000	0	786	0	0	0
Insig1	196.250000	0	785	0	0	0
Drg1	196.000000	0	784	0	0	0
B2m	196.000000	0	784	0	0	0
Nfkbia	195.250000	0	781	0	0	0
Ssty2	195.000000	0	0	262	518	0
H3f3b	195.000000	0	780	0	0	0
Gm21242	195.000000	0	0	262	518	0
Taf12	194.750000	0	779	0	0	0
Tbc1d20	194.500000	0	778	0	0	0
Vstm4	194.250000	0	0	363	414	0
Slc9a1	194.250000	0	777	0	0	0
Tex14	193.750000	0	775	0	0	0
Hsp90aa1	192.500000	0	770	0	0	0
H4c18	192.500000	0	770	0	0	0
H4bc24	192.500000	0	770	0	0	0
H2bc23	192.500000	0	770	0	0	0
H2ac24	192.500000	0	770	0	0	0
H2ac23	192.500000	0	770	0	0	0
Dlg4	191.000000	0	241	138	385	0
Acer3	190.750000	0	763	0	0	0
