Target_genes	Emx2|Average	SRX11976446|Cerebral_Cortex	SRX11976464|Cerebral_Cortex	SRX11976465|Cerebral_Cortex	STRING
Phactr1	77.333333	0	0	232	0
Mcm3	77.333333	0	0	232	0
Akap6	77.000000	0	0	231	0
Sec23a	76.666667	0	0	230	0
Nedd4	76.666667	0	0	230	0
Ifitm2	76.666667	0	0	230	0
Gemin2	76.666667	0	0	230	0
Peli2	76.333333	0	0	229	0
H4f16	76.333333	0	0	229	0
H2aj	76.333333	0	0	229	0
Acp6	76.000000	0	0	228	0
Slitrk1	75.666667	0	0	227	0
Top2a	75.333333	0	0	226	0
Ppp6r3	75.000000	0	0	225	0
Zkscan5	74.666667	0	0	224	0
Zkscan14	74.666667	0	0	224	0
Taf12	74.333333	0	0	223	0
Gas7	74.333333	0	0	223	0
Xab2	74.000000	0	0	222	0
Usp29	74.000000	0	0	222	0
Pitrm1	74.000000	0	0	222	0
Pet100	74.000000	0	0	222	0
Peg3	74.000000	0	0	222	0
Pcp2	74.000000	0	0	222	0
Nedd8	74.000000	0	0	222	0
Lamc3	74.000000	0	0	222	0
Iffo1	74.000000	0	0	222	0
Hhipl1	74.000000	0	0	222	0
Gmpr2	74.000000	0	0	222	0
Fhit	74.000000	0	0	222	0
Elmo1	74.000000	0	0	222	0
Celf6	74.000000	0	0	222	0
Gad1	73.666667	0	0	221	0
Fam135a	73.666667	0	0	221	0
Skor1	73.333333	0	0	220	0
Btbd1	73.333333	0	0	220	0
Rlbp1	73.000000	0	0	219	0
Fanci	73.000000	0	0	219	0
Sec16a	72.666667	0	0	218	0
Med13	72.666667	0	0	218	0
Malt1	72.000000	0	0	216	0
Lypd1	72.000000	0	0	216	0
Zfp960	71.666667	0	0	215	0
Knl1	71.666667	0	0	215	0
3830406C13Rik	71.666667	0	0	215	0
Tmem207	71.333333	0	0	214	0
Sez6	71.333333	0	0	214	0
Grm7	71.333333	214	0	0	0
Ghrh	71.333333	0	0	214	0
Nrep	71.000000	0	0	213	0
Syt17	70.666667	0	0	212	0
Syt13	70.666667	0	0	212	0
Oxr1	70.666667	0	0	212	0
Nenf	70.666667	0	0	212	0
Myo1b	70.666667	0	0	212	0
Lrrn2	70.666667	0	0	212	0
Kpna6	70.666667	0	0	212	0
Kmt5c	70.666667	0	0	212	0
Kif3b	70.666667	0	0	212	0
Igsf3	70.666667	0	0	212	0
Ifna1	70.666667	0	0	212	0
Hnrnpc	70.666667	0	0	212	0
Eapp	70.666667	0	0	212	0
Dmrt3	70.666667	0	0	212	0
Ctdp1	70.666667	0	0	212	0
Atp5g3	70.666667	0	0	212	0
Pmepa1	70.333333	0	0	211	0
Dio2	70.333333	0	0	211	0
Sirt4	70.000000	0	0	210	0
Shb	70.000000	0	0	210	0
Ncaph	70.000000	0	0	210	0
Cxxc4	70.000000	0	0	210	0
C8a	70.000000	0	0	210	0
Tnrc6a	69.666667	0	0	209	0
Tmem259	69.333333	0	0	208	0
Slc14a2	69.333333	0	0	208	0
Cnn2	69.333333	0	0	208	0
Mdga2	69.000000	0	0	207	0
Sv2b	68.666667	0	0	206	0
Gm13889	68.666667	0	0	206	0
Sall1	68.333333	0	0	205	0
Prdm16	68.333333	0	0	205	0
Parp11	68.333333	0	0	205	0
Rps24	67.666667	0	0	203	0
Polr3a	67.666667	0	0	203	0
Znrd1as	67.333333	0	0	202	0
Znrd1	67.333333	0	0	202	0
Zbtb40	67.333333	0	0	202	0
Ube4a	67.333333	0	0	202	0
Snrpb	67.333333	0	0	202	0
Serinc2	67.333333	0	0	202	0
Psd3	67.333333	0	0	202	0
Plce1	67.333333	0	0	202	0
Nufip1	67.333333	0	0	202	0
Nrxn3	67.333333	0	0	202	0
Npvf	67.333333	0	0	202	0
Mark1	67.333333	0	0	202	0
Kcnj5	67.333333	0	0	202	0
Gpalpp1	67.333333	0	0	202	0
Cnot11	67.333333	0	0	202	0
Adgrg1	67.333333	0	0	202	0
Adamts17	67.333333	0	0	202	0
Acadl	67.333333	0	0	202	0
Asb4	66.666667	0	0	200	0
Ankrd40	66.333333	0	0	199	0
Sobp	66.000000	0	0	198	0
Gm13290	66.000000	0	0	198	0
Gm13289	66.000000	0	0	198	0
Gm13288	66.000000	0	0	198	0
Gm13287	66.000000	0	0	198	0
Gm13285	66.000000	0	0	198	0
Ckap2	66.000000	0	0	198	0
Rnf220	65.666667	0	0	197	0
Ppia	65.333333	0	0	196	0
Zfp503	65.000000	0	0	195	0
Sesn2	64.666667	0	0	194	0
Unc13c	64.333333	0	0	193	0
Tmem11	64.333333	0	0	193	0
Tm7sf3	64.333333	0	0	193	0
Miip	64.333333	0	0	193	0
Mfap3l	64.333333	0	0	193	0
Fv1	64.333333	0	0	193	0
Exoc3l	64.333333	0	0	193	0
E2f4	64.333333	0	0	193	0
Dmbx1	64.333333	0	0	193	0
Cd164	64.333333	0	0	193	0
Calr3	64.333333	0	0	193	0
Atp5e	64.333333	0	0	193	0
