Target_genes	Thap1|Average	SRX20869753|ES_cells	SRX20869754|ES_cells	SRX20869755|ES_cells	SRX8772302|MEF	STRING
Mbd3l1	368.500000	710	610	0	154	0
Tdpoz4	366.500000	665	801	0	0	0
Mob1a	363.750000	688	703	0	64	0
Dkk4	363.500000	639	815	0	0	0
Plin3	361.250000	629	816	0	0	0
Tcte3	357.500000	680	750	0	0	0
Gm3448	357.500000	680	750	0	0	0
Gm3417	357.500000	680	750	0	0	0
Stk38l	355.250000	644	777	0	0	0
Ap1g1	354.250000	413	582	197	225	0
Mbd1	354.000000	483	815	0	118	0
9030025P20Rik	353.250000	669	744	0	0	0
Psd	352.000000	551	722	0	135	0
Fbxl15	352.000000	551	722	0	135	0
Phf6	351.000000	697	707	0	0	0
Zbed4	350.500000	647	755	0	0	0
Ermard	347.250000	680	709	0	0	0
Neurl4	345.750000	505	761	0	117	0
2810408A11Rik	345.750000	505	761	0	117	0
Zmynd12	345.500000	660	722	0	0	0
Ppcs	345.500000	660	722	0	0	0
Zfp597	345.000000	618	762	0	0	0
Gm3435	342.000000	618	750	0	0	0
Prdm4	341.500000	631	735	0	0	0
Hook2	340.250000	574	787	0	0	0
Asmt	339.500000	209	161	299	689	0
Wdpcp	332.500000	535	595	0	200	0
Mdh1	332.500000	535	595	0	200	0
Smc1a	332.250000	551	778	0	0	0
Ribc1	332.250000	551	778	0	0	0
Micu3	331.500000	497	829	0	0	0
Gcc1	331.250000	523	658	0	144	0
Fscn3	331.250000	523	658	0	144	0
Arf5	331.250000	523	658	0	144	0
Trmt6	330.000000	471	849	0	0	0
Mcm8	330.000000	471	849	0	0	0
Vps51	329.250000	449	504	0	364	0
Tmem262	329.250000	449	504	0	364	0
Spout1	327.750000	674	637	0	0	0
Nupl1	327.500000	672	638	0	0	0
Arpc3	327.000000	534	674	0	100	0
Phf14	320.750000	491	792	0	0	0
Ndufa4	320.750000	491	792	0	0	0
Tmbim4	319.000000	444	679	0	153	0
Snx11	318.000000	448	580	0	244	0
Gm20939	318.000000	418	716	0	138	0
Txlna	315.500000	587	675	0	0	0
H4c14	315.250000	374	887	0	0	0
Rabif	315.000000	588	672	0	0	0
Tdpoz1	314.500000	494	764	0	0	0
Cactin	313.250000	457	598	0	198	0
Invs	312.750000	428	674	0	149	0
Erp44	312.750000	428	674	0	149	0
Eid2	311.750000	433	814	0	0	0
Inpp5k	311.250000	419	541	0	285	0
Cstf3	310.500000	606	636	0	0	0
Farsa	308.750000	567	668	0	0	0
Irgq	307.000000	535	693	0	0	0
Zfp959	306.000000	417	634	0	173	0
Mknk2	306.000000	594	630	0	0	0
H4c18	306.000000	560	664	0	0	0
H4bc24	306.000000	560	664	0	0	0
H2bc23	306.000000	560	664	0	0	0
H2ac24	306.000000	560	664	0	0	0
H2ac23	306.000000	560	664	0	0	0
Cnep1r1	304.750000	439	499	0	281	0
Suco	304.500000	624	594	0	0	0
Natd1	304.250000	465	463	0	289	0
Naa10	301.000000	454	750	0	0	0
Chac2	300.000000	557	572	0	71	0
H4c9	299.250000	549	648	0	0	0
H2bc11	299.250000	549	648	0	0	0
H2ac11	299.250000	549	648	0	0	0
Ptdss1	299.000000	381	438	0	377	0
Mterf3	299.000000	381	438	0	377	0
H4c3	299.000000	474	722	0	0	0
H1f6	299.000000	474	722	0	0	0
Tprgl	298.750000	541	654	0	0	0
Zfp119b	296.750000	513	674	0	0	0
Ints13	294.750000	622	557	0	0	0
Fgfr1op2	294.750000	622	557	0	0	0
Acin1	292.750000	492	558	0	121	0
Gan	291.750000	412	517	0	238	0
Ogdh	291.250000	423	377	0	365	0
Gtf2a1	289.000000	404	423	0	329	0
Gas2	288.750000	311	465	0	379	0
Fancf	288.750000	311	465	0	379	0
Trub2	286.500000	452	517	0	177	0
Syngap1	286.500000	476	670	0	0	0
Cuta	286.500000	476	670	0	0	0
Zfp511	286.250000	441	526	0	178	0
Tubgcp2	286.250000	441	526	0	178	0
Pkn2	284.500000	395	743	0	0	0
Samm50	283.000000	573	469	0	90	0
Eloa	282.750000	445	454	0	232	0
Clpx	278.500000	534	580	0	0	0
Osbp	277.750000	365	746	0	0	0
Rab11b	274.750000	403	696	0	0	0
Mmachc	272.750000	383	584	0	124	0
Ccdc163	272.750000	383	584	0	124	0
H4c8	272.250000	522	567	0	0	0
H3c8	272.250000	522	567	0	0	0
H2ac10	272.250000	522	567	0	0	0
Trmt112	271.750000	340	509	0	238	0
Prdx5	271.750000	340	509	0	238	0
Dusp19	271.750000	641	446	0	0	0
H4f16	271.250000	533	552	0	0	0
H2aj	271.250000	533	552	0	0	0
Tmem139	269.500000	562	516	0	0	0
Casp2	269.500000	562	516	0	0	0
Swsap1	269.250000	444	633	0	0	0
Ercc5	268.500000	395	539	0	140	0
Nek11	267.500000	537	533	0	0	0
Aste1	267.500000	537	533	0	0	0
Zfp251	267.000000	511	557	0	0	0
Stk36	265.500000	440	622	0	0	0
Rnf25	265.500000	440	622	0	0	0
Evi5	265.000000	500	560	0	0	0
E4f1	264.500000	422	424	0	212	0
Zc3h13	264.250000	431	626	0	0	0
Trip13	264.250000	351	557	0	149	0
Brd9	264.250000	351	557	0	149	0
Fam83e	262.750000	465	586	0	0	0
1700123O20Rik	262.500000	492	558	0	0	0
Uba7	261.750000	498	549	0	0	0
Nup93	261.750000	460	587	0	0	0
Srp54a	261.000000	256	469	0	319	0
Rack1	258.750000	435	520	0	80	0
Ddx18	258.750000	460	575	0	0	0
Ufm1	258.250000	472	561	0	0	0
Ly6g5b	257.500000	396	634	0	0	0
Gpank1	257.500000	396	634	0	0	0
D17H6S53E	257.500000	396	634	0	0	0
Csnk2b	257.500000	396	634	0	0	0
Dnajb12	256.750000	352	513	0	162	0
Mtg1	254.250000	361	322	0	334	0
Tmem125	254.000000	0	184	232	600	0
Med4	253.500000	441	573	0	0	0
Zfp300	251.250000	363	642	0	0	0
Atp2c1	249.250000	476	521	0	0	0
Commd6	247.500000	443	547	0	0	0
Ccdc28b	247.250000	468	521	0	0	0
Dcaf12	246.250000	454	531	0	0	0
Yju2	245.500000	408	482	0	92	0
Usp28	245.250000	453	528	0	0	0
Cyfip2	244.000000	496	480	0	0	0
Oasl1	243.750000	0	0	0	975	0
Mospd3	243.750000	477	498	0	0	0
Ppp1r21	243.250000	447	526	0	0	0
Tmf1	240.500000	340	504	0	118	0
Prxl2c	239.250000	578	379	0	0	0
Smarca4	239.000000	472	484	0	0	0
Slc39a7	238.000000	403	549	0	0	0
Rxrb	238.000000	403	549	0	0	0
H2-Ke6	238.000000	403	549	0	0	0
Zfp267	237.000000	330	618	0	0	0
Il17ra	236.000000	246	314	0	384	0
Polr1d	235.500000	281	464	0	197	0
Lnx2	235.500000	281	464	0	197	0
Zfp639	235.250000	374	567	0	0	0
Snrnp48	235.000000	364	488	0	88	0
Ppp2r2d	231.500000	435	491	0	0	0
Mapk1ip1	231.500000	435	491	0	0	0
Krt10	229.000000	282	483	0	151	0
Isoc2b	228.750000	385	530	0	0	0
Get1	227.000000	491	417	0	0	0
Camsap1	226.000000	264	474	0	166	0
Plekhf2	224.000000	385	511	0	0	0
Tspan10	222.750000	140	404	0	347	0
Nploc4	222.750000	140	404	0	347	0
Actl6a	222.750000	345	384	0	162	0
Ebi3	222.500000	408	482	0	0	0
Ap5b1	222.250000	266	402	0	221	0
Zkscan5	221.750000	225	405	0	257	0
Zkscan14	221.750000	225	405	0	257	0
Ccz1	220.500000	341	541	0	0	0
Serinc5	218.000000	304	413	0	155	0
Ncstn	217.750000	352	382	0	137	0
Copa	217.750000	352	382	0	137	0
Plcxd1	216.000000	369	495	0	0	0
Pdf	214.250000	430	427	0	0	0
Wdr11	214.000000	306	452	0	98	0
Safb2	214.000000	331	525	0	0	0
Safb	214.000000	331	525	0	0	0
Ube2m	213.750000	312	434	0	109	0
Chmp2a	213.750000	312	434	0	109	0
Bbs2	213.000000	283	569	0	0	0
Mpp7	212.500000	352	498	0	0	0
Rps11	212.000000	382	466	0	0	0
Rpl13a	212.000000	382	466	0	0	0
Catsperg2	209.500000	438	400	0	0	0
LTO1	207.750000	394	437	0	0	0
Dffb	207.500000	264	400	0	166	0
Cep104	207.500000	264	400	0	166	0
Slc25a51	207.250000	332	343	0	154	0
Cand1	206.500000	346	480	0	0	0
Pold3	205.500000	366	456	0	0	0
Sec22b	204.750000	226	402	0	191	0
Madd	201.750000	407	400	0	0	0
Tspo	201.250000	409	396	0	0	0
Gltp	200.750000	162	283	0	358	0
Trim23	200.250000	387	414	0	0	0
Trappc13	200.250000	387	414	0	0	0
Shld3	200.250000	387	414	0	0	0
Polr2j	200.250000	303	366	0	132	0
H4c6	199.750000	359	440	0	0	0
H1f3	199.750000	359	440	0	0	0
Zfp24	198.000000	275	377	0	140	0
Sp2	198.000000	368	424	0	0	0
Shox2	197.000000	226	410	0	152	0
Rsrc1	197.000000	226	410	0	152	0
Nprl2	195.750000	163	283	0	337	0
Cyb561d2	195.750000	163	283	0	337	0
Selenok	195.000000	411	369	0	0	0
Rcor2	195.000000	0	0	0	780	0
Smdt1	193.750000	377	398	0	0	0
Pheta2	193.750000	377	398	0	0	0
Alkbh5	193.250000	335	438	0	0	0
Rdh14	192.500000	363	407	0	0	0
Dhodh	190.750000	296	335	0	132	0
Kbtbd2	190.250000	305	456	0	0	0
Xrcc4	190.000000	305	455	0	0	0
Tmem167	190.000000	305	455	0	0	0
Hps5	189.500000	333	425	0	0	0
Gtf2h1	189.500000	333	425	0	0	0
Gsdmc4	189.500000	346	412	0	0	0
Foxj1	189.500000	395	363	0	0	0
Mos	188.750000	308	447	0	0	0
Zfp146	188.250000	281	472	0	0	0
Ube4a	188.250000	238	357	0	158	0
D230025D16Rik	188.250000	443	310	0	0	0
Sppl2b	187.750000	270	481	0	0	0
Lsm7	187.750000	270	481	0	0	0
Armc5	187.500000	279	471	0	0	0
9130023H24Rik	187.500000	279	471	0	0	0
Dusp11	187.000000	306	337	0	105	0
Uspl1	186.000000	260	331	0	153	0
Gm4981	185.750000	188	238	155	162	0
Trmt11	185.250000	341	400	0	0	0
Zfp707	184.500000	207	413	0	118	0
Pih1d1	184.250000	418	319	0	0	0
Aldh16a1	184.250000	418	319	0	0	0
Pcx	183.500000	384	350	0	0	0
Zmynd8	182.750000	293	438	0	0	0
Ccnt1	182.500000	300	430	0	0	0
4930415O20Rik	182.500000	300	430	0	0	0
Rpap2	182.000000	385	343	0	0	0
Glmn	182.000000	385	343	0	0	0
Stk19	181.750000	242	376	0	109	0
Dxo	181.750000	242	376	0	109	0
Rpp38	181.250000	364	361	0	0	0
Acbd7	181.250000	364	361	0	0	0
Mark4	180.750000	216	507	0	0	0
Exoc3l2	180.750000	216	507	0	0	0
Hnrnpul1	180.250000	298	245	0	178	0
Rita1	180.000000	197	401	0	122	0
Ddx54	180.000000	197	401	0	122	0
Prrc2a	179.500000	266	452	0	0	0
Traf7	179.000000	297	419	0	0	0
Man2c1	178.500000	314	282	0	118	0
Med23	177.250000	239	470	0	0	0
Csnk1a1	176.500000	282	424	0	0	0
Aaas	175.000000	236	295	0	169	0
Stx18	174.250000	194	284	0	219	0
Gsto2	173.500000	167	412	0	115	0
Ireb2	172.000000	262	426	0	0	0
Pex3	171.750000	186	323	0	178	0
Adat2	171.750000	186	323	0	178	0
Tysnd1	171.500000	374	312	0	0	0
Fam120b	171.500000	195	363	0	128	0
Kctd5	171.250000	297	240	148	0	0
Tmem41b	169.250000	217	460	0	0	0
Gtpbp3	169.250000	214	340	0	123	0
Ano8	169.250000	214	340	0	123	0
Zfp369	168.750000	143	149	0	383	0
Gmps	168.500000	277	286	0	111	0
Rsl1	168.250000	294	379	0	0	0
Fga	168.250000	219	454	0	0	0
Chrnb1	168.250000	288	385	0	0	0
Mrpl48	167.500000	229	321	0	120	0
Nat10	167.250000	264	405	0	0	0
Gulp1	167.250000	249	332	0	88	0
Rer1	167.000000	244	424	0	0	0
Morn1	167.000000	244	424	0	0	0
Ints3	165.750000	285	378	0	0	0
Vhl	164.000000	296	360	0	0	0
Pigo	163.500000	192	462	0	0	0
Nbeal2	163.500000	197	386	0	71	0
Ccdc12	163.500000	197	386	0	71	0
Pold4	163.250000	270	383	0	0	0
Rfesd	162.750000	212	439	0	0	0
H4c4	162.500000	235	415	0	0	0
H2bc6	162.500000	235	415	0	0	0
Tmem198b	162.000000	290	358	0	0	0
Stau1	162.000000	217	431	0	0	0
Rrp15	162.000000	140	315	0	193	0
Parn	162.000000	305	343	0	0	0
Dnajc14	162.000000	290	358	0	0	0
Bfar	162.000000	305	343	0	0	0
Ube2z	161.750000	264	383	0	0	0
Cdc34	161.000000	249	395	0	0	0
Mboat2	159.750000	268	371	0	0	0
Golga7	159.750000	204	435	0	0	0
Tuba1c	159.500000	300	338	0	0	0
Htra2	159.500000	341	297	0	0	0
Dtx2	159.500000	427	211	0	0	0
Dqx1	159.500000	341	297	0	0	0
Heatr6	159.250000	204	315	0	118	0
Necab3	158.750000	178	457	0	0	0
Atxn2l	158.500000	292	342	0	0	0
Mcm7	158.250000	126	175	0	332	0
Elf2	158.250000	234	399	0	0	0
Ap4m1	158.250000	126	175	0	332	0
Nup62	158.000000	357	275	0	0	0
Il4i1b	158.000000	357	275	0	0	0
Hint3	158.000000	262	370	0	0	0
Atf5	158.000000	357	275	0	0	0
Cpsf1	157.250000	202	309	0	118	0
Rbm33	155.500000	193	305	0	124	0
Zfp429	155.250000	233	388	0	0	0
H4c2	155.250000	248	373	0	0	0
H4c1	155.250000	248	373	0	0	0
H3c2	155.250000	248	373	0	0	0
Mecr	154.000000	189	427	0	0	0
Csnk1g2	153.750000	341	274	0	0	0
Zcchc4	152.250000	245	364	0	0	0
Ttc37	152.250000	227	382	0	0	0
Arsk	152.250000	227	382	0	0	0
Acy1	152.000000	311	297	0	0	0
Snrpb2	151.250000	129	206	0	270	0
Rngtt	151.000000	278	326	0	0	0
Vmn1r2	150.750000	189	205	209	0	0
Lif	150.500000	228	257	0	117	0
Ssbp1	149.750000	130	241	0	228	0
Parm1	149.750000	283	316	0	0	0
Eif3m	149.750000	257	342	0	0	0
Yipf2	149.500000	277	321	0	0	0
Timm29	149.500000	277	321	0	0	0
Smim8	149.500000	226	256	0	116	0
Gsk3a	148.000000	153	269	0	170	0
Kat5	147.500000	245	345	0	0	0
Zfp622	147.000000	223	365	0	0	0
Zfp574	147.000000	220	368	0	0	0
Ssr3	147.000000	250	338	0	0	0
Grik5	147.000000	220	368	0	0	0
Dcp1a	147.000000	198	390	0	0	0
Pdhx	146.250000	186	175	0	224	0
Def8	146.250000	182	250	0	153	0
Apip	146.250000	186	175	0	224	0
Ttc4	145.500000	222	244	0	116	0
Chd8	144.000000	202	374	0	0	0
Bloc1s4	143.750000	212	363	0	0	0
Prelid3b	143.000000	311	261	0	0	0
Cc2d1a	142.500000	257	313	0	0	0
Btbd9	142.500000	200	262	0	108	0
4930432K21Rik	142.500000	257	313	0	0	0
Gamt	142.250000	248	321	0	0	0
Dazap1	142.250000	248	321	0	0	0
Commd10	142.000000	214	354	0	0	0
Smarca5	141.750000	239	328	0	0	0
Mob3a	141.250000	282	283	0	0	0
Izumo4	141.250000	282	283	0	0	0
Tcf19	141.000000	236	328	0	0	0
Cchcr1	141.000000	236	328	0	0	0
Atp5o	140.500000	229	333	0	0	0
Trim50	139.750000	0	0	0	559	0
Dnttip2	139.750000	0	368	0	191	0
Taok2	139.000000	230	326	0	0	0
Hmgcr	139.000000	255	301	0	0	0
Dnmt1	139.000000	255	301	0	0	0
Cox8a	138.750000	177	378	0	0	0
Dad1	138.500000	231	323	0	0	0
Abhd4	138.500000	231	323	0	0	0
E130309D02Rik	138.000000	166	153	0	233	0
Taco1	137.500000	280	270	0	0	0
Psma6	136.750000	302	245	0	0	0
Nop53	136.750000	234	313	0	0	0
Tssk6	136.250000	330	215	0	0	0
Pgap3	136.250000	213	204	0	128	0
Ndufa13	136.250000	330	215	0	0	0
Lrriq3	136.250000	239	306	0	0	0
Fpgt	136.250000	239	306	0	0	0
Cluap1	136.000000	170	247	0	127	0
1700037C18Rik	136.000000	170	247	0	127	0
Ncaph2	135.750000	239	304	0	0	0
Lmf2	135.750000	239	304	0	0	0
Tmem209	135.250000	231	310	0	0	0
Ssmem1	135.250000	231	310	0	0	0
Rhbdd1	134.750000	205	220	0	114	0
Zbtb41	134.250000	274	263	0	0	0
Rgl2	134.250000	214	323	0	0	0
Snrnp70	134.000000	266	270	0	0	0
Slc39a13	134.000000	166	203	0	167	0
Tmem175	133.750000	169	204	0	162	0
Ndufs7	133.750000	140	330	0	65	0
Gak	133.750000	169	204	0	162	0
Trappc9	133.500000	223	311	0	0	0
Nr3c1	133.250000	247	286	0	0	0
Trappc1	133.000000	267	265	0	0	0
Kcnab3	133.000000	267	265	0	0	0
Cntrob	133.000000	267	265	0	0	0
Utp3	132.750000	230	189	0	112	0
Tceal1	131.250000	245	280	0	0	0
Nmt1	131.000000	130	181	0	213	0
Csde1	130.750000	248	275	0	0	0
Wdr27	130.500000	202	320	0	0	0
1600012H06Rik	130.500000	202	320	0	0	0
Gtf2f1	129.500000	142	376	0	0	0
Vps8	129.250000	205	312	0	0	0
Rnf31	129.000000	262	254	0	0	0
Psme2	129.000000	262	254	0	0	0
Pggt1b	128.000000	165	184	0	163	0
Mrpl39	125.500000	292	210	0	0	0
Zfp322a	125.000000	241	259	0	0	0
Phax	125.000000	174	326	0	0	0
Mettl2	125.000000	202	149	0	149	0
Aldh7a1	125.000000	174	326	0	0	0
Zfp991	124.750000	133	171	195	0	0
Slx4	124.750000	156	343	0	0	0
Txn2	123.000000	245	247	0	0	0
Psmc3	122.500000	233	257	0	0	0
H4c17	122.250000	167	322	0	0	0
Pdss1	122.000000	181	307	0	0	0
Nudcd1	122.000000	0	91	0	397	0
Ndufs3	122.000000	0	308	0	180	0
Kbtbd4	122.000000	0	308	0	180	0
Eny2	122.000000	0	91	0	397	0
Gjd3	121.750000	297	190	0	0	0
Ambra1	121.750000	164	323	0	0	0
Osbpl9	121.250000	116	214	0	155	0
Rars2	121.000000	214	270	0	0	0
Orc3	121.000000	214	270	0	0	0
Zfp579	120.750000	173	310	0	0	0
Gm3667	120.250000	190	163	128	0	0
Bnip3	120.250000	242	239	0	0	0
Ace	120.000000	212	268	0	0	0
Chmp5	119.750000	193	286	0	0	0
Bag1	119.750000	193	286	0	0	0
Tdrd9	119.500000	247	231	0	0	0
Fkbp1a	119.500000	241	237	0	0	0
Eml6	119.500000	234	244	0	0	0
Atp5mpl	119.500000	247	231	0	0	0
Lrrc57	119.250000	151	326	0	0	0
Haus2	119.250000	151	326	0	0	0
Mrto4	118.500000	214	260	0	0	0
Emc1	118.500000	214	260	0	0	0
Smg8	118.000000	187	285	0	0	0
Eif5a	118.000000	262	210	0	0	0
Fam161b	117.250000	174	295	0	0	0
Coq6	117.250000	174	295	0	0	0
Cbarp	117.250000	221	248	0	0	0
Atp5d	117.250000	221	248	0	0	0
Spint1	116.750000	165	302	0	0	0
Serf1	116.750000	186	281	0	0	0
Kazald1	116.750000	229	238	0	0	0
Bdp1	116.750000	186	281	0	0	0
Mycbp2	116.500000	203	263	0	0	0
Champ1	116.250000	212	253	0	0	0
Zfpl1	116.000000	184	280	0	0	0
Cdca5	116.000000	184	280	0	0	0
Cic	115.750000	196	267	0	0	0
Znrd1as	115.250000	154	307	0	0	0
Znrd1	115.250000	154	307	0	0	0
Rab5if	114.250000	122	335	0	0	0
Sfi1	114.000000	167	182	0	107	0
Sec13	114.000000	197	259	0	0	0
Rtel1	113.750000	135	320	0	0	0
Parp11	113.250000	227	226	0	0	0
Eif2s1	113.250000	175	278	0	0	0
Ccdc130	113.250000	209	244	0	0	0
Atp6v1d	113.250000	175	278	0	0	0
Etfrf1	112.000000	204	244	0	0	0
Casc1	112.000000	204	244	0	0	0
Spopl	111.250000	193	252	0	0	0
Bms1	111.250000	197	248	0	0	0
Xpo5	110.750000	231	212	0	0	0
Ppip5k2	110.750000	179	264	0	0	0
Polh	110.750000	231	212	0	0	0
Gin1	110.750000	179	264	0	0	0
Sgo1	109.750000	178	261	0	0	0
Mapk15	109.500000	207	231	0	0	0
Rpain	108.750000	178	257	0	0	0
Becn1	108.750000	154	281	0	0	0
Mettl21a	108.500000	247	187	0	0	0
Mrpl3	108.250000	153	280	0	0	0
Aurkaip1	108.250000	96	207	0	130	0
Scyl1	108.000000	163	269	0	0	0
Jade2	107.250000	186	243	0	0	0
Ptgr2	106.500000	166	260	0	0	0
Sh3gl1	106.250000	124	301	0	0	0
Polr3b	106.250000	166	259	0	0	0
Chaf1a	106.250000	124	301	0	0	0
Tssc4	106.000000	182	242	0	0	0
Rpl29	106.000000	0	195	0	229	0
Hacl1	106.000000	186	238	0	0	0
Btd	106.000000	186	238	0	0	0
Mrpl52	105.750000	182	241	0	0	0
Mmp14	105.750000	182	241	0	0	0
Senp1	105.250000	191	230	0	0	0
Pfkm	105.250000	191	230	0	0	0
Tomm6	105.000000	190	230	0	0	0
Zfp143	104.750000	141	0	0	278	0
Ccdc71l	104.750000	175	244	0	0	0
Slc35b1	104.250000	148	269	0	0	0
Rps3a1	104.250000	178	239	0	0	0
Lamtor3	104.250000	148	269	0	0	0
Cltc	104.000000	196	220	0	0	0
Ubr2	103.500000	147	267	0	0	0
Wdr36	103.250000	164	249	0	0	0
Rab4b	103.000000	208	204	0	0	0
Nol8	103.000000	171	241	0	0	0
Mia	103.000000	208	204	0	0	0
Etfbkmt	103.000000	213	199	0	0	0
Cenpp	103.000000	171	241	0	0	0
Tmem242	102.500000	123	287	0	0	0
Drg2	102.000000	206	202	0	0	0
5730455P16Rik	101.750000	131	276	0	0	0
Chmp4b	101.500000	205	201	0	0	0
Surf6	101.250000	149	256	0	0	0
Prss38	101.000000	187	217	0	0	0
Zc3h18	100.750000	139	264	0	0	0
Nfe2	100.500000	149	253	0	0	0
Dux	100.500000	164	238	0	0	0
Pigu	100.250000	208	193	0	0	0
Gps2	100.000000	146	123	0	131	0
Cops8	99.750000	118	281	0	0	0
Mfsd8	99.500000	187	211	0	0	0
Psph	99.250000	98	188	0	111	0
Cct6a	99.250000	98	188	0	111	0
Ddx19b	98.750000	151	244	0	0	0
Aars	98.750000	151	244	0	0	0
Gabpb2	98.500000	111	207	0	76	0
Zc3h12a	98.250000	149	244	0	0	0
Emc7	98.250000	76	163	0	154	0
Ccdc9	98.250000	141	252	0	0	0
Ska3	98.000000	166	226	0	0	0
Mrpl57	98.000000	166	226	0	0	0
Alkbh3	98.000000	211	181	0	0	0
Sufu	97.750000	195	196	0	0	0
Nol11	97.750000	195	196	0	0	0
Grpel1	97.750000	159	232	0	0	0
Fibp	97.750000	227	164	0	0	0
Ccdc85b	97.750000	227	164	0	0	0
Actr1a	97.750000	195	196	0	0	0
Rpp25l	97.500000	191	199	0	0	0
Taf1a	97.250000	197	192	0	0	0
Brpf1	97.250000	108	281	0	0	0
Ankrd40	97.250000	212	177	0	0	0
Thop1	97.000000	103	285	0	0	0
Nudt15	97.000000	165	223	0	0	0
Gatd3a	97.000000	149	239	0	0	0
Ube2d3	96.250000	172	213	0	0	0
Ltn1	96.250000	128	257	0	0	0
Gabpa	96.250000	105	150	0	130	0
Dmap1	96.250000	130	255	0	0	0
Atp5j	96.250000	105	150	0	130	0
Tstd2	96.000000	169	215	0	0	0
Ncbp1	96.000000	169	215	0	0	0
B4galt7	96.000000	0	384	0	0	0
Mrpl40	95.750000	0	138	0	245	0
Mmaa	95.750000	174	209	0	0	0
Hira	95.750000	0	138	0	245	0
Polr3g	95.500000	101	281	0	0	0
Mblac2	95.500000	101	281	0	0	0
Acsf3	95.500000	139	243	0	0	0
Sh2b1	95.250000	157	224	0	0	0
Rab40c	94.750000	148	140	0	91	0
Timm44	94.500000	154	224	0	0	0
Ppp2ca	94.500000	106	272	0	0	0
Pars2	94.500000	154	224	0	0	0
Slc7a1	94.250000	163	214	0	0	0
Tasp1	94.000000	192	184	0	0	0
Nsa2	94.000000	203	173	0	0	0
Metap2	94.000000	0	177	0	199	0
Gfm2	94.000000	203	173	0	0	0
Tia1	93.500000	188	186	0	0	0
Pld3	93.000000	157	215	0	0	0
2310022A10Rik	93.000000	157	215	0	0	0
Hmg20b	92.000000	204	164	0	0	0
Rag2	91.750000	138	141	0	88	0
Iftap	91.750000	138	141	0	88	0
Snx12	91.500000	164	202	0	0	0
1110038F14Rik	91.500000	116	95	0	155	0
Ap1m1	91.250000	169	196	0	0	0
Uvssa	90.750000	137	226	0	0	0
Srp19	90.750000	162	201	0	0	0
Tut7	90.500000	113	249	0	0	0
Edc4	90.500000	143	219	0	0	0
R3hcc1l	90.000000	125	99	0	136	0
Scfd2	89.750000	148	211	0	0	0
Fip1l1	89.750000	148	211	0	0	0
Pes1	89.500000	117	241	0	0	0
Lonp2	89.500000	158	200	0	0	0
Gm2237	89.500000	124	234	0	0	0
Gosr1	89.250000	114	94	0	149	0
Snrpc	89.000000	0	239	0	117	0
Golga3	89.000000	119	237	0	0	0
Ctdsp2	89.000000	219	137	0	0	0
Avil	89.000000	219	137	0	0	0
Dctpp1	88.750000	166	189	0	0	0
Ddx49	88.500000	210	144	0	0	0
Cope	88.500000	210	144	0	0	0
Pard6b	88.250000	155	198	0	0	0
Mcf2l	88.250000	135	218	0	0	0
Got1	88.250000	125	228	0	0	0
Amz2	88.250000	195	158	0	0	0
Pisd	87.750000	176	175	0	0	0
Etf1	87.750000	186	165	0	0	0
Rbfox2	87.500000	97	126	0	127	0
Mctp1	87.500000	111	179	0	60	0
Stx16	87.250000	152	197	0	0	0
Gtf3c1	87.250000	121	228	0	0	0
D430042O09Rik	87.250000	121	228	0	0	0
Tmem222	87.000000	166	182	0	0	0
Mks1	86.750000	162	185	0	0	0
Copg1	86.750000	129	218	0	0	0
Cog2	86.750000	142	205	0	0	0
Qtrt2	86.500000	173	173	0	0	0
Ddx56	86.500000	139	207	0	0	0
Ccdc191	86.500000	173	173	0	0	0
Smg7	86.000000	143	201	0	0	0
Tmx2	85.750000	152	191	0	0	0
Med19	85.750000	152	191	0	0	0
Dus1l	85.750000	145	198	0	0	0
Piezo1	85.250000	97	244	0	0	0
Mettl9	85.250000	132	209	0	0	0
Dusp23	85.000000	180	160	0	0	0
Cyb561d1	85.000000	85	139	0	116	0
Ndc80	84.500000	130	208	0	0	0
Lsm4	84.250000	148	189	0	0	0
Isy1	83.750000	123	212	0	0	0
Nme1	83.500000	154	180	0	0	0
Hspa4	83.500000	130	204	0	0	0
Wbp1	83.000000	182	150	0	0	0
Slc39a3	83.000000	130	202	0	0	0
Ino80b	83.000000	182	150	0	0	0
Klhl20	82.250000	148	181	0	0	0
Scamp4	82.000000	183	145	0	0	0
Adat3	82.000000	183	145	0	0	0
Sec14l1	81.500000	189	137	0	0	0
Tti2	81.250000	152	173	0	0	0
Shpk	81.250000	115	210	0	0	0
Sco1	81.250000	148	177	0	0	0
Rfc3	81.250000	126	199	0	0	0
Polr3k	81.250000	169	156	0	0	0
Ctns	81.250000	115	210	0	0	0
Adprm	81.250000	148	177	0	0	0
Rnf185	80.750000	168	155	0	0	0
Zmym6	80.250000	117	204	0	0	0
Sirt6	79.750000	154	165	0	0	0
Sbno2	79.750000	172	147	0	0	0
Parp6	79.750000	129	190	0	0	0
Dhx8	79.750000	0	129	0	190	0
Ankrd24	79.750000	154	165	0	0	0
Sh3glb2	79.500000	190	128	0	0	0
Miga2	79.500000	190	128	0	0	0
Sdccag8	79.250000	130	187	0	0	0
Pfas	79.250000	174	143	0	0	0
Ctdp1	79.250000	142	175	0	0	0
Cep170	79.250000	130	187	0	0	0
2310057M21Rik	79.250000	104	213	0	0	0
Nol12	78.750000	113	202	0	0	0
Ciao3	78.750000	0	315	0	0	0
