Target_genes	Thap1|Average	SRX20869753|ES_cells	SRX20869754|ES_cells	SRX20869755|ES_cells	SRX8772302|MEF	STRING
Map2k5	1726.250000	2809	2788	0	1308	0
Rcc1l	1724.250000	2810	2773	0	1314	0
C9orf72	1721.000000	2953	2850	0	1081	0
Dars2	1719.750000	2832	2742	0	1305	0
Gtf3c6	1717.500000	2825	2825	0	1220	0
Cdk5rap2	1716.500000	2754	2632	0	1480	0
Slc17a5	1710.000000	2940	2817	0	1083	0
Srfbp1	1707.250000	2819	2964	0	1046	0
Xab2	1706.750000	2872	2740	0	1215	0
Pet100	1706.750000	2872	2740	0	1215	0
Pcp2	1706.750000	2872	2740	0	1215	0
Fam193b	1703.750000	3026	2890	0	899	0
Zfp747	1701.500000	2971	2903	0	932	0
Creld2	1701.000000	2802	2694	0	1308	0
Alg12	1701.000000	2802	2694	0	1308	0
Cstf2t	1700.750000	2839	2725	0	1239	0
Actr8	1699.250000	2891	2737	0	1169	0
Dph6	1698.000000	2864	2838	0	1090	0
Shoc2	1696.000000	2775	2581	0	1428	0
Bbip1	1696.000000	2775	2581	0	1428	0
Tmem134	1693.000000	2820	2788	0	1164	0
Aip	1693.000000	2820	2788	0	1164	0
Gba	1691.500000	2840	2777	0	1149	0
Ippk	1688.000000	2945	2911	0	896	0
Trmt12	1679.000000	2973	2960	0	783	0
Ate1	1678.500000	2828	2690	0	1196	0
Txndc15	1677.750000	2893	2762	0	1056	0
Lrrc8a	1677.000000	2957	2961	0	790	0
Ing4	1675.750000	2948	2813	0	942	0
Mettl3	1675.500000	2712	2790	0	1200	0
AW209491	1674.750000	2910	2890	0	899	0
Nars	1669.250000	2706	2618	0	1353	0
Slx1b	1668.250000	2858	2728	0	1087	0
Bola2	1668.250000	2858	2728	0	1087	0
Pik3ca	1663.000000	3131	3118	0	403	0
Pex7	1663.000000	2947	2881	0	824	0
E430018J23Rik	1662.750000	2964	2883	0	804	0
Stk40	1661.750000	2937	2969	0	741	0
Tmem94	1661.000000	2675	2606	0	1363	0
N4bp1	1656.000000	2807	2636	0	1181	0
Exosc2	1656.000000	2858	2722	0	1044	0
Rnf24	1653.500000	2870	2907	343	494	0
Tor1a	1651.500000	2926	2795	0	885	453
