Target_genes	Mecp2|Average	SRX150258|Brain	SRX150260|Brain	SRX2384329|Brain_cortex	SRX2384331|Brain_cortex	SRX2384333|Brain_cortex	SRX2384335|Brain_cortex	SRX2384337|Brain_cortex	SRX2384339|Brain_cortex	ERX132617|B_cells	SRX968953|Cerebellar_Cortex	SRX2607713|Cerebellar_granule_neurons	SRX2607715|Cerebellar_granule_neurons	SRX150262|Cerebellum	SRX669237|Cerebellum	SRX669239|Cerebellum	SRX22079977|Cortex	SRX22079978|Cortex	SRX22079979|Cortex	SRX22079980|Cortex	SRX22079981|Cortex	SRX22079982|Cortex	SRX22079983|Cortex	SRX22079984|Cortex	SRX3242157|Cortex	SRX3242158|Cortex	SRX4017503|Cortex	SRX4017505|Cortex	SRX5509026|Embryonic_brains	SRX5509027|Embryonic_brains	SRX5509028|Embryonic_brains	SRX5509029|Embryonic_brains	SRX5509030|Embryonic_brains	SRX5509031|Embryonic_brains	SRX5509032|Embryonic_brains	SRX5509033|Embryonic_brains	SRX669235|Embryonic_brains	SRX7066399|Embryonic_brains	SRX7066400|Embryonic_brains	SRX7066401|Embryonic_brains	SRX7066402|Embryonic_brains	SRX7066403|Embryonic_brains	SRX7066404|Embryonic_brains	SRX7066405|Embryonic_brains	SRX7066406|Embryonic_brains	SRX22049164|Forebrain	SRX22049165|Forebrain	SRX22049166|Forebrain	SRX22049167|Forebrain	SRX22049168|Forebrain	SRX22049169|Forebrain	SRX3430978|Frontal_cortex	SRX3430979|Frontal_cortex	SRX3430980|Frontal_cortex	SRX3430984|Frontal_cortex	SRX3430985|Frontal_cortex	SRX3430986|Frontal_cortex	SRX5731669|Frontal_cortex	SRX5731670|Frontal_cortex	SRX5731672|Frontal_cortex	SRX5731673|Frontal_cortex	SRX5731675|Frontal_cortex	SRX5731676|Frontal_cortex	SRX5731678|Frontal_cortex	SRX5731679|Frontal_cortex	SRX968949|Frontal_cortex	SRX968951|Frontal_cortex	SRX19731113|Liver	SRX19731114|Liver	SRX19731115|Liver	SRX19731116|Liver	SRX19731117|Liver	SRX19731118|Liver	SRX5172955|MEF	SRX5172956|MEF	SRX1113143|Olfactory_epithelium	SRX1113144|Olfactory_epithelium	SRX5287318|Olfactory_Nerve	SRX5287319|Olfactory_Nerve	ERX132622|Th1_Cells	STRING
Vmn2r102	77.075949	0	0	0	0	249	0	0	253	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	462	374	210	0	272	218	198	0	193	251	0	282	0	197	230	188	328	203	261	221	380	168	0	263	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	242	0	0	0	0	0	0	0
Erdr1	71.443038	0	0	0	0	0	0	0	0	1607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	143	0	0	78	0	168	0	0	137	0	130	0	0	0	0	0	0	0	0	0	0	0	140	89	421	378	379	371	1510	0
Haus1	71.253165	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1362	543	1249	520	1030	0
Atp5a1	71.253165	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1362	543	1249	520	1030	0
Fam149b	69.025316	0	0	0	0	0	0	0	0	1726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	631	226	696	255	1857	0
Ecd	69.025316	0	0	0	0	0	0	0	0	1726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	631	226	696	255	1857	0
Dchs2	68.645570	0	0	0	0	0	0	0	0	776	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	321	679	754	687	756	878	0
Dlg3	66.417722	0	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	879	1238	794	649	0
Speer4e	65.620253	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	392	334	355	369	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740	686	725	691	0	0
4931408C20Rik	65.582278	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	136	0	0	0	0	59	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	340	245	272	347	275	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	109	678	742	684	736	0	0
Pcdhb22	63.848101	0	0	0	0	0	0	0	0	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	167	207	169	2189	0
Abhd6	61.202532	279	200	0	0	0	0	0	0	0	0	0	0	0	272	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	414	0	0	0	0	0	0	587	628	558	235	620	253	0	0
Gm51573	60.683544	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	167	0	156	0	147	136	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	358	199	152	123	379	0	0	0	0	0	0	0	0	0	0	0	180	0	0	113	0	0	113	393	400	374	392	279	0
Gm10354	59.291139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	332	346	391	296	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	450	835	566	0	0
Nkap	58.848101	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	188	1293	703	1317	719	124	0
Wfdc12	57.848101	0	0	0	0	0	0	0	0	2123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	82	0	2285	0
Pea15a	57.291139	0	0	0	0	0	0	0	0	2289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2237	0
Tmbim7	56.632911	0	0	0	0	0	0	0	0	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1113	371	1055	210	874	0
Vmn2r72	55.949367	0	0	0	0	0	0	0	0	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	765	954	781	474	0
Wfdc5	55.797468	0	0	0	0	0	0	0	0	2123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2285	0
Speer4d	55.620253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	242	257	278	180	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	777	665	779	652	0	0
Gm21119	53.848101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	238	360	189	273	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797	536	795	530	0	0
Tmem267	53.594937	0	0	0	0	0	0	0	0	1562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	200	197	0	157	0	1875	0
Rgs20	53.088608	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959	742	905	769	417	0
4930467E23Rik	53.088608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	238	360	189	273	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	535	751	518	0	0
Nudt16l1	52.696203	0	0	0	0	0	0	0	0	1956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2207	0
