Target_genes	Lhx2|Average	SRX11976466|Cerebral_Cortex	SRX310225|Dermal_fibroblasts	SRX310227|Dermal_fibroblasts	SRX310229|Dermal_fibroblasts	SRX2487346|Olfactory_Nerve	SRX2487347|Olfactory_Nerve	SRX2487356|Olfactory_Nerve	SRX3064886|Olfactory_Nerve	STRING
Heatr6	283.625000	0	0	0	0	1130	1139	0	0	0
Foxj1	283.625000	0	0	0	0	1196	1073	0	0	0
Proser1	282.750000	0	0	0	0	1282	980	0	0	0
Nhlrc3	282.750000	0	0	0	0	1282	980	0	0	0
Col17a1	281.000000	0	0	0	0	1106	1142	0	0	0
Ubr2	278.500000	0	0	0	0	1158	1070	0	0	0
Clgn	277.500000	0	0	0	0	1270	950	0	0	0
Fam8a1	276.875000	0	0	0	0	1200	1015	0	0	0
Slc14a2	275.375000	0	0	0	0	1031	1172	0	0	0
Glcci1	274.500000	0	0	0	0	1114	1082	0	0	0
Gsg1l	274.250000	151	0	0	0	1013	1030	0	0	0
Ell3	273.375000	0	0	0	0	1247	940	0	0	0
Maats1	272.875000	0	0	0	0	1253	930	0	0	0
Nol4	272.750000	0	0	0	0	1264	918	0	0	0
Kctd16	272.625000	0	0	0	0	1103	1078	0	0	0
Ap2s1	271.250000	0	0	0	0	1072	1098	0	0	0
Olfr279	268.375000	0	0	0	0	1211	936	0	0	0
Pth2	267.625000	0	0	0	0	1280	861	0	0	0
Gfy	267.625000	0	0	0	0	1280	861	0	0	0
Vwa3a	267.000000	0	0	0	0	1117	1019	0	0	0
Epc1	267.000000	0	0	0	0	1052	1084	0	0	0
C9	266.125000	0	0	0	0	1101	1028	0	0	0
Ankrd54	265.625000	0	0	0	0	1195	930	0	0	0
Spata25	265.500000	0	0	0	0	1038	1086	0	0	0
Ctsa	265.500000	0	0	0	0	1038	1086	0	0	0
Ptms	264.500000	0	0	0	0	1086	1030	0	0	0
Lag3	264.500000	0	0	0	0	1086	1030	0	0	0
Nfil3	263.375000	0	0	0	0	1181	926	0	0	0
Umodl1	262.000000	0	0	0	0	1217	879	0	0	0
Zfp386	261.125000	0	0	0	0	1064	1025	0	0	0
Fgf12	259.750000	0	0	0	0	1062	1016	0	0	0
Rassf2	258.125000	0	0	0	0	1130	935	0	0	0
Wdr33	255.875000	0	0	0	0	1003	1044	0	0	0
Tmem161b	254.375000	0	0	0	0	966	1069	0	0	0
Cfap20	254.125000	0	0	0	0	1051	982	0	0	0
Ptprs	254.000000	0	0	0	0	980	1052	0	0	0
Zfp317	253.250000	0	0	0	111	1121	794	0	0	0
Klkb1	252.875000	0	0	0	0	984	1039	0	0	0
Jaml	252.750000	0	0	0	0	1073	949	0	0	0
Wwox	252.500000	223	181	502	392	0	0	315	407	0
Ccdc88c	251.125000	0	0	0	0	911	1098	0	0	0
Rapgef1	250.875000	0	0	0	0	1091	916	0	0	0
Gpsm1	250.625000	0	0	0	0	1055	950	0	0	0
Atp8b4	250.625000	0	0	0	0	1071	934	0	0	0
Sema7a	249.375000	0	0	0	0	1235	760	0	0	0
Nr2f6	249.125000	0	0	0	0	1021	972	0	0	0
Kpna1	249.125000	0	126	344	402	0	0	658	463	0
Gnaz	249.125000	0	0	0	0	1164	829	0	0	0
Pcare	249.000000	0	0	0	0	1054	938	0	0	0
Armh4	247.500000	0	0	0	0	1073	907	0	0	0
Phlpp1	246.625000	0	0	0	0	1055	918	0	0	0
Cdkl4	246.625000	0	0	0	0	1089	884	0	0	0
Abi2	245.250000	0	0	0	0	984	978	0	0	0
Cflar	243.375000	0	0	0	0	1064	883	0	0	0
Calm1	239.625000	0	0	0	0	941	976	0	0	0
Nedd4	239.500000	0	0	0	0	933	983	0	0	0
Bscl2	239.500000	0	0	0	0	1061	855	0	0	0
Golga7	238.750000	0	0	0	0	997	913	0	0	0
Tsnax	238.125000	0	0	0	0	1044	861	0	0	0
Foxi1	238.125000	0	0	0	0	982	923	0	0	0
Cab39l	238.000000	0	0	0	0	970	934	0	0	0
Itfg2	236.625000	0	0	0	0	1011	882	0	0	0
Eml6	235.750000	0	0	0	0	1056	830	0	0	0
Tle3	235.125000	0	0	0	0	1106	775	0	0	0
Morc2a	234.875000	0	0	0	0	986	893	0	0	0
Cdhr1	234.750000	0	0	0	0	910	968	0	0	0
App	232.750000	0	0	0	0	912	950	0	0	0
Wdfy3	231.875000	0	0	0	0	1004	851	0	0	0
Trim66	231.625000	0	0	0	0	1021	832	0	0	0
Ppp1r15b	231.375000	0	0	0	0	1048	803	0	0	0
Kcnk10	230.750000	0	0	0	0	992	854	0	0	0
Grk2	230.625000	0	0	0	0	967	878	0	0	0
Kif3c	230.375000	0	0	0	0	1084	759	0	0	0
Rpp38	229.750000	0	0	0	0	927	911	0	0	0
Cacnb1	229.750000	0	0	0	0	974	864	0	0	0
Acbd7	229.750000	0	0	0	0	927	911	0	0	0
Ndfip1	229.500000	0	0	0	0	1076	760	0	0	0
Pkd1	227.375000	0	0	0	0	987	832	0	0	0
Kcnc4	226.625000	0	0	0	0	909	904	0	0	0
Nin	225.500000	0	0	0	0	937	867	0	0	0
Rnf182	225.125000	0	0	0	0	932	869	0	0	0
Trpm5	223.625000	0	0	0	0	985	804	0	0	0
Spcs1	223.000000	0	0	0	0	928	856	0	0	0
Glt8d1	223.000000	0	0	0	0	928	856	0	0	0
Polr3g	222.875000	0	0	0	0	780	1003	0	0	0
Mblac2	222.875000	0	0	0	0	780	1003	0	0	0
Sppl3	221.625000	0	0	0	0	922	851	0	0	0
Pde7b	220.875000	0	0	0	0	897	870	0	0	0
Spty2d1	220.625000	0	0	0	0	963	802	0	0	0
Cpt1a	220.375000	0	0	0	0	966	797	0	0	0
Eid2	219.375000	0	0	0	0	937	818	0	0	0
Tmcc3	217.375000	0	0	0	0	742	997	0	0	0
Pdk1	215.250000	0	0	0	0	955	767	0	0	0
Uncx	215.125000	0	0	0	0	942	779	0	0	0
Chn1	215.000000	0	0	0	0	865	855	0	0	0
Asap1	214.750000	0	0	0	0	927	791	0	0	0
Lhx2	213.625000	0	0	0	0	944	765	0	0	0
Dcaf7	212.750000	0	0	0	0	970	732	0	0	0
4921524J17Rik	212.000000	0	0	0	0	870	826	0	0	0
Rufy3	211.250000	0	0	0	0	942	748	0	0	0
Cpxm2	210.500000	0	0	0	0	929	755	0	0	0
Msi1	209.250000	0	0	0	0	913	761	0	0	0
Ptcd1	208.375000	0	0	0	0	950	717	0	0	0
Cpsf4	208.375000	0	0	0	0	950	717	0	0	0
Setd5	208.250000	0	0	0	0	928	738	0	0	0
Clip4	207.625000	0	0	0	0	755	906	0	0	0
Oasl1	207.375000	0	0	383	563	0	0	635	78	0
Btg3	206.750000	0	0	0	0	901	753	0	0	0
Srsf4	206.250000	0	0	0	0	730	920	0	0	0
Hlcs	205.875000	0	0	0	0	990	657	0	0	0
Eci3	204.875000	0	0	0	0	853	786	0	0	0
Zbtb2	204.500000	0	0	0	0	861	775	0	0	0
Tmem259	203.875000	0	0	0	0	747	884	0	0	0
Cnn2	203.875000	0	0	0	0	747	884	0	0	0
Ttll3	203.750000	0	0	0	0	804	826	0	0	0
Triqk	203.750000	0	0	0	0	809	821	0	0	0
Spcs3	202.000000	0	0	0	0	857	759	0	0	0
Ncoa1	201.500000	0	0	0	0	838	774	0	0	0
Ldb1	201.500000	0	0	0	0	941	671	0	0	0
Gdf5	201.375000	0	0	0	0	880	731	0	0	0
Ccdc34	201.375000	0	0	0	0	831	780	0	0	0
Cartpt	200.875000	0	0	0	0	787	820	0	0	0
Zfp566	200.500000	0	0	0	0	861	743	0	0	0
Asf1a	200.500000	0	0	0	0	890	714	0	0	0
Ldlrap1	200.375000	0	0	0	0	841	762	0	0	0
Nup93	200.125000	0	0	0	0	921	680	0	0	0
Vmn2r102	199.625000	0	411	326	513	0	0	347	0	0
Erlin1	199.625000	0	0	0	0	822	775	0	0	0
Mnx1	199.375000	0	0	0	0	769	826	0	0	0
Snrpa	199.250000	0	0	0	0	904	690	0	0	0
BC024978	199.250000	0	0	0	0	904	690	0	0	0
B3gnt2	198.000000	0	0	0	0	835	749	0	0	0
Hmox2	197.375000	0	0	0	0	810	769	0	0	0
Pgam1	197.125000	0	0	0	0	817	760	0	0	0
Paqr8	196.625000	0	0	0	0	903	670	0	0	0
Vmn2r4	195.750000	0	0	0	0	514	495	364	193	0
Rap1gap2	194.125000	0	0	0	0	735	818	0	0	0
Capns1	194.000000	0	0	0	0	746	806	0	0	0
Eno1	193.875000	0	0	0	0	822	729	0	0	0
Smarcal1	193.500000	0	0	0	0	684	864	0	0	0
Abca5	192.625000	0	0	0	0	790	751	0	0	0
Tmem183a	191.875000	0	0	0	0	709	826	0	0	0
Cadm1	191.375000	0	0	0	0	812	719	0	0	0
Sh3pxd2a	191.000000	0	0	0	0	833	695	0	0	0
Rbm20	190.250000	0	0	0	0	706	816	0	0	0
Plb1	190.125000	0	0	0	0	767	754	0	0	0
Ak7	189.625000	0	0	0	0	849	668	0	0	0
