Target_genes	Klf9|Average	SRX2185047|Unclassified	SRX2185048|Unclassified	SRX2185049|Unclassified	SRX2185050|Unclassified	SRX2185051|Unclassified	STRING
Tax1bp3	28.000000	0	0	0	0	140	0
Rab20	28.000000	0	0	140	0	0	0
Pigt	28.000000	0	0	0	0	140	0
Pdap1	28.000000	0	0	0	0	140	0
Nsmce2	28.000000	0	0	0	0	140	0
Nop14	28.000000	0	0	140	0	0	0
Grk4	28.000000	0	0	140	0	0	0
Fam110b	28.000000	0	0	140	0	0	0
Emc6	28.000000	0	0	0	0	140	0
Dkkl1	28.000000	0	0	0	0	140	0
Bud31	28.000000	0	0	0	0	140	0
Zfp335	27.800000	0	0	139	0	0	0
Uprt	27.800000	0	0	0	0	139	0
Slc39a11	27.800000	0	0	139	0	0	0
Ska2	27.800000	0	0	0	0	139	0
Prr11	27.800000	0	0	0	0	139	0
Setx	27.600000	0	0	138	0	0	0
Rab14	27.600000	0	0	0	0	138	0
Pgrmc2	27.600000	0	0	0	0	138	0
Nr6a1	27.600000	0	0	138	0	0	0
Mthfsl	27.400000	0	0	137	0	0	0
Hcfc2	27.400000	0	0	0	0	137	0
Ciao2b	27.400000	0	0	0	0	137	0
Srsf2	27.200000	0	0	0	0	136	0
Pimreg	27.200000	0	0	136	0	0	0
Ngrn	27.200000	0	0	0	0	136	0
Mfsd11	27.200000	0	0	0	0	136	0
Kif3a	27.200000	0	0	136	0	0	0
Anapc10	27.200000	0	0	136	0	0	0
Aipl1	27.200000	0	0	136	0	0	0
Abce1	27.200000	0	0	136	0	0	0
Ift52	27.000000	0	0	0	135	0	0
Bnip3l	27.000000	0	0	135	0	0	0
Ascc2	27.000000	0	0	135	0	0	0
Snapc1	26.800000	0	0	134	0	0	0
Id1	26.800000	0	0	0	0	134	0
Slc19a2	26.600000	0	0	0	133	0	0
E130308A19Rik	26.600000	0	0	133	0	0	0
Wdr46	26.400000	0	0	0	132	0	0
Pfdn6	26.400000	0	0	0	132	0	0
Hmgcs1	26.400000	0	132	0	0	0	0
Vdr	26.200000	0	0	131	0	0	0
Tent5b	26.200000	0	0	131	0	0	0
Pdp1	26.200000	0	0	0	0	131	0
Azin1	26.200000	0	0	0	131	0	0
Arpc2	26.200000	0	0	0	0	131	0
Angptl4	26.200000	0	0	0	0	131	0
Pcolce	26.000000	0	0	130	0	0	0
Nup160	26.000000	0	0	130	0	0	0
Micu1	26.000000	0	0	0	0	130	0
Lrrc61	26.000000	0	0	130	0	0	0
Dop1b	26.000000	0	0	0	0	130	0
2310011J03Rik	26.000000	0	0	0	130	0	0
Senp5	25.800000	0	129	0	0	0	0
Rbm48	25.800000	0	0	0	0	129	0
Pik3r5	25.800000	0	0	0	0	129	0
Pex1	25.800000	0	0	0	0	129	0
Zc2hc1a	25.600000	0	0	0	0	128	0
Xpnpep3	25.600000	0	0	0	0	128	0
Wdyhv1	25.600000	0	0	0	0	128	0
Ulk3	25.600000	0	0	128	0	0	0
Tnp2	25.600000	0	0	128	0	0	0
St13	25.600000	0	0	0	0	128	0
Socs1	25.600000	0	0	128	0	0	0
Slc7a5	25.600000	0	0	0	0	128	0
Phgdh	25.600000	0	0	0	0	128	0
Icam5	25.600000	0	0	128	0	0	0
Icam4	25.600000	0	0	128	0	0	0
Utp15	25.400000	0	0	0	127	0	0
Tsen34	25.400000	0	0	127	0	0	0
Nt5c2	25.400000	0	127	0	0	0	0
Mboat7	25.400000	0	0	127	0	0	0
Atp6v0a2	25.400000	0	0	127	0	0	0
Arl10	25.400000	0	0	0	0	127	0
Ankra2	25.400000	0	0	0	127	0	0
Aifm2	25.400000	0	0	0	0	127	0
Ubfd1	25.200000	0	0	126	0	0	0
Rhbdd2	25.200000	0	0	126	0	0	0
Osgep	25.200000	0	0	126	0	0	0
Nav2	25.200000	0	0	126	0	0	0
Ears2	25.200000	0	0	126	0	0	0
Apex1	25.200000	0	0	126	0	0	0
Snrpd2	25.000000	0	0	0	0	125	0
Qpctl	25.000000	0	0	0	0	125	0
Pym1	25.000000	0	0	0	0	125	0
Pip4k2b	25.000000	0	0	0	125	0	0
Dgka	25.000000	0	0	0	0	125	0
Zmym4	24.800000	0	0	0	0	124	0
Topbp1	24.800000	0	0	0	124	0	0
Tnrc6b	24.800000	0	0	0	0	124	0
Igfbp6	24.800000	0	0	0	0	124	0
Dym	24.800000	0	0	124	0	0	0
Carm1	24.800000	0	0	124	0	0	0
Wdr62	24.600000	0	0	0	0	123	0
Rab22a	24.600000	0	0	123	0	0	0
Ninl	24.600000	0	0	0	0	123	0
Pkmyt1	24.400000	0	0	122	0	0	0
Mzt1	24.400000	0	0	122	0	0	0
Mettl9	24.400000	0	0	122	0	0	0
Lck	24.400000	0	0	0	0	122	0
Bora	24.400000	0	0	122	0	0	0
Tbcd	24.200000	0	0	0	0	121	0
Serf1	24.200000	0	0	0	0	121	0
Polr3b	24.200000	0	0	0	0	121	0
Nckap5l	24.200000	0	0	121	0	0	0
Iqsec1	24.200000	0	0	0	0	121	0
Gpat3	24.200000	0	0	0	0	121	0
Gga1	24.200000	0	0	0	0	121	0
Bdp1	24.200000	0	0	0	0	121	0
Supt20	24.000000	0	0	0	120	0	0
Rfng	24.000000	0	0	120	0	0	0
Polr3d	24.000000	0	0	0	0	120	0
Ott	24.000000	0	0	120	0	0	0
Gps1	24.000000	0	0	120	0	0	0
Gm15085	24.000000	0	0	120	0	0	0
Atr	24.000000	0	0	0	0	120	0
1700065D16Rik	24.000000	0	0	0	0	120	0
Wdr20	23.800000	0	0	0	0	119	0
Vps4b	23.800000	0	0	119	0	0	0
Trappc10	23.800000	0	0	0	0	119	0
Sar1a	23.800000	0	0	0	0	119	0
Nme2	23.800000	0	0	0	0	119	0
Kyat1	23.800000	0	0	0	119	0	0
H4c9	23.800000	0	0	0	0	119	0
H2bc11	23.800000	0	0	0	0	119	0
H2ac11	23.800000	0	0	0	0	119	0
Snx25	23.600000	0	0	118	0	0	0
Pnkd	23.600000	0	0	0	0	118	0
Plxnb2	23.600000	0	0	0	0	118	0
Pik3r3	23.600000	0	0	118	0	0	0
Kansl1	23.600000	0	0	0	0	118	0
Gnb2	23.600000	0	0	0	0	118	0
Aamp	23.600000	0	0	0	0	118	0
Stk3	23.400000	0	0	0	0	117	0
Prickle4	23.400000	0	0	0	0	117	0
Frs3	23.400000	0	0	0	0	117	0
Stom	23.200000	0	0	116	0	0	0
Seh1l	23.200000	0	0	116	0	0	0
Piga	23.200000	0	0	0	0	116	0
Homer1	23.200000	0	0	0	0	116	0
Gins2	23.200000	0	0	0	0	116	0
Fam53a	23.200000	0	0	0	0	116	0
Eif2ak2	23.200000	0	0	116	0	0	0
Eef1g	23.200000	0	0	0	0	116	0
Cnnm4	23.200000	0	0	0	0	116	0
Agfg2	23.200000	0	0	0	0	116	0
Otud5	23.000000	0	0	115	0	0	0
Nfat5	23.000000	0	0	115	0	0	0
Galnt9	23.000000	0	0	0	0	115	0
Usp11	22.800000	0	0	0	0	114	0
Srpk2	22.800000	0	0	114	0	0	0
Ppox	22.800000	0	0	0	0	114	0
Lap3	22.800000	0	0	0	114	0	0
Iqgap1	22.800000	0	0	114	0	0	0
Tcf3	22.600000	0	0	0	0	113	0
Tanc2	22.600000	0	0	113	0	0	0
Hnrnpf	22.600000	0	0	0	0	113	0
Dctd	22.600000	0	0	0	113	0	0
Atg4d	22.600000	0	0	0	0	113	0
4930402H24Rik	22.600000	0	0	113	0	0	0
Use1	22.400000	0	0	0	0	112	0
Ocel1	22.400000	0	0	0	0	112	0
Kdm6b	22.400000	0	0	0	112	0	0
Crkl	22.400000	0	0	0	112	0	0
Tnk2	22.200000	0	0	111	0	0	0
Tgfbr1	22.200000	0	0	0	0	111	0
Mtmr14	22.200000	0	0	111	0	0	0
Lmbr1l	22.200000	0	0	0	0	111	0
Ippk	22.200000	0	0	0	111	0	0
Eri1	22.200000	0	0	111	0	0	0
Cdc42	22.200000	0	0	111	0	0	0
Bcl9	22.200000	0	0	0	0	111	0
Zzz3	22.000000	0	0	110	0	0	0
Numbl	22.000000	0	0	0	110	0	0
Msh6	22.000000	0	110	0	0	0	0
Med30	22.000000	0	0	110	0	0	0
Ints4	22.000000	0	0	0	0	110	0
Fancd2os	22.000000	0	0	0	110	0	0
Brk1	22.000000	0	0	0	110	0	0
Zfp740	21.800000	0	0	109	0	0	0
Trappc4	21.800000	0	0	109	0	0	0
Tmem150a	21.800000	0	0	109	0	0	0
Tigd5	21.800000	0	0	0	109	0	0
Rps25	21.800000	0	0	109	0	0	0
Rnf38	21.800000	0	0	109	0	0	0
Nup133	21.800000	0	0	0	0	109	0
Eef1d	21.800000	0	0	0	109	0	0
Csad	21.800000	0	0	109	0	0	0
Bnip1	21.800000	0	0	0	0	109	0
Tada3	21.600000	0	0	0	0	108	0
Relb	21.600000	0	0	108	0	0	0
Leo1	21.600000	0	0	0	0	108	0
Klf11	21.600000	0	108	0	0	0	0
Arpc4	21.600000	0	0	0	0	108	0
Mynn	21.400000	0	0	107	0	0	0
Impa2	21.400000	0	0	107	0	0	0
Cnksr3	21.400000	0	0	0	0	107	0
Anxa4	21.400000	0	0	0	0	107	0
Actrt3	21.400000	0	0	107	0	0	0
Xpnpep1	21.200000	0	0	0	0	106	0
Ttbk2	21.200000	0	0	106	0	0	0
Psmd1	21.200000	0	0	106	0	0	0
Ost4	21.200000	0	0	106	0	0	0
Cyth3	21.200000	0	0	0	0	106	0
Capns1	21.200000	0	0	0	0	106	0
Anapc5	21.200000	0	0	106	0	0	0
Actb	21.200000	0	106	0	0	0	0
Serhl	21.000000	0	0	0	0	105	0
Pik3ip1	21.000000	0	105	0	0	0	0
Asap2	21.000000	0	0	0	105	0	0
Srrd	20.800000	0	0	0	104	0	0
Spred3	20.800000	0	0	104	0	0	0
Racgap1	20.800000	0	0	0	104	0	0
Nek3	20.800000	0	0	0	0	104	0
Kctd9	20.800000	0	0	104	0	0	0
Hps4	20.800000	0	0	0	104	0	0
H3c15	20.800000	0	0	0	0	104	0
H3c14	20.800000	0	0	0	0	104	0
H2ac19	20.800000	0	0	0	0	104	0
H2ac18	20.800000	0	0	0	0	104	0
Ggn	20.800000	0	0	104	0	0	0
Cdca2	20.800000	0	0	104	0	0	0
Trim7	20.600000	0	0	103	0	0	0
Tpst2	20.600000	0	0	103	0	0	0
Spryd3	20.600000	0	0	103	0	0	0
Slc39a14	20.600000	0	0	0	103	0	0
Lima1	20.600000	0	0	103	0	0	0
Hgh1	20.600000	0	0	0	0	103	0
Grtp1	20.600000	0	0	0	103	0	0
Fancc	20.600000	0	0	103	0	0	0
Dcaf11	20.600000	0	0	103	0	0	0
Aplf	20.600000	0	0	0	0	103	0
Trpc4ap	20.400000	0	0	102	0	0	0
Tmem131l	20.400000	0	0	0	102	0	0
Rtkn2	20.400000	0	0	0	0	102	0
Rab40c	20.400000	0	0	0	0	102	0
Vav1	20.200000	0	0	0	0	101	0
Scamp2	20.200000	0	0	0	0	101	0
Rbm14	20.200000	0	0	0	0	101	0
Ninj1	20.200000	0	0	0	101	0	0
Lin54	20.200000	0	0	101	0	0	0
H2az2	20.200000	0	101	0	0	0	0
Gm21992	20.200000	0	0	0	0	101	0
Fryl	20.200000	0	0	101	0	0	0
Ergic1	20.200000	0	0	101	0	0	0
Ajuba	20.200000	0	101	0	0	0	0
Usp42	20.000000	0	0	100	0	0	0
Sh2b2	20.000000	0	0	0	0	100	0
Scrib	20.000000	0	0	0	0	100	0
Rab3d	20.000000	0	0	0	0	100	0
Lpar1	20.000000	0	0	0	0	100	0
Atrn	20.000000	0	0	0	0	100	0
Ago3	20.000000	0	0	100	0	0	0
Sgtb	19.800000	0	0	99	0	0	0
Nln	19.800000	0	0	99	0	0	0
2310061I04Rik	19.800000	0	0	99	0	0	0
Wnk1	19.600000	0	0	0	0	98	0
Ttc41	19.600000	0	0	0	98	0	0
Setd3	19.600000	0	0	0	0	98	0
Rpusd4	19.600000	0	0	0	0	98	0
Parp6	19.600000	0	0	98	0	0	0
Kdm2b	19.600000	0	0	0	0	98	0
Hsp90b1	19.600000	0	0	0	98	0	0
Foxg1	19.600000	0	0	0	0	98	0
Fam118b	19.600000	0	0	0	0	98	0
Dact3	19.600000	0	0	98	0	0	0
Cyp51	19.600000	0	0	98	0	0	0
Ccnk	19.600000	0	0	0	0	98	0
Acbd5	19.600000	0	0	0	0	98	0
2410002F23Rik	19.600000	0	0	0	0	98	0
Tspan9	19.400000	0	0	97	0	0	0
Tnip2	19.400000	0	0	0	0	97	0
Klhl24	19.400000	0	0	0	0	97	0
Gng8	19.400000	0	0	97	0	0	0
Bub1b	19.400000	0	0	0	0	97	0
Uvrag	19.200000	0	0	0	0	96	0
Tmem87b	19.200000	0	0	0	0	96	0
Mcrip2	19.200000	0	0	0	0	96	0
Maco1	19.200000	0	0	96	0	0	0
Erbb3	19.200000	0	0	0	0	96	0
Eral1	19.200000	0	0	0	0	96	0
4921524J17Rik	19.200000	0	0	96	0	0	0
Prkab2	19.000000	0	0	95	0	0	0
Hat1	19.000000	0	0	95	0	0	0
Ctdp1	19.000000	0	0	0	0	95	0
Cluh	19.000000	0	0	0	0	95	0
Aspscr1	19.000000	0	0	95	0	0	0
Rnf11	18.800000	0	0	94	0	0	0
Jmy	18.800000	0	0	0	0	94	0
Dguok	18.800000	0	0	0	0	94	0
Atf4	18.800000	0	0	94	0	0	0
Ak4	18.800000	0	0	0	0	94	0
Pard3	18.600000	0	0	0	93	0	0
Leprot	18.600000	0	0	0	0	93	0
Akr1b3	18.600000	0	0	93	0	0	0
Rpl30	18.400000	0	0	0	92	0	0
Csnk1g2	18.400000	0	0	0	0	92	0
Usp32	18.200000	0	0	0	0	91	0
Pnpla8	18.200000	0	91	0	0	0	0
Nsmce1	18.200000	0	0	0	0	91	0
Mideas	18.200000	0	0	91	0	0	0
Mfsd5	18.200000	0	0	91	0	0	0
Fzd7	18.200000	0	0	91	0	0	0
Epn2	18.200000	0	0	0	91	0	0
Dnajb1	18.200000	0	0	0	0	91	0
Mlxip	18.000000	0	0	0	0	90	0
Dpysl2	18.000000	0	0	90	0	0	0
Add3	18.000000	0	0	0	0	90	0
Wdr73	17.800000	0	0	0	89	0	0
Uhrf1bp1	17.800000	0	0	0	0	89	0
Scaf1	17.800000	0	0	0	89	0	0
Rras	17.800000	0	0	0	89	0	0
Nub1	17.800000	0	0	0	0	89	0
Nmb	17.800000	0	0	0	89	0	0
Leng8	17.800000	0	89	0	0	0	0
Utp23	17.600000	0	0	0	0	88	0
Ubtd1	17.600000	0	0	0	0	88	0
Stk36	17.600000	0	0	0	0	88	0
Rnf25	17.600000	0	0	0	0	88	0
Mms19	17.600000	0	0	0	0	88	0
Iqcb1	17.600000	0	0	0	0	88	0
Eaf2	17.600000	0	0	0	0	88	0
Zfp142	17.400000	0	0	0	0	87	0
Tap1	17.400000	0	0	0	87	0	0
Rtn4	17.400000	0	0	87	0	0	0
Psmb9	17.400000	0	0	0	87	0	0
Phf20	17.400000	0	87	0	0	0	0
Fn3krp	17.400000	0	0	0	0	87	0
Bcs1l	17.400000	0	0	0	0	87	0
Tcof1	17.200000	0	0	86	0	0	0
Sfi1	17.200000	0	0	0	0	86	0
Rassf3	17.200000	0	0	0	0	86	0
E2f8	17.000000	0	0	85	0	0	0
Cdc25a	17.000000	0	0	0	0	85	0
Trrap	16.800000	0	0	0	0	84	0
Timp2	16.800000	0	0	84	0	0	0
Fam210b	16.800000	0	0	84	0	0	0
Edem2	16.800000	0	0	84	0	0	0
Aff4	16.800000	0	0	0	84	0	0
Tm9sf3	16.600000	0	0	83	0	0	0
Emsy	16.600000	0	0	0	0	83	0
Tgfb1i1	16.400000	0	0	0	0	82	0
Sart1	16.400000	0	0	0	0	82	0
Rhog	16.200000	0	0	81	0	0	0
Fnip2	16.000000	0	0	80	0	0	0
Pabpc1	15.800000	0	0	79	0	0	0
Ints7	15.800000	0	0	79	0	0	0
Hps3	15.800000	0	0	0	0	79	0
Dtl	15.800000	0	0	79	0	0	0
Tsg101	15.600000	0	0	0	0	78	0
Srr	15.600000	0	0	0	78	0	0
Smg6	15.600000	0	0	0	78	0	0
Lix1l	15.600000	0	0	78	0	0	0
Ankrd34a	15.600000	0	0	78	0	0	0
Tmem131	15.400000	0	0	77	0	0	0
Pld2	15.400000	0	0	0	77	0	0
Med23	15.400000	0	77	0	0	0	0
Acvr2a	15.400000	0	0	0	0	77	0
Tmem120a	15.200000	0	0	0	0	76	0
Tbc1d17	15.200000	0	0	76	0	0	0
Mturn	15.200000	0	0	0	0	76	0
Hk2	15.200000	0	0	0	0	76	0
Akt1s1	15.200000	0	0	76	0	0	0
Usp37	15.000000	0	0	0	75	0	0
Sgms2	15.000000	0	0	0	0	75	0
Noc3l	15.000000	0	0	0	0	75	0
Cnot9	15.000000	0	0	0	75	0	0
Cdc42ep2	14.800000	0	0	0	0	74	0
Psip1	14.600000	0	0	0	73	0	0
Rell2	14.400000	0	0	0	0	72	0
Hdac3	14.400000	0	0	0	0	72	0
Gskip	14.200000	0	0	71	0	0	0
Atg2b	14.200000	0	0	71	0	0	0
Smap2	13.800000	0	0	0	0	69	0
Mybl1	13.600000	0	0	68	0	0	0
Pepd	13.000000	0	0	65	0	0	0
Ikbip	12.400000	0	0	0	0	62	0
Apaf1	12.400000	0	0	0	0	62	0
Cenpm	11.600000	0	0	58	0	0	0
Notch1	0.000000	0	0	0	0	0	477
