Target_genes	Klf9|Average	SRX2185047|Unclassified	SRX2185048|Unclassified	SRX2185049|Unclassified	SRX2185050|Unclassified	SRX2185051|Unclassified	STRING
Exoc7	187.600000	0	145	230	216	347	0
Skiv2l	187.400000	0	148	269	240	280	0
Nelfe	187.400000	0	148	269	240	280	0
Ptpn9	187.200000	0	172	312	254	198	0
Cep55	186.800000	0	111	345	248	230	0
Ap5b1	186.800000	0	177	264	163	330	0
9130401M01Rik	186.800000	0	217	178	234	305	0
Swap70	186.400000	0	313	273	165	181	0
Pbld2	186.400000	0	120	305	257	250	0
Hnrnph3	186.400000	0	120	305	257	250	0
Nid1	185.600000	0	227	244	208	249	0
Naa35	185.200000	0	169	194	83	480	0
Uso1	185.000000	0	165	280	172	308	0
G3bp2	185.000000	0	165	280	172	308	0
Tmem249	182.800000	0	161	205	279	269	0
Slc52a2	182.800000	0	161	205	279	269	0
Fbxl6	182.800000	0	161	205	279	269	0
C77080	182.600000	0	97	309	213	294	0
Dap	182.000000	0	158	247	269	236	0
Pofut2	181.800000	0	242	254	208	205	0
Tef	181.400000	0	163	227	216	301	0
Zfp558	181.200000	0	188	255	215	248	0
Mbd3l1	181.200000	0	188	255	215	248	0
Rps19bp1	180.800000	0	158	272	251	223	0
Nup188	180.200000	0	167	311	89	334	0
Lgals1	180.200000	0	136	329	238	198	0
Dolk	180.200000	0	167	311	89	334	0
Hacl1	180.000000	0	204	186	216	294	0
Btd	180.000000	0	204	186	216	294	0
Daam1	179.600000	0	178	339	164	217	0
Tm2d3	178.400000	0	132	311	254	195	0
Gtf2f2	178.400000	0	116	272	226	278	0
Asb1	178.200000	0	127	285	183	296	0
Fosl1	178.000000	0	177	369	172	172	0
Plxna1	177.800000	0	244	194	223	228	0
Rhbdf2	176.800000	0	136	253	147	348	0
Usp49	176.200000	0	134	323	145	279	0
Pigv	176.200000	0	126	268	194	293	0
Ebna1bp2	175.600000	0	0	291	188	399	0
Cfap57	175.600000	0	0	291	188	399	0
Zbtb37	175.400000	0	195	248	130	304	0
Ttyh2	175.400000	0	0	217	327	333	0
Prune2	175.400000	0	184	329	164	200	0
Mettl18	175.200000	0	149	241	234	252	0
BC055324	175.200000	0	149	241	234	252	0
Gnai2	175.000000	0	164	286	197	228	0
Mrpl2	174.800000	0	188	226	229	231	0
Mettl16	174.800000	0	190	238	152	294	0
Klc4	174.800000	0	188	226	229	231	0
Gpr137b	174.800000	0	166	199	187	322	0
Cul7	174.800000	0	188	226	229	231	0
Tmem192	174.600000	0	119	312	179	263	0
Dgat1	174.000000	0	0	246	341	283	0
Txnrd2	173.000000	0	202	294	156	213	0
Comt	173.000000	0	202	294	156	213	0
Zhx1	172.800000	0	153	292	163	256	0
Pgap2	172.000000	0	114	341	151	254	0
Nup98	172.000000	0	114	341	151	254	0
Fadd	172.000000	0	108	273	234	245	0
Taf11	171.800000	0	258	244	134	223	0
Anks1	171.800000	0	258	244	134	223	0
Sin3a	171.400000	0	97	230	306	224	0
Psd	171.400000	0	192	301	148	216	0
Fbxl15	171.400000	0	192	301	148	216	0
Erlin2	171.400000	0	149	298	172	238	0
Ap3d1	171.200000	0	167	261	169	259	0
Tbc1d22a	171.000000	0	0	248	415	192	0
Fam214b	171.000000	0	149	280	218	208	0
Vmac	170.600000	0	157	226	200	270	0
Ndufa11	170.600000	0	157	226	200	270	0
Wwp2	170.200000	0	186	267	176	222	0
Tekt2	170.000000	0	124	307	132	287	0
Marchf9	170.000000	0	197	177	200	276	0
Cdk4	170.000000	0	197	177	200	276	0
Adprhl2	170.000000	0	124	307	132	287	0
Dok4	169.800000	0	0	288	268	293	0
Stambp	169.200000	0	146	222	252	226	0
Erlin1	168.800000	0	152	343	168	181	0
Prrc2a	168.400000	0	139	273	138	292	0
Zfp865	168.200000	0	195	218	188	240	0
Zfp524	168.200000	0	195	218	188	240	0
Rab11b	168.200000	0	163	246	202	230	0
Tlcd2	167.800000	0	154	263	218	204	0
Usp15	167.200000	0	132	273	214	217	0
Faap100	166.400000	0	152	327	164	189	0
Dhrs11	166.400000	0	230	229	157	216	0
Myof	166.000000	0	202	237	173	218	0
Ttc9c	165.800000	0	158	240	208	223	0
Srsf10	165.800000	0	156	255	236	182	0
Hnrnpul2	165.800000	0	158	240	208	223	0
Alad	165.800000	0	199	189	225	216	0
Prpsap2	165.600000	0	138	266	205	219	0
Nup93	165.000000	0	128	218	233	246	0
Sap130	164.800000	0	191	224	162	247	0
Mafk	164.600000	0	142	189	257	235	0
Polr3g	164.400000	0	172	210	215	225	0
Mblac2	164.400000	0	172	210	215	225	0
Dhrs13	164.000000	0	156	316	203	145	0
Ramac	163.800000	0	139	234	203	243	0
Npm1	163.600000	0	158	177	187	296	0
Frs2	162.600000	0	198	242	159	214	0
Chsy1	162.600000	0	166	310	118	219	0
Pfkl	161.600000	0	0	366	237	205	0
Actr6	161.400000	0	165	402	0	240	0
Crebrf	161.200000	0	150	245	201	210	0
Siah2	160.400000	0	171	260	176	195	0
Garre1	160.400000	0	219	341	0	242	0
Rbm34	158.800000	0	158	253	203	180	0
Zfyve16	158.600000	0	306	145	125	217	0
Ralbp1	158.600000	0	156	279	144	214	0
Eloc	158.400000	0	172	246	124	250	0
Dennd2c	158.000000	0	117	320	143	210	0
Tab2	157.000000	0	131	238	236	180	0
Ankle1	157.000000	0	196	198	261	130	0
Stmn1	156.400000	0	141	281	198	162	0
Ddit4	156.400000	0	0	239	243	300	0
Uba6	155.200000	0	168	261	147	200	0
Fibp	154.800000	0	177	165	188	244	0
Ccdc85b	154.800000	0	177	165	188	244	0
Slc5a3	154.000000	0	128	242	207	193	0
Mrps6	154.000000	0	128	242	207	193	0
Limk1	153.400000	0	113	265	160	229	0
Mapk7	153.200000	0	150	225	229	162	0
Pisd	152.600000	0	123	194	206	240	0
Osbpl1a	152.600000	0	128	231	138	266	0
Lonp1	152.200000	0	0	329	204	228	0
Catsperd	152.200000	0	0	329	204	228	0
Vps51	151.600000	0	231	217	106	204	0
Tmem262	151.600000	0	231	217	106	204	0
Dpagt1	151.600000	0	130	276	184	168	0
Rala	150.800000	0	147	343	144	120	0
Cmss1	150.800000	0	0	274	170	310	0
Tepsin	150.600000	0	226	203	174	150	0
Nol12	150.600000	0	106	296	199	152	0
Ndufaf8	150.600000	0	226	203	174	150	0
Copg2	150.400000	0	134	189	151	278	0
Hspb8	149.800000	0	120	289	126	214	0
Uhrf1	149.400000	0	0	316	189	242	0
Ubiad1	149.400000	0	140	222	124	261	0
Prr13	149.400000	0	133	231	225	158	0
Mtor	149.400000	0	140	222	124	261	0
Arrdc5	149.400000	0	0	316	189	242	0
Sec31a	149.000000	0	127	221	151	246	0
Traf5	148.800000	0	108	217	165	254	0
Txndc17	148.600000	0	117	224	234	168	0
Guk1	148.600000	0	116	230	159	238	0
4933427D14Rik	148.600000	0	117	224	234	168	0
Ilvbl	148.400000	0	0	260	133	349	0
Dars2	148.200000	0	110	233	174	224	0
Fbxl18	148.000000	0	156	296	124	164	0
Pkn2	147.600000	0	119	153	263	203	0
Chchd6	146.800000	0	143	193	194	204	0
Ehbp1l1	146.000000	0	154	252	0	324	0
Cstf3	145.200000	0	119	195	158	254	0
Ankrd12	145.000000	0	131	194	178	222	0
Dock7	144.800000	0	136	260	151	177	0
Nfxl1	144.200000	0	0	359	203	159	0
Jund	144.200000	0	137	233	121	230	0
Iqcn	144.200000	0	137	233	121	230	0
Dnajc25	144.000000	0	132	278	152	158	0
Zrsr2	143.800000	0	119	145	209	246	0
Mapk6	143.400000	0	128	196	204	189	0
Gm12500	143.400000	0	0	177	250	290	0
Ampd2	143.400000	0	0	177	250	290	0
Sec16a	142.400000	0	0	227	238	247	0
Morf4l2	142.200000	0	77	245	165	224	0
Cmtm6	142.200000	0	0	213	228	270	0
Spire2	142.000000	0	87	223	198	202	0
Slc39a6	142.000000	0	214	208	114	174	0
Elp2	142.000000	0	214	208	114	174	0
Rsph3a	141.800000	0	142	203	207	157	0
Cct4	141.800000	0	182	130	163	234	0
B3gnt9	141.200000	0	0	260	245	201	0
Mon2	140.000000	0	0	192	233	275	0
Chst12	139.600000	0	128	187	158	225	0
Sypl	139.000000	0	106	183	257	149	0
Sspn	139.000000	0	277	146	160	112	0
Ptpn2	138.800000	0	0	278	214	202	0
Trim26	138.600000	0	155	192	121	225	0
Usp18	138.400000	0	119	231	183	159	0
