Target_genes	Atf2|Average	SRX515669|3T3-L1	SRX520192|3T3-L1	STRING
Ppp2r2d	151.500000	0	303	0
Mcam	151.500000	303	0	0
Mapk1ip1	151.500000	0	303	0
Cd74	151.500000	303	0	0
Cd47	151.500000	303	0	0
Phf12	151.000000	302	0	0
Gtf3c6	151.000000	302	0	0
Fcgr3	151.000000	302	0	0
Wdr7	150.500000	124	177	0
Tmem205	150.500000	301	0	0
Rpf1	150.500000	301	0	0
Mast2	150.500000	175	126	0
Mad2l1	150.500000	301	0	0
Hoxa2	150.500000	301	0	0
Hoxa1	150.500000	301	0	0
Dctpp1	150.500000	301	0	0
Cfap20	150.500000	301	0	0
Ccdc159	150.500000	301	0	0
Abcf2	150.500000	301	0	0
Tdg	150.000000	300	0	0
Pde4b	150.000000	150	150	0
Nudt15	150.000000	300	0	0
Ndufc2	150.000000	300	0	0
Flacc1	150.000000	300	0	0
Fam118a	150.000000	300	0	0
Cyrib	150.000000	300	0	0
Armc1	150.000000	300	0	0
Ano6	150.000000	300	0	0
Zfp160	149.500000	202	97	0
Usp6nl	149.500000	299	0	0
Slit1	149.500000	299	0	0
Litaf	149.500000	299	0	0
Gm14440	149.500000	299	0	0
Gm14288	149.500000	299	0	0
Ctu1	149.500000	299	0	0
Abtb1	149.500000	299	0	0
Zup1	149.000000	298	0	0
Zmpste24	149.000000	298	0	0
Trnt1	149.000000	91	207	0
Slc25a38	149.000000	298	0	0
Per1	149.000000	151	147	0
Ncaph	149.000000	0	298	0
Ints5	149.000000	298	0	0
Ctif	149.000000	298	0	0
Caap1	149.000000	158	140	0
Ankrd17	149.000000	179	119	0
1810009A15Rik	149.000000	298	0	0
Zfp933	148.500000	297	0	0
Tspan9	148.500000	297	0	0
Tnrc6b	148.500000	297	0	0
Ssbp3	148.500000	297	0	0
Rad51c	148.500000	0	297	0
Leng8	148.500000	145	152	0
Fundc1	148.500000	297	0	0
Flrt1	148.500000	297	0	0
Fbxw7	148.500000	198	99	0
Edem2	148.500000	297	0	0
Cdc45	148.500000	297	0	0
Bola1	148.500000	297	0	0
Zfp983	148.000000	296	0	0
Usp37	148.000000	190	106	0
Tox4	148.000000	296	0	0
Rab2b	148.000000	296	0	0
Lama5	148.000000	296	0	0
Ddx41	148.000000	296	0	0
Cnot9	148.000000	190	106	0
Slc2a7	147.500000	295	0	0
Napg	147.500000	295	0	0
Mzf1	147.500000	295	0	0
Mrpl35	147.500000	295	0	0
Med7	147.500000	295	0	0
Gtpbp2	147.500000	295	0	0
Gtf2h2	147.500000	295	0	0
Fut10	147.500000	295	0	0
Ap5s1	147.500000	295	0	0
Srp19	147.000000	0	294	0
Nop53	147.000000	294	0	0
Dad1	147.000000	231	63	0
Cyp4f17	147.000000	294	0	0
Ap5b1	147.000000	294	0	0
Abhd4	147.000000	231	63	0
Trps1	146.500000	293	0	0
Tgif1	146.500000	293	0	0
Snx14	146.500000	293	0	0
Sgo2a	146.500000	139	154	0
Neurl4	146.500000	293	0	0
Mef2d	146.500000	293	0	0
Heatr1	146.500000	293	0	0
Cct4	146.500000	147	146	0
2810408A11Rik	146.500000	293	0	0
Setd7	146.000000	134	158	0
Gcnt2	146.000000	180	112	0
Ercc2	146.000000	292	0	0
Tnfaip2	145.500000	291	0	0
Selenok	145.500000	291	0	0
Pmpcb	145.500000	291	0	0
Mvb12a	145.500000	291	0	0
Hils1	145.500000	291	0	0
Gm572	145.500000	291	0	0
Dusp3	145.500000	291	0	0
Cfap97d1	145.500000	291	0	0
Arhgef40	145.500000	158	133	0
Zscan12	145.000000	290	0	0
Ppcdc	145.000000	290	0	0
Ninj2	145.000000	290	0	0
Fabp3	145.000000	290	0	0
Bcl6	145.000000	290	0	0
Armcx3	145.000000	290	0	0
Uri1	144.500000	289	0	0
Top1mt	144.500000	289	0	0
Sp2	144.500000	147	142	0
Sema4b	144.500000	289	0	0
Galntl5	144.500000	289	0	0
Fam172a	144.500000	289	0	0
F5	144.500000	289	0	0
Clpx	144.500000	289	0	0
Bdnf	144.500000	289	0	0
Atxn7l2	144.500000	289	0	0
Aifm2	144.500000	289	0	0
Taf2	144.000000	0	288	0
Stbd1	144.000000	288	0	0
Sf3b5	144.000000	288	0	0
Nmt1	144.000000	129	159	0
Ndc80	144.000000	149	139	0
Mrps31	144.000000	288	0	0
Mrpl3	144.000000	288	0	0
Etfdh	144.000000	288	0	0
4930579G24Rik	144.000000	288	0	0
Spdye4b	143.500000	287	0	0
Rbak	143.500000	287	0	0
Racgap1	143.500000	121	166	0
Pafah1b2	143.500000	287	0	0
Mitf	143.500000	287	0	0
Lrrc61	143.500000	212	75	0
Clip3	143.500000	287	0	0
Rpl3	143.000000	286	0	0
Psmb7	143.000000	286	0	0
Prkd2	143.000000	286	0	0
Mmp28	143.000000	286	0	0
Map4	143.000000	286	0	0
Irf2bp1	143.000000	286	0	0
Bag6	143.000000	286	0	0
Apom	143.000000	286	0	0
Ace3	143.000000	286	0	0
Zfp672	142.500000	285	0	0
Sh3bp5l	142.500000	285	0	0
Ndufb7	142.500000	285	0	0
Ipo8	142.500000	285	0	0
Idh1	142.500000	183	102	0
Gpr84	142.500000	285	0	0
Fa2h	142.500000	285	0	0
Dvl2	142.500000	285	0	0
Cfap126	142.500000	285	0	0
Arpc1b	142.500000	285	0	0
Zfp72	142.000000	284	0	0
Zfp184	142.000000	284	0	0
Xdh	142.000000	284	0	0
Tars2	142.000000	284	0	0
Scd2	142.000000	111	173	0
Paip2b	142.000000	284	0	0
Nyx	142.000000	79	205	0
Il1r1	142.000000	284	0	0
Zfp112	141.500000	283	0	0
Tbck	141.500000	172	111	0
Scnm1	141.500000	283	0	0
Lysmd1	141.500000	283	0	0
Jagn1	141.500000	283	0	0
Gm14305	141.500000	283	0	0
Dnajc5b	141.500000	283	0	0
Cidec	141.500000	283	0	0
Bcdin3d	141.500000	190	93	0
Aimp1	141.500000	172	111	0
Utp18	141.000000	175	107	0
Ttc9c	141.000000	282	0	0
Sdf4	141.000000	282	0	0
Rab11fip3	141.000000	144	138	0
Mylk3	141.000000	282	0	0
Mob1a	141.000000	282	0	0
Mbtd1	141.000000	175	107	0
Lbh	141.000000	0	282	0
Hnrnpul2	141.000000	282	0	0
Ddx19b	141.000000	137	145	0
Ccdc77	141.000000	282	0	0
Brpf1	141.000000	282	0	0
B3galt6	141.000000	282	0	0
Zfp189	140.500000	281	0	0
Smim12	140.500000	281	0	0
Mylk2	140.500000	281	0	0
Mrpl50	140.500000	281	0	0
Mrgprg	140.500000	281	0	0
Mphosph10	140.500000	281	0	0
Mcee	140.500000	281	0	0
Mafb	140.500000	281	0	0
Lemd2	140.500000	137	144	0
Kdm3a	140.500000	174	107	0
H60c	140.500000	281	0	0
Gm20594	140.500000	281	0	0
Fam171a2	140.500000	281	0	0
Cibar2	140.500000	137	144	0
Actr6	140.500000	281	0	0
Vmp1	140.000000	280	0	0
Taf4	140.000000	280	0	0
Stk25	140.000000	280	0	0
Ptrh2	140.000000	280	0	0
Psma2	140.000000	280	0	0
Nifk	140.000000	280	0	0
Mrpl32	140.000000	280	0	0
Gda	140.000000	280	0	0
Etfrf1	140.000000	280	0	0
Casc1	140.000000	280	0	0
Amz2	140.000000	280	0	0
Zfp212	139.500000	279	0	0
Wdr59	139.500000	137	142	0
Tpp2	139.500000	139	140	0
Tmem156	139.500000	279	0	0
Tfpt	139.500000	279	0	0
Taf6	139.500000	279	0	0
Slc25a44	139.500000	279	0	0
Slc25a34	139.500000	279	0	0
Prpf31	139.500000	279	0	0
Nemp1	139.500000	279	0	0
Mtf2	139.500000	184	95	0
Fcrlb	139.500000	94	185	0
Cnpy4	139.500000	279	0	0
Pop5	139.000000	278	0	0
Pnisr	139.000000	278	0	0
Lrrk1	139.000000	278	0	0
Grsf1	139.000000	278	0	0
Ctcfl	139.000000	278	0	0
Bbs1	139.000000	278	0	0
2700062C07Rik	139.000000	278	0	0
Wnk1	138.500000	277	0	0
Prkag2	138.500000	277	0	0
Ppp2ca	138.500000	155	122	0
Pcdh19	138.500000	277	0	0
Bub1b	138.500000	277	0	0
Zfp217	138.000000	276	0	0
Mpp6	138.000000	276	0	0
Klhdc10	138.000000	168	108	0
Ghitm	138.000000	177	99	0
Ddx23	138.000000	276	0	0
Atad2b	138.000000	0	276	0
Zfp97	137.500000	176	99	0
Zfp846	137.500000	275	0	0
Utp25	137.500000	275	0	0
Ttbk2	137.500000	275	0	0
Tmem30a	137.500000	275	0	0
Pim1	137.500000	275	0	0
Fam71f1	137.500000	112	163	0
Cited2	137.500000	275	0	0
Ccdc107	137.500000	275	0	0
Zscan30	137.000000	274	0	0
Zfp35	137.000000	274	0	0
Ube2s	137.000000	153	121	0
Rpia	137.000000	274	0	0
Rexo2	137.000000	110	164	0
Nsfl1c	137.000000	274	0	0
Ly6g5b	137.000000	274	0	0
Kdsr	137.000000	274	0	0
Gpank1	137.000000	274	0	0
E4f1	137.000000	274	0	0
Dffb	137.000000	274	0	0
D17H6S53E	137.000000	274	0	0
Csnk2b	137.000000	274	0	0
Cep104	137.000000	274	0	0
Birc6	137.000000	274	0	0
Apon	137.000000	274	0	0
Alkbh3	137.000000	274	0	0
Zfp513	136.500000	273	0	0
Sod2	136.500000	273	0	0
Pik3ip1	136.500000	163	110	0
Nfyc	136.500000	273	0	0
Nfatc4	136.500000	273	0	0
Mtrex	136.500000	273	0	0
Malt1	136.500000	273	0	0
Dhx29	136.500000	273	0	0
Casp12	136.500000	273	0	0
Ap1g1	136.500000	0	273	0
Ogfod1	136.000000	272	0	0
Nudt21	136.000000	272	0	0
Nip7	136.000000	272	0	0
N4bp2l2	136.000000	272	0	0
LTO1	136.000000	272	0	0
Hk2	136.000000	272	0	0
Cog8	136.000000	272	0	0
Arid5a	136.000000	164	108	0
Tmem203	135.500000	271	0	0
Orm2	135.500000	271	0	0
Nup214	135.500000	0	271	0
Ndor1	135.500000	271	0	0
Larp4	135.500000	271	0	0
Ift27	135.500000	271	0	0
Adcy10	135.500000	271	0	0
Zfp605	135.000000	270	0	0
Zfand2b	135.000000	270	0	0
Wdr76	135.000000	270	0	0
Wdr61	135.000000	140	130	0
Phax	135.000000	270	0	0
Ndufs2	135.000000	270	0	0
Mfap1a	135.000000	270	0	0
Gtpbp6	135.000000	270	0	0
Get1	135.000000	270	0	0
Aldh7a1	135.000000	270	0	0
Adamts4	135.000000	270	0	0
Ypel5	134.500000	269	0	0
Rbl2	134.500000	269	0	0
Paxx	134.500000	269	0	0
Mogat1	134.500000	269	0	0
G0s2	134.500000	269	0	0
Disp2	134.500000	269	0	0
Clic3	134.500000	269	0	0
Thoc5	134.000000	268	0	0
Pdhb	134.000000	268	0	0
Pcm1	134.000000	268	0	0
Eci1	134.000000	268	0	0
Bcl10	134.000000	268	0	0
Baz2a	134.000000	268	0	0
Rs1	133.500000	267	0	0
Paqr3	133.500000	267	0	0
Mal2	133.500000	267	0	0
Kptn	133.500000	267	0	0
Fscn1	133.500000	0	267	0
Borcs6	133.500000	267	0	0
BC048671	133.500000	267	0	0
Akt2	133.500000	267	0	0
Tbc1d31	133.000000	266	0	0
Sec61a1	133.000000	266	0	0
Rad51	133.000000	122	144	0
Ndel1	133.000000	128	138	0
Lmbr1l	133.000000	140	126	0
Gmppa	133.000000	266	0	0
Fbxo46	133.000000	266	0	0
Cttnbp2nl	133.000000	172	94	0
Chac1	133.000000	266	0	0
Cerk	133.000000	266	0	0
Bhmg1	133.000000	266	0	0
Anxa4	133.000000	142	124	0
Ahcyl2	133.000000	266	0	0
Vegfd	132.500000	265	0	0
Ubr2	132.500000	265	0	0
Riok2	132.500000	265	0	0
Pdcd7	132.500000	265	0	0
Osbpl2	132.500000	265	0	0
Ergic2	132.500000	265	0	0
Abcd4	132.500000	265	0	0
Zbtb3	132.000000	264	0	0
Usp19	132.000000	264	0	0
Rdh13	132.000000	264	0	0
Polr2g	132.000000	264	0	0
Myo1h	132.000000	264	0	0
Itpr1	132.000000	264	0	0
Chchd5	132.000000	264	0	0
Zmiz1	131.500000	263	0	0
Xpnpep3	131.500000	134	129	0
Thoc2l	131.500000	0	263	0
St13	131.500000	134	129	0
Rpl36	131.500000	263	0	0
Rab11a	131.500000	263	0	0
Psmd5	131.500000	263	0	0
Oaz2	131.500000	263	0	0
Micos13	131.500000	263	0	0
Lsm14a	131.500000	263	0	0
Hic2	131.500000	263	0	0
Gm14325	131.500000	263	0	0
Flt3l	131.500000	263	0	0
Cutal	131.500000	263	0	0
Cnnm3	131.500000	263	0	0
2210418O10Rik	131.500000	263	0	0
Zswim6	131.000000	158	104	0
Usp48	131.000000	262	0	0
Trpm1	131.000000	133	129	0
Rps28	131.000000	262	0	0
Psmb3	131.000000	262	0	0
Pcgf2	131.000000	262	0	0
Nufip2	131.000000	113	149	0
Ndufa7	131.000000	262	0	0
Nbr1	131.000000	150	112	0
Maf	131.000000	164	98	0
Emsy	131.000000	262	0	0
Dnal4	131.000000	262	0	0
Brca1	131.000000	150	112	0
Xpo7	130.500000	261	0	0
Sacm1l	130.500000	261	0	0
Ppp1r9b	130.500000	261	0	0
Npas4	130.500000	261	0	0
Nfe2l2	130.500000	261	0	0
Hs6st1	130.500000	0	261	0
D2hgdh	130.500000	261	0	0
Vrk1	130.000000	260	0	0
Sbno2	130.000000	260	0	0
Neurl2	130.000000	260	0	0
Mettl8	130.000000	260	0	0
Kremen2	130.000000	260	0	0
Ddx55	130.000000	260	0	0
Dcaf17	130.000000	260	0	0
Ctsa	130.000000	260	0	0
Baz2b	130.000000	260	0	0
Raf1	129.500000	259	0	0
Pwwp2b	129.500000	259	0	0
Ppp3r1	129.500000	259	0	0
Parp16	129.500000	259	0	0
Oas1f	129.500000	259	0	0
Grasp	129.500000	0	259	0
Gps2	129.500000	259	0	0
Gm4925	129.500000	259	0	0
D16Ertd472e	129.500000	259	0	0
Ccl9	129.500000	259	0	0
Cblb	129.500000	259	0	0
Asl	129.500000	259	0	0
Arnt	129.500000	259	0	0
Arl1	129.500000	259	0	0
Zfp729a	129.000000	258	0	0
Tgfbr2	129.000000	258	0	0
Srsf5	129.000000	258	0	0
S100a8	129.000000	186	72	0
Phospho1	129.000000	258	0	0
Myg1	129.000000	258	0	0
Gsk3a	129.000000	258	0	0
Csrp1	129.000000	258	0	0
Car4	129.000000	258	0	0
Uxt	128.500000	257	0	0
Tnfrsf21	128.500000	164	93	0
Paip2	128.500000	257	0	0
Lin52	128.500000	257	0	0
Fam161b	128.500000	257	0	0
Eif4g2	128.500000	257	0	0
Coq6	128.500000	257	0	0
Bfsp1	128.500000	257	0	0
Aldh6a1	128.500000	257	0	0
Trpv1	128.000000	256	0	0
Tmem250-ps	128.000000	0	256	0
Septin14	128.000000	256	0	0
Pik3r4	128.000000	256	0	0
Lrpprc	128.000000	134	122	0
Hps6	128.000000	256	0	0
Dixdc1	128.000000	256	0	0
Brms1	128.000000	256	0	0
B4gat1	128.000000	256	0	0
Armh3	128.000000	256	0	0
Tcea2	127.500000	255	0	0
Rc3h2	127.500000	255	0	0
Rasa3	127.500000	255	0	0
Plin4	127.500000	255	0	0
Adcy6	127.500000	255	0	0
Ywhag	127.000000	149	105	0
Wnt9a	127.000000	254	0	0
Tnpo3	127.000000	254	0	0
Timm10b	127.000000	254	0	0
Slc26a4	127.000000	254	0	0
Setx	127.000000	254	0	0
Rars	127.000000	254	0	0
Psmb4	127.000000	254	0	0
Prkag3	127.000000	254	0	0
Npr2	127.000000	254	0	0
Klf7	127.000000	254	0	0
Isg20	127.000000	254	0	0
Gm3448	127.000000	132	122	0
Gm3417	127.000000	132	122	0
Elf3	127.000000	254	0	0
Cdiptos	127.000000	254	0	0
Cdipt	127.000000	254	0	0
C1ra	127.000000	254	0	0
Asxl1	127.000000	254	0	0
Arfip2	127.000000	254	0	0
4932438H23Rik	127.000000	254	0	0
Tubd1	126.500000	253	0	0
Tln1	126.500000	253	0	0
Rps6kb1	126.500000	253	0	0
Ppme1	126.500000	253	0	0
Nipbl	126.500000	253	0	0
Ints14	126.500000	253	0	0
H4c12	126.500000	253	0	0
H2bc15	126.500000	253	0	0
H2ac15	126.500000	253	0	0
Fam227b	126.500000	253	0	0
Dtwd1	126.500000	253	0	0
Creb3	126.500000	253	0	0
Cdk12	126.500000	253	0	0
C2cd3	126.500000	253	0	0
Zfp622	126.000000	117	135	0
Vipas39	126.000000	252	0	0
Ttc32	126.000000	252	0	0
Traf3ip2	126.000000	252	0	0
Rab40c	126.000000	252	0	0
Nme8	126.000000	252	0	0
Mdm4	126.000000	252	0	0
Mc5r	126.000000	252	0	0
Ifrd2	126.000000	252	0	0
Ahsa1	126.000000	252	0	0
Vps13d	125.500000	251	0	0
Togaram1	125.500000	251	0	0
Rnft1	125.500000	251	0	0
Pip5kl1	125.500000	251	0	0
Nlrp10	125.500000	251	0	0
Mynn	125.500000	251	0	0
Klhl28	125.500000	251	0	0
Khsrp	125.500000	171	80	0
Eps8	125.500000	88	163	0
Eif3f	125.500000	251	0	0
Dpm2	125.500000	251	0	0
Chd1	125.500000	251	0	0
Actrt3	125.500000	251	0	0
Tssk6	125.000000	250	0	0
Trp53inp2	125.000000	250	0	0
Tnfrsf1a	125.000000	250	0	0
Slc35b1	125.000000	250	0	0
Ndufa13	125.000000	250	0	0
Zfp94	124.500000	249	0	0
Zfp574	124.500000	249	0	0
Thada	124.500000	249	0	0
Tgfb3	124.500000	249	0	0
Slc19a2	124.500000	249	0	0
Podnl1	124.500000	249	0	0
Ift81	124.500000	135	114	0
Ift43	124.500000	249	0	0
Grik5	124.500000	249	0	0
Atg101	124.500000	249	0	0
Zfp955b	124.000000	248	0	0
Zfp326	124.000000	248	0	0
Vps45	124.000000	248	0	0
Vamp1	124.000000	248	0	0
Slc35e1	124.000000	0	248	0
Lrrc47	124.000000	248	0	0
Itsn1	124.000000	248	0	0
H3c13	124.000000	248	0	0
H2bc18	124.000000	248	0	0
Glrx5	124.000000	248	0	0
Gga1	124.000000	248	0	0
Cryzl1	124.000000	248	0	0
Zfp955a	123.500000	247	0	0
Tnrc18	123.500000	247	0	0
Tmem249	123.500000	247	0	0
Tcta	123.500000	247	0	0
Stk38	123.500000	247	0	0
Slc52a2	123.500000	247	0	0
Slc4a9	123.500000	247	0	0
Rhoa	123.500000	247	0	0
Rfc3	123.500000	247	0	0
Pop7	123.500000	247	0	0
Mmadhc	123.500000	247	0	0
Ltbp3	123.500000	247	0	0
Fbxl6	123.500000	247	0	0
Amd2	123.500000	143	104	0
Amd1	123.500000	143	104	0
Ube4b	123.000000	246	0	0
Rpl24	123.000000	246	0	0
Rab29	123.000000	246	0	0
Pdk2	123.000000	246	0	0
Nf2	123.000000	246	0	0
Nab2	123.000000	246	0	0
Fth1	123.000000	246	0	0
Fbxo9	123.000000	246	0	0
Dab2ip	123.000000	246	0	0
Cpa1	123.000000	246	0	0
Cilk1	123.000000	246	0	0
Acbd5	123.000000	246	0	0
Zwilch	122.500000	108	137	0
Tet3	122.500000	245	0	0
Tent2	122.500000	245	0	0
Snx27	122.500000	245	0	0
Sgca	122.500000	245	0	0
Rpl4	122.500000	108	137	0
Rgs2	122.500000	141	104	0
Rela	122.500000	0	245	0
Ptpn12	122.500000	245	0	0
Polm	122.500000	0	245	0
Pcx	122.500000	245	0	0
Opa1	122.500000	245	0	0
Itgb1bp1	122.500000	245	0	0
Dclk1	122.500000	143	102	0
D6Ertd527e	122.500000	245	0	0
Cpsf3	122.500000	245	0	0
Ang6	122.500000	245	0	0
Zfp442	122.000000	244	0	0
Ube2v2	122.000000	244	0	0
Ptma	122.000000	244	0	0
Poc5	122.000000	151	93	0
Pfkl	122.000000	244	0	0
Maats1	122.000000	244	0	0
Fam98b	122.000000	244	0	0
Elac2	122.000000	244	0	0
Cox17	122.000000	244	0	0
Ckb	122.000000	244	0	0
Churc1	122.000000	119	125	0
Atg14	122.000000	244	0	0
Sertad4	121.500000	243	0	0
Sart3	121.500000	243	0	0
Rab5a	121.500000	243	0	0
Nckap5	121.500000	243	0	0
Mpv17	121.500000	243	0	0
Mettl17	121.500000	243	0	0
Mcm7	121.500000	243	0	0
Junb	121.500000	243	0	0
Iscu	121.500000	243	0	0
Ccdc50	121.500000	243	0	0
Cacna1c	121.500000	243	0	0
Ap4m1	121.500000	243	0	0
Zfp661	121.000000	242	0	0
Yif1a	121.000000	242	0	0
Ttc41	121.000000	242	0	0
Trub1	121.000000	242	0	0
Tpbg	121.000000	242	0	0
Tmem151a	121.000000	242	0	0
Terf2ip	121.000000	242	0	0
Tcte3	121.000000	120	122	0
Stambp	121.000000	242	0	0
Ric8a	121.000000	242	0	0
Mrps5	121.000000	242	0	0
Mlx	121.000000	242	0	0
Lhfpl2	121.000000	242	0	0
Kars	121.000000	242	0	0
Hsp90b1	121.000000	242	0	0
Hsd17b1	121.000000	242	0	0
Gtf3c5	121.000000	242	0	0
Gm3435	121.000000	120	122	0
Coasy	121.000000	242	0	0
Bet1l	121.000000	242	0	0
Zfp1	120.500000	241	0	0
Rab5b	120.500000	138	103	0
Rab32	120.500000	241	0	0
Mtpn	120.500000	241	0	0
Lrig2	120.500000	241	0	0
Kdm8	120.500000	241	0	0
Cox7c	120.500000	241	0	0
Cdkal1	120.500000	241	0	0
Zfp692	120.000000	240	0	0
Uspl1	120.000000	0	240	0
Tsr2	120.000000	240	0	0
Rfc2	120.000000	240	0	0
Plpp6	120.000000	240	0	0
Mettl21a	120.000000	240	0	0
Lta4h	120.000000	240	0	0
Kat8	120.000000	240	0	0
Hikeshi	120.000000	240	0	0
Gm5820	120.000000	240	0	0
Fam90a1b	120.000000	240	0	0
Fam166b	120.000000	240	0	0
Dusp12	120.000000	240	0	0
Atp1a3	120.000000	240	0	0
Apoo	120.000000	240	0	0
4430402I18Rik	120.000000	240	0	0
Tti2	119.500000	239	0	0
Trnp1	119.500000	239	0	0
Tle1	119.500000	239	0	0
Tfpi	119.500000	239	0	0
Tefm	119.500000	239	0	0
Prkcsh	119.500000	239	0	0
Pigc	119.500000	239	0	0
Pars2	119.500000	239	0	0
Ccdc80	119.500000	239	0	0
Ccdc151	119.500000	239	0	0
Bnipl	119.500000	239	0	0
Acads	119.500000	239	0	0
4930558K02Rik	119.500000	239	0	0
Tmem69	119.000000	238	0	0
Snx21	119.000000	238	0	0
S100a10	119.000000	66	172	0
Rab7	119.000000	238	0	0
Oit3	119.000000	238	0	0
Kdm5b	119.000000	238	0	0
Gpbp1l1	119.000000	238	0	0
Crebl2	119.000000	238	0	0
Atp5o	119.000000	238	0	0
Zfp965	118.500000	237	0	0
Tfb2m	118.500000	237	0	0
Skp2	118.500000	237	0	0
Sap30bp	118.500000	237	0	0
Recql5	118.500000	237	0	0
Pnlip	118.500000	237	0	0
Lmbrd2	118.500000	237	0	0
Lims2	118.500000	237	0	0
Itga7	118.500000	237	0	0
Cop1	118.500000	237	0	0
Cnst	118.500000	237	0	0
Ciao2b	118.500000	134	103	0
Tomm40l	118.000000	236	0	0
Tmem138	118.000000	236	0	0
Slc12a6	118.000000	236	0	0
Septin2	118.000000	0	236	0
Nutm1	118.000000	236	0	0
Nop10	118.000000	236	0	0
Nectin2	118.000000	236	0	0
Leng9	118.000000	76	160	0
Heatr4	118.000000	236	0	0
Hdlbp	118.000000	0	236	0
Dennd4b	118.000000	236	0	0
Cyp2b9	118.000000	236	0	0
Cyb561a3	118.000000	236	0	0
Ccdc9b	118.000000	236	0	0
Apoa2	118.000000	236	0	0
Acot2	118.000000	236	0	0
Zfp433	117.500000	235	0	0
Vcpip1	117.500000	235	0	0
Smarca2	117.500000	235	0	0
Shq1	117.500000	235	0	0
Rnase4	117.500000	235	0	0
Osgin1	117.500000	235	0	0
Myorg	117.500000	235	0	0
Mta3	117.500000	235	0	0
Mrap	117.500000	235	0	0
Gm32687	117.500000	235	0	0
Fut2	117.500000	235	0	0
Fbxl22	117.500000	235	0	0
Cox14	117.500000	235	0	0
Arhgap27	117.500000	235	0	0
Ang	117.500000	235	0	0
1110017D15Rik	117.500000	235	0	0
Zfp809	117.000000	234	0	0
Trim16	117.000000	234	0	0
Tmem216	117.000000	234	0	0
Spc25	117.000000	234	0	0
Slc25a19	117.000000	234	0	0
Prepl	117.000000	234	0	0
Pde6d	117.000000	234	0	0
Pcnx4	117.000000	234	0	0
Nfe2l1	117.000000	234	0	0
Mlh1	117.000000	234	0	0
Mkrn2	117.000000	234	0	0
Man2c1	117.000000	234	0	0
Lima1	117.000000	234	0	0
Ldlr	117.000000	234	0	0
Idi1	117.000000	234	0	0
Iars	117.000000	234	0	0
H3c15	117.000000	234	0	0
H3c14	117.000000	234	0	0
H2ac19	117.000000	234	0	0
H2ac18	117.000000	234	0	0
Gsg1	117.000000	234	0	0
Gpr146	117.000000	234	0	0
G6pc2	117.000000	234	0	0
Fndc3b	117.000000	234	0	0
Epm2aip1	117.000000	234	0	0
Dmac1	117.000000	234	0	0
Cops7b	117.000000	234	0	0
Cirbp	117.000000	234	0	0
Chchd3	117.000000	234	0	0
Camkmt	117.000000	234	0	0
Adcy4	117.000000	234	0	0
Tmem120a	116.500000	233	0	0
Snw1	116.500000	233	0	0
Rsl24d1	116.500000	233	0	0
Ptov1	116.500000	233	0	0
Plekhh2	116.500000	233	0	0
Pitx3	116.500000	233	0	0
Itgb7	116.500000	118	115	0
Igfbp7	116.500000	233	0	0
Gpr155	116.500000	233	0	0
Gbf1	116.500000	233	0	0
Ezr	116.500000	233	0	0
Ext2	116.500000	233	0	0
Cnot4	116.500000	233	0	0
Baiap2	116.500000	233	0	0
Trappc3	116.000000	232	0	0
Tmem219	116.000000	0	232	0
Slc39a3	116.000000	232	0	0
Sars	116.000000	232	0	0
Pomt1	116.000000	232	0	0
Ncaph2	116.000000	232	0	0
Lmf2	116.000000	232	0	0
Kbtbd3	116.000000	232	0	0
Inpp5k	116.000000	232	0	0
Furin	116.000000	232	0	0
Eif3e	116.000000	232	0	0
Afap1	116.000000	232	0	0
Aasdhppt	116.000000	232	0	0
2210016L21Rik	116.000000	232	0	0
Tmem208	115.500000	231	0	0
S1pr4	115.500000	231	0	0
Rwdd3	115.500000	231	0	0
Rbm48	115.500000	231	0	0
Pex1	115.500000	231	0	0
Nupl1	115.500000	231	0	0
Ncln	115.500000	231	0	0
Lrrc29	115.500000	231	0	0
Gm2004	115.500000	231	0	0
Ccdc97	115.500000	231	0	0
Arhgef3	115.500000	231	0	0
Zscan26	115.000000	230	0	0
Zfp668	115.000000	230	0	0
Zfp646	115.000000	230	0	0
Zc3hc1	115.000000	230	0	0
Ypel2	115.000000	230	0	0
Vps33a	115.000000	230	0	0
Ubxn1	115.000000	230	0	0
Scamp3	115.000000	230	0	0
Ptprf	115.000000	0	230	0
Pnpla3	115.000000	230	0	0
Phkg1	115.000000	230	0	0
Klf11	115.000000	0	230	0
Imp4	115.000000	230	0	0
Dpp9	115.000000	230	0	0
Ddx24	115.000000	230	0	0
Chmp5	115.000000	230	0	0
Chd2	115.000000	129	101	0
Ccdc115	115.000000	230	0	0
Bcl9l	115.000000	230	0	0
Bag1	115.000000	230	0	0
Apol9a	115.000000	230	0	0
Zswim1	114.500000	229	0	0
Xrra1	114.500000	229	0	0
Wrap53	114.500000	229	0	0
Tufm	114.500000	229	0	0
Tuba1c	114.500000	229	0	0
Trp53	114.500000	229	0	0
Trmt61a	114.500000	229	0	0
Tecpr1	114.500000	229	0	0
Spcs2	114.500000	229	0	0
Rapgef6	114.500000	229	0	0
Lcmt1	114.500000	229	0	0
Bend3	114.500000	229	0	0
Zfp239	114.000000	228	0	0
Serpinb9d	114.000000	228	0	0
Rnf7	114.000000	228	0	0
Rdh11	114.000000	228	0	0
Prr22	114.000000	228	0	0
Prkcg	114.000000	228	0	0
Plscr2	114.000000	228	0	0
