Target_genes	Atf2|Average	SRX515669|3T3-L1	SRX520192|3T3-L1	STRING
Ccl5	373.000000	539	207	0
Tmem242	370.500000	616	125	0
Pcna	370.500000	574	167	0
Snta1	369.000000	533	205	0
Ppp6c	368.000000	612	124	0
Ttc1	367.500000	735	0	0
Tex14	367.500000	438	297	0
Zfp384	367.000000	734	0	0
Inpp5a	367.000000	431	303	0
Cstf2t	367.000000	614	120	0
Slpi	366.000000	579	153	0
Rpl5	366.000000	560	172	0
Rab3gap2	365.500000	731	0	0
Nuf2	364.500000	554	175	0
Frg1	364.500000	486	243	0
Synpo	363.500000	506	221	0
Ebf1	362.500000	414	311	0
Rps29	362.000000	462	262	0
Mrpl21	361.500000	549	174	0
Ighmbp2	361.500000	549	174	0
Snrpa	361.000000	550	172	0
BC024978	361.000000	550	172	0
Rrm1	360.000000	544	176	0
Mxi1	359.500000	550	169	0
Zfand2a	359.000000	462	256	0
Man1b1	359.000000	479	239	0
Lmbrd1	359.000000	400	318	0
Itfg2	359.000000	437	281	0
Ticam1	358.500000	717	0	0
Yars	357.000000	511	203	0
S100pbp	357.000000	511	203	0
Atg10	357.000000	714	0	0
Zfp821	356.500000	299	414	0
Spty2d1	356.500000	511	202	0
Ist1	356.500000	299	414	0
Cbarp	356.500000	277	436	0
Atp5d	356.500000	277	436	0
Fam174a	356.000000	419	293	0
Trmt10a	354.000000	708	0	0
Mttp	354.000000	708	0	0
Krr1	354.000000	708	0	0
Irf2bp2	354.000000	527	181	0
Frs2	353.500000	222	485	0
Ube2b	352.500000	513	192	0
Cdkl3	352.500000	513	192	0
Nat10	352.000000	503	201	0
Ints12	352.000000	560	144	0
Gstcd	352.000000	560	144	0
Cdc5l	352.000000	311	393	0
Oasl1	351.000000	419	283	0
Ywhah	350.500000	183	518	0
Wdfy2	349.500000	563	136	0
Aplf	349.500000	447	252	0
Ambra1	349.500000	699	0	0
Pogz	348.500000	457	240	0
H4c14	348.500000	697	0	0
Ccdc190	348.000000	696	0	0
Mdh1b	347.500000	436	259	0
Gaa	347.500000	404	291	0
Fastkd2	347.500000	436	259	0
Eif3a	347.500000	695	0	0
Arid1a	347.500000	695	0	0
Pxk	347.000000	185	509	0
Crem	346.500000	407	286	0
Tnfaip6	346.000000	334	358	0
Trappc1	345.000000	309	381	0
Kcnab3	345.000000	309	381	0
Cntrob	345.000000	309	381	0
Tmem262	344.500000	578	111	0
Spink10	344.000000	408	280	0
Fbxo38	344.000000	408	280	0
Snrpc	343.500000	687	0	0
Cdkn2b	343.000000	437	249	0
Psph	342.500000	365	320	0
Cct6a	342.500000	365	320	0
Srp54c	342.000000	368	316	0
Srp54b	342.000000	368	316	0
Stk16	340.500000	435	246	0
Glb1l	340.500000	435	246	0
Galnt11	340.500000	271	410	0
Ssbp1	339.000000	678	0	0
Snrpg	338.000000	489	187	0
Sec22b	338.000000	578	98	0
Snrnp27	337.500000	675	0	0
Samd10	337.000000	465	209	0
Prpf6	337.000000	465	209	0
Ints1	337.000000	674	0	0
Atg7	337.000000	230	444	0
Trit1	336.500000	522	151	0
Pot1a	336.500000	307	366	0
Tle6	335.000000	670	0	0
Ccz1	335.000000	508	162	0
Rhob	334.500000	356	313	0
Mbnl2	334.500000	499	170	0
Csnk1g2	334.500000	367	302	0
Taf11	334.000000	382	286	0
Fosb	334.000000	463	205	0
Anks1	334.000000	382	286	0
Rangap1	333.500000	435	232	0
Ppig	333.000000	346	320	0
Myo1c	333.000000	666	0	0
Slc43a3	331.500000	489	174	0
Srp54a	331.000000	348	314	0
Pan2	330.500000	329	332	0
Knl1	330.500000	661	0	0
Prkce	330.000000	503	157	0
Sh3gl1	329.500000	512	147	0
Chaf1a	329.500000	512	147	0
Ltn1	329.000000	388	270	0
Ddx20	329.000000	480	178	0
Nkrf	328.500000	351	306	0
Fmc1	327.000000	654	0	0
Mast4	326.000000	652	0	0
Gsc2	326.000000	423	229	0
Ess2	326.000000	423	229	0
Plk3	325.000000	530	120	0
Angptl4	324.000000	535	113	0
Arhgap11a	323.500000	647	0	0
Ubxn4	321.500000	477	166	0
Klf3	321.000000	457	185	0
Ctc1	321.000000	415	227	0
Wsb1	320.500000	317	324	0
Vnn3	320.000000	640	0	0
Cxcl2	320.000000	640	0	0
Fam149b	318.500000	637	0	0
Ecd	318.500000	637	0	0
Acoxl	318.500000	542	95	0
Ubald1	318.000000	371	265	0
Lrrc8d	317.500000	635	0	0
Zfp747	316.500000	494	139	0
Tyw1	316.500000	464	169	0
Sbds	316.500000	464	169	0
Bckdhb	316.500000	633	0	0
Uba3	316.000000	489	143	0
Dusp1	316.000000	217	415	0
