Target_genes	Foxc1|Average	SRX4309874|Kidney_Glomerulus	STRING
Mcm7	165.000000	165	0
Ap4m1	165.000000	165	0
Stim1	163.000000	163	0
Naglu	163.000000	163	0
Hmgb1	163.000000	163	0
Bmpr2	163.000000	163	0
Tmed10	161.000000	161	0
Ehmt1	161.000000	161	0
Raph1	160.000000	160	0
Ramac	159.000000	159	0
Plekhh2	159.000000	159	0
Cxxc5	159.000000	159	0
Son	158.000000	158	0
Il4ra	158.000000	158	0
Gm9758	158.000000	158	0
Gm36712	158.000000	158	0
Gart	158.000000	158	0
Zbtb25	157.000000	157	0
Zbtb1	157.000000	157	0
Mkrn1	157.000000	157	0
Micu1	157.000000	157	0
Csf3	157.000000	157	0
Cnih2	157.000000	157	0
Cdh3	157.000000	157	0
Ccpg1os	157.000000	157	0
Ccpg1	157.000000	157	0
Sh3rf1	156.000000	156	0
Serinc3	156.000000	156	0
Lima1	155.000000	155	0
Heyl	155.000000	155	0
Xpo7	154.000000	154	0
Tcf7l2	154.000000	154	0
Pakap	153.000000	153	0
Sh3d19	152.000000	152	0
Mrnip	152.000000	152	0
Ctnnb1	152.000000	152	0
Elobl	150.000000	150	0
Coil	150.000000	150	0
Yipf2	149.000000	149	0
Tpcn2	149.000000	149	0
Timm29	149.000000	149	0
Sh3bp5	149.000000	149	0
Lysmd2	149.000000	149	0
Lonrf1	149.000000	149	0
Fgl1	149.000000	149	0
Dynll2	149.000000	149	0
Dpys	149.000000	149	0
Dguok	149.000000	149	0
D2hgdh	149.000000	149	0
Cnot2	149.000000	149	0
Atf6	149.000000	149	0
Lrch3	148.000000	148	0
Cfap45	147.000000	147	0
Gm21190	146.000000	146	0
Zbtb14	145.000000	145	0
Maz	144.000000	144	0
Calm3	144.000000	144	0
Pde4b	143.000000	143	0
Dennd6a	142.000000	142	0
Zhx3	141.000000	141	0
Ttc41	141.000000	141	0
Rnf149	141.000000	141	0
Ptpn12	141.000000	141	0
Lfng	141.000000	141	0
Hsp90b1	141.000000	141	0
Atxn2	141.000000	141	0
Angel2	141.000000	141	0
Mbnl2	140.000000	140	0
Irf2bpl	140.000000	140	0
Nfyc	139.000000	139	0
Plpp3	138.000000	138	0
Insig2	138.000000	138	0
Bcdin3d	137.000000	137	0
Ing1	136.000000	136	0
Zfx	133.000000	133	0
Samd4b	133.000000	133	0
Numa1	133.000000	133	0
Lrp1	133.000000	133	0
Gmfg	133.000000	133	0
Frat2	133.000000	133	0
Eola1	133.000000	133	0
Eif1	133.000000	133	0
Eef2	133.000000	133	0
A330070K13Rik	133.000000	133	0
Tcp11l2	131.000000	131	0
Mef2d	129.000000	129	0
Fzd7	129.000000	129	0
Ulk1	128.000000	128	0
Gclc	127.000000	127	0
Zcchc17	126.000000	126	0
Wnt5b	126.000000	126	0
Unc50	126.000000	126	0
Rcc1l	126.000000	126	0
Coa5	126.000000	126	0
Bmt2	126.000000	126	0
Dhx33	125.000000	125	0
Bri3	125.000000	125	0
Zmat3	124.000000	124	0
Pear1	124.000000	124	0
Stk11	121.000000	121	0
Trim44	118.000000	118	0
Sptssa	118.000000	118	0
Pdpk1	118.000000	118	0
Mrtfb	118.000000	118	0
Knop1	118.000000	118	0
Iqck	118.000000	118	0
Fzd8	118.000000	118	0
Cdhr3	118.000000	118	0
Cbx7	118.000000	118	0
Bok	118.000000	118	0
4931408C20Rik	117.000000	117	0
Vamp8	115.000000	115	0
Nuf2	115.000000	115	0
Gar1	115.000000	115	0
Cfi	115.000000	115	0
Mpc2	112.000000	112	0
Dcaf6	112.000000	112	0
4930505A04Rik	111.000000	111	0
Letm2	109.000000	109	0
Zfp524	106.000000	106	0
Fiz1	106.000000	106	0
Vps26b	105.000000	105	0
Ncapd3	105.000000	105	0
Ubn2	104.000000	104	0
Nynrin	103.000000	103	0
Sqstm1	100.000000	100	0
Hp1bp3	99.000000	99	0
Csrp1	96.000000	96	0
Ddx17	94.000000	94	0
Sfi1	91.000000	91	0
Eif4enif1	91.000000	91	0
Arhgap29	82.000000	82	0
Spon1	69.000000	69	0
Gli2	0.000000	0	462
Pgr	0.000000	0	434
Myh7	0.000000	0	431
Nedd9	0.000000	0	426
