Target_genes	Tfcp2l1|Average	SRX9345864|ES_cells	SRX9345866|ES_cells	SRX2229890|Kidney	STRING
Epha2	426.333333	776	503	0	0
Dsc2	426.333333	585	694	0	0
Cryaa	426.333333	814	465	0	0
Tmub1	426.000000	843	435	0	0
Fastk	426.000000	843	435	0	0
Entpd5	426.000000	577	701	0	0
Bbof1	426.000000	577	701	0	0
Agap3	426.000000	843	435	0	0
Usp10	425.666667	672	605	0	0
Prima1	425.333333	573	703	0	0
Nbn	425.333333	946	330	0	0
Pttg1	424.666667	347	927	0	0
Pard6b	424.333333	699	574	0	0
Sec23b	423.666667	848	423	0	0
Gpsm1	423.333333	852	418	0	0
Coa7	423.333333	532	738	0	0
Nfe2	423.000000	703	566	0	0
Rsph14	422.666667	565	703	0	0
Fbxo48	422.333333	594	673	0	0
Btbd3	422.333333	474	793	0	0
Sike1	422.000000	531	735	0	0
Mphosph8	422.000000	818	448	0	0
Cops4	422.000000	636	630	0	0
Miga1	421.666667	683	582	0	0
Onecut1	421.000000	773	490	0	0
Blmh	421.000000	602	661	0	0
Zfp943	420.666667	519	743	0	0
Zfp942	420.666667	519	743	0	0
Rnaseh2a	420.666667	791	471	0	0
Prdx2	420.666667	791	471	0	0
Pfkfb2	420.333333	628	633	0	0
AA986860	420.333333	628	633	0	0
Zfp428	420.000000	625	635	0	0
Wnt2	420.000000	593	667	0	0
Sesn2	419.666667	784	475	0	0
Camk1d	419.666667	677	582	0	0
Git1	419.333333	667	591	0	0
Ankrd13b	419.333333	667	591	0	0
Laptm4b	419.000000	904	353	0	0
Sgk1	418.666667	648	608	0	0
Msx1	418.333333	561	694	0	0
Ccne2	418.333333	782	473	0	0
AW209491	418.333333	815	440	0	0
Tk2	418.000000	740	514	0	0
Rnps1	418.000000	671	583	0	0
Ficd	418.000000	631	623	0	0
Cklf	418.000000	740	514	0	0
Sertad3	417.666667	646	607	0	0
Scaf4	417.666667	528	725	0	0
Atp1a3	417.666667	710	543	0	0
Rnf4	417.333333	670	582	0	0
Ndc1	416.333333	611	638	0	0
Mt2	416.333333	777	472	0	0
Limk2	416.333333	746	503	0	0
Etl4	416.333333	567	682	0	0
Uqcrq	416.000000	653	595	0	0
Nox4	416.000000	745	503	0	0
Elobl	416.000000	781	467	0	0
Ppp1r15b	415.666667	480	767	0	0
Pls1	415.666667	805	442	0	0
Smad6	415.333333	611	635	0	0
Pde6a	415.333333	596	650	0	0
Fgfr2	415.333333	398	848	0	0
Catsperg1	415.333333	653	593	0	0
Itgb6	414.666667	634	610	0	0
2410137M14Rik	414.333333	640	603	0	0
1810013L24Rik	414.333333	653	590	0	0
Snx21	414.000000	790	452	0	0
Pla2g4b	414.000000	588	654	0	0
Ndufa4l2	414.000000	806	436	0	0
Gdf9	414.000000	653	589	0	0
Acsl5	414.000000	491	751	0	0
1700001P01Rik	414.000000	722	520	0	0
Zyg11b	413.333333	505	735	0	0
Them4	413.333333	671	569	0	0
Med23	413.333333	560	680	0	0
Itgb7	413.333333	697	543	0	0
Ifitm3	413.333333	554	686	0	0
Adpgk	413.000000	958	281	0	0
Rraga	412.333333	809	428	0	0
Kif22	412.333333	446	791	0	0
Thap12	412.000000	648	588	0	0
Slc38a1	412.000000	734	502	0	0
Rnaset2b	411.666667	837	398	0	0
Rasa4	411.666667	543	692	0	0
Cdc42ep5	411.666667	789	446	0	0
Fscn2	411.333333	701	533	0	0
As3mt	411.333333	512	722	0	0
Dnajb13	411.000000	501	732	0	0
Tm7sf2	410.666667	507	725	0	0
Fam186b	410.333333	560	671	0	0
Smtnl2	410.000000	799	431	0	0
Tdgf1	409.666667	696	533	0	0
Plk3	409.666667	653	576	0	0
Lrrc2	409.666667	696	533	0	0
Lactb	409.666667	703	526	0	0
Bmp7	409.666667	811	418	0	0
Thrap3	409.333333	738	490	0	0
Prkaa2	409.333333	522	706	0	0
Bambi	409.333333	599	629	0	0
Znrd2	409.000000	538	689	0	0
Nipa2	409.000000	619	608	0	0
Mcur1	409.000000	855	372	0	0
Fam89b	409.000000	538	689	0	0
Ehbp1l1	409.000000	538	689	0	0
Ttc39c	408.666667	748	478	0	0
Kmt2e	408.666667	769	457	0	0
St3gal4	408.333333	776	449	0	0
Speg	408.333333	665	560	0	0
Hmgn5	408.000000	563	661	0	0
Bicd1	408.000000	800	424	0	0
Lin9	407.666667	655	568	0	0
Iqce	407.666667	764	459	0	0
Gclm	407.666667	800	423	0	0
Brat1	407.666667	764	459	0	0
Fbxl19	407.333333	443	779	0	0
Znhit2	407.000000	825	396	0	0
Sdsl	407.000000	727	494	0	0
Sds	407.000000	727	494	0	0
Pip4p2	407.000000	572	649	0	0
Mrpl49	407.000000	825	396	0	0
Fau	407.000000	825	396	0	0
Eps8l2	407.000000	665	556	0	0
Deaf1	407.000000	665	556	0	0
Clcf1	407.000000	605	616	0	0
Vwa3b	406.666667	637	583	0	0
Ptov1	406.666667	634	586	0	0
Mthfs	406.666667	694	526	0	0
Hoxa9	406.666667	771	449	0	0
Zfp553	406.333333	793	426	0	0
Cyb5r2	406.333333	688	531	0	0
Ruvbl2	406.000000	917	301	0	0
Gys1	406.000000	917	301	0	0
Col6a3	406.000000	448	770	0	0
Tmem211	405.666667	663	554	0	0
Gfus	405.666667	517	700	0	0
Fa2h	405.666667	843	374	0	0
2900026A02Rik	405.666667	663	554	0	0
Htra1	405.333333	487	729	0	0
Cst3	405.333333	590	626	0	0
Zfp280b	405.000000	896	319	0	0
Ddr1	405.000000	550	665	0	0
Mib2	404.666667	585	629	0	0
Ticrr	404.333333	521	692	0	0
Paip2	404.333333	604	609	0	0
Cyp2s1	404.333333	621	592	0	0
Phlda2	404.000000	802	410	0	0
Ube2m	403.666667	576	635	0	0
Pkm	403.666667	825	386	0	0
Gm4952	403.666667	862	349	0	0
Chmp2a	403.666667	576	635	0	0
Rnf220	403.000000	542	667	0	0
Lhb	403.000000	607	602	0	0
Leprot	403.000000	635	574	0	0
