Target_genes	Tfcp2l1|Average	SRX9345864|ES_cells	SRX9345866|ES_cells	SRX2229890|Kidney	STRING
Arhgdia	216.000000	348	300	0	0
Zfp507	215.666667	448	199	0	0
Nit2	215.666667	217	430	0	0
Lgi2	215.666667	647	0	0	0
Ints13	215.666667	407	240	0	0
Inppl1	215.666667	266	381	0	0
Hccs	215.666667	412	235	0	0
Gm15246	215.666667	412	235	0	0
Fgfr1op2	215.666667	407	240	0	0
Cul2	215.666667	277	370	0	0
B3glct	215.666667	280	367	0	0
Tmtc3	215.333333	359	287	0	0
Taf2	215.333333	388	258	0	0
Slc22a6	215.333333	322	324	0	0
Nsfl1c	215.333333	330	316	0	0
Mzb1	215.333333	235	411	0	0
Lsm2	215.333333	234	412	0	0
Ifngr1	215.333333	401	245	0	0
Gm45915	215.333333	396	250	0	0
Dhx8	215.333333	308	338	0	0
Cep290	215.333333	359	287	0	0
3110082J24Rik	215.333333	360	286	0	0
Samd1	215.000000	214	431	0	0
Fsip1	215.000000	338	307	0	0
Flvcr2	215.000000	374	271	0	0
Dram1	215.000000	501	144	0	0
1700067K01Rik	215.000000	214	431	0	0
Slc43a1	214.666667	418	226	0	0
Retreg1	214.666667	387	257	0	0
Jam3	214.666667	465	179	0	0
Eloc	214.666667	312	332	0	0
Elk3	214.666667	336	308	0	0
Clcn1	214.666667	373	271	0	0
Yipf6	214.333333	334	309	0	0
Tob1	214.333333	335	308	0	0
Tmem121b	214.333333	393	250	0	0
Gcm1	214.333333	304	339	0	0
Cryzl2	214.333333	210	433	0	0
Col20a1	214.333333	268	375	0	0
Arhgap29	214.333333	431	212	0	0
Tmem269	214.000000	321	321	0	0
Slc9a1	214.000000	336	306	0	0
Slc16a13	214.000000	251	391	0	0
Pgr	214.000000	327	315	0	0
Nxf1	214.000000	499	143	0	0
Mllt11	214.000000	386	256	0	0
Gcnt1	214.000000	442	200	0	0
Cdc42se1	214.000000	386	256	0	0
Cd93	214.000000	358	284	0	0
Ube2a	213.666667	286	355	0	0
Rcan2	213.666667	321	320	0	0
Mon1a	213.666667	319	322	0	0
Ccna2	213.666667	370	271	0	0
Tnrc6a	213.333333	200	440	0	0
Ssbp3	213.333333	341	299	0	0
Igdcc3	213.333333	365	275	0	0
Cks1b	213.333333	412	228	0	0
9230019H11Rik	213.333333	150	116	374	0
Gskip	213.000000	367	272	0	0
Dhx35	213.000000	249	390	0	0
Cwh43	213.000000	439	200	0	0
Atg2b	213.000000	367	272	0	0
Acvr2b	213.000000	345	294	0	0
Mageb16	212.666667	304	334	0	0
Eif2ak3	212.666667	308	330	0	0
Eef2	212.666667	433	205	0	0
Dact1	212.666667	315	323	0	0
Adcy2	212.666667	304	334	0	0
Rab13	212.333333	297	340	0	0
Prph	212.333333	405	232	0	0
Parn	212.333333	297	340	0	0
H2-T3	212.333333	389	248	0	0
Fstl3	212.333333	410	227	0	0
Fabp1	212.333333	417	220	0	0
Bfar	212.333333	297	340	0	0
Trim5	212.000000	203	433	0	0
Sycn	212.000000	376	260	0	0
Rbm47	212.000000	309	327	0	0
Pbld1	212.000000	364	272	0	0
Lrp4	212.000000	244	392	0	0
Insm1	212.000000	327	309	0	0
Gtpbp6	212.000000	411	225	0	0
Ctsg	212.000000	224	412	0	0
Ankrd33b	212.000000	275	361	0	0
Amer3	212.000000	294	342	0	0
Rnd3	211.666667	346	289	0	0
Hoxb9	211.666667	382	253	0	0
Gmfb	211.666667	490	145	0	0
Gfi1b	211.666667	387	248	0	0
Wdr27	211.333333	383	251	0	0
Rps14	211.333333	355	279	0	0
Pik3cg	211.333333	236	398	0	0
Mpv17l2	211.333333	365	269	0	0
Kif1b	211.333333	416	218	0	0
Guf1	211.333333	634	0	0	0
Fbxo33	211.333333	387	247	0	0
1600012H06Rik	211.333333	383	251	0	0
Tmem245	211.000000	164	469	0	0
Tmem154	211.000000	304	329	0	0
Rpl17	211.000000	388	245	0	0
Mfsd5	211.000000	481	152	0	0
Lgals12	211.000000	377	256	0	0
Bsdc1	211.000000	462	171	0	0
Tfdp1	210.666667	385	247	0	0
Oxnad1	210.666667	306	326	0	0
Gxylt1	210.666667	378	254	0	0
Gnaq	210.666667	384	248	0	0
Dph3	210.666667	306	326	0	0
Aopep	210.666667	487	145	0	0
Timm10	210.333333	386	245	0	0
Spata33	210.333333	470	161	0	0
Sox7	210.333333	260	371	0	0
Smtnl1	210.333333	386	245	0	0
Rdh14	210.333333	407	224	0	0
Ppox	210.333333	310	321	0	0
Polr1d	210.333333	222	409	0	0
Myt1	210.333333	353	278	0	0
Lnx2	210.333333	222	409	0	0
G3bp2	210.333333	315	316	0	0
Fam122a	210.333333	501	130	0	0
Ercc5	210.333333	388	243	0	0
Chmp1a	210.333333	470	161	0	0
Ube2c	210.000000	325	305	0	0
Papss1	210.000000	383	247	0	0
Kdm5a	210.000000	362	268	0	0
Dap	210.000000	374	256	0	0
Tmem256	209.666667	368	261	0	0
Svip	209.666667	369	260	0	0
Hmga1b	209.666667	416	213	0	0
Hmga1	209.666667	416	213	0	0
Filip1l	209.666667	291	338	0	0
Cwc22	209.666667	200	429	0	0
Zfp747	209.333333	295	333	0	0
Pcdhgb2	209.333333	412	216	0	0
Pcdhga4	209.333333	412	216	0	0
Gpr37l1	209.333333	376	252	0	0
Echdc2	209.333333	350	278	0	0
Drc7	209.000000	318	309	0	0
Commd4	209.000000	370	257	0	0
Tcf19	208.666667	402	224	0	0
Prokr2	208.666667	472	154	0	0
Mpc2	208.666667	433	193	0	0
Dcaf6	208.666667	433	193	0	0
Cyp2u1	208.666667	478	148	0	0
Cchcr1	208.666667	402	224	0	0
Nasp	208.333333	342	283	0	0
Mob1b	208.333333	403	222	0	0
Gprin2	208.333333	345	280	0	0
Eif3e	208.333333	425	200	0	0
Bdkrb1	208.333333	254	371	0	0
Plekhg3	208.000000	228	396	0	0
Lypd6	208.000000	412	212	0	0
Lgals2	208.000000	342	282	0	0
Fmn2	208.000000	338	286	0	0
Arglu1	208.000000	397	227	0	0
Gm6588	207.666667	379	244	0	0
Gkn3	207.666667	339	284	0	0
Zfp760	207.333333	414	208	0	0
Vps37d	207.333333	296	326	0	0
Slc34a3	207.333333	235	387	0	0
Rnf224	207.333333	235	387	0	0
Rnf208	207.333333	235	387	0	0
Rflnb	207.333333	387	235	0	0
Rbm27	207.333333	265	357	0	0
Rab34	207.333333	357	265	0	0
Proca1	207.333333	357	265	0	0
Cysrt1	207.333333	235	387	0	0
Creb1	207.333333	446	176	0	0
Cpsf6	207.333333	306	316	0	0
Slc25a5	207.000000	310	311	0	0
Lgals7	207.000000	300	321	0	0
Hsp90ab1	207.000000	318	303	0	0
Gsg1l	207.000000	363	258	0	0
Dis3l	207.000000	350	271	0	0
Cfap298	207.000000	370	251	0	0
Rasgef1a	206.666667	404	216	0	0
Epdr1	206.666667	475	145	0	0
Cfap74	206.666667	286	334	0	0
Zranb1	206.333333	251	368	0	0
Nipal1	206.333333	255	364	0	0
Golga7b	206.333333	222	397	0	0
Cbfb	206.333333	365	254	0	0
Pdzrn4	206.000000	359	259	0	0
Kxd1	206.000000	379	239	0	0
Gp1bb	206.000000	184	434	0	0
Fkbp8	206.000000	379	239	0	0
Clec11a	206.000000	352	266	0	0
Cd109	206.000000	421	197	0	0
Sox15	205.666667	219	398	0	0
Nudt16	205.666667	238	379	0	0
Fzd10	205.666667	408	209	0	0
Zic5	205.333333	224	392	0	0
Sf3b2	205.333333	195	421	0	0
Pgm2l1	205.333333	408	208	0	0
Nkx6-3	205.333333	400	216	0	0
Galnt1	205.333333	419	197	0	0
Gal3st3	205.333333	195	421	0	0
Ect2	205.333333	278	338	0	0
Ulk2	205.000000	231	384	0	0
Nktr	205.000000	413	202	0	0
Gbx1	205.000000	316	299	0	0
Cilp2	205.000000	385	230	0	0
Cdc23	205.000000	285	330	0	0
Batf3	205.000000	361	254	0	0
Zfp456	204.666667	375	239	0	0
Stat5b	204.666667	451	163	0	0
Sgms1	204.666667	330	284	0	0
Htr1b	204.666667	474	140	0	0
Dock10	204.666667	301	313	0	0
Dipk2a	204.666667	327	287	0	0
Ccl25	204.666667	324	290	0	0
Atp2c2	204.666667	425	189	0	0
Smim14	204.333333	370	243	0	0
Sdf4	204.333333	339	274	0	0
Ppp1r3g	204.333333	334	279	0	0
Gm16381	204.333333	329	284	0	0
B3galt6	204.333333	339	274	0	0
Zfp937	204.000000	248	364	0	0
Vbp1	204.000000	445	167	0	0
Slco4c1	204.000000	396	216	0	0
Slc25a23	204.000000	292	320	0	0
Shox2	204.000000	388	224	0	0
Rsrc1	204.000000	388	224	0	0
Oprd1	204.000000	345	267	0	0
Mns1	204.000000	388	224	0	0
Erg	204.000000	412	200	0	0
Crb3	204.000000	292	320	0	0
Tedc1	203.666667	342	269	0	0
Tctex1d4	203.666667	365	246	0	0
Rsrp1	203.666667	218	393	0	0
Map4k2	203.666667	251	360	0	0
Lmna	203.666667	397	214	0	0
Fbxl14	203.666667	431	180	0	0
Dusp12	203.666667	373	238	0	0
Crip1	203.666667	342	269	0	0
Aldh1a3	203.666667	266	345	0	0
Rrp36	203.333333	357	253	0	0
Mea1	203.333333	357	253	0	0
Klhdc3	203.333333	357	253	0	0
Insyn2b	203.333333	370	240	0	0
Gpa33	203.333333	299	311	0	0
Exosc9	203.333333	302	308	0	0
Akap7	203.333333	350	260	0	0
4930402H24Rik	203.333333	189	421	0	0
Tspan13	203.000000	257	352	0	0
Mab21l3	203.000000	231	378	0	0
Gjb5	203.000000	275	334	0	0
Adm	203.000000	340	269	0	0
Wdr66	202.666667	374	234	0	0
Txnl1	202.666667	310	298	0	0
Nphp1	202.666667	324	284	0	0
Mtln	202.666667	324	284	0	0
Zbtb22	202.333333	341	266	0	0
Ccdc33	202.333333	304	303	0	0
Castor1	202.333333	440	167	0	0
Baiap2l2	202.333333	379	228	0	0
Tsga10	202.000000	312	294	0	0
Pink1	202.000000	461	145	0	0
Nras	202.000000	335	271	0	0
Mrpl27	202.000000	203	403	0	0
Eme1	202.000000	203	403	0	0
Cflar	202.000000	374	232	0	0
Slc49a4	201.666667	270	335	0	0
Grasp	201.666667	303	302	0	0
Gm14124	201.666667	238	367	0	0
Cebpd	201.666667	233	372	0	0
Plaur	201.333333	321	283	0	0
Pkd1	201.333333	360	244	0	0
Odf3l2	201.333333	408	196	0	0
Lsm10	201.333333	323	281	0	0
Tmem205	201.000000	259	344	0	0
Stap2	201.000000	210	393	0	0
Rusc2	201.000000	482	121	0	0
Pknox2	201.000000	352	251	0	0
Mpnd	201.000000	210	393	0	0
Ccdc159	201.000000	259	344	0	0
Bnip1	201.000000	414	189	0	0
Birc5	201.000000	307	296	0	0
Apba2	201.000000	425	178	0	0
Ablim1	201.000000	407	196	0	0
Wrn	200.666667	446	156	0	0
Purg	200.666667	446	156	0	0
Ltbp1	200.666667	424	178	0	0
Gpnmb	200.666667	383	219	0	0
Gm2832	200.666667	234	368	0	0
Camk2g	200.666667	257	345	0	0
1190005I06Rik	200.666667	293	309	0	0
Ubxn8	200.333333	409	192	0	0
Tnfrsf12a	200.333333	341	260	0	0
Thoc6	200.333333	341	260	0	0
Syne2	200.333333	401	200	0	0
St7	200.333333	412	189	0	0
Sapcd2	200.333333	336	265	0	0
Hcfc1r1	200.333333	341	260	0	0
Tyro3	200.000000	357	243	0	0
Rps12	200.000000	273	327	0	0
Rhobtb1	200.000000	152	448	0	0
A930033H14Rik	200.000000	152	448	0	0
Arid3a	199.666667	291	308	0	0
Usf3	199.333333	299	299	0	0
Stpg1	199.333333	344	254	0	0
Nipal3	199.333333	344	254	0	0
Il17rb	199.333333	287	311	0	0
Igfbp4	199.333333	404	194	0	0
Chdh	199.333333	287	311	0	0
Cenpu	199.333333	430	168	0	0
Fam227a	199.000000	400	197	0	0
Cct5	199.000000	407	190	0	0
Cby1	199.000000	400	197	0	0
Atpsckmt	199.000000	407	190	0	0
1700028P14Rik	199.000000	296	301	0	0
Rnf115	198.666667	343	253	0	0
Qrich2	198.666667	387	209	0	0
Polr3c	198.666667	343	253	0	0
Lrrn4	198.666667	284	312	0	0
Jade3	198.666667	407	189	0	0
Cd14	198.666667	387	209	0	0
Tmem165	198.333333	452	143	0	0
Sult6b1	198.333333	264	331	0	0
S1pr3	198.333333	316	279	0	0
Lhx6	198.333333	347	248	0	0
Grb7	198.333333	297	298	0	0
Cbr3	198.333333	356	239	0	0
Ak1	198.333333	311	284	0	0
Slc22a12	198.000000	378	216	0	0
Pramel13	198.000000	200	394	0	0
Pmel	198.000000	433	161	0	0
Dctn4	198.000000	215	379	0	0
Cct8l1	198.000000	441	153	0	0
2510009E07Rik	198.000000	326	268	0	0
Tmem50a	197.666667	346	247	0	0
Samd4	197.666667	118	475	0	0
Psmb6	197.666667	346	247	0	0
Ppp6r3	197.666667	318	275	0	0
Klhl20	197.666667	332	261	0	0
Heatr5a	197.666667	434	159	0	0
Gnpnat1	197.666667	593	0	0	0
Gnpda1	197.666667	361	232	0	0
Gltpd2	197.666667	346	247	0	0
Cmc1	197.666667	415	178	0	0
Trim71	197.333333	390	202	0	0
Tpgs1	197.333333	300	292	0	0
Top1mt	197.333333	424	168	0	0
Phf12	197.333333	255	337	0	0
H3c11	197.333333	307	285	0	0
H2bc22	197.333333	307	285	0	0
H2ac22	197.333333	307	285	0	0
Slc24a4	197.000000	369	222	0	0
Mrto4	197.000000	234	357	0	0
Hars2	197.000000	296	295	0	0
Hars	197.000000	296	295	0	0
Emc1	197.000000	234	357	0	0
Coil	197.000000	230	361	0	0
Ankrd42	197.000000	295	296	0	0
Zbp1	196.666667	429	161	0	0
Wbp1	196.666667	419	171	0	0
Olfr153	196.666667	266	324	0	0
Mogs	196.666667	419	171	0	0
Bcl7b	196.666667	260	330	0	0
Zfp53	196.333333	355	234	0	0
Zbtb8a	196.333333	339	250	0	0
Raver1	196.333333	295	294	0	0
P2ry2	196.333333	392	197	0	0
Lgals9	196.333333	406	183	0	0
Cfap126	196.333333	347	242	0	0
Zfp738	196.000000	258	330	0	0
Myrfl	196.000000	345	243	0	0
Map2k7	196.000000	459	129	0	0
Cdh24	196.000000	385	203	0	0
Acly	196.000000	304	284	0	0
Vrk2	195.666667	267	320	0	0
Spr	195.666667	305	282	0	0
Rorb	195.666667	318	269	0	0
Lrfn4	195.666667	365	222	0	0
Gper1	195.666667	198	389	0	0
Egfr	195.666667	376	211	0	0
Cachd1	195.666667	287	300	0	0
Spag8	195.333333	299	287	0	0
Rsad1	195.333333	358	228	0	0
Mlip	195.333333	200	386	0	0
Hint2	195.333333	299	287	0	0
Eya2	195.333333	202	384	0	0
Ddx46	195.333333	419	167	0	0
Alg13	195.333333	329	257	0	0
Trim12c	195.000000	314	271	0	0
Terf1	195.000000	443	142	0	0
Gm34653	195.000000	232	353	0	0
Fbxo44	195.000000	351	234	0	0
Fbxo2	195.000000	351	234	0	0
Akap12	195.000000	249	336	0	0
Sp7	194.666667	338	246	0	0
Mzf1	194.666667	356	228	0	0
Lmbrd1	194.666667	371	213	0	0
Esr1	194.666667	373	211	0	0
Rcl1	194.333333	318	265	0	0
Gga1	194.333333	295	288	0	0
Cox4i2	194.333333	325	258	0	0
Ap4e1	194.333333	345	238	0	0
Abhd18	194.333333	334	249	0	0
Hdgf	194.000000	272	310	0	0
Crmp1	194.000000	305	277	0	0
Alg8	194.000000	343	239	0	0
1700019D03Rik	194.000000	415	167	0	0
1110004F10Rik	194.000000	312	270	0	0
Zfp771	193.666667	310	271	0	0
Ppp2r1a	193.666667	385	196	0	0
Ppard	193.666667	295	286	0	0
Smarcc1	193.333333	390	190	0	0
Klk1	193.333333	311	269	0	0
Hjurp	193.333333	319	261	0	0
Gm12569	193.333333	190	390	0	0
Cds2	193.333333	343	237	0	0
A730008H23Rik	193.333333	319	261	0	0
1700010I14Rik	193.333333	150	430	0	0
Spin2c	193.000000	332	247	0	0
Smc6	193.000000	378	201	0	0
Oxgr1	193.000000	579	0	0	0
Gen1	193.000000	378	201	0	0
Atp6v0e	193.000000	255	324	0	0
Unc119b	192.666667	303	275	0	0
Nupr1l	192.666667	329	249	0	0
Fsd2	192.666667	362	216	0	0
Amotl2	192.666667	337	241	0	0
Zfp511	192.333333	398	179	0	0
Tubgcp2	192.333333	398	179	0	0
Psmd3	192.333333	353	224	0	0
Pkd2l2	192.333333	291	286	0	0
Dnajc10	192.333333	256	321	0	0
Ank3	192.333333	268	309	0	0
Sobp	192.000000	409	167	0	0
Nkain4	192.000000	276	300	0	0
Mknk2	192.000000	354	222	0	0
Ak5	192.000000	420	156	0	0
Vrtn	191.666667	269	306	0	0
Mthfd1l	191.666667	357	218	0	0
Map3k10	191.666667	297	278	0	0
Lman2	191.666667	190	385	0	0
Itprid2	191.666667	349	226	0	0
Scx	191.333333	298	276	0	0
Pth2	191.333333	265	309	0	0
Phf19	191.333333	344	230	0	0
Mfge8	191.333333	214	360	0	0
Icosl	191.333333	285	289	0	0
Gfy	191.333333	265	309	0	0
Clptm1	191.333333	338	236	0	0
Cenpc1	191.333333	393	181	0	0
Olfr484	191.000000	213	360	0	0
Gm9805	191.000000	277	296	0	0
Acer2	191.000000	422	151	0	0
Abca8b	191.000000	277	296	0	0
Zfp940	190.666667	372	200	0	0
Slx1b	190.666667	282	290	0	0
Rnase6	190.666667	372	200	0	0
Phldb1	190.666667	320	252	0	0
Hnrnph1	190.666667	284	288	0	0
Hnmt	190.666667	416	156	0	0
Evi5l	190.666667	316	256	0	0
Cited2	190.666667	251	321	0	0
Bola2	190.666667	282	290	0	0
Zfp964	190.333333	287	284	0	0
Rrnad1	190.333333	409	162	0	0
Nefh	190.333333	296	275	0	0
Isg20l2	190.333333	409	162	0	0
Dpp6	190.333333	341	230	0	0
Ap1b1	190.333333	296	275	0	0
Vpreb1	190.000000	340	230	0	0
Top3b	190.000000	340	230	0	0
Rab3b	190.000000	358	212	0	0
Paox	190.000000	261	309	0	0
Msh2	190.000000	244	326	0	0
Kcnk5	190.000000	335	235	0	0
Igll1	190.000000	340	230	0	0
Hdac6	190.000000	342	228	0	0
Dock8	190.000000	358	212	0	0
Cadm1	190.000000	328	242	0	0
Mpdu1	189.666667	347	222	0	0
Magel2	189.666667	349	220	0	0
Ltb	189.666667	202	367	0	0
Lsm7	189.666667	229	340	0	0
Tead1	189.333333	295	273	0	0
Saxo1	189.333333	262	306	0	0
Ogfr	189.333333	321	247	0	0
Ndufs4	189.333333	316	252	0	0
Irx4	189.333333	211	357	0	0
Erich1	189.333333	355	213	0	0
Arl6ip4	189.333333	284	284	0	0
Pnpla6	189.000000	359	208	0	0
Letm1	189.000000	310	257	0	0
Gnas	189.000000	359	208	0	0
Daam1	189.000000	266	301	0	0
D10Wsu102e	189.000000	330	237	0	0
Cox7a2l	189.000000	271	296	0	0
Casp8	189.000000	332	235	0	0
Bri3	189.000000	318	249	0	0
Zfp991	188.666667	206	360	0	0
Wdpcp	188.666667	316	250	0	0
Rrm2	188.666667	371	195	0	0
Mdm1	188.666667	297	269	0	0
Mdh1	188.666667	316	250	0	0
Hnrnpab	188.666667	566	0	0	0
Gsdmd	188.666667	423	143	0	0
Agmat	188.666667	248	318	0	0
Tbc1d32	188.333333	318	247	0	0
Shh	188.333333	239	326	0	0
Rcor3	188.333333	324	241	0	0
Lamtor3	188.333333	241	324	0	0
Kbtbd13	188.333333	309	256	0	0
Ebna1bp2	188.333333	324	241	0	0
Cfap57	188.333333	324	241	0	0
Cdc16	188.333333	326	239	0	0
Adarb1	188.333333	398	167	0	0
Acy1	188.333333	279	286	0	0
Wdr54	188.000000	352	212	0	0
Urod	188.000000	224	340	0	0
Trerf1	188.000000	239	325	0	0
Tdrd3	188.000000	370	194	0	0
1700003E16Rik	188.000000	352	212	0	0
Rilpl1	187.666667	341	222	0	0
Rasal3	187.666667	292	271	0	0
Lpp	187.666667	272	291	0	0
Ero1a	187.666667	226	337	0	0
Cbln1	187.666667	179	384	0	0
Bcl11b	187.666667	290	273	0	0
Ssh2	187.333333	291	271	0	0
Pgap2	187.333333	291	271	0	0
Nup98	187.333333	291	271	0	0
N4bp3	187.333333	269	293	0	0
Fanca	187.333333	342	220	0	0
Eed	187.333333	348	214	0	0
Dppa2	187.333333	329	233	0	0
Dcdc2b	187.333333	270	292	0	0
Crtap	187.333333	348	214	0	0
Ago1	187.333333	304	258	0	0
Timm50	187.000000	292	269	0	0
Slfn14	187.000000	426	135	0	0
Scd2	187.000000	290	271	0	0
Prrx1	187.000000	342	219	0	0
Fancc	187.000000	339	222	0	0
Fam205c	187.000000	251	310	0	0
Asph	187.000000	377	184	0	0
Prlh	186.666667	301	259	0	0
Lrrk1	186.666667	298	262	0	0
H2-Ea	186.666667	244	316	0	0
Camsap3	186.666667	379	181	0	0
Zfp462	186.333333	205	354	0	0
Rhpn2	186.333333	261	298	0	0
Pyroxd1	186.333333	164	395	0	0
Phyhip	186.333333	334	225	0	0
Ngf	186.333333	213	346	0	0
Mrgpra9	186.333333	238	321	0	0
Galnt15	186.333333	381	178	0	0
Tcp11l1	186.000000	205	353	0	0
Snx14	186.000000	423	135	0	0
Foxp2	186.000000	351	207	0	0
Nek6	185.666667	347	210	0	0
Cdc42	185.666667	370	187	0	0
Ccdc34	185.666667	298	259	0	0
Spns2	185.333333	356	200	0	0
Zfp866	185.000000	179	376	0	0
Zbtb8b	185.000000	278	277	0	0
Trim33	185.000000	228	327	0	0
Syt7	185.000000	391	164	0	0
Sbno2	185.000000	256	299	0	0
Hnrnpl	185.000000	339	216	0	0
Dach1	185.000000	366	189	0	0
Clec12a	185.000000	264	291	0	0
Vps18	184.666667	402	152	0	0
Ubiad1	184.666667	234	320	0	0
Slc5a3	184.666667	312	242	0	0
Selenof	184.666667	315	239	0	0
Rif1	184.666667	262	292	0	0
Prkx	184.666667	307	247	0	0
Mtor	184.666667	234	320	0	0
Mrps6	184.666667	312	242	0	0
Irf2bpl	184.666667	311	243	0	0
Hs2st1	184.666667	315	239	0	0
Olfr1318	184.333333	318	235	0	0
Kcnd3	184.333333	297	256	0	0
Gng10	184.333333	343	210	0	0
Cap1	184.333333	227	326	0	0
2700081O15Rik	184.333333	342	211	0	0
Zfp324	184.000000	344	208	0	0
Xxylt1	184.000000	285	267	0	0
Vdr	184.000000	328	224	0	0
Ttc16	184.000000	257	295	0	0
Tapbp	184.000000	286	266	0	0
Rbm24	184.000000	407	145	0	0
Ptrh1	184.000000	257	295	0	0
Irak1	184.000000	341	211	0	0
Hspg2	184.000000	379	173	0	0
Gbx2	184.000000	277	275	0	0
Dlx1	184.000000	259	293	0	0
Csrnp2	184.000000	254	298	0	0
Ptpn23	183.666667	182	369	0	0
Ogt	183.666667	380	171	0	0
Lrrk2	183.666667	373	178	0	0
Lgals1	183.666667	272	279	0	0
Irf8	183.666667	270	281	0	0
Cstf3	183.666667	311	240	0	0
Ccdc97	183.666667	407	144	0	0
Add3	183.666667	247	304	0	0
Pianp	183.333333	325	225	0	0
Otx2	183.333333	338	212	0	0
Jam2	183.333333	271	279	0	0
Hes3	183.333333	320	230	0	0
Gsc2	183.333333	425	125	0	0
Ess2	183.333333	425	125	0	0
Csrp1	183.333333	268	282	0	0
Cluap1	183.333333	380	170	0	0
1700037C18Rik	183.333333	380	170	0	0
Nrbp2	183.000000	393	156	0	0
Mcf2l	183.000000	254	295	0	0
Magi1	183.000000	351	198	0	0
Hdac10	183.000000	265	284	0	0
Zfp189	182.666667	370	178	0	0
Wdr7	182.666667	269	279	0	0
Vmn2r4	182.666667	359	189	0	0
Tom1l1	182.666667	164	384	0	0
Prpf3	182.666667	359	189	0	0
Pax5	182.666667	370	178	0	0
Mrpl50	182.666667	370	178	0	0
Iba57	182.666667	548	0	0	0
D630045J12Rik	182.666667	334	214	0	0
4932438A13Rik	182.666667	264	284	0	0
Sox12	182.333333	391	156	0	0
Seh1l	182.333333	271	276	0	0
Rdh7	182.333333	250	297	0	0
Pcdhga11	182.333333	275	272	0	0
Pcbp4	182.333333	272	275	0	0
Olfr1373	182.333333	213	334	0	0
Nol4l	182.333333	259	288	0	0
Grcc10	182.333333	547	0	0	0
Edn2	182.333333	257	290	0	0
Crebbp	182.333333	412	135	0	0
Abhd14b	182.333333	272	275	0	0
Abhd14a	182.333333	272	275	0	0
Zfp957	182.000000	316	230	0	0
Zfp870	181.666667	298	247	0	0
Vsx1	181.666667	342	203	0	0
Snrpb	181.666667	164	381	0	0
Prr14l	181.666667	368	177	0	0
LOC100861978	181.666667	345	200	0	0
Klf4	181.666667	215	330	0	0
Gm2506	181.666667	345	200	0	0
Gm13306	181.666667	345	200	0	0
Fam83d	181.666667	382	163	0	0
Ccl27b	181.666667	345	200	0	0
Atf7ip	181.666667	320	225	0	0
Arpc2	181.666667	288	257	0	0
Smurf1	181.333333	294	250	0	0
Sec11a	181.333333	310	234	0	0
Rgcc	181.333333	230	314	0	0
Prnd	181.333333	194	350	0	0
Marco	181.333333	235	309	0	0
Lhx9	181.333333	366	178	0	0
Hs6st1	181.333333	371	173	0	0
Gtf2a1	181.333333	544	0	0	0
Tpm4	181.000000	543	0	0	0
Pcmtd1	181.000000	236	307	0	0
Nfe2l3	181.000000	318	225	0	0
Mycl	181.000000	206	337	0	0
Midn	181.000000	179	364	0	0
Harbi1	181.000000	305	238	0	0
Duoxa2	181.000000	176	367	0	0
Duox2	181.000000	176	367	0	0
Cdk18	181.000000	367	176	0	0
Atp5d	181.000000	179	364	0	0
Atg13	181.000000	305	238	0	0
Rpl21	180.666667	284	258	0	0
Kifc2	180.666667	317	225	0	0
Exosc8	180.666667	398	144	0	0
Cyhr1	180.666667	317	225	0	0
Cdon	180.666667	356	186	0	0
Aurkb	180.666667	365	177	0	0
Ankrd13d	180.666667	280	262	0	0
Alg5	180.666667	398	144	0	0
Jade2	180.333333	314	227	0	0
Immt	180.333333	541	0	0	0
Hmox2	180.333333	276	265	0	0
Tmem198b	180.000000	225	315	0	0
Ogfod1	180.000000	283	257	0	0
Nudt3	180.000000	385	155	0	0
Nudt21	180.000000	283	257	0	0
Mtss2	180.000000	330	210	0	0
Mapkapk2	180.000000	384	156	0	0
Lbr	180.000000	370	170	0	0
Dnajc14	180.000000	225	315	0	0
Aqp7	180.000000	380	160	0	0
Rbm34	179.666667	252	287	0	0
Pde4dip	179.666667	288	251	0	0
Nms	179.666667	304	235	0	0
Myo1e	179.666667	277	262	0	0
Cd38	179.666667	256	283	0	0
Anapc10	179.666667	273	266	0	0
Abce1	179.666667	273	266	0	0
Pnmal2	179.333333	348	190	0	0
Parva	179.333333	309	229	0	0
Lgalsl	179.333333	200	338	0	0
Eci1	179.333333	335	203	0	0
Cox8b	179.333333	286	252	0	0
Arhgef26	179.333333	251	287	0	0
Actc1	179.333333	377	161	0	0
Wdr75	179.000000	337	200	0	0
Tbx20	179.000000	303	234	0	0
Pclo	179.000000	359	178	0	0
Itga2	179.000000	291	246	0	0
Golm2	179.000000	260	277	0	0
Gas1	179.000000	308	229	0	0
Ddx39a	179.000000	297	240	0	0
Atl2	179.000000	334	203	0	0
Zfc3h1	178.666667	358	178	0	0
Tmem191c	178.666667	322	214	0	0
Thap2	178.666667	358	178	0	0
Srm	178.666667	322	214	0	0
Rbm19	178.666667	252	284	0	0
Misp	178.666667	536	0	0	0
Ldlrad4	178.666667	375	161	0	0
Cntln	178.666667	315	221	0	0
Clasp1	178.666667	332	204	0	0
Sgca	178.333333	379	156	0	0
Rps21	178.333333	285	250	0	0
Rnf32	178.333333	273	262	0	0
Htr2c	178.333333	264	271	0	0
Hoxa7	178.333333	390	145	0	0
Caprin1	178.333333	341	194	0	0
Tcta	178.000000	310	224	0	0
Stk10	178.000000	256	278	0	0
Slc45a4	178.000000	356	178	0	0
Rhoa	178.000000	310	224	0	0
