Target_genes	Nfe2l1|Average	SRX2311119|MEF	SRX2311120|MEF	SRX2311121|MEF	STRING
Capn10	242.333333	533	194	0	0
Vps8	241.333333	539	185	0	0
Il34	241.000000	404	319	0	0
Zc3h4	240.000000	401	319	0	0
Aspscr1	240.000000	573	147	0	0
H2-T9	238.666667	391	325	0	0
H2-T22	238.666667	391	325	0	0
Gm6034	238.666667	391	325	0	0
Capn12	238.333333	439	276	0	0
Ubc	235.666667	159	387	161	0
Pomp	235.000000	352	353	0	0
Pola2	234.333333	427	276	0	0
Cpsf1	232.000000	567	129	0	0
Tmem79	231.666667	461	234	0	0
Smg5	231.666667	461	234	0	0
Notch1	231.666667	408	287	0	0
Mcts1	231.333333	519	175	0	0
Slc3a2	230.666667	405	287	0	0
Sptbn4	230.333333	413	278	0	0
Blvrb	230.333333	413	278	0	0
Rpl5	224.000000	497	175	0	0
Anapc1	224.000000	458	214	0	0
Ss18l1	223.666667	426	245	0	0
Psma7	223.666667	426	245	0	0
Ddhd1	223.666667	447	224	0	0
Ppard	223.333333	436	234	0	0
G3bp1	222.333333	443	224	0	0
Mocos	221.666667	490	175	0	0
Sprr2a2	220.666667	501	161	0	0
Sprr2a1	220.666667	501	161	0	0
Mocs1	219.666667	474	185	0	0
Nupr1	219.333333	502	156	0	0
Zfp790	219.000000	443	214	0	0
Psmc1	219.000000	402	255	0	0
Pdhb	217.333333	418	234	0	0
Rab5if	217.000000	437	214	0	0
Nmt1	216.333333	362	287	0	0
Dot1l	216.000000	393	255	0	0
Naa80	213.666667	407	234	0	0
Hyal3	213.666667	407	234	0	0
Hyal1	213.666667	407	234	0	0
Mlkl	213.333333	343	297	0	0
Pafah1b1	213.000000	286	353	0	0
Vps37a	212.000000	360	194	82	0
Cnot7	212.000000	360	194	82	0
Canx	211.666667	390	245	0	0
Zc2hc1c	210.666667	367	265	0	0
Trim6	210.666667	418	214	0	0
Acyp1	210.666667	367	265	0	0
Hdgf	210.333333	366	265	0	0
Pick1	209.000000	362	265	0	0
Prcc	208.000000	390	234	0	0
Kdm3a	208.000000	179	445	0	0
Gdf15	207.333333	357	265	0	0
Prkab2	207.000000	492	129	0	0
Tubb5	205.000000	411	204	0	0
Mdc1	205.000000	411	204	0	0
Dusp2	205.000000	430	185	0	0
Astl	205.000000	430	185	0	0
P2rx6	204.666667	359	255	0	0
Lrrc74b	204.666667	359	255	0	0
F3	204.000000	304	308	0	0
Ecel1	203.666667	387	224	0	0
Alox5ap	203.333333	376	234	0	0
Mettl6	201.000000	379	224	0	0
Eaf1	201.000000	379	224	0	0
Zfp426	200.666667	446	156	0	0
Alkbh5	200.666667	315	287	0	0
Abhd4	200.000000	396	204	0	0
Cemip	199.666667	452	147	0	0
Rab7b	199.333333	374	224	0	0
Rab14	199.333333	343	255	0	0
Clca3b	199.333333	404	194	0	0
Ndufa5	199.000000	309	288	0	0
Asb15	199.000000	309	288	0	0
Gstm4	198.333333	457	138	0	0
Gm4981	198.333333	116	266	213	0
Lsp1	197.000000	357	234	0	0
Pcbp1	196.333333	313	276	0	0
Fgfbp1	196.333333	423	166	0	0
Ces1g	195.666667	421	166	0	0
Calr4	195.666667	393	194	0	0
Mtf2	195.333333	310	276	0	0
Alms1	195.333333	321	265	0	0
Tceanc	195.000000	298	287	0	0
Nup93	194.333333	286	297	0	0
Mapk9	194.000000	388	194	0	0
Cul1	192.666667	393	185	0	0
Msantd4	192.333333	430	147	0	0
Zwilch	191.666667	381	194	0	0
Rpl4	191.666667	381	194	0	0
Zfp945	191.000000	369	204	0	0
4930503B20Rik	189.666667	261	308	0	0
Nfatc2	187.666667	369	194	0	0
Abca8b	187.666667	369	194	0	0
Tedc2	187.000000	367	194	0	0
Ogt	187.000000	357	204	0	0
Mettl7a1	187.000000	253	308	0	0
Ttc41	185.333333	309	247	0	0
Hsp90b1	185.333333	309	247	0	0
Ncapd2	185.000000	356	199	0	0
Mrpl51	185.000000	356	199	0	0
Zp3	184.666667	388	166	0	0
Ssc4d	184.666667	388	166	0	0
Nudt8	184.333333	319	234	0	0
Doc2g	184.333333	319	234	0	0
Cox8a	184.000000	276	276	0	0
Prl2c2	183.666667	376	175	0	0
Cyp7b1	183.333333	242	308	0	0
Ttc28	183.000000	345	204	0	0
Ubxn8	182.666667	324	224	0	0
Pycrl	182.000000	291	255	0	0
H2-T10	181.666667	379	166	0	0
Gm7030	181.666667	379	166	0	0
Ube4a	181.333333	320	224	0	0
Smyd5	179.666667	305	234	0	0
Dnajb9	179.333333	363	175	0	0
Pkd1	179.000000	282	255	0	0
Ubqln1	178.000000	310	224	0	0
Dnpep	178.000000	387	147	0	0
Stip1	177.000000	327	204	0	0
9230019H11Rik	176.666667	169	168	193	0
Mrtfa	176.333333	354	175	0	0
Smco2	176.000000	416	112	0	0
