Target_genes	Nfe2l1|Average	SRX2311119|MEF	SRX2311120|MEF	SRX2311121|MEF	STRING
Zfp335	66.666667	200	0	0	0
Vmp1	66.666667	200	0	0	0
Unc5b	66.666667	200	0	0	0
Trim16	66.666667	200	0	0	0
Tmem33	66.666667	200	0	0	0
Rnft1	66.666667	200	0	0	0
Rhod	66.666667	200	0	0	0
Rab33a	66.666667	200	0	0	0
Ptrh2	66.666667	200	0	0	0
Palld	66.666667	200	0	0	0
Oaf	66.666667	200	0	0	0
Frs2	66.666667	200	0	0	0
Dpf2	66.666667	200	0	0	0
Clic4	66.666667	200	0	0	0
Axl	66.666667	200	0	0	0
Aifm1	66.666667	200	0	0	0
Fam32a	66.333333	199	0	0	0
Sem1	66.000000	198	0	0	0
Gm14410	66.000000	198	0	0	0
Clpp	65.666667	197	0	0	0
Birc2	65.333333	196	0	0	0
Lars2	64.666667	0	194	0	0
Usp20	64.333333	193	0	0	0
Pex12	64.333333	193	0	0	0
Bid	64.333333	193	0	0	0
BC005624	64.333333	193	0	0	0
Ap2b1	64.333333	193	0	0	0
Tmem216	63.000000	189	0	0	0
Tdrd7	63.000000	189	0	0	0
Surf6	63.000000	189	0	0	0
Supt5	63.000000	189	0	0	0
Sdf2l1	63.000000	189	0	0	0
Rbm5	63.000000	189	0	0	0
Ptchd4	63.000000	189	0	0	0
Psme4	63.000000	189	0	0	0
Olfr1263	63.000000	189	0	0	0
Oaz1	63.000000	189	0	0	0
Mettl21a	63.000000	189	0	0	0
Maco1	63.000000	189	0	0	0
Efna1	63.000000	189	0	0	0
Diablo	63.000000	189	0	0	0
Cspp1	63.000000	189	0	0	0
Cops5	63.000000	189	0	0	0
Cherp	63.000000	189	0	0	0
Cdk9	63.000000	189	0	0	0
Arrdc4	63.000000	189	0	0	0
Agmat	63.000000	189	0	0	0
Zfp112	62.666667	188	0	0	0
Krt78	62.666667	188	0	0	0
Gm13290	62.333333	187	0	0	0
Gm13289	62.333333	187	0	0	0
Gm13288	62.333333	187	0	0	0
Gm13287	62.333333	187	0	0	0
Gm13285	62.333333	187	0	0	0
Gm13275	62.333333	187	0	0	0
Tll1	62.000000	186	0	0	0
Slc25a3	62.000000	186	0	0	0
Gm13272	62.000000	186	0	0	0
Zfr	61.333333	184	0	0	0
Blcap	60.666667	182	0	0	0
Ecpas	60.333333	181	0	0	0
Gm13279	60.000000	180	0	0	0
Gm13278	60.000000	180	0	0	0
Zkscan8	59.666667	179	0	0	0
Ubr2	59.666667	179	0	0	0
Tmem259	59.666667	179	0	0	0
Sh3tc1	59.666667	179	0	0	0
Rit1	59.666667	179	0	0	0
Rhbdd3	59.666667	179	0	0	0
Rbbp7	59.666667	179	0	0	0
Prdm2	59.666667	179	0	0	0
Ppp6r1	59.666667	179	0	0	0
Pdia4	59.666667	179	0	0	0
Mt4	59.666667	179	0	0	0
Med16	59.666667	179	0	0	0
Kbtbd7	59.666667	179	0	0	0
Hnrnpf	59.666667	179	0	0	0
Ewsr1	59.666667	179	0	0	0
D5Ertd579e	59.666667	179	0	0	0
Col5a3	59.666667	179	0	0	0
Cnn2	59.666667	179	0	0	0
C87436	59.666667	179	0	0	0
Bnip3	59.666667	179	0	0	0
Bmpr2	59.666667	179	0	0	0
4930579F01Rik	59.666667	179	0	0	0
Mmadhc	59.333333	178	0	0	0
Rpl27	59.000000	177	0	0	0
Ruvbl1	58.666667	176	0	0	0
Ly6f	58.666667	0	176	0	0
Gadd45a	58.666667	176	0	0	0
Agrp	58.666667	176	0	0	0
Aebp2	58.666667	176	0	0	0
Zfp418	58.333333	175	0	0	0
Abcg2	58.333333	175	0	0	0
Aak1	58.333333	0	175	0	0
Cntnap2	58.000000	174	0	0	0
Dgat1	57.333333	172	0	0	0
Arl6ip5	56.666667	170	0	0	0
Usp27x	56.333333	169	0	0	0
Tcta	56.333333	169	0	0	0
Smg1	56.333333	169	0	0	0
Rnf4	56.333333	169	0	0	0
Rhoa	56.333333	169	0	0	0
Ptgr1	56.333333	169	0	0	0
Ptgir	56.333333	169	0	0	0
Ppp2ca	56.333333	169	0	0	0
Ostf1	56.333333	169	0	0	0
Nmrk1	56.333333	169	0	0	0
Nepro	56.333333	169	0	0	0
Mideas	56.333333	169	0	0	0
Me1	56.333333	169	0	0	0
Luc7l	56.333333	169	0	0	0
Leng8	56.333333	169	0	0	0
Ints6l	56.333333	169	0	0	0
Gprc5a	56.333333	169	0	0	0
Gm6710	56.333333	169	0	0	0
Gm14391	56.333333	169	0	0	0
Eml6	56.333333	169	0	0	0
Cyp2f2	56.333333	169	0	0	0
C1galt1c1	56.333333	169	0	0	0
Maff	56.000000	168	0	0	0
Zscan25	55.666667	167	0	0	0
Capn2	55.333333	0	166	0	0
Stra8	54.000000	162	0	0	0
Zfp217	53.000000	159	0	0	0
Xrcc4	53.000000	159	0	0	0
Urgcp	53.000000	159	0	0	0
Tmem167	53.000000	159	0	0	0
Thoc2	53.000000	159	0	0	0
Tbc1d4	53.000000	159	0	0	0
Slco2a1	53.000000	159	0	0	0
Serpinb9	53.000000	159	0	0	0
Sdhaf1	53.000000	159	0	0	0
Rtkn	53.000000	159	0	0	0
Rhbdf2	53.000000	159	0	0	0
Rbm27	53.000000	159	0	0	0
Psph	53.000000	159	0	0	0
Pir	53.000000	159	0	0	0
Pacs2	53.000000	159	0	0	0
Mx2	53.000000	159	0	0	0
Mid1	53.000000	159	0	0	0
Mefv	53.000000	159	0	0	0
Mars1	53.000000	159	0	0	0
Map1s	53.000000	159	0	0	0
Hes2	53.000000	159	0	0	0
Gcnt2	53.000000	159	0	0	0
Fxr2	53.000000	159	0	0	0
Fam71f2	53.000000	159	0	0	0
Elmo3	53.000000	159	0	0	0
Dus2	53.000000	159	0	0	0
Dnlz	53.000000	159	0	0	0
Ddx42	53.000000	159	0	0	0
Ddx28	53.000000	159	0	0	0
Cct6a	53.000000	159	0	0	0
Ccdc47	53.000000	159	0	0	0
Arhgap32	53.000000	159	0	0	0
Gm6712	52.666667	158	0	0	0
Hrh1	52.000000	156	0	0	0
Glyat	52.000000	156	0	0	0
Cyb5r3	52.000000	156	0	0	0
Atp6v1h	51.666667	155	0	0	0
Sfxn5	51.333333	154	0	0	0
Ric8a	51.333333	154	0	0	0
Bet1l	51.333333	154	0	0	0
Tuba1c	51.000000	153	0	0	0
Gm14305	51.000000	153	0	0	0
Pgam1	50.333333	151	0	0	0
Rpl14	50.000000	150	0	0	0
Zfp64	49.666667	149	0	0	0
Socs1	49.666667	149	0	0	0
Rgs8	49.666667	149	0	0	0
Polr3h	49.666667	149	0	0	0
Plscr3	49.666667	149	0	0	0
Oxnad1	49.666667	149	0	0	0
Ninj1	49.666667	149	0	0	0
Nars	49.666667	149	0	0	0
Msn	49.666667	149	0	0	0
Mrps28	49.666667	149	0	0	0
Hmgcll1	49.666667	149	0	0	0
Gm14296	49.666667	149	0	0	0
Gbe1	49.666667	149	0	0	0
Dph3	49.666667	149	0	0	0
Cyp2b10	49.666667	149	0	0	0
Cenpu	49.666667	149	0	0	0
Cbarp	49.666667	149	0	0	0
Atp5d	49.666667	149	0	0	0
Art4	49.666667	149	0	0	0
Adi1	49.666667	149	0	0	0
Star	49.000000	0	147	0	0
Olfr368	49.000000	147	0	0	0
Fh1	49.000000	0	147	0	0
Cwf19l2	49.000000	0	147	0	0
Btnl9	49.000000	0	147	0	0
Acp5	49.000000	0	147	0	0
Prdx3	48.000000	144	0	0	0
Zfp142	46.666667	140	0	0	0
Ythdf2	46.666667	140	0	0	0
Vdr	46.666667	140	0	0	0
Ube2l3	46.666667	140	0	0	0
Ttc6	46.666667	140	0	0	0
Ttbk2	46.666667	140	0	0	0
Tex15	46.666667	140	0	0	0
Syne1	46.666667	140	0	0	0
Susd1	46.666667	140	0	0	0
Snapc1	46.666667	140	0	0	0
Slc6a9	46.666667	140	0	0	0
Sh2d5	46.666667	140	0	0	0
Septin7	46.666667	140	0	0	0
Rtca	46.666667	140	0	0	0
Rps6	46.666667	140	0	0	0
Reep4	46.666667	140	0	0	0
Pgrmc1	46.666667	140	0	0	0
Pacsin2	46.666667	140	0	0	0
Nsun3	46.666667	140	0	0	0
Lix1l	46.666667	140	0	0	0
Krt84	46.666667	140	0	0	0
Itih1	46.666667	140	0	0	0
Irgq	46.666667	140	0	0	0
Herc2	46.666667	140	0	0	0
Gpx1	46.666667	140	0	0	0
Gjb5	46.666667	140	0	0	0
Gjb4	46.666667	140	0	0	0
Ece2	46.666667	140	0	0	0
Dnaja1	46.666667	140	0	0	0
Dbt	46.666667	140	0	0	0
Cfap410	46.666667	140	0	0	0
Cd1d1	46.666667	140	0	0	0
Bcs1l	46.666667	140	0	0	0
B230219D22Rik	46.666667	140	0	0	0
Atp1a1	46.666667	140	0	0	0
Ankrd34a	46.666667	140	0	0	0
Gm2004	46.000000	0	138	0	0
Adam12	46.000000	138	0	0	0
Cpeb1	45.666667	137	0	0	0
Smarcad1	45.333333	136	0	0	0
Gm51573	45.000000	0	135	0	0
Gsk3a	43.666667	131	0	0	0
Gm38396	43.666667	131	0	0	0
Tsacc	43.333333	130	0	0	0
Shroom2	43.333333	130	0	0	0
Sec14l1	43.333333	130	0	0	0
Nt5c3	43.333333	130	0	0	0
Neo1	43.333333	130	0	0	0
Mxd3	43.333333	130	0	0	0
Kif1b	43.333333	130	0	0	0
Kctd7	43.333333	130	0	0	0
Gramd1b	43.333333	130	0	0	0
Fem1b	43.333333	130	0	0	0
Ddx19b	43.333333	130	0	0	0
Cxcl5	43.333333	130	0	0	0
Cct3	43.333333	130	0	0	0
C1qtnf6	43.333333	130	0	0	0
Als2	43.333333	130	0	0	0
Aars	43.333333	130	0	0	0
Sco1	43.000000	0	129	0	0
Coq7	43.000000	0	129	0	0
Adprm	43.000000	0	129	0	0
Tcte3	42.333333	127	0	0	0
Gm3448	42.333333	127	0	0	0
Gm3435	42.333333	127	0	0	0
Gm3417	42.333333	127	0	0	0
Chchd5	42.333333	127	0	0	0
Zfp180	41.333333	124	0	0	0
Eif4g2	41.333333	124	0	0	0
Tymp	40.333333	121	0	0	0
Tmem140	40.333333	121	0	0	0
Tekt2	40.333333	121	0	0	0
Sco2	40.333333	121	0	0	0
Rplp2	40.333333	121	0	0	0
Rnf135	40.333333	121	0	0	0
Ptpre	40.333333	121	0	0	0
Pidd1	40.333333	121	0	0	0
M6pr	40.333333	121	0	0	0
Lrrfip2	40.333333	121	0	0	0
Kat5	40.333333	121	0	0	0
H3c6	40.333333	121	0	0	0
Gosr1	40.333333	121	0	0	0
Fbxw2	40.333333	121	0	0	0
Dgkg	40.333333	121	0	0	0
Cpt1a	40.333333	121	0	0	0
Adprhl2	40.333333	121	0	0	0
Acsl1	40.333333	121	0	0	0
Acsf2	40.333333	121	0	0	0
9530068E07Rik	40.333333	121	0	0	0
1810058I24Rik	40.333333	121	0	0	0
Ifnz	40.000000	120	0	0	0
Gm13276	40.000000	120	0	0	0
Dux	39.666667	0	119	0	0
Snu13	38.666667	116	0	0	0
Hexa	38.666667	116	0	0	0
Sertad2	38.333333	115	0	0	0
Sfi1	38.000000	0	0	114	0
Eif4enif1	38.000000	0	0	114	0
Vezt	37.333333	112	0	0	0
Tmem174	37.333333	112	0	0	0
Snx17	37.333333	112	0	0	0
Pold2	37.333333	112	0	0	0
Metap1d	37.333333	112	0	0	0
Gpr33	37.333333	112	0	0	0
Fgd6	37.333333	112	0	0	0
Eif2b4	37.333333	112	0	0	0
Acot3	37.333333	112	0	0	0
Tatdn1	36.666667	110	0	0	0
Ndufb9	36.666667	110	0	0	0
Mapk6	36.666667	110	0	0	0
Tax1bp1	35.000000	105	0	0	0
Gm13277	35.000000	105	0	0	0
Uhrf1bp1l	34.333333	103	0	0	0
Rnls	34.333333	103	0	0	0
Phf14	34.333333	103	0	0	0
Pbrm1	34.333333	103	0	0	0
Ndufa4	34.333333	103	0	0	0
Map2k2	34.333333	103	0	0	0
Itpripl2	34.333333	103	0	0	0
Gtf2b	34.333333	103	0	0	0
Fam89b	34.333333	103	0	0	0
Ehbp1l1	34.333333	103	0	0	0
Cd300lb	34.333333	103	0	0	0
Atad3a	34.333333	103	0	0	0
Tmem43	33.666667	101	0	0	0
Chchd4	33.666667	101	0	0	0
Rbm14	32.333333	97	0	0	0
Gm21992	32.333333	97	0	0	0
Ninj2	31.666667	95	0	0	0
Clca4b	31.666667	0	95	0	0
Ubac1	31.333333	94	0	0	0
Syt11	31.333333	94	0	0	0
Smo	31.333333	94	0	0	0
Scrn3	31.333333	94	0	0	0
Nr1d2	31.333333	94	0	0	0
Dmc1	31.333333	94	0	0	0
Cir1	31.333333	94	0	0	0
Flvcr1	31.000000	93	0	0	0
Casp14	30.666667	92	0	0	0
Atp5g2	29.666667	89	0	0	0
Vars	28.666667	86	0	0	0
Slc5a5	28.666667	86	0	0	0
Rpl18a	28.666667	86	0	0	0
Eif3a	28.666667	86	0	0	0
D17H6S56E-5	28.666667	86	0	0	0
Adgrg3	28.666667	86	0	0	0
Rnf113a2	25.666667	77	0	0	0
Mansc4	25.666667	77	0	0	0
Klhl42	25.666667	77	0	0	0
Mab21l4	24.666667	74	0	0	0
Crocc2	24.666667	74	0	0	0
Rpl22l1	23.000000	69	0	0	0
Hsf1	23.000000	69	0	0	0
Bop1	23.000000	69	0	0	0
