Target_genes	Zfp407|Average	SRX22153387|3T3-L1	STRING
Copg1	2551.000000	2551	0
Fam168a	2549.000000	2549	0
Taf11	2545.000000	2545	0
Anks1	2545.000000	2545	0
Atr	2538.000000	2538	0
1700065D16Rik	2538.000000	2538	0
Sharpin	2537.000000	2537	0
Maf1	2537.000000	2537	0
Gm35339	2537.000000	2537	0
Aplf	2537.000000	2537	0
Ccdc142	2534.000000	2534	0
Wnk1	2533.000000	2533	0
Hsph1	2532.000000	2532	0
Pole3	2528.000000	2528	0
B9d1	2528.000000	2528	0
Alad	2528.000000	2528	0
4933430I17Rik	2528.000000	2528	0
Rag2	2527.000000	2527	0
Iftap	2527.000000	2527	0
Chmp7	2527.000000	2527	0
Cstf1	2522.000000	2522	0
Aurka	2522.000000	2522	0
Ciao2b	2521.000000	2521	0
Fubp3	2507.000000	2507	0
Desi2	2507.000000	2507	0
Mrpl19	2497.000000	2497	0
Wdr12	2492.000000	2492	0
Dhx33	2492.000000	2492	0
Carf	2492.000000	2492	0
Inpp5k	2489.000000	2489	0
Gss	2489.000000	2489	0
Phf23	2488.000000	2488	0
Gabarap	2488.000000	2488	0
Dvl2	2488.000000	2488	0
Tspan4	2482.000000	2482	0
Polr2l	2482.000000	2482	0
Tmem250-ps	2481.000000	2481	0
Gale	2476.000000	2476	0
Ndufb5	2475.000000	2475	0
Mrpl47	2475.000000	2475	0
Ints2	2474.000000	2474	0
Exoc7	2473.000000	2473	0
Atg9b	2471.000000	2471	0
Abcb8	2471.000000	2471	0
Spns1	2470.000000	2470	0
Rangap1	2468.000000	2468	0
Lsm6	2465.000000	2465	0
Fam193a	2465.000000	2465	0
Rbl2	2464.000000	2464	0
Sdccag8	2461.000000	2461	0
Cep170	2461.000000	2461	0
Phb	2453.000000	2453	0
Rpl38	2451.000000	2451	0
Nxt1	2447.000000	2447	0
Lancl2	2445.000000	2445	0
Ift140	2443.000000	2443	0
Cramp1l	2443.000000	2443	0
Aggf1	2443.000000	2443	0
Mtpap	2442.000000	2442	0
Mitf	2440.000000	2440	0
Rhot1	2439.000000	2439	0
Ddx42	2439.000000	2439	0
Ccdc47	2439.000000	2439	0
Sugp1	2434.000000	2434	0
Mau2	2434.000000	2434	0
Hagh	2432.000000	2432	0
Fahd1	2432.000000	2432	0
Blmh	2422.000000	2422	0
Zswim9	2419.000000	2419	0
Lig1	2419.000000	2419	0
Thrap3	2416.000000	2416	0
Wbp2	2414.000000	2414	0
Txndc17	2413.000000	2413	0
4933427D14Rik	2413.000000	2413	0
Atp5o	2412.000000	2412	0
Yif1b	2409.000000	2409	0
Kpna3	2409.000000	2409	0
Msra	2406.000000	2406	0
Sfxn5	2402.000000	2402	0
Nprl2	2401.000000	2401	0
Kpna6	2401.000000	2401	0
Cyb561d2	2401.000000	2401	0
Rnf123	2399.000000	2399	0
Mst1	2399.000000	2399	0
Coq5	2397.000000	2397	0
Mtif3	2396.000000	2396	0
Zscan22	2394.000000	2394	0
Rsrc2	2394.000000	2394	0
Kntc1	2394.000000	2394	0
Zfp637	2391.000000	2391	0
Sacm1l	2389.000000	2389	0
Als2	2388.000000	2388	0
Abcf2	2388.000000	2388	0
Cherp	2387.000000	2387	0
Stx8	2383.000000	2383	0
Cfap52	2383.000000	2383	0
Smim11	2380.000000	2380	0
Slc29a2	2367.000000	2367	0
Fam90a1b	2367.000000	2367	0
Clasp1	2367.000000	2367	0
Apoo	2367.000000	2367	0
Sec61a1	2358.000000	2358	0
Htatsf1	2356.000000	2356	0
Neurl4	2355.000000	2355	0
2810408A11Rik	2355.000000	2355	0
BC028528	2352.000000	2352	0
Aph1a	2352.000000	2352	0
Sec11c	2350.000000	2350	0
Usp39	2344.000000	2344	0
0610030E20Rik	2344.000000	2344	0
Calr3	2343.000000	2343	0
Aarsd1	2343.000000	2343	0
1700030K09Rik	2343.000000	2343	0
Maz	2342.000000	2342	0
Trmt5	2340.000000	2340	0
Slc38a6	2340.000000	2340	0
Fntb	2338.000000	2338	0
Ipo9	2337.000000	2337	0
Fem1b	2337.000000	2337	0
Gid8	2335.000000	2335	0
Dido1	2335.000000	2335	0
Cutc	2334.000000	2334	0
Cox15	2334.000000	2334	0
Vps29	2330.000000	2330	0
Rad9b	2330.000000	2330	0
Srrm2	2328.000000	2328	0
Heatr1	2327.000000	2327	0
Serbp1	2324.000000	2324	0
Uevld	2322.000000	2322	0
Qtrt2	2322.000000	2322	0
Ccdc191	2322.000000	2322	0
Ttc13	2316.000000	2316	0
Snx16	2316.000000	2316	0
Pdxdc1	2316.000000	2316	0
Mpv17l	2316.000000	2316	0
Arv1	2316.000000	2316	0
Cant1	2312.000000	2312	0
Exoc5	2310.000000	2310	0
Ap5m1	2310.000000	2310	0
Cep63	2306.000000	2306	0
Anapc13	2306.000000	2306	0
Pabpc1	2304.000000	2304	0
Arfgap2	2304.000000	2304	0
Thyn1	2302.000000	2302	0
Acad8	2302.000000	2302	0
Lig4	2299.000000	2299	0
Abhd13	2299.000000	2299	0
Kif11	2294.000000	2294	0
Ormdl3	2291.000000	2291	0
Mfn2	2290.000000	2290	0
Bsdc1	2288.000000	2288	0
Ndufb8	2287.000000	2287	0
Nudt13	2285.000000	2285	0
Golga4	2283.000000	2283	0
Ubox5	2274.000000	2274	0
Fastkd5	2274.000000	2274	0
Zdhhc1	2270.000000	2270	0
Tomt	2265.000000	2265	0
Lamtor1	2265.000000	2265	0
Etfdh	2264.000000	2264	0
4930579G24Rik	2264.000000	2264	0
Hdhd3	2263.000000	2263	0
Rab27a	2259.000000	2259	0
Pigbos1	2259.000000	2259	0
Pigb	2259.000000	2259	0
Bud13	2258.000000	2258	0
Polr3g	2257.000000	2257	0
Mblac2	2257.000000	2257	0
Gtf2h4	2252.000000	2252	0
Ttll11	2248.000000	2248	0
Erdr1	2248.000000	2248	0
Gid4	2244.000000	2244	0
Pex11b	2243.000000	2243	0
Ggps1	2242.000000	2242	0
Arid4b	2242.000000	2242	0
Crcp	2241.000000	2241	0
Asl	2241.000000	2241	0
Pdcl	2239.000000	2239	0
Kctd3	2226.000000	2226	0
Commd10	2224.000000	2224	0
Clp1	2224.000000	2224	0
Tpr	2222.000000	2222	0
Odr4	2222.000000	2222	0
Eif2b5	2211.000000	2211	0
Ado	2211.000000	2211	0
Cyb5b	2207.000000	2207	0
Flad1	2204.000000	2204	0
Poc5	2203.000000	2203	0
Tomm5	2201.000000	2201	0
Slc25a51	2200.000000	2200	0
Atad5	2200.000000	2200	0
Wdr5	2199.000000	2199	0
Tmco3	2197.000000	2197	0
Dcun1d2	2197.000000	2197	0
Zfp809	2193.000000	2193	0
Smarca4	2192.000000	2192	0
Fam185a	2192.000000	2192	0
Ccdc146	2192.000000	2192	0
Zfp189	2188.000000	2188	0
Mrpl50	2188.000000	2188	0
Eapp	2188.000000	2188	0
Sf3a2	2184.000000	2184	0
Plekhj1	2184.000000	2184	0
Pcmt1	2184.000000	2184	0
Nup43	2184.000000	2184	0
Ndufs4	2182.000000	2182	0
Get4	2177.000000	2177	0
Dnlz	2176.000000	2176	0
Sympk	2173.000000	2173	0
Foxa3	2173.000000	2173	0
Rnf113a1	2171.000000	2171	0
Pan2	2171.000000	2171	0
Ndufa1	2171.000000	2171	0
Il23a	2171.000000	2171	0
Vipas39	2162.000000	2162	0
Ahsa1	2162.000000	2162	0
Setdb1	2161.000000	2161	0
Ndufs1	2161.000000	2161	0
Eef1b2	2161.000000	2161	0
Vps72	2153.000000	2153	0
Pip5k1a	2153.000000	2153	0
Erlin2	2153.000000	2153	0
Tmem79	2152.000000	2152	0
Smg5	2152.000000	2152	0
Xrra1	2148.000000	2148	0
Spcs2	2148.000000	2148	0
Gpatch1	2147.000000	2147	0
Ppp1r7	2136.000000	2136	0
Pask	2136.000000	2136	0
Fastkd1	2135.000000	2135	0
Ogdh	2133.000000	2133	0
Rusf1	2132.000000	2132	0
Dnajc15	2128.000000	2128	0
Pcm1	2126.000000	2126	0
Fdps	2119.000000	2119	0
Psmc1	2117.000000	2117	0
B3galnt2	2116.000000	2116	0
Mdh1b	2115.000000	2115	0
Fastkd2	2115.000000	2115	0
Zswim8	2114.000000	2114	0
Chchd1	2114.000000	2114	0
Mgst3	2109.000000	2109	0
Bnip1	2108.000000	2108	0
Apool	2104.000000	2104	0
Tkfc	2102.000000	2102	0
Tfeb	2102.000000	2102	0
Ddb1	2102.000000	2102	0
Fem1a	2100.000000	2100	0
Vti1b	2097.000000	2097	0
Trpc4ap	2097.000000	2097	0
Nmt1	2096.000000	2096	0
Rttn	2095.000000	2095	0
Gatb	2092.000000	2092	0
Fis1	2092.000000	2092	0
Rabl6	2088.000000	2088	0
Hspa12a	2086.000000	2086	0
Eno4	2086.000000	2086	0
Itpr1	2081.000000	2081	0
Tial1	2080.000000	2080	0
Rps27a	2079.000000	2079	0
Clhc1	2079.000000	2079	0
Napb	2078.000000	2078	0
Lztr1	2078.000000	2078	0
Chchd3	2064.000000	2064	0
Cnot4	2063.000000	2063	0
Ap5s1	2063.000000	2063	0
Cdc42bpb	2056.000000	2056	0
2610001J05Rik	2056.000000	2056	0
Ogfod2	2052.000000	2052	0
Arl6ip4	2052.000000	2052	0
Gsk3a	2051.000000	2051	0
Mis18bp1	2050.000000	2050	0
Bcl2l12	2046.000000	2046	0
Alg9	2043.000000	2043	0
Atp5e	2041.000000	2041	0
Sf3b2	2040.000000	2040	0
Ppox	2040.000000	2040	0
Gal3st3	2040.000000	2040	0
Ssr3	2036.000000	2036	0
Map1lc3b	2035.000000	2035	0
Ppme1	2034.000000	2034	0
C2cd3	2034.000000	2034	0
Suclg1	2032.000000	2032	0
Dym	2031.000000	2031	0
Pnkd	2030.000000	2030	0
Aamp	2030.000000	2030	0
Ric8b	2026.000000	2026	0
Mcfd2	2025.000000	2025	0
Fbxl19	2022.000000	2022	0
Scaf1	2021.000000	2021	0
Rras	2021.000000	2021	0
Rtcb	2020.000000	2020	0
Pus1	2020.000000	2020	0
Srrt	2016.000000	2016	0
Ipo13	2015.000000	2015	0
Hbs1l	2009.000000	2009	0
Cdc45	2006.000000	2006	0
Nbas	2005.000000	2005	0
Cdkal1	2005.000000	2005	0
Zmat5	1994.000000	1994	0
Zdhhc16	1994.000000	1994	0
Uqcr10	1994.000000	1994	0
Exosc1	1994.000000	1994	0
Zbtb32	1993.000000	1993	0
Kmt2b	1993.000000	1993	0
Tle4	1986.000000	1986	0
Rabac1	1984.000000	1984	0
Snapin	1982.000000	1982	0
Tnfaip1	1980.000000	1980	0
Ift20	1980.000000	1980	0
Parp4	1979.000000	1979	0
Cenpj	1979.000000	1979	0
Prpf4	1977.000000	1977	0
Cdc26	1977.000000	1977	0
Ift88	1976.000000	1976	0
Cox6c	1976.000000	1976	0
Zfp607b	1973.000000	1973	0
Map3k10	1973.000000	1973	0
Eloc	1972.000000	1972	0
Ogfod1	1971.000000	1971	0
Nudt21	1971.000000	1971	0
Zfp949	1969.000000	1969	0
