Target_genes	Hoxa13|Average	SRX4618294|Embryonic_limb	SRX4618296|Embryonic_limb	SRX4618301|Embryonic_limb	SRX1757411|Forelimb	STRING
Olfr1259	330.750000	125	1052	146	0	0
Spsb4	330.500000	0	538	185	599	0
Irx2	330.500000	0	855	138	329	0
4931408C20Rik	328.250000	198	760	209	146	0
Olfr584	327.000000	0	747	561	0	0
Vmn2r65	326.250000	102	941	262	0	0
Cyp17a1	325.750000	0	1303	0	0	0
Psma2	324.250000	0	600	540	157	0
Mrpl32	324.250000	0	600	540	157	0
Hand2	324.250000	0	551	119	627	0
Ube2g2	324.000000	0	1181	115	0	0
Nup107	324.000000	0	736	171	389	0
Ilf2	322.500000	0	973	115	202	0
Olfr958	321.250000	0	1105	180	0	0
Crybg1	320.750000	0	485	0	798	0
Ctnna3	320.500000	0	777	0	505	0
Lrig3	320.000000	0	1023	0	257	0
Cytl1	319.500000	0	209	163	906	0
Zcchc2	319.250000	0	1045	123	109	0
Lmx1b	317.500000	0	1270	0	0	0
Fcer1a	315.000000	0	1036	224	0	0
Barx1	314.750000	0	1259	0	0	0
H4f16	314.250000	0	357	179	721	0
H2aj	314.250000	0	357	179	721	0
P4ha1	313.500000	0	1058	0	196	0
Kcnd2	313.250000	0	683	171	399	0
Lima1	312.750000	0	547	151	553	0
Slc44a1	312.500000	0	637	0	613	0
Itpr1	312.250000	0	708	154	387	0
Stra8	312.000000	0	594	0	654	0
Gdf11	312.000000	0	591	171	486	0
Zfp61	311.750000	0	889	0	358	0
Irf2bp1	311.750000	0	513	331	403	0
Ttc3	311.500000	0	0	105	1141	0
Pigp	311.500000	0	0	105	1141	0
Plekhf2	311.000000	0	419	138	687	0
Vmn1r236	310.500000	0	1071	171	0	0
Hoxd3	310.500000	0	308	0	934	0
Zfp800	310.250000	0	1103	0	138	0
Shisa3	309.250000	0	757	108	372	0
Zfp28	308.750000	0	0	0	1235	0
Sfxn2	308.750000	0	879	0	356	0
Arl3	308.750000	0	879	0	356	0
Cbfa2t2	308.500000	0	1079	0	155	0
Lpar6	307.500000	0	316	0	914	0
Olfr172	307.250000	0	815	0	414	0
Nck2	307.250000	0	98	0	1131	0
Stra6l	306.500000	0	468	0	758	0
4931414P19Rik	305.250000	0	939	130	152	0
Ptpn6	305.000000	0	354	0	866	0
Grcc10	305.000000	0	354	0	866	0
Cic	304.750000	0	1080	0	139	0
Trib2	304.250000	0	608	0	609	0
Itprip	304.250000	0	479	0	738	0
Setd5	303.500000	0	886	0	328	0
H2ac19	303.250000	0	955	146	112	0
H2ac18	303.250000	0	955	146	112	0
Slc1a3	302.750000	0	592	0	619	0
Cd24a	302.000000	0	792	93	323	0
Chmp3	301.750000	0	895	188	124	0
Pdlim5	299.500000	0	519	0	679	0
Esr1	298.750000	0	634	0	561	0
Ttc30b	297.000000	0	898	79	211	0
Tmem181a	296.500000	0	512	0	674	0
Tle1	296.500000	0	185	0	1001	0
Pdia5	295.750000	0	0	0	1183	0
Olfr670	294.750000	0	1179	0	0	0
Apol11a	294.500000	0	1048	130	0	0
Uqcc1	294.250000	0	953	224	0	0
Hcar1	293.750000	0	1037	138	0	0
Tmem132c	293.250000	0	150	0	1023	0
H2al2c	292.750000	0	1036	135	0	0
H2al2b	292.750000	0	1036	135	0	0
Rhot2	292.000000	0	1168	0	0	0
Recql	292.000000	0	244	0	924	0
Ralgps2	292.000000	0	466	0	702	0
Cdk12	292.000000	0	922	0	246	0
Wdr49	291.250000	0	543	0	622	0
Prl7a2	291.250000	0	941	224	0	0
Ppp2r3a	290.500000	0	346	0	816	0
Phox2a	290.250000	0	941	0	220	0
Gng12	290.250000	0	726	130	305	0
H2bc14	289.500000	0	1011	0	147	0
Iqschfp	288.250000	0	281	104	768	0
Iqcj	288.250000	0	281	104	768	0
Barx2	287.250000	0	309	0	840	0
Trerf1	287.000000	0	970	0	178	0
Cybrd1	286.500000	0	631	163	352	0
2300003K06Rik	286.500000	0	976	0	170	0
Ogfrl1	285.500000	0	962	180	0	0
Tm9sf2	285.250000	0	480	0	661	0
Foxp1	284.750000	0	698	0	441	0
Arhgef38	284.750000	0	933	206	0	0
Zbed5	283.750000	0	251	0	884	0
Aff3	283.750000	0	767	108	260	0
Ptk7	283.000000	0	109	0	1023	0
Ppfia1	283.000000	0	952	180	0	0
Atg10	283.000000	0	217	163	752	0
Phc2	282.500000	0	223	0	907	0
Hoxc11	282.000000	0	1128	0	0	0
Olfr1219	281.750000	124	747	256	0	0
Wipf1	281.500000	0	423	0	703	0
Swap70	280.250000	0	1015	0	106	0
Sema3c	279.500000	0	155	0	963	0
C2cd5	279.000000	0	581	0	535	0
Cd55b	278.500000	0	908	206	0	0
Shoc2	277.750000	0	809	0	302	0
Dsg1b	277.750000	0	1025	86	0	0
Bbip1	277.750000	0	809	0	302	0
Slc10a5	277.250000	0	1109	0	0	0
Impa1	277.250000	0	1109	0	0	0
Iars2	275.750000	0	1103	0	0	0
Bpnt1	275.750000	0	1103	0	0	0
Pus10	275.500000	0	948	0	154	0
Olfr970	275.500000	100	796	206	0	0
Ptpre	274.750000	0	539	0	560	0
Ahi1	274.500000	0	695	0	403	0
Abcd3	274.000000	0	739	206	151	0
Bdnf	273.500000	0	296	0	798	0
Rgs2	273.000000	0	962	130	0	0
Gja1	273.000000	0	211	197	684	0
Nr4a2	272.000000	0	1004	84	0	0
Tbx18	271.500000	0	427	66	593	0
Mknk1	270.750000	0	156	115	812	0
Dclk1	270.750000	0	1010	73	0	0
Samd12	270.250000	0	237	0	844	0
Pgghg	270.250000	0	175	0	906	0
Grhl3	269.750000	0	109	0	970	0
Dhrs3	269.500000	0	381	0	697	0
Sdf4	268.750000	0	150	925	0	0
B3galt6	268.750000	0	150	925	0	0
Taf11	268.000000	0	230	93	749	0
Fbrs	268.000000	0	311	115	646	0
Crot	268.000000	0	835	0	237	0
Anks1	268.000000	0	230	93	749	0
Xrcc5	267.750000	0	716	138	217	0
Cxxc4	267.500000	0	542	0	528	0
Wbp4	267.250000	0	947	0	122	0
Elf1	267.250000	0	947	0	122	0
Ssbp3	267.000000	0	260	243	565	0
Gabrr3	267.000000	0	899	0	169	0
Gm973	266.750000	0	189	0	878	0
Srsf7	266.250000	0	207	163	695	0
Rab28	266.250000	0	421	177	467	0
Cited2	266.250000	0	252	93	720	0
Gpr156	266.000000	0	587	0	477	0
Dct	265.750000	0	599	0	464	0
Cacna1c	265.750000	0	0	0	1063	0
Olfr788	265.250000	0	1061	0	0	0
Krt32	264.750000	0	0	0	1059	0
Gys2	264.750000	0	1059	0	0	0
Nlk	263.750000	0	1055	0	0	0
Bambi	263.750000	0	393	100	562	0
Skap1	262.750000	0	1051	0	0	0
Pde4b	262.750000	0	411	0	640	0
Osbpl1a	262.750000	0	377	0	674	0
Gpr27	262.750000	0	1051	0	0	0
Slc25a17	262.500000	0	433	0	617	0
Olfr981	262.500000	171	879	0	0	0
Rpf1	262.000000	0	885	163	0	0
Gm17019	261.000000	182	506	356	0	0
Slc27a6	260.750000	0	103	0	940	0
Runx1t1	260.250000	0	501	0	540	0
Npat	260.250000	0	941	100	0	0
Atm	260.250000	0	941	100	0	0
Pheta1	259.250000	0	1037	0	0	0
Inhba	258.250000	0	813	0	220	0
Tmem107	258.000000	0	905	0	127	0
F830045P16Rik	258.000000	0	0	0	1032	0
Vps4a	257.000000	0	881	0	147	0
Abcg2	257.000000	0	595	139	294	0
Selenos	256.750000	0	559	0	468	0
Serpinb12	256.500000	0	838	188	0	0
Sdhaf4	256.500000	0	1026	0	0	0
Olfr155	256.500000	0	1026	0	0	0
Ier2	255.750000	0	683	0	340	0
Has2	255.750000	0	696	118	209	0
Tspyl3	255.500000	0	485	0	537	0
Popdc3	255.500000	0	807	215	0	0
Olfr952	255.250000	0	858	163	0	0
Meis1	254.750000	0	854	0	165	0
Arhgap28	254.750000	0	254	0	765	0
Clec5a	254.500000	0	888	130	0	0
Zfp566	253.250000	0	182	0	831	0
Laptm4b	253.250000	0	769	0	244	0
Ppp1ccb	253.000000	0	850	0	162	0
Itsn1	253.000000	0	503	0	509	0
Cryzl1	253.000000	0	503	0	509	0
Trim55	252.750000	0	466	0	545	0
Akap9	252.750000	0	296	0	715	0
9130008F23Rik	252.750000	0	718	171	122	0
Slc22a28	252.000000	0	359	0	649	0
Pdcd6ip	251.750000	0	853	0	154	0
Ino80	251.500000	0	800	206	0	0
Gab2	251.250000	0	655	100	250	0
Chd2	251.000000	0	1004	0	0	0
Esp1	250.500000	0	699	0	303	0
Rrm1	250.250000	0	728	93	180	0
Apol11b	250.250000	0	1001	0	0	0
Cdh3	250.000000	0	277	115	608	0
Atf7ip2	249.500000	0	820	0	178	0
Smad5	249.250000	0	145	99	753	0
Smad3	249.000000	0	0	321	675	0
Cdh12	248.750000	428	311	0	256	0
Zcchc7	248.250000	0	156	271	566	0
Prtg	248.250000	0	504	0	489	0
Ppp1cc	247.250000	0	850	0	139	0
Smad1	246.750000	0	987	0	0	0
Clcn3	246.750000	0	493	0	494	0
Zfp821	246.250000	0	730	0	255	0
Disp1	246.000000	0	606	93	285	0
Snx5	245.250000	0	577	86	318	0
Olfr1188	245.250000	0	757	224	0	0
Mgme1	245.250000	0	577	86	318	0
Krt8	244.500000	0	195	0	783	0
Prrx1	243.750000	0	563	81	331	0
Fer	243.500000	0	777	197	0	0
Txndc16	243.250000	0	640	163	170	0
Phf14	243.250000	0	767	206	0	0
Pcdhgb7	243.250000	0	827	146	0	0
Pcdhga11	243.250000	0	827	146	0	0
Gpr137c	243.250000	0	640	163	170	0
Rfx7	243.000000	0	298	188	486	0
Il5ra	243.000000	0	296	0	676	0
Pknox2	242.750000	0	407	0	564	0
Sbno1	242.500000	0	970	0	0	0
Abca5	242.500000	0	303	0	667	0
Zscan4d	242.250000	117	521	331	0	0
Mindy4	242.000000	0	0	0	968	0
Aard	242.000000	0	351	0	617	0
Zic5	241.500000	0	618	115	233	0
Atp5l	241.500000	0	408	180	378	0
Ephb6	241.000000	0	964	0	0	0
Tnrc18	239.500000	0	269	144	545	0
Ccdc181	239.250000	0	549	0	408	0
Kpna7	238.500000	0	375	0	579	0
Zc3hav1l	238.250000	0	747	0	206	0
Gm4981	238.000000	137	316	295	204	0
Calu	238.000000	0	952	0	0	0
Tbx5	237.750000	0	570	154	227	0
Macir	237.000000	0	631	0	317	0
Arl4c	236.750000	0	830	0	117	0
Zfp260	236.250000	0	114	0	831	0
Vps26c	236.250000	0	945	0	0	0
Tmem156	236.000000	0	787	0	157	0
Fbxo32	236.000000	0	651	0	293	0
Wnt16	235.250000	0	398	0	543	0
Krt84	235.250000	0	941	0	0	0
Kif2c	235.250000	0	848	93	0	0
Anxa10	235.250000	0	941	0	0	0
Shroom3	235.000000	0	610	171	159	0
Ppfibp2	234.250000	0	788	0	149	0
Trps1	234.000000	0	449	206	281	0
Smad2	234.000000	0	416	86	434	0
Man1a2	234.000000	0	773	163	0	0
Tssc4	233.750000	0	0	0	935	0
Fbxl17	233.750000	0	0	0	935	0
Cxcl2	233.500000	0	730	0	204	0
Sub1	233.250000	0	146	0	787	0
Cep70	232.750000	0	845	86	0	0
Pot1a	232.500000	0	784	146	0	0
Jph1	232.000000	0	928	0	0	0
Frmpd4	231.750000	0	747	180	0	0
Diaph1	231.750000	0	927	0	0	0
Tfeb	231.500000	0	0	0	926	0
Zfp317	231.250000	0	747	0	178	0
Prdm16	231.250000	0	653	0	272	0
Clvs2	230.750000	0	777	146	0	0
Rpl19	230.500000	0	856	66	0	0
Myh9	230.500000	0	148	0	774	0
Fank1	230.500000	0	319	0	603	0
Dhx32	230.500000	0	319	0	603	0
Coq3	230.250000	0	589	146	186	0
Bid	230.000000	0	920	0	0	0
Tex14	229.750000	0	260	0	659	0
Tmem184c	229.500000	0	689	0	229	0
Pik3c2a	229.500000	0	87	0	831	0
Lin28b	229.250000	0	737	0	180	0
Klhl25	229.000000	0	916	0	0	0
Slc38a4	228.750000	0	420	0	495	0
Olfm3	228.750000	81	688	146	0	0
Fxyd4	228.500000	0	209	0	705	0
Zbtb16	227.500000	0	209	0	701	0
Tnnt3	227.500000	0	910	0	0	0
Kdm5c	227.500000	0	0	311	599	0
Ap3m2	227.000000	0	760	0	148	0
Actrt2	226.250000	0	228	0	677	0
Trim23	225.500000	0	646	86	170	0
Trappc13	225.500000	0	646	86	170	0
Shoc1	225.500000	0	902	0	0	0
Shld3	225.500000	0	646	86	170	0
Olfr655	225.000000	0	777	123	0	0
Nid2	224.750000	0	319	0	580	0
Herpud1	224.500000	0	442	188	268	0
Prpf4b	224.250000	0	623	0	274	0
Syne1	224.000000	0	0	0	896	0
Tac1	223.500000	0	591	0	303	0
Meox2	223.500000	0	237	0	657	0
Drosha	223.000000	0	326	0	566	0
6030458C11Rik	223.000000	0	326	0	566	0
Bmp2	222.500000	0	890	0	0	0
Tff3	222.250000	0	889	0	0	0
Mettl9	222.250000	0	440	0	449	0
Tanc1	221.500000	0	399	0	487	0
Myo1b	221.500000	0	476	0	410	0
Eci1	221.250000	0	594	0	291	0
Klhl9	221.000000	0	706	178	0	0
Eml1	220.750000	0	251	0	632	0
Ppat	220.250000	0	307	0	574	0
Paics	220.250000	0	307	0	574	0
Pard6g	219.750000	0	375	108	396	0
Ninj2	219.750000	0	539	0	340	0
Kctd6	219.750000	0	295	0	584	0
Ermp1	219.750000	0	879	0	0	0
Sox6	219.500000	0	604	0	274	0
Mllt10	218.750000	0	124	0	751	0
Armc3	218.750000	0	548	138	189	0
Snx1	218.500000	0	93	0	781	0
Ddx1	218.500000	0	874	0	0	0
Ciao2a	218.500000	0	93	0	781	0
Cabcoco1	218.000000	0	545	0	327	0
Lrig1	217.750000	0	0	0	871	0
Lmo2	217.750000	0	572	0	299	0
Zfp820	217.500000	0	660	0	210	0
Gsx2	217.250000	0	462	0	407	0
Cdkn2d	217.250000	0	485	0	384	0
Stt3b	217.000000	0	868	0	0	0
Plcxd2	217.000000	0	244	0	624	0
Olfr448	217.000000	0	868	0	0	0
Sephs1	216.750000	0	616	0	251	0
Spa17	216.500000	0	312	0	554	0
Siae	216.500000	0	312	0	554	0
Col9a1	216.500000	0	0	0	866	0
Spdye4a	216.250000	0	622	243	0	0
Cdc42	216.250000	0	865	0	0	0
Agtr2	216.250000	0	622	243	0	0
Gjc1	216.000000	0	318	0	546	0
Tmf1	215.500000	0	721	0	141	0
Smarcb1	215.500000	0	433	130	299	0
Olfr1282	215.500000	0	862	0	0	0
Olfr1281	215.500000	0	862	0	0	0
Fbxo22	215.500000	0	862	0	0	0
Naa40	215.250000	0	0	0	861	0
Me1	215.250000	0	861	0	0	0
Pdzd2	214.750000	0	664	0	195	0
Etv2	214.500000	0	858	0	0	0
C330018D20Rik	214.500000	0	132	0	726	0
Tecr	214.250000	0	701	0	156	0
Pla2g2f	214.250000	0	408	0	449	0
Nufip1	214.000000	0	856	0	0	0
Cldn14	213.500000	0	680	0	174	0
Trpc1	213.250000	0	699	154	0	0
Cxcl12	213.250000	0	154	100	599	0
Sema3a	212.500000	0	164	0	686	0
Mecom	212.500000	0	331	0	519	0
Sft2d1	212.000000	0	731	0	117	0
Ifit2	211.750000	0	327	108	412	0
Zbtb10	211.500000	0	117	0	729	0
Emp1	211.000000	0	335	123	386	0
Atp6v1g3	210.750000	0	843	0	0	0
Arl6	210.750000	0	490	125	228	0
Tmem245	210.500000	0	0	0	842	0
Ripor2	210.500000	0	494	0	348	0
Lemd2	210.500000	0	162	0	680	0
