Target_genes	Sp7|Average	SRX18740507|Oligodendrocytes	SRX1702412|Osteoblasts	STRING
Ppp2r1a	97.500000	195	0	0
Limch1	97.500000	195	0	0
Entpd7	97.500000	195	0	0
Canx	97.500000	195	0	0
Abcf2	97.500000	195	0	0
Tesk2	97.000000	194	0	0
Stip1	97.000000	194	0	0
Srgap2	97.000000	194	0	0
Fam72a	97.000000	194	0	0
Sap130	96.500000	193	0	0
Asb7	96.500000	193	0	0
Rbm39	96.000000	192	0	0
Glrx5	96.000000	192	0	0
Stk11	95.500000	191	0	0
Nfatc2ip	95.500000	191	0	0
Fbxw7	95.500000	191	0	0
Trim50	95.000000	0	190	0
Tnfaip1	95.000000	190	0	0
Speer4e	95.000000	0	190	0
Ift20	95.000000	190	0	0
Abhd12	95.000000	0	190	0
Zfyve21	94.500000	189	0	0
Xrcc3	94.500000	189	0	0
Tusc3	94.500000	0	189	0
Psmd3	94.500000	189	0	0
Elovl6	94.500000	189	0	0
E2f3	94.000000	188	0	0
Dnajc16	94.000000	188	0	0
Clec11a	94.000000	98	90	0
Casp9	94.000000	188	0	0
Wbp11	93.500000	187	0	0
Pnkd	93.500000	187	0	0
Noct	93.500000	0	187	0
Moxd1	93.500000	187	0	0
BC049715	93.500000	187	0	0
Asph	93.500000	187	0	0
Arhgef1	93.500000	187	0	0
Aamp	93.500000	187	0	0
Mterf1a	93.000000	186	0	0
Hk2	93.000000	186	0	0
Capn15	93.000000	186	0	0
Megf8	92.500000	185	0	0
Kbtbd8	92.500000	185	0	0
Tcp1	92.000000	184	0	0
Snrnp40	92.000000	184	0	0
Ppfibp2	92.000000	184	0	0
Mrtfa	92.000000	184	0	0
Mrpl18	92.000000	184	0	0
Gatad2a	92.000000	184	0	0
Tcerg1	91.500000	183	0	0
Pld1	91.500000	183	0	0
Cadm1	91.500000	183	0	0
Mpzl1	90.500000	181	0	0
Tle4	90.000000	180	0	0
Rae1	90.000000	0	180	0
Pla2g6	90.000000	180	0	0
