Target_genes	Mxi1|Average	SRX140388|CH12	SRX140391|MEL	SRX15939545|NIH/3T3	SRX15939546|NIH/3T3	STRING
Epc1	1506.250000	1398	1217	1389	2021	0
Telo2	1506.000000	1243	1273	1642	1866	0
Ptx4	1506.000000	1243	1273	1642	1866	0
Slc12a9	1503.500000	1095	1244	1826	1849	0
Cnot4	1501.500000	1436	1500	1594	1476	0
Lrpprc	1498.500000	1048	1392	1760	1794	0
Pinx1	1497.500000	1669	1778	1467	1076	0
Eef1e1	1494.250000	1031	1139	1939	1868	0
Ddx56	1493.500000	1348	1590	1218	1818	0
Lhfpl5	1491.500000	1232	1921	1450	1363	0
Rpia	1490.750000	1211	915	1827	2010	0
Psme3	1486.500000	1180	1177	1736	1853	0
Llph	1485.000000	1046	1135	1949	1810	0
Ldha	1481.500000	1220	1089	1761	1856	0
Arid4a	1474.500000	1272	1043	1941	1642	0
Alad	1472.500000	1074	783	2102	1931	0
Tmem203	1469.750000	1498	1519	1524	1338	0
Ndor1	1469.750000	1498	1519	1524	1338	0
Eif3e	1468.250000	750	943	2016	2164	0
Gm10130	1467.000000	1024	1411	1720	1713	0
Cdk7	1464.750000	1512	1773	1350	1224	0
Pes1	1464.000000	1235	1455	1376	1790	0
Wdr18	1463.000000	1094	1578	1668	1512	0
Wdr46	1462.750000	1334	1412	1603	1502	0
Pfdn6	1462.750000	1334	1412	1603	1502	0
Dhx37	1461.500000	1087	1176	1739	1844	0
Dym	1459.750000	1653	1679	1194	1313	0
Erlin1	1457.250000	688	1016	2044	2081	0
Nol8	1456.750000	1425	1554	1221	1627	0
Cenpp	1456.750000	1425	1554	1221	1627	0
Hk2	1455.250000	976	1082	1831	1932	0
Dynll1	1454.750000	1594	1416	1368	1441	0
Pwp1	1452.500000	602	1030	1822	2356	0
Mrto4	1451.000000	1106	1192	1560	1946	0
Emc1	1451.000000	1106	1192	1560	1946	0
Atad3a	1443.250000	1174	1236	1729	1634	0
Max	1439.500000	1102	1352	1765	1539	0
Exosc5	1438.000000	1182	1250	1799	1521	0
Bckdha	1438.000000	1182	1250	1799	1521	0
Phgdh	1436.750000	1173	1260	1524	1790	0
Srfbp1	1434.500000	893	1336	1775	1734	0
Hgh1	1429.750000	773	955	1922	2069	0
Ncbp2	1428.750000	1414	1482	1645	1174	0
0610012G03Rik	1428.750000	1414	1482	1645	1174	0
