Target_genes	Prdm5|Average	SRX731121|MC3T3	SRX731122|MC3T3	SRX731123|MC3T3	STRING
Col10a1	63.000000	0	189	0	0
Wdr45b	62.666667	0	188	0	0
Slc25a15	62.666667	0	188	0	0
Txnl4a	62.333333	0	187	0	0
Tmem69	62.333333	0	187	0	0
Spats1	62.333333	0	187	0	0
Mmut	62.333333	0	187	0	0
Gpbp1l1	62.333333	0	187	0	0
Gm16286	62.333333	0	187	0	0
Fads3	62.333333	0	187	0	0
Eapp	62.333333	0	187	0	0
Cenpq	62.333333	0	187	0	0
Pkm	62.000000	0	186	0	0
Igf2bp1	62.000000	0	186	0	0
Tctn3	61.666667	0	185	0	0
Spint1	61.666667	0	185	0	0
Plekha8	61.666667	0	185	0	0
Fkbp14	61.666667	0	185	0	0
Entpd1	61.666667	0	185	0	0
Snrpc	61.333333	184	0	0	0
Rptor	61.333333	184	0	0	0
Rassf5	61.333333	0	184	0	0
Zfp119a	61.000000	0	183	0	0
Srxn1	61.000000	0	183	0	0
Nipsnap3b	61.000000	0	183	0	0
Rab3gap2	60.666667	0	182	0	0
Zscan22	60.333333	0	181	0	0
Mideas	60.333333	0	181	0	0
Me2	60.333333	0	181	0	0
Masp2	60.333333	0	181	0	0
Gykl1	60.333333	0	181	0	0
Gclm	60.333333	0	181	0	0
Crnkl1	60.333333	0	181	0	0
Cfap61	60.333333	0	181	0	0
Ttc36	60.000000	0	180	0	0
Tmem25	60.000000	0	180	0	0
Rps6ka4	60.000000	0	180	0	0
Cyb5r1	60.000000	0	180	0	0
Igf2bp3	59.666667	0	179	0	0
Msmo1	59.333333	0	178	0	0
Rab30	59.000000	0	177	0	0
Tuba1a	58.666667	0	176	0	0
Toe1	58.666667	0	176	0	0
Mutyh	58.666667	0	176	0	0
Aar2	58.666667	0	176	0	0
Baiap2l2	58.333333	0	175	0	0
Rps29	58.000000	0	174	0	0
Etf1	58.000000	0	174	0	0
Tjap1	57.333333	0	172	0	0
Zfp644	56.666667	0	170	0	0
Wdr60	56.666667	0	170	0	0
Tsc22d3	56.666667	0	170	0	0
Pcbp2	56.666667	0	170	0	0
Nemf	56.666667	0	170	0	0
Dnaja2	56.666667	0	170	0	0
Dmwd	56.666667	0	170	0	0
Cmip	56.666667	0	170	0	0
Clasp2	56.666667	0	170	0	0
AW146154	56.666667	0	170	0	0
Gypc	56.333333	0	169	0	0
Fbxl22	56.333333	0	169	0	0
Cavin3	56.333333	0	169	0	0
Thoc2l	56.000000	0	168	0	0
C1d	56.000000	0	168	0	0
Tnrc18	55.666667	0	167	0	0
Tanc1	55.666667	0	167	0	0
Spred3	55.666667	0	167	0	0
Irf1	55.666667	0	167	0	0
Ggn	55.666667	0	167	0	0
Zfp472	55.333333	0	166	0	0
Tmem230	55.333333	0	166	0	0
Sh3pxd2b	55.333333	0	166	0	0
Rbm43	55.333333	0	166	0	0
Kras	55.333333	0	166	0	0
Hexim1	55.333333	0	166	0	0
Ddx18	55.333333	0	166	0	0
Cd81	55.000000	0	165	0	0
Akp3	55.000000	0	165	0	0
Vegfa	54.666667	0	164	0	0
Ptprcap	54.000000	0	162	0	0
Zfp280b	53.000000	0	159	0	0
Zfp119b	53.000000	0	159	0	0
Trappc6b	53.000000	0	159	0	0
Traf3	53.000000	0	159	0	0
