Target_genes	Klf15|Average	SRX10012505|Liver	SRX10012506|Liver	STRING
Pcx	721.500000	560	883	0
Hps3	715.000000	562	868	0
Syne2	714.500000	617	812	0
Cds2	712.500000	602	823	0
Phax	710.000000	491	929	0
Aldh7a1	710.000000	491	929	0
Pdp2	707.500000	592	823	0
Usp31	707.000000	562	852	0
Nags	706.000000	458	954	0
Nr2f2	705.000000	565	845	0
Ppp1r16a	703.500000	571	836	0
Foxh1	703.500000	571	836	0
Slc25a44	701.500000	600	803	0
Ilvbl	701.500000	524	879	0
Plekha7	699.000000	519	879	0
Rngtt	695.000000	477	913	0
Ano10	695.000000	536	854	0
Pnrc1	690.500000	604	777	0
Leng1	689.000000	587	791	0
Uox	688.000000	648	728	0
Lrrc51	685.000000	515	855	0
Zfp672	681.500000	571	792	0
Stard7	681.000000	547	815	0
Mccc1	680.500000	577	784	0
Macrod1	680.000000	525	835	0
Lrba	677.500000	479	876	0
Crebrf	671.500000	521	822	0
Ap1ar	670.000000	401	939	0
Snx25	669.500000	507	832	0
Ece1	667.000000	471	863	0
Spc25	666.500000	482	851	0
G6pc2	666.500000	482	851	0
Ccl9	666.500000	491	842	0
Rraga	663.000000	479	847	0
Atxn7l1	662.500000	516	809	0
Hif1a	662.000000	572	752	0
Rnf214	659.500000	422	897	0
Pcsk7	659.500000	422	897	0
Fth1	657.500000	592	723	0
Coq8a	657.500000	518	797	0
Fabp5	654.000000	606	702	0
Eprs	653.000000	460	846	0
Sgk2	652.000000	426	878	0
Whamm	651.500000	543	760	0
Fsd2	651.500000	543	760	0
Arhgef37	651.500000	604	699	0
Rgs16	647.500000	519	776	0
Gins1	645.500000	580	711	0
Slc2a1	641.500000	477	806	0
Srpr	640.500000	537	744	0
Septin2	640.500000	490	791	0
Hdlbp	640.500000	490	791	0
Foxred1	640.500000	537	744	0
Pacsin2	640.000000	505	775	0
Nhsl1	640.000000	540	740	0
Lrrc45	640.000000	476	804	0
Cenpx	640.000000	476	804	0
Elovl1	639.000000	475	803	0
Kpna6	638.000000	476	800	0
Slc7a2	637.000000	471	803	0
Rbm27	637.000000	570	704	0
Sfxn5	635.000000	520	750	0
Elof1	634.000000	438	830	0
Slc38a3	633.500000	373	894	0
Samd1	631.000000	454	808	0
1700067K01Rik	631.000000	454	808	0
Birc5	630.500000	496	765	0
Prkar2a	627.500000	561	694	0
Esyt2	627.500000	582	673	0
Sft2d2	626.500000	513	740	0
H3c15	626.500000	500	753	0
H3c14	626.500000	500	753	0
H2ac19	626.500000	500	753	0
H2ac18	626.500000	500	753	0
Mrpl27	626.000000	491	761	0
Eme1	626.000000	491	761	0
Arl13b	626.000000	535	717	0
