Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
Cox7a2	169.500000	517	161	0	0	0
Tent2	168.250000	405	268	0	0	0
Ltn1	167.750000	504	167	0	0	0
Scd2	167.500000	556	114	0	0	0
Kdm5a	167.000000	531	137	0	0	0
Ndufs1	166.750000	538	129	0	0	0
Eef1b2	166.750000	538	129	0	0	0
Hccs	166.500000	533	133	0	0	0
Gm15246	166.500000	533	133	0	0	0
Pcmtd1	166.250000	229	200	236	0	0
Ccdc9	165.000000	462	198	0	0	0
Zfp780b	164.000000	459	197	0	0	0
Yrdc	163.750000	464	191	0	0	0
Snrnp200	163.750000	482	173	0	0	0
1810024B03Rik	163.750000	482	173	0	0	0
1110065P20Rik	163.750000	464	191	0	0	0
Anapc15	163.000000	515	137	0	0	0
Txnl4b	161.250000	484	161	0	0	0
Dhx38	161.250000	484	161	0	0	0
Prkab1	161.000000	464	180	0	0	0
Smug1	160.750000	643	0	0	0	0
Ppid	160.000000	493	147	0	0	0
Itpa	160.000000	477	163	0	0	0
Ddrgk1	160.000000	477	163	0	0	0
Tmem198b	159.500000	522	116	0	0	0
Dnajc14	159.500000	522	116	0	0	0
Ttc30b	159.000000	475	161	0	0	0
Taf1a	159.000000	500	136	0	0	0
Gle1	158.750000	479	156	0	0	0
Exoc3l	158.750000	635	0	0	0	0
E2f4	158.750000	635	0	0	0	0
Mettl17	158.500000	634	0	0	0	0
Slirp	158.250000	460	173	0	0	0
Nrp	158.250000	460	173	0	0	0
Alkbh1	158.250000	460	173	0	0	0
Tmed10	157.000000	447	181	0	0	0
Colgalt1	156.750000	462	165	0	0	0
Actr3	156.000000	417	207	0	0	0
Mvd	155.750000	294	0	329	0	0
Fam91a1	154.750000	369	250	0	0	0
AW549877	154.250000	217	151	249	0	0
Dpysl2	154.000000	358	170	88	0	0
Ttc33	153.750000	437	178	0	0	0
Pip4p1	153.500000	206	119	173	116	0
H4c18	153.250000	310	198	0	105	0
H4bc24	153.250000	310	198	0	105	0
H2bc23	153.250000	310	198	0	105	0
H2ac24	153.250000	310	198	0	105	0
H2ac23	153.250000	310	198	0	105	0
Zfp26	153.000000	420	192	0	0	0
Spink10	152.250000	468	141	0	0	0
Fbxo38	152.250000	468	141	0	0	0
Spata2	151.750000	496	111	0	0	0
Rnf114	151.750000	496	111	0	0	0
Endov	151.750000	477	130	0	0	0
Traf7	151.500000	524	82	0	0	0
Rps19	151.250000	381	224	0	0	0
Tufm	150.750000	483	120	0	0	0
Prkag1	150.500000	480	122	0	0	0
Tsc2	150.250000	365	236	0	0	0
Nthl1	150.250000	365	236	0	0	0
Zwilch	149.500000	414	184	0	0	0
Rpl4	149.500000	414	184	0	0	0
Herc2	149.500000	325	110	163	0	0
Tkt	149.250000	492	105	0	0	0
Adipor2	148.750000	484	111	0	0	0
Ubac2	148.000000	400	192	0	0	0
Ddx18	147.750000	388	203	0	0	0
Capn10	147.500000	444	146	0	0	0
Tiprl	147.250000	432	157	0	0	0
Gcdh	147.250000	589	0	0	0	0
Zfp865	146.500000	345	241	0	0	0
Zfp524	146.500000	345	241	0	0	0
Urm1	146.000000	430	154	0	0	0
Cars	145.500000	433	149	0	0	0
Lrrc51	144.250000	416	161	0	0	0
Vmp1	142.750000	392	179	0	0	0
Trip13	142.750000	457	114	0	0	0
Ptrh2	142.750000	392	179	0	0	0
Brd9	142.750000	457	114	0	0	0
Tnfaip1	142.500000	438	132	0	0	0
Ift20	142.500000	438	132	0	0	0
Rps3	141.500000	454	112	0	0	0
Rpl35	141.000000	350	214	0	0	0
Arpc5l	141.000000	350	214	0	0	0
Sar1a	140.750000	344	219	0	0	0
Lbr	140.750000	327	69	167	0	0
Sf3b6	140.500000	422	140	0	0	0
Kat8	140.250000	432	129	0	0	0
Tmem161b	140.000000	378	182	0	0	0
Timm10	139.500000	428	130	0	0	0
Smtnl1	139.500000	428	130	0	0	0
Phrf1	139.000000	441	115	0	0	0
Phb2	138.750000	435	120	0	0	0
Emg1	138.750000	435	120	0	0	0
Zfp626	138.500000	395	159	0	0	0
Cacybp	138.250000	394	159	0	0	0
Vps52	138.000000	400	152	0	0	0
Rps18	138.000000	400	152	0	0	0
Llph	138.000000	399	153	0	0	0
Gtf2a2	138.000000	328	224	0	0	0
B3galt4	138.000000	400	152	0	0	0
Uba2	137.500000	465	85	0	0	0
Shld1	137.500000	448	102	0	0	0
Mfsd14a	137.500000	431	119	0	0	0
Dhx8	137.250000	549	0	0	0	0
Appl2	137.250000	549	0	0	0	0
Ube2i	136.750000	342	205	0	0	0
Rnf20	136.750000	547	0	0	0	0
Zfp420	136.000000	410	134	0	0	0
Prr3	135.750000	372	171	0	0	0
H4c4	135.750000	383	160	0	0	0
H2bc6	135.750000	383	160	0	0	0
Gnl1	135.750000	372	171	0	0	0
Gps2	135.500000	319	223	0	0	0
Srp19	134.500000	399	139	0	0	0
