Target_genes	Irf7|Average	SRX742695|Myeloid_Cells	SRX742696|Myeloid_Cells	SRX742697|Myeloid_Cells	SRX742698|Myeloid_Cells	STRING
Faf2	69.000000	0	0	147	129	0
Xaf1	68.250000	0	0	103	170	0
Rhbdd3	67.750000	0	0	188	83	0
Ewsr1	67.750000	0	0	188	83	0
Tcf25	67.500000	0	155	115	0	0
Lrrc59	67.500000	0	127	143	0	0
Tpm3	67.250000	0	0	173	96	0
Parp9	67.250000	0	0	101	168	0
Dtx3l	67.250000	0	0	101	168	0
Rlf	67.000000	0	121	147	0	0
Shisa5	66.750000	0	0	136	131	0
Capns1	66.750000	0	0	153	114	0
Cdk12	66.500000	0	130	0	136	0
Srek1ip1	66.250000	0	132	133	0	0
Gatad2b	66.250000	0	0	154	111	0
Cwc27	66.250000	0	132	133	0	0
Ncstn	65.750000	0	0	144	119	0
Copa	65.750000	0	0	144	119	0
Zfp407	65.500000	0	155	107	0	0
Uckl1	65.500000	0	0	113	149	0
Gm5741	65.500000	0	0	124	138	0
Dhps	65.500000	0	0	124	138	0
Rassf1	64.750000	0	0	123	136	0
Pih1d1	64.750000	0	0	142	117	0
Krcc1	64.750000	0	0	158	101	0
Gabpb2	64.750000	0	154	105	0	0
Aldh16a1	64.750000	0	0	142	117	0
Flot2	64.500000	0	0	113	145	0
Ppp4c	64.250000	0	0	147	110	0
Fam76a	64.250000	0	121	136	0	0
Sp1	64.000000	0	0	138	118	0
Kat5	64.000000	0	0	135	121	0
Faf1	63.750000	0	147	108	0	0
Slc25a3	63.250000	0	144	109	0	0
Rpn2	63.000000	0	107	145	0	0
Mroh8	63.000000	0	107	145	0	0
Diaph1	61.500000	0	0	128	118	0
Eif4h	60.750000	0	0	95	148	0
Mtmr14	60.500000	0	151	91	0	0
Sun2	60.250000	0	120	121	0	0
Rac2	60.250000	0	0	139	102	0
Hnrnpul1	60.000000	0	115	125	0	0
Tyw1	59.750000	0	114	125	0	0
Sbds	59.750000	0	114	125	0	0
Rps9	59.750000	0	0	0	239	0
Dbnl	59.750000	0	0	130	109	0
Supt16	59.500000	0	97	141	0	0
Csnk2a1	59.500000	0	0	101	137	0
Hnrnpa2b1	59.250000	0	0	143	94	0
Cbx3	59.250000	0	0	143	94	0
Rpl26	58.750000	0	0	0	235	0
Rps15	58.250000	0	0	0	233	0
Apc2	58.250000	0	0	0	233	0
Stxbp2	58.000000	0	113	119	0	0
Armc8	58.000000	0	0	86	146	0
Vamp8	57.250000	0	100	0	129	0
Lsm14a	57.000000	0	0	89	139	0
Znhit1	56.750000	0	0	137	90	0
Plod3	56.750000	0	0	137	90	0
Psmc3	56.500000	0	0	226	0	0
Pisd	56.500000	0	0	96	130	0
Rela	56.250000	0	109	116	0	0
Pex12	56.000000	0	0	145	79	0
Oasl1	56.000000	0	0	123	101	0
Atxn7l1	56.000000	0	0	126	98	0
Ap2b1	56.000000	0	0	145	79	0
Tbpl1	55.750000	0	0	129	94	0
Rexo1	55.750000	0	0	223	0	0
Cast	55.500000	0	0	112	110	0
Zc3h6	55.250000	0	0	221	0	0
S100a13	55.000000	0	0	0	220	0
S100a1	55.000000	0	0	0	220	0
Chtop	55.000000	0	0	0	220	0
Capza1	55.000000	0	0	143	77	0
Trim56	54.750000	0	0	115	104	0
Phrf1	54.500000	0	0	218	0	0
Csf2ra	54.500000	0	0	114	104	0
Tnfrsf1a	54.250000	0	0	115	102	0
Dync1i2	54.250000	0	77	140	0	0
Zfp143	53.500000	0	123	0	91	0
Rps20	53.500000	0	0	0	214	0
Abhd10	53.000000	0	0	212	0	0
Dennd1c	52.750000	0	0	117	94	0
Psen1	52.500000	0	0	92	118	0
Nufip2	52.500000	0	0	124	86	0
Chmp4b	52.500000	0	0	108	102	0
Klhdc8b	52.250000	0	0	131	78	0
Cox8a	52.250000	0	0	209	0	0
Ccdc71	52.250000	0	0	131	78	0
Zfp868	51.500000	0	0	206	0	0
Sp3	51.500000	0	0	206	0	0
Parn	51.000000	0	106	98	0	0
Bfar	51.000000	0	106	98	0	0
Cmtr1	50.500000	0	0	90	112	0
Anxa7	50.500000	0	117	85	0	0
Spi1	50.000000	0	0	118	82	0
Ppp4r3b	50.000000	0	0	122	78	0
Tspan4	49.750000	0	0	199	0	0
Polr2l	49.750000	0	0	199	0	0
H2-Q9	49.750000	0	0	101	98	0
H2-Q7	49.750000	0	0	101	98	0
Actr2	49.750000	0	0	64	135	0
Ptcd3	49.250000	0	0	197	0	0
Polr1a	49.250000	0	0	197	0	0
Myl4	49.000000	0	0	196	0	0
Msl1	49.000000	0	0	82	114	0
Mfsd5	49.000000	0	0	0	196	0
Cdc27	49.000000	0	0	196	0	0
Ammecr1l	49.000000	0	78	118	0	0
Cul2	48.750000	0	0	195	0	0
Prkci	48.500000	0	0	194	0	0
Rab5c	48.000000	0	0	192	0	0
Leng8	48.000000	0	0	192	0	0
Pcbp1	47.750000	0	0	99	92	0
Lsg1	47.500000	0	0	190	0	0
Cyfip1	47.500000	0	84	106	0	0
H2-M3	47.250000	0	110	79	0	0
Slfn2	47.000000	0	89	99	0	0
Mpv17l2	47.000000	0	0	0	188	0
Ifi30	47.000000	0	0	0	188	0
Slc35b2	46.500000	0	0	112	74	0
Nme7	46.500000	0	93	93	0	0
Cltc	46.500000	0	0	186	0	0
Blzf1	46.500000	0	93	93	0	0
Aldh4a1	46.250000	0	0	185	0	0
Slc35e2	46.000000	0	0	184	0	0
Lrp10	45.750000	0	0	183	0	0
Mapk8ip3	45.500000	0	0	96	86	0
Zbtb22	45.250000	0	0	98	83	0
Tapbp	45.250000	0	0	98	83	0
Pfkl	45.250000	0	0	0	181	0
Zfp513	44.750000	0	0	179	0	0
Zfp335	44.750000	0	179	0	0	0
Trmt1l	44.750000	0	0	0	179	0
Swt1	44.750000	0	0	0	179	0
Strip1	44.750000	0	0	179	0	0
Raf1	44.500000	0	0	178	0	0
Csnk1a1	44.500000	0	0	178	0	0
Srsf6	44.250000	0	0	177	0	0
Slc35b1	44.250000	0	0	177	0	0
Gnai3	43.750000	0	0	175	0	0
Tbck	43.500000	0	0	174	0	0
Med13	43.500000	0	0	174	0	0
Aimp1	43.500000	0	0	174	0	0
Ccl2	43.000000	0	172	0	0	0
Rnf214	42.750000	0	0	171	0	0
Pcsk7	42.750000	0	0	171	0	0
Eef1e1	42.750000	0	171	0	0	0
Slfn8	42.500000	0	0	0	170	0
Oas3	42.500000	0	0	0	170	0
Ier5	42.500000	0	0	170	0	0
Gabpa	42.250000	0	0	169	0	0
Atp5j	42.250000	0	0	169	0	0
Cd302	42.000000	0	0	168	0	0
Rbm6	41.750000	0	0	167	0	0
Psmd8	41.750000	0	0	91	76	0
Pcif1	41.750000	0	0	0	167	0
Oasl2	41.750000	0	0	0	167	0
Frat2	41.750000	0	0	167	0	0
Rita1	41.500000	0	0	166	0	0
Ddx54	41.500000	0	0	166	0	0
Sp100	41.250000	0	0	0	165	0
Lmbrd1	41.250000	0	0	165	0	0
Cnpy2	41.250000	0	0	165	0	0
Kmt2d	41.000000	0	0	164	0	0
Zfp429	40.750000	0	163	0	0	0
Hnrnpm	40.750000	0	0	163	0	0
Cdc42se2	40.750000	0	0	76	87	0
Id2	40.500000	0	0	162	0	0
Smarcb1	40.250000	0	0	0	161	0
Kif20a	40.250000	0	0	161	0	0
Brd8	40.250000	0	0	161	0	0
Cdkl4	40.000000	0	0	160	0	0
Ttc30b	39.750000	0	0	159	0	0
Prdm10	39.750000	0	0	159	0	0
E4f1	39.750000	0	0	159	0	0
Nphp4	39.500000	0	0	158	0	0
Leng9	39.500000	0	158	0	0	0
Kcnab2	39.500000	0	0	158	0	0
Mlst8	39.250000	0	157	0	0	0
Tmub1	39.000000	0	76	80	0	0
Ggnbp1	39.000000	0	0	156	0	0
Fastk	39.000000	0	76	80	0	0
Bak1	39.000000	0	0	156	0	0
Adar	39.000000	0	0	156	0	0
Ttpal	38.750000	0	0	155	0	0
Setd1a	38.750000	0	0	155	0	0
Chic2	38.750000	0	0	155	0	0
Iqgap1	38.500000	0	0	0	154	0
Txnl4a	38.250000	0	0	153	0	0
Taf9	38.250000	0	0	0	153	0
Rad17	38.250000	0	0	0	153	0
Hyal2	38.250000	0	0	153	0	0
Gm16286	38.250000	0	0	153	0	0
Dpf2	38.250000	0	0	153	0	0
Atxn2l	38.250000	0	153	0	0	0
Ak6	38.250000	0	0	0	153	0
Ppp1r11	38.000000	0	0	152	0	0
Eif2ak2	38.000000	0	0	0	152	0
Atg101	38.000000	0	0	152	0	0
Selenow	37.750000	0	0	151	0	0
Cxcl1	37.750000	0	0	151	0	0
Zfc3h1	37.250000	0	0	149	0	0
Thap2	37.250000	0	0	149	0	0
Slfn5	37.250000	0	0	0	149	0
Rbm22	37.250000	0	0	149	0	0
Tor3a	37.000000	0	0	0	148	0
Sra1	37.000000	0	0	148	0	0
Mill2	37.000000	0	0	148	0	0
Ptpmt1	36.750000	0	0	147	0	0
Brpf1	36.750000	0	0	147	0	0
3830406C13Rik	36.750000	0	0	147	0	0
Zfp26	36.500000	0	0	0	146	0
Sec24c	36.500000	0	0	146	0	0
Msh5	36.500000	0	0	146	0	0
Clic1	36.500000	0	0	146	0	0
Ccdc174	36.500000	0	0	146	0	0
Zrsr2	36.250000	0	0	145	0	0
