Target_genes	Irf7|Average	SRX742695|Myeloid_Cells	SRX742696|Myeloid_Cells	SRX742697|Myeloid_Cells	SRX742698|Myeloid_Cells	STRING
Ywhag	25.500000	0	0	102	0	0
Vps29	25.500000	0	0	102	0	0
Usf1	25.500000	0	0	102	0	0
Ufl1	25.500000	0	0	102	0	0
Sec24a	25.500000	0	102	0	0	0
Rad9b	25.500000	0	0	102	0	0
Fbxl3	25.500000	0	0	102	0	0
Bax	25.500000	0	0	102	0	0
Szt2	25.250000	0	0	101	0	0
Serinc1	25.250000	0	0	101	0	0
Psmb5	25.250000	0	0	101	0	0
Myh9	25.250000	0	0	101	0	0
Mmaa	25.250000	0	0	101	0	0
Med8	25.250000	0	0	101	0	0
Hook2	25.250000	0	0	0	101	0
Dido1	25.250000	0	0	101	0	0
Cand1	25.250000	0	0	101	0	0
Zhx1	25.000000	0	0	0	100	0
Tra2b	25.000000	0	100	0	0	0
Rfx3	25.000000	0	0	100	0	0
Nol12	25.000000	0	100	0	0	0
Ndst2	25.000000	0	0	0	100	0
Ldha	25.000000	0	0	100	0	0
Gm27021	25.000000	0	100	0	0	0
Emc8	25.000000	0	100	0	0	0
Cox4i1	25.000000	0	100	0	0	0
Cnot3	25.000000	0	0	100	0	0
Atxn7l3	25.000000	0	0	100	0	0
Arl8a	25.000000	0	0	0	100	0
Zfp874b	24.750000	0	0	99	0	0
Supt5	24.750000	0	0	99	0	0
Mtdh	24.750000	0	0	99	0	0
Cnot8	24.750000	0	0	0	99	0
Clk4	24.750000	0	0	99	0	0
BC049762	24.750000	0	0	99	0	0
Arfgap2	24.750000	0	0	99	0	0
Ap1s1	24.750000	0	0	99	0	0
Sbno1	24.500000	0	0	98	0	0
Retreg2	24.500000	0	0	98	0	0
Rb1cc1	24.500000	0	0	98	0	0
Kdelr1	24.500000	0	0	98	0	0
Eif1b	24.500000	0	0	0	98	0
Cpd	24.500000	0	0	98	0	0
Cnppd1	24.500000	0	0	98	0	0
Rab5a	24.250000	0	0	97	0	0
Polm	24.250000	0	0	97	0	0
Mob3a	24.250000	0	0	97	0	0
Mmadhc	24.250000	0	0	97	0	0
Izumo4	24.250000	0	0	97	0	0
Actr3	24.250000	0	97	0	0	0
Vps13b	24.000000	0	0	96	0	0
Snrpe	24.000000	0	0	96	0	0
Nmi	24.000000	0	0	0	96	0
Cox5b	24.000000	0	96	0	0	0
Tubb6	23.750000	0	0	95	0	0
Setd1b	23.750000	0	0	0	95	0
Psma2	23.750000	0	0	95	0	0
Pfdn5	23.750000	0	0	0	95	0
Mrpl32	23.750000	0	0	95	0	0
Maea	23.750000	0	0	95	0	0
Ercc4	23.750000	0	0	95	0	0
Eif2s2	23.750000	0	95	0	0	0
Dis3l	23.750000	0	0	95	0	0
Capg	23.750000	0	0	95	0	0
Rbbp5	23.500000	0	0	94	0	0
Patl1	23.500000	0	0	94	0	0
Neurl4	23.500000	0	0	94	0	0
Fem1b	23.500000	0	94	0	0	0
Dennd5a	23.500000	0	0	94	0	0
Calm3	23.500000	0	0	94	0	0
2810408A11Rik	23.500000	0	0	94	0	0
Vat1	23.250000	0	0	93	0	0
Trim12c	23.250000	0	0	93	0	0
Rnd2	23.250000	0	0	93	0	0
Pdzd8	23.250000	0	0	0	93	0
Manbal	23.250000	0	0	93	0	0
Irf9	23.250000	0	0	93	0	0
Bag6	23.250000	0	93	0	0	0
Apom	23.250000	0	93	0	0	0
Adora2a	23.250000	0	0	0	93	0
Tbrg1	23.000000	0	0	92	0	0
Map2k1	23.000000	0	0	92	0	0
Ccnt2	23.000000	0	0	92	0	0
Spag6	22.750000	0	0	0	91	0
Psmb4	22.750000	0	0	91	0	0
Ppp1r15b	22.750000	0	0	91	0	0
Parvg	22.750000	0	0	91	0	0
Man2b2	22.750000	0	0	0	91	0
Cd40	22.750000	0	0	91	0	0
9530068E07Rik	22.750000	0	0	91	0	0
Wsb1	22.500000	0	0	90	0	0
Tmem186	22.500000	0	0	90	0	0
Pmm2	22.500000	0	0	90	0	0
Metrnl	22.500000	0	0	90	0	0
Txnl4b	22.250000	0	0	0	89	0
Sgpl1	22.250000	0	0	89	0	0
Rbm12b1	22.250000	0	89	0	0	0
Med10	22.250000	0	0	89	0	0
Dhx38	22.250000	0	0	0	89	0
Atxn1l	22.250000	0	0	89	0	0
Spink10	22.000000	0	0	88	0	0
Spata17	22.000000	0	0	88	0	0
Prelid3b	22.000000	0	0	88	0	0
Klc1	22.000000	0	0	88	0	0
Ier3ip1	22.000000	0	0	88	0	0
Gpatch2	22.000000	0	0	88	0	0
Gm4925	22.000000	0	0	88	0	0
Fbxo38	22.000000	0	0	88	0	0
Cbr4	22.000000	0	0	88	0	0
Arl1	22.000000	0	0	88	0	0
Ubxn4	21.750000	0	0	87	0	0
Mbd1	21.750000	0	0	87	0	0
Litaf	21.750000	0	0	87	0	0
H2-T23	21.750000	0	0	0	87	0
Asxl2	21.750000	0	0	0	87	0
Raver1	21.500000	0	0	86	0	0
Fbxo7	21.500000	0	0	86	0	0
Dync1li2	21.500000	0	0	86	0	0
Usp32	21.250000	0	85	0	0	0
Sh3pxd2b	21.250000	0	0	85	0	0
Nfkb2	21.250000	0	0	85	0	0
Myo1g	21.250000	0	0	85	0	0
Hnrnph1	21.250000	0	0	85	0	0
Gna13	21.250000	0	0	0	85	0
Wsb2	21.000000	0	0	84	0	0
Smg1	21.000000	0	0	0	84	0
Rffl	21.000000	0	0	0	84	0
Rab24	21.000000	0	0	0	84	0
Prelid1	21.000000	0	0	0	84	0
Nsun3	21.000000	0	0	84	0	0
Mapkbp1	21.000000	0	0	0	84	0
Hmgcs1	21.000000	0	0	0	84	0
Ubn1	20.750000	0	0	83	0	0
Slmap	20.750000	0	0	0	83	0
Glyr1	20.750000	0	0	83	0	0
Arf4	20.750000	0	0	83	0	0
Ap2m1	20.750000	0	0	83	0	0
Usp19	20.500000	0	0	0	82	0
Nlrx1	20.500000	0	0	82	0	0
Lamtor3	20.500000	0	82	0	0	0
Fnbp4	20.500000	0	0	0	82	0
Vps18	20.250000	0	0	81	0	0
Slc30a6	20.250000	0	81	0	0	0
Rnf103	20.250000	0	81	0	0	0
Rel	20.250000	0	0	81	0	0
Polr2m	20.250000	0	0	81	0	0
Tmed7	20.000000	0	80	0	0	0
Ppp3cb	20.000000	0	80	0	0	0
Eif1a	20.000000	0	80	0	0	0
Atf2	20.000000	0	0	0	80	0
Wdr77	19.750000	0	79	0	0	0
Vps13d	19.750000	0	0	0	79	0
Rab11fip1	19.750000	0	0	79	0	0
Khdc4	19.750000	0	0	79	0	0
Ehd1	19.750000	0	0	79	0	0
Atp5pb	19.750000	0	79	0	0	0
Rock2	19.500000	0	0	0	78	0
Nckap1l	19.500000	0	0	78	0	0
Ifi207	19.500000	0	0	0	78	0
Exosc10	19.500000	0	0	78	0	0
Atxn10	19.500000	0	0	78	0	0
Cap1	19.250000	0	77	0	0	0
Tnip1	19.000000	0	0	76	0	0
Phkb	19.000000	0	0	76	0	0
Itfg1	19.000000	0	0	76	0	0
Erbin	19.000000	0	0	76	0	0
Eif2s3x	19.000000	0	76	0	0	0
Zfyve19	18.750000	0	0	75	0	0
Dnajc17	18.750000	0	0	75	0	0
Ddx50	18.750000	0	0	75	0	0
Caprin1	18.750000	0	75	0	0	0
Zfp747	18.500000	0	0	74	0	0
Ubox5	18.500000	0	0	74	0	0
Trim30d	18.500000	0	0	0	74	0
Fastkd5	18.500000	0	0	74	0	0
Stat6	18.250000	0	0	0	73	0
Cdc42ep2	18.250000	0	73	0	0	0
Ndel1	17.000000	0	68	0	0	0
Casp4	17.000000	0	0	0	68	0
Rnf6	16.750000	0	0	0	67	0
Timmdc1	16.500000	0	0	66	0	0
Ttc9c	14.250000	0	0	57	0	0
Hnrnpul2	14.250000	0	0	57	0	0
Cxcl10	0.000000	0	0	0	0	463
Ifnb1	0.000000	0	0	0	0	431
Cysltr2	0.000000	0	0	0	0	418
Setdb2	0.000000	0	0	0	0	401
Il33	0.000000	0	0	0	0	401
Myd88	0.000000	0	0	0	0	185
