Target_genes	Prdm15|Average	SRX5299924|E6.5_embryos	SRX1301547|ES_cells	SRX2754629|ES_cells	SRX2754630|ES_cells	SRX2754632|ES_cells	SRX2754633|ES_cells	SRX2754635|ES_cells	SRX2754636|ES_cells	SRX5379469|ES_cells	STRING
Map4k5	81.222222	0	0	180	163	163	143	0	0	82	0
Kpna3	81.222222	0	0	156	172	188	140	0	0	75	0
Htt	81.222222	0	0	146	174	145	158	0	108	0	0
H2bc1	81.222222	0	0	126	183	160	140	122	0	0	0
H2ac1	81.222222	0	0	126	183	160	140	122	0	0	0
Grk4	81.222222	0	0	156	259	137	179	0	0	0	0
Glyr1	81.222222	0	0	217	230	130	154	0	0	0	0
Gja1	81.222222	0	263	0	0	188	118	0	0	162	0
Fam193b	81.222222	0	0	180	226	126	98	0	0	101	0
Fam114a2	81.222222	0	0	179	199	156	197	0	0	0	0
Eif1b	81.222222	0	0	112	136	207	165	0	0	111	0
Efnb2	81.222222	0	0	167	188	84	113	70	0	109	0
Cul5	81.222222	0	0	129	172	212	218	0	0	0	0
Coq10a	81.222222	0	0	131	296	99	205	0	0	0	0
Cln5	81.222222	0	0	133	203	142	143	110	0	0	0
Chrna3	81.222222	0	0	128	246	193	164	0	0	0	0
Capn5	81.222222	0	0	144	148	175	163	0	0	101	0
Braf	81.222222	0	0	210	131	154	123	113	0	0	0
Atl1	81.222222	0	0	180	163	163	143	0	0	82	0
Aldh4a1	81.222222	0	0	170	263	151	147	0	0	0	0
Adad1	81.222222	0	0	126	104	275	226	0	0	0	0
2510009E07Rik	81.222222	0	0	182	151	193	132	0	0	73	0
Zfp869	81.111111	0	0	183	176	129	171	0	71	0	0
Zfp318	81.111111	0	0	180	287	145	118	0	0	0	0
Tm7sf3	81.111111	0	0	165	148	228	189	0	0	0	0
Stbd1	81.111111	0	0	260	218	121	131	0	0	0	0
Slf2	81.111111	0	0	122	171	155	178	104	0	0	0
Slc47a2	81.111111	0	0	146	168	162	168	86	0	0	0
Rap1a	81.111111	0	0	200	143	145	133	0	0	109	0
Ptpn1	81.111111	0	0	162	171	124	127	68	78	0	0
Prmt3	81.111111	0	0	185	149	137	144	0	115	0	0
Pramel13	81.111111	0	0	318	412	0	0	0	0	0	0
Nob1	81.111111	0	0	164	130	192	144	0	100	0	0
Ndufv2	81.111111	0	0	219	166	154	119	72	0	0	0
Msh2	81.111111	0	0	144	166	194	138	0	88	0	0
Lgals3	81.111111	0	0	115	143	116	111	0	59	186	0
Igf2r	81.111111	0	0	187	143	146	175	79	0	0	0
Cdh24	81.111111	0	0	203	229	119	94	0	0	85	0
Zfp563	81.000000	0	0	183	216	150	180	0	0	0	0
Tspyl5	81.000000	0	0	167	213	171	178	0	0	0	0
Spice1	81.000000	0	0	165	156	160	248	0	0	0	0
Olfm1	81.000000	0	0	128	132	122	222	0	0	125	0
Nphp1	81.000000	0	0	129	248	147	205	0	0	0	0
Ndufs7	81.000000	0	0	0	171	187	178	193	0	0	0
Mtln	81.000000	0	0	129	248	147	205	0	0	0	0
Mesp1	81.000000	0	0	193	161	160	90	0	0	125	0
Med17	81.000000	0	0	146	170	191	222	0	0	0	0
Kitl	81.000000	0	0	216	255	118	140	0	0	0	0
Il11	81.000000	0	0	225	214	88	84	0	0	118	0
Htatip2	81.000000	0	0	136	246	199	148	0	0	0	0
Haus6	81.000000	0	0	166	113	164	200	86	0	0	0
Wdr59	80.888889	0	0	277	316	0	135	0	0	0	0
Tmem62	80.888889	0	0	214	137	207	170	0	0	0	0
Tes	80.888889	0	0	210	158	166	114	0	0	80	0
Tekt5	80.888889	0	0	129	307	150	142	0	0	0	0
Supt16	80.888889	0	0	138	185	186	219	0	0	0	0
Slc30a5	80.888889	0	0	127	179	207	149	66	0	0	0
Slbp	80.888889	0	0	177	208	185	158	0	0	0	0
Sgk1	80.888889	0	0	181	255	163	129	0	0	0	0
Sdccag8	80.888889	0	0	148	226	98	103	0	0	153	0
Phb2	80.888889	0	0	165	127	163	174	0	0	99	0
Pdcd6	80.888889	0	0	146	88	140	212	0	142	0	0
Nudt11	80.888889	0	0	199	230	108	81	0	0	110	0
Ndufb8	80.888889	0	0	152	156	135	198	87	0	0	0
Mlh1	80.888889	0	0	192	184	168	93	0	91	0	0
Hormad1	80.888889	0	0	207	164	176	181	0	0	0	0
Hmbs	80.888889	0	0	180	271	161	116	0	0	0	0
Epm2aip1	80.888889	0	0	192	184	168	93	0	91	0	0
Emg1	80.888889	0	0	165	127	163	174	0	0	99	0
Cep170	80.888889	0	0	148	226	98	103	0	0	153	0
Zfp518a	80.777778	0	0	123	250	158	196	0	0	0	0
Trim62	80.777778	0	0	115	127	213	98	0	0	174	0
Top2a	80.777778	0	0	230	195	157	145	0	0	0	0
Srp54c	80.777778	0	0	156	197	181	193	0	0	0	0
Srp54b	80.777778	0	0	156	197	181	193	0	0	0	0
Rpl22l1	80.777778	0	0	160	174	179	214	0	0	0	0
Prps1l3	80.777778	0	0	172	189	156	144	0	66	0	0
Pomgnt2	80.777778	0	0	198	255	146	128	0	0	0	0
Plpp4	80.777778	0	0	143	189	223	172	0	0	0	0
Pak6	80.777778	0	0	169	171	162	148	0	0	77	0
Mipol1	80.777778	0	0	172	189	156	144	0	66	0	0
Itprid2	80.777778	0	0	143	157	188	239	0	0	0	0
Gmpr	80.777778	0	0	119	195	149	153	0	0	111	0
Dtnbp1	80.777778	0	0	136	293	140	158	0	0	0	0
Dbnl	80.777778	0	0	141	167	174	168	77	0	0	0
Bola3	80.777778	0	0	110	159	148	221	0	0	89	0
Snx7	80.666667	0	0	287	240	118	81	0	0	0	0
Rbm14	80.666667	0	0	223	189	148	166	0	0	0	0
Pdss1	80.666667	0	0	230	164	202	130	0	0	0	0
Nol7	80.666667	0	0	140	227	173	186	0	0	0	0
Neurl1a	80.666667	0	0	137	103	164	114	101	0	107	0
Lrp4	80.666667	0	0	203	156	110	152	0	0	105	0
Ints7	80.666667	0	0	117	194	181	149	0	85	0	0
Hs3st5	80.666667	0	0	194	218	215	99	0	0	0	0
Gm21992	80.666667	0	0	223	189	148	166	0	0	0	0
Foxd1	80.666667	0	0	211	285	117	113	0	0	0	0
Dtl	80.666667	0	0	117	194	181	149	0	85	0	0
Cfap20	80.666667	0	0	125	165	165	143	0	128	0	0
Aff4	80.666667	0	0	172	186	155	132	0	0	81	0
AU041133	80.666667	0	0	136	132	169	289	0	0	0	0
Zdhhc17	80.555556	0	0	161	171	163	139	0	0	91	0
Smbd1	80.555556	0	0	319	406	0	0	0	0	0	0
Rph3a	80.555556	0	0	230	250	145	100	0	0	0	0
Rbm17	80.555556	0	0	168	221	148	188	0	0	0	0
Ppp1r15b	80.555556	0	0	146	128	131	254	66	0	0	0
Mia2	80.555556	0	0	131	207	158	229	0	0	0	0
Ldlrad3	80.555556	0	0	206	196	196	127	0	0	0	0
Ints12	80.555556	0	0	163	184	190	188	0	0	0	0
Ilrun	80.555556	0	0	168	188	115	166	0	88	0	0
Gstcd	80.555556	0	0	163	184	190	188	0	0	0	0
Etf1	80.555556	0	0	121	209	167	138	90	0	0	0
Ccdc34	80.555556	0	0	136	184	258	147	0	0	0	0
Bud13	80.555556	0	0	194	183	177	171	0	0	0	0
Bcas3	80.555556	0	0	168	122	136	163	136	0	0	0
Bbs10	80.555556	0	0	157	122	212	164	70	0	0	0
Atl2	80.555556	0	0	96	158	200	143	0	0	128	0
Alox5	80.555556	0	0	186	173	146	220	0	0	0	0
Acaa1b	80.555556	0	226	96	98	146	159	0	0	0	0
Slc4a11	80.444444	0	0	168	153	167	133	103	0	0	0
Slc30a1	80.444444	0	0	107	176	99	123	0	0	219	0
Plaur	80.444444	0	0	254	177	127	166	0	0	0	0
Phactr4	80.444444	0	0	183	161	146	153	81	0	0	0
Golga3	80.444444	0	0	153	137	228	206	0	0	0	0
Gclm	80.444444	0	0	97	172	150	190	115	0	0	0
Elp6	80.444444	0	0	242	157	163	162	0	0	0	0
Ccnyl1	80.444444	0	0	145	268	148	163	0	0	0	0
2310039H08Rik	80.444444	0	176	120	206	104	118	0	0	0	0
Wdfy3	80.333333	0	0	150	234	101	109	0	0	129	0
Ucp1	80.333333	0	0	184	135	175	127	102	0	0	0
U2af1	80.333333	0	0	147	139	144	194	99	0	0	0
Tln1	80.333333	0	0	109	124	170	140	0	0	180	0
Snx25	80.333333	0	0	140	214	150	101	0	0	118	0
Rnf185	80.333333	0	0	150	163	220	190	0	0	0	0
Ppp2r5e	80.333333	0	0	150	188	185	122	78	0	0	0
Mcat	80.333333	0	0	188	198	159	178	0	0	0	0
Mab21l1	80.333333	0	0	234	225	107	157	0	0	0	0
Luc7l	80.333333	0	0	147	215	115	246	0	0	0	0
Foxred2	80.333333	0	0	268	250	88	117	0	0	0	0
Etv2	80.333333	0	0	158	170	211	184	0	0	0	0
Creb3	80.333333	0	0	109	124	170	140	0	0	180	0
Smad2	80.222222	0	0	224	266	133	99	0	0	0	0
Saysd1	80.222222	0	0	167	222	229	104	0	0	0	0
Ryk	80.222222	0	0	119	193	108	98	100	0	104	0
Plvap	80.222222	0	0	221	239	95	67	100	0	0	0
Pdp1	80.222222	0	0	186	262	138	136	0	0	0	0
Mapk6	80.222222	0	0	184	262	135	141	0	0	0	0
Glo1	80.222222	0	0	156	291	141	134	0	0	0	0
Ccdc14	80.222222	0	0	98	153	186	188	0	97	0	0
Amfr	80.222222	0	0	252	183	140	147	0	0	0	0
Wt1	80.111111	0	0	138	209	114	90	0	0	170	0
Uhmk1	80.111111	0	0	126	183	187	146	79	0	0	0
Trim65	80.111111	0	0	121	141	107	101	0	0	251	0
Trap1	80.111111	0	0	141	127	212	241	0	0	0	0
Serpine2	80.111111	0	0	114	244	150	134	79	0	0	0
Prc1	80.111111	0	0	159	157	160	138	0	107	0	0
Phyh	80.111111	0	0	132	148	115	203	123	0	0	0
Ltv1	80.111111	0	0	136	152	154	215	0	64	0	0
Grik2	80.111111	0	0	189	228	157	147	0	0	0	0
Gcsh	80.111111	0	0	142	107	183	138	0	151	0	0
Adck1	80.111111	0	0	270	142	147	162	0	0	0	0
Zswim9	80.000000	0	0	183	166	140	231	0	0	0	0
Ywhaz	80.000000	0	0	231	303	107	79	0	0	0	0
Tbc1d22a	80.000000	0	0	119	154	168	119	79	81	0	0
Sqstm1	80.000000	0	0	176	181	117	153	0	0	93	0
S100a14	80.000000	0	0	411	309	0	0	0	0	0	0
Mfge8	80.000000	0	0	218	239	113	150	0	0	0	0
Mapkapk2	80.000000	0	0	216	151	93	133	0	0	127	0
Lrrc51	80.000000	0	0	270	226	119	105	0	0	0	0
Lig1	80.000000	0	0	183	166	140	231	0	0	0	0
Ipo7	80.000000	0	0	139	169	183	143	86	0	0	0
Frat1	80.000000	0	0	122	127	120	135	0	0	216	0
Tpmt	79.888889	0	0	210	147	153	101	0	0	108	0
Tmem33	79.888889	0	0	165	142	244	168	0	0	0	0
Tatdn1	79.888889	0	0	159	149	134	194	0	83	0	0
Ska2	79.888889	0	0	157	204	176	182	0	0	0	0
Prr11	79.888889	0	0	157	204	176	182	0	0	0	0
Proser1	79.888889	0	0	126	189	112	128	0	0	164	0
Nhlrc3	79.888889	0	0	126	189	112	128	0	0	164	0
Ndufb9	79.888889	0	0	159	149	134	194	0	83	0	0
Kdm1b	79.888889	0	0	210	147	153	101	0	0	108	0
Ing3	79.888889	0	0	258	187	127	147	0	0	0	0
Dennd6b	79.888889	0	0	139	197	240	143	0	0	0	0
Dbr1	79.888889	0	0	189	153	247	130	0	0	0	0
Col4a2	79.888889	0	0	165	263	129	0	0	0	162	0
Col4a1	79.888889	0	0	165	263	129	0	0	0	162	0
Cmtr1	79.888889	0	0	167	114	179	155	0	104	0	0
Chrna5	79.888889	0	0	117	146	207	166	0	83	0	0
Ccdc142	79.888889	0	0	123	185	146	156	0	109	0	0
Begain	79.888889	0	0	237	206	96	88	0	0	92	0
Arpc2	79.888889	0	0	107	166	175	192	79	0	0	0
Arl8b	79.888889	0	0	145	125	225	158	66	0	0	0
Twnk	79.777778	0	0	188	276	121	133	0	0	0	0
Tarsl2	79.777778	0	0	132	182	209	195	0	0	0	0
Spen	79.777778	0	0	195	188	107	101	0	0	127	0
Snrpb2	79.777778	0	0	199	142	220	157	0	0	0	0
Slc39a9	79.777778	0	0	130	232	195	161	0	0	0	0
Slc15a4	79.777778	0	0	144	128	202	143	101	0	0	0
Shisal2a	79.777778	0	0	114	220	206	178	0	0	0	0
R3hdm2	79.777778	0	0	167	84	132	145	95	0	95	0
Pim3	79.777778	0	0	196	258	102	162	0	0	0	0
Phox2a	79.777778	0	0	231	237	81	100	0	69	0	0
Nedd4	79.777778	0	0	84	89	183	129	117	0	116	0
Mrpl43	79.777778	0	0	188	276	121	133	0	0	0	0
Mark2	79.777778	0	0	152	166	168	113	0	0	119	0
Ly6g5b	79.777778	0	0	179	241	153	145	0	0	0	0
Herpud2	79.777778	0	0	139	161	223	195	0	0	0	0
Erh	79.777778	0	0	130	232	195	161	0	0	0	0
Eprs	79.777778	0	0	181	147	167	156	67	0	0	0
Coro6	79.777778	0	0	251	152	141	89	0	0	85	0
Btg3	79.777778	0	0	178	200	183	157	0	0	0	0
Aspscr1	79.777778	0	0	126	155	144	184	109	0	0	0
Arrdc3	79.777778	0	0	126	109	177	123	116	67	0	0
Ankrd17	79.777778	0	0	195	156	152	108	0	0	107	0
Zfp688	79.666667	0	0	172	162	157	136	0	90	0	0
Zfp266	79.666667	0	0	0	134	197	292	94	0	0	0
Tpr	79.666667	0	0	173	130	152	175	87	0	0	0
Tac4	79.666667	0	0	126	132	147	171	0	0	141	0
Synj1	79.666667	0	0	160	125	178	177	0	0	77	0
Shisa3	79.666667	0	0	170	133	154	138	0	0	122	0
Rab12	79.666667	0	0	135	183	161	159	0	0	79	0
Psma5	79.666667	0	0	163	238	114	101	101	0	0	0
Pld5	79.666667	0	0	210	169	133	133	0	0	72	0
Odr4	79.666667	0	0	173	130	152	175	87	0	0	0
Ntmt1	79.666667	0	0	137	133	212	127	108	0	0	0
Hpse	79.666667	0	0	254	215	118	0	0	0	130	0
Has1	79.666667	0	0	157	113	120	118	88	121	0	0
Ehd1	79.666667	0	145	128	207	147	90	0	0	0	0
Dcaf10	79.666667	0	0	212	154	181	170	0	0	0	0
Csgalnact2	79.666667	0	0	146	142	137	222	70	0	0	0
Bcdin3d	79.666667	0	0	162	285	161	109	0	0	0	0
Tonsl	79.555556	0	0	144	282	131	159	0	0	0	0
Tep1	79.555556	0	0	234	180	175	127	0	0	0	0
Rbis	79.555556	0	0	0	113	138	270	94	101	0	0
Rad1	79.555556	0	0	188	184	174	170	0	0	0	0
Rack1	79.555556	0	0	144	153	237	182	0	0	0	0
Pkmyt1	79.555556	0	0	121	227	139	106	0	0	123	0
Pdlim1	79.555556	0	0	243	204	83	101	0	0	85	0
Pdcd7	79.555556	0	0	122	174	146	184	0	0	90	0
Mrpl12	79.555556	0	0	155	157	183	133	88	0	0	0
Mef2b	79.555556	0	0	221	168	129	198	0	0	0	0
Kbtbd7	79.555556	0	0	132	227	154	137	0	66	0	0
Gga2	79.555556	0	0	221	156	177	162	0	0	0	0
Gcnt4	79.555556	0	0	243	207	110	156	0	0	0	0
Fktn	79.555556	0	0	178	152	118	160	108	0	0	0
Brix1	79.555556	0	0	188	184	174	170	0	0	0	0
Alg8	79.555556	0	0	209	121	214	172	0	0	0	0
Acyp2	79.555556	0	0	98	227	190	127	0	74	0	0
Abi1	79.555556	0	0	137	179	145	164	91	0	0	0
Ube2v1	79.444444	0	0	158	159	156	146	96	0	0	0
Tmem63b	79.444444	0	0	246	158	118	127	66	0	0	0
Sycp1	79.444444	0	0	169	149	215	182	0	0	0	0
Snrnp35	79.444444	0	0	171	153	186	134	71	0	0	0
Rims1	79.444444	0	0	133	231	213	138	0	0	0	0
Rilpl2	79.444444	0	0	171	153	186	134	71	0	0	0
Ppp1r11	79.444444	0	0	120	195	172	112	0	116	0	0
Nudt18	79.444444	0	0	107	238	153	120	0	0	97	0
Mrpl14	79.444444	0	0	246	158	118	127	66	0	0	0
Ltb4r1	79.444444	0	0	207	149	117	152	90	0	0	0
Kcnmb4	79.444444	0	0	149	177	144	114	0	0	131	0
Gtf3c1	79.444444	0	0	209	163	206	137	0	0	0	0
Glis2	79.444444	0	0	163	302	78	0	0	0	172	0
Fam20b	79.444444	0	0	171	134	128	130	0	0	152	0
D430042O09Rik	79.444444	0	0	209	163	206	137	0	0	0	0
Cyb5r1	79.444444	0	0	180	296	108	131	0	0	0	0
Cdip1	79.444444	0	0	177	176	197	165	0	0	0	0
Btf3	79.444444	0	0	180	167	147	135	86	0	0	0
Spag7	79.333333	0	290	76	95	112	141	0	0	0	0
Slc6a7	79.333333	0	0	138	163	124	147	0	0	142	0
Slc5a8	79.333333	0	128	136	144	160	146	0	0	0	0
Rsrp1	79.333333	0	0	113	126	156	202	117	0	0	0
Rnf26	79.333333	0	0	96	183	169	98	0	0	168	0
Ric8b	79.333333	0	0	164	126	188	157	0	79	0	0
Rhbdf1	79.333333	0	0	187	171	137	98	0	0	121	0
Nudt9	79.333333	0	0	128	171	130	178	0	0	107	0
Mpg	79.333333	0	0	187	171	137	98	0	0	121	0
Gorasp2	79.333333	0	0	206	200	118	190	0	0	0	0
Gars	79.333333	0	0	110	165	193	137	0	0	109	0
Dzip3	79.333333	0	0	200	204	110	200	0	0	0	0
Dennd2a	79.333333	0	0	170	196	203	145	0	0	0	0
Cldn34c4	79.333333	0	0	165	132	206	211	0	0	0	0
Cip2a	79.333333	0	0	200	204	110	200	0	0	0	0
Btbd1	79.333333	0	0	178	146	253	137	0	0	0	0
Brms1	79.333333	0	0	156	287	143	128	0	0	0	0
B4gat1	79.333333	0	0	156	287	143	128	0	0	0	0
Alg1	79.333333	0	0	98	183	148	183	102	0	0	0
Zscan21	79.222222	0	0	134	161	193	144	0	81	0	0
Ugt1a2	79.222222	0	0	218	166	134	117	78	0	0	0
Tmem150c	79.222222	0	0	190	239	97	115	0	0	72	0
Ncor1	79.222222	0	0	189	235	155	134	0	0	0	0
Kcnj8	79.222222	0	0	261	153	166	133	0	0	0	0
Gm9949	79.222222	0	0	197	238	156	122	0	0	0	0
Fbn1	79.222222	0	0	193	277	102	141	0	0	0	0
Erlec1	79.222222	0	0	134	0	202	221	90	66	0	0
Dnajb3	79.222222	0	0	218	166	134	117	78	0	0	0
Cdx1	79.222222	0	0	182	91	167	148	0	0	125	0
Asb3	79.222222	0	0	134	0	202	221	90	66	0	0
Adrb2	79.222222	0	0	197	238	156	122	0	0	0	0
Adamts18	79.222222	0	0	137	155	175	148	98	0	0	0
Ackr3	79.222222	0	0	223	273	102	115	0	0	0	0
4930524B15Rik	79.222222	0	0	173	190	166	184	0	0	0	0
Spdya	79.111111	0	0	169	203	188	152	0	0	0	0
Snx11	79.111111	0	0	167	162	209	174	0	0	0	0
Snn	79.111111	0	0	121	193	134	100	0	0	164	0
Rrbp1	79.111111	0	0	154	219	105	128	0	0	106	0
Noct	79.111111	0	0	245	154	166	147	0	0	0	0
Nim1k	79.111111	0	0	169	235	147	161	0	0	0	0
Lrrcc1	79.111111	0	0	178	195	221	118	0	0	0	0
Lactb2	79.111111	0	0	166	124	231	191	0	0	0	0
Hecw2	79.111111	0	0	142	160	212	130	0	68	0	0
Ctnnal1	79.111111	0	0	165	139	129	118	68	0	93	0
Cmc1	79.111111	0	0	164	165	137	131	0	0	115	0
Tmprss12	79.000000	0	0	89	126	228	128	61	79	0	0
Ripk3	79.000000	0	0	217	350	144	0	0	0	0	0
Rec114	79.000000	0	0	167	195	147	108	94	0	0	0
Ncstn	79.000000	0	0	205	204	186	116	0	0	0	0
Mymx	79.000000	0	0	270	326	115	0	0	0	0	0
Hscb	79.000000	0	0	140	156	136	129	150	0	0	0
Hp1bp3	79.000000	0	0	135	116	129	122	90	0	119	0
H2-Bl	79.000000	0	0	226	137	159	189	0	0	0	0
Epb41l5	79.000000	0	0	148	197	158	115	93	0	0	0
D430041D05Rik	79.000000	0	0	147	234	170	160	0	0	0	0
Cpm	79.000000	0	0	203	249	88	171	0	0	0	0
Copa	79.000000	0	0	205	204	186	116	0	0	0	0
Cmtm6	79.000000	0	0	238	179	200	94	0	0	0	0
Chek2	79.000000	0	0	140	156	136	129	150	0	0	0
Cacng2	79.000000	0	0	139	176	122	138	0	0	136	0
Bbs7	79.000000	0	0	167	275	161	108	0	0	0	0
Abca1	79.000000	0	0	228	138	116	134	95	0	0	0
1700016H13Rik	79.000000	0	0	282	123	116	190	0	0	0	0
Zfp850	78.888889	0	0	122	114	183	170	121	0	0	0
Rab7	78.888889	0	0	125	188	186	211	0	0	0	0
Prr5	78.888889	0	0	174	178	118	128	0	0	112	0
Prr23a2	78.888889	0	0	236	239	77	158	0	0	0	0
Pbx4	78.888889	0	0	169	168	116	169	88	0	0	0
Ovol2	78.888889	0	0	154	194	93	118	0	0	151	0
Neu1	78.888889	0	0	176	322	107	105	0	0	0	0
Nefh	78.888889	0	0	88	161	165	178	118	0	0	0
Micos10	78.888889	0	0	91	213	199	207	0	0	0	0
Erfe	78.888889	0	0	167	283	93	90	0	0	77	0
Crybg1	78.888889	0	0	138	131	222	219	0	0	0	0
Bmp8a	78.888889	0	0	214	285	99	112	0	0	0	0
Zfp710	78.777778	0	0	242	245	123	99	0	0	0	0
Yipf4	78.777778	0	0	136	221	121	153	0	78	0	0
Smyd5	78.777778	0	0	98	228	230	153	0	0	0	0
Rsph3b	78.777778	0	0	156	194	173	115	71	0	0	0
Rerg	78.777778	0	0	126	222	148	147	0	66	0	0
Polr2e	78.777778	0	371	0	158	67	113	0	0	0	0
Mrps33	78.777778	0	0	178	173	179	179	0	0	0	0
Fam133b	78.777778	0	0	211	173	161	164	0	0	0	0
Dus4l	78.777778	0	0	178	142	224	165	0	0	0	0
Dgki	78.777778	0	0	207	234	132	136	0	0	0	0
D2hgdh	78.777778	0	0	303	289	0	117	0	0	0	0
Cog5	78.777778	0	0	178	142	224	165	0	0	0	0
Bphl	78.777778	0	0	151	184	219	155	0	0	0	0
Alpl	78.777778	0	0	224	84	140	192	69	0	0	0
Zfp422	78.666667	0	0	140	153	181	168	0	66	0	0
Zbtb49	78.666667	0	0	184	180	175	169	0	0	0	0
Vwa2	78.666667	0	0	174	198	221	115	0	0	0	0
Stk32c	78.666667	0	0	216	175	122	195	0	0	0	0
Sltm	78.666667	0	0	169	174	106	155	0	104	0	0
Sap18b	78.666667	0	0	83	177	213	176	0	59	0	0
Sap18	78.666667	0	0	83	177	213	176	0	59	0	0
Rnft1	78.666667	0	0	166	266	103	173	0	0	0	0
Rad18	78.666667	0	0	156	208	155	189	0	0	0	0
Qrsl1	78.666667	0	0	183	249	139	137	0	0	0	0
Pygb	78.666667	0	0	166	131	188	157	66	0	0	0
Ppa2	78.666667	0	0	180	220	173	135	0	0	0	0
Mterf4	78.666667	0	0	136	132	195	245	0	0	0	0
Lyar	78.666667	0	0	184	180	175	169	0	0	0	0
Epop	78.666667	0	0	163	231	108	100	0	0	106	0
Dkkl1	78.666667	0	0	239	282	111	0	0	0	76	0
Ddx21	78.666667	0	0	189	185	202	132	0	0	0	0
Ccm2	78.666667	0	0	197	157	162	192	0	0	0	0
Ccdc134	78.666667	0	0	121	139	228	122	98	0	0	0
Adi1	78.666667	0	0	132	254	148	174	0	0	0	0
Zfp944	78.555556	0	0	228	210	113	156	0	0	0	0
Zfp758	78.555556	0	0	228	210	113	156	0	0	0	0
Yeats4	78.555556	0	0	138	170	267	132	0	0	0	0
Wdr3	78.555556	0	0	166	200	165	176	0	0	0	0
Ttc8	78.555556	0	0	208	263	99	137	0	0	0	0
Tmem68	78.555556	0	0	218	162	190	137	0	0	0	0
Tgs1	78.555556	0	0	218	162	190	137	0	0	0	0
Supt6	78.555556	0	0	85	137	251	146	0	88	0	0
Sh3glb1	78.555556	0	0	108	115	208	177	0	0	99	0
Sdf2	78.555556	0	0	85	137	251	146	0	88	0	0
Rpl29	78.555556	0	0	184	91	237	195	0	0	0	0
Rlf	78.555556	0	0	117	129	154	186	0	121	0	0
Micu3	78.555556	0	0	189	202	173	143	0	0	0	0
Kti12	78.555556	0	0	239	155	118	195	0	0	0	0
Gm4952	78.555556	0	0	155	179	161	138	0	74	0	0
Crhr2	78.555556	0	0	94	206	238	169	0	0	0	0
Celsr1	78.555556	0	0	151	117	0	74	0	0	365	0
Atp9b	78.555556	0	0	211	161	135	200	0	0	0	0
Atg14	78.555556	0	0	160	251	124	172	0	0	0	0
Ankrd29	78.555556	0	0	136	142	166	263	0	0	0	0
Actl10	78.555556	0	0	271	218	106	112	0	0	0	0
2810021J22Rik	78.555556	0	0	157	123	147	167	113	0	0	0
1700003F12Rik	78.555556	0	0	271	218	106	112	0	0	0	0
Zmym4	78.444444	0	0	131	126	162	211	76	0	0	0
Tor1aip2	78.444444	0	0	117	178	137	120	0	0	154	0
Tor1aip1	78.444444	0	0	117	178	137	120	0	0	154	0
Spata5	78.444444	0	0	114	173	148	196	75	0	0	0
Slmap	78.444444	0	0	163	167	193	183	0	0	0	0
Rgp1	78.444444	0	0	140	127	159	141	68	71	0	0
Pkp4	78.444444	0	0	157	126	155	192	76	0	0	0
Pitpna	78.444444	0	0	147	181	252	126	0	0	0	0
Pax6	78.444444	0	323	0	158	117	108	0	0	0	0
Nudt6	78.444444	0	0	114	173	148	196	75	0	0	0
Mettl24	78.444444	0	0	139	188	123	163	0	93	0	0
Gm19410	78.444444	0	0	188	183	157	178	0	0	0	0
Gba2	78.444444	0	0	140	127	159	141	68	71	0	0
Cnih1	78.444444	0	0	180	144	186	196	0	0	0	0
Cct5	78.444444	0	0	210	267	139	90	0	0	0	0
Ccdc148	78.444444	0	0	157	126	155	192	76	0	0	0
Atpsckmt	78.444444	0	0	210	267	139	90	0	0	0	0
Arpc5	78.444444	0	0	141	149	153	137	0	0	126	0
4933430I17Rik	78.444444	0	0	191	171	133	211	0	0	0	0
Steap1	78.333333	0	0	142	124	197	242	0	0	0	0
Seh1l	78.333333	0	0	93	159	220	233	0	0	0	0
Rmi2	78.333333	0	0	175	0	127	166	0	0	237	0
Rflnb	78.333333	0	0	136	226	108	135	0	0	100	0
Phc2	78.333333	0	0	119	134	156	192	0	0	104	0
Pgap6	78.333333	0	0	281	192	141	91	0	0	0	0
Mtmr6	78.333333	0	0	167	172	188	178	0	0	0	0
Klhdc8b	78.333333	0	0	140	191	197	177	0	0	0	0
Fbxo7	78.333333	0	0	261	142	154	148	0	0	0	0
Exo5	78.333333	0	0	131	151	169	146	108	0	0	0
Derl1	78.333333	0	0	184	153	167	201	0	0	0	0
Crebbp	78.333333	0	0	193	233	151	128	0	0	0	0
Celf6	78.333333	0	0	166	130	162	166	0	0	81	0
Ccdc71	78.333333	0	0	140	191	197	177	0	0	0	0
Wdr61	78.222222	0	0	117	184	246	157	0	0	0	0
Tatdn2	78.222222	0	0	163	154	146	150	0	0	91	0
Rnf212	78.222222	0	0	200	104	199	118	0	83	0	0
Rhog	78.222222	0	0	156	145	126	193	0	0	84	0
Papln	78.222222	0	0	285	179	131	109	0	0	0	0
Nit2	78.222222	0	0	126	0	281	157	140	0	0	0
Ndufaf7	78.222222	0	0	0	178	162	170	98	96	0	0
Mcub	78.222222	0	0	120	218	161	205	0	0	0	0
Mcm5	78.222222	0	0	169	150	141	161	83	0	0	0
Lysmd2	78.222222	0	0	173	158	106	192	0	75	0	0
Gem	78.222222	0	0	0	260	143	115	0	0	186	0
Csnk1d	78.222222	0	0	175	136	138	141	0	0	114	0
Cnot2	78.222222	0	0	136	168	231	169	0	0	0	0
Cebpz	78.222222	0	0	0	178	162	170	98	96	0	0
0610040J01Rik	78.222222	0	0	107	184	178	235	0	0	0	0
