Target_genes	Prdm15|Average	SRX5299924|E6.5_embryos	SRX1301547|ES_cells	SRX2754629|ES_cells	SRX2754630|ES_cells	SRX2754632|ES_cells	SRX2754633|ES_cells	SRX2754635|ES_cells	SRX2754636|ES_cells	SRX5379469|ES_cells	STRING
Lsm8	1314.333333	0	1364	3523	3448	216	289	0	0	2989	0
Ptprr	1313.222222	0	2344	3476	3560	137	246	103	121	1832	0
G3bp2	1311.111111	0	2052	2909	2926	456	399	229	164	2665	0
Mgat1	1308.333333	0	337	3721	3832	232	212	0	0	3441	0
Coq2	1307.555556	0	1069	3629	3481	354	293	127	0	2815	0
AW549877	1306.777778	0	2103	3185	3177	145	184	143	101	2723	0
Trappc5	1303.888889	0	2126	3160	3105	215	331	224	201	2373	0
Fcor	1303.888889	0	2126	3160	3105	215	331	224	201	2373	0
Slain1	1289.888889	0	2151	3095	2998	407	352	120	101	2385	0
Ints4	1289.444444	0	2327	2935	2920	0	118	182	0	3123	0
Gm5148	1285.666667	0	2084	3453	3504	204	104	144	59	2019	0
Ap3b1	1281.222222	0	1451	3418	3617	181	152	0	0	2712	0
Mrgpre	1280.111111	0	1389	3687	3564	116	124	0	0	2641	0
Cdc42ep3	1275.000000	0	1966	2355	2298	919	893	403	293	2348	0
Pak7	1274.444444	0	2426	3556	3543	0	307	0	164	1474	0
Hrc	1269.333333	0	1795	3338	3027	129	149	0	0	2986	0
Trpm4	1267.555556	0	1795	3338	3027	113	149	0	0	2986	0
Cxxc5	1261.555556	0	2064	2194	2163	1213	1270	244	223	1983	0
Memo1	1257.333333	0	1889	3067	3107	347	305	86	0	2515	0
Sec24d	1252.222222	0	2277	2868	2932	156	128	109	0	2800	0
Klf7	1252.000000	0	1402	3280	3203	195	170	0	0	3018	0
Acin1	1248.666667	0	2156	3009	2971	269	223	0	0	2610	0
1700123O20Rik	1248.666667	0	2156	3009	2971	269	223	0	0	2610	0
Duxbl3	1246.666667	0	1983	3381	3326	160	245	138	0	1987	0
Duxbl2	1246.666667	0	1983	3381	3326	160	245	138	0	1987	0
Duxbl1	1246.666667	0	1983	3381	3326	160	245	138	0	1987	0
Cul1	1244.777778	0	1949	2809	2732	489	494	162	183	2385	0
Ipmk	1241.555556	0	1960	3072	2975	282	252	0	146	2487	0
Cisd1	1241.555556	0	1960	3072	2975	282	252	0	146	2487	0
Lamb2	1241.111111	0	1805	2681	2645	525	706	218	194	2396	0
Mnt	1238.333333	0	1858	2120	2075	1140	1096	282	426	2148	0
Gli1	1237.666667	0	1324	2125	2082	1118	1363	785	706	1636	0
Dennd2c	1231.666667	0	1354	3188	3216	243	371	0	58	2655	0
Dab2ip	1229.444444	0	1914	2857	2764	367	386	144	142	2491	0
Chst8	1228.555556	0	2112	2909	2896	103	148	90	0	2799	0
Greb1	1226.333333	0	1843	2887	2911	227	356	117	111	2585	0
Bcl11b	1222.333333	0	2220	2966	2928	183	0	0	0	2704	0
Fzd1	1219.777778	0	1218	3358	3394	510	498	88	0	1912	0
Dlgap3	1218.111111	0	1476	2962	2918	502	401	156	96	2452	0
Lnpep	1217.555556	0	2068	2251	2182	1029	924	137	182	2185	0
Apbb2	1217.444444	0	2217	2511	2517	518	536	215	153	2290	0
Prkcz	1214.333333	0	2051	3352	3398	251	264	0	0	1613	0
Cadm2	1213.222222	0	1765	3417	3428	346	229	89	121	1524	0
Cfap43	1207.888889	0	1079	3350	3307	152	229	0	0	2754	0
Rcor3	1204.555556	0	1677	3016	2881	360	333	0	0	2574	0
Ddx59	1203.777778	0	1000	3397	3489	205	196	0	0	2547	0
Syngr2	1199.888889	0	1622	3076	3124	140	133	0	0	2704	0
Exd2	1195.555556	0	1793	2956	2922	173	183	0	0	2733	0
Sytl1	1194.333333	0	2212	3617	3553	0	0	0	0	1367	0
Syce2	1189.777778	0	1177	3073	2965	331	233	82	89	2758	0
Galnt10	1188.222222	0	1808	3174	3184	230	248	0	87	1963	0
Satb1	1185.111111	0	2338	2964	2858	146	192	0	0	2168	0
Krt8	1184.444444	0	2309	2978	2903	82	153	0	0	2235	0
Zfp827	1181.333333	0	1048	3086	3095	133	216	128	87	2839	0
Tet1	1180.000000	0	2140	2800	2769	221	217	179	185	2109	0
Pik3c2a	1178.777778	0	1917	2877	2858	190	245	64	88	2370	0
Flywch2	1177.444444	0	2088	2958	2991	213	177	117	0	2053	0
Tmem121b	1173.777778	0	2031	2934	2854	126	144	78	0	2397	0
Kcna4	1170.333333	0	1238	3128	3342	221	108	0	0	2496	0
Slc39a6	1168.888889	0	1290	3132	3188	192	191	0	0	2527	0
Elp2	1168.888889	0	1290	3132	3188	192	191	0	0	2527	0
Prr14	1167.444444	0	2372	2980	2994	104	118	0	0	1939	0
Lif	1166.222222	0	1956	2876	3059	211	217	0	0	2177	0
Sgms1	1165.777778	0	2077	2254	2207	609	621	294	355	2075	0
Aifm1	1164.666667	0	990	3651	3782	0	0	0	0	2059	0
Gclc	1163.333333	0	1592	2661	2654	468	366	176	197	2356	0
Ctf1	1159.444444	0	2028	2894	2822	155	190	93	0	2253	0
Bcl7c	1159.444444	0	2028	2894	2822	155	190	93	0	2253	0
Scamp1	1159.000000	0	2099	2301	2302	539	579	213	210	2188	0
Wiz	1157.333333	0	1914	3184	3174	178	216	0	0	1750	0
Emx2	1157.333333	0	1961	2749	2684	177	180	136	0	2529	0
Acbd5	1157.333333	0	2074	3302	3428	304	330	0	0	978	0
Lratd2	1155.333333	0	932	3373	3459	118	133	0	0	2383	0
Mrps36	1151.222222	0	1800	3060	2995	188	165	101	134	1918	0
Dync1li1	1149.111111	0	1362	2830	2916	169	216	100	0	2749	0
Wdr34	1145.111111	0	1060	3096	3213	265	158	73	0	2441	0
Rbpj	1144.222222	0	2165	2255	2223	490	669	230	252	2014	0
Selenov	1143.777778	0	2094	2617	2526	154	233	88	0	2582	0
Nepro	1142.333333	0	588	3508	3617	277	151	0	83	2057	0
Swsap1	1141.777778	0	1932	2952	2846	107	73	0	0	2366	0
Oxct1	1141.666667	0	1934	3556	3378	186	183	0	0	1038	0
Yap1	1139.555556	0	1510	2985	3135	146	160	0	0	2320	0
E2f6	1137.111111	0	675	3395	3383	237	180	0	97	2267	0
Nutf2	1132.777778	0	1393	3251	3276	235	163	87	113	1677	0
B4galt1	1130.111111	0	1237	3260	3105	71	151	0	0	2347	0
Wdr47	1129.555556	0	716	3232	3212	232	221	0	0	2553	0
Zfp219	1126.111111	0	1553	3244	3169	181	139	85	0	1764	0
Tmem253	1126.111111	0	1553	3244	3169	181	139	85	0	1764	0
Zfp423	1125.333333	0	2075	2487	2378	209	120	185	117	2557	0
Pole2	1118.666667	0	646	3456	3417	189	90	0	0	2270	0
Ctdsp2	1117.111111	0	1592	2718	2699	379	431	85	0	2150	0
Tmem125	1116.555556	513	320	1347	1365	1441	1483	1322	1431	827	0
D16Ertd472e	1116.111111	0	929	2972	2932	213	299	66	0	2634	0
Rassf10	1114.555556	0	929	2948	3032	137	149	0	0	2836	0
Elavl3	1114.555556	0	2198	3072	3073	88	0	0	0	1600	0
Polr1d	1113.111111	0	1773	2702	2713	230	356	0	0	2244	0
Lnx2	1113.111111	0	1773	2702	2713	230	356	0	0	2244	0
Prdm15	1112.000000	194	1743	2293	2285	558	574	224	195	1942	0
N4bp3	1108.888889	0	1203	2873	2814	174	152	0	0	2764	0
Cyp4f39	1105.000000	0	1043	3482	3659	184	118	0	0	1459	0
Baiap2	1095.777778	0	1373	2962	2911	122	136	0	0	2358	0
Dlgap4	1093.777778	0	524	2333	2343	800	657	528	384	2275	0
Ifitm3	1091.777778	0	1906	3374	3457	255	251	0	0	583	0
Naglu	1088.333333	0	591	3090	3047	152	161	0	0	2754	0
Ubl5	1082.111111	0	1364	2883	2912	116	108	0	0	2356	0
Fbxl12	1082.111111	0	1364	2883	2912	116	108	0	0	2356	0
Pak1	1081.777778	0	969	3297	3455	182	166	0	0	1667	0
Kmt2a	1081.111111	0	1213	2688	2628	336	397	94	0	2374	0
Il6st	1078.000000	0	648	3076	2984	159	120	105	70	2540	0
Itga3	1077.666667	0	1640	3164	3183	133	115	0	118	1346	0
Ung	1077.000000	0	1375	3065	2986	124	106	0	0	2037	0
Alkbh2	1077.000000	0	1375	3065	2986	124	106	0	0	2037	0
Dab2	1075.444444	0	956	3434	3260	147	0	0	0	1882	0
Trappc2l	1073.777778	0	1155	3218	3244	181	193	65	0	1608	0
Galns	1073.777778	0	1155	3218	3244	181	193	65	0	1608	0
Kctd2	1072.111111	0	601	3096	2985	164	165	0	0	2638	0
Atp5h	1072.111111	0	601	3096	2985	164	165	0	0	2638	0
Nkx2-4	1066.111111	0	827	3177	2945	109	148	0	0	2389	0
Bcor	1061.444444	0	1706	2528	2488	127	148	0	0	2556	0
Zfp319	1060.888889	0	773	3101	3119	105	134	0	0	2316	0
Usb1	1060.888889	0	773	3101	3119	105	134	0	0	2316	0
Plekhf1	1059.444444	0	775	3696	3621	173	146	88	0	1036	0
Szrd1	1058.111111	0	920	2908	2943	210	197	0	0	2345	0
Spr	1058.111111	0	890	3770	3687	188	141	0	0	847	0
Ppp6r1	1057.222222	0	1520	2961	2965	150	128	0	131	1660	0
Med12l	1057.111111	0	1355	2791	2897	128	125	0	0	2218	0
Emx1	1057.000000	0	1570	1823	1749	683	768	446	371	2103	0
Tnrc18	1056.222222	0	2002	2430	2377	144	0	0	0	2553	0
Chaf1b	1054.111111	0	981	2786	2814	155	152	0	0	2599	0
Tmem218	1053.666667	0	1153	3263	3181	0	167	0	0	1719	0
Lipe	1052.666667	0	1405	3135	3155	317	282	0	0	1180	0
Rtkn	1051.777778	0	2249	2786	2822	79	181	0	0	1349	0
Dsp	1050.888889	0	2358	2194	2063	131	102	0	0	2610	0
B4galt3	1047.888889	0	2236	2903	3068	158	190	0	0	876	0
Tmem129	1047.222222	0	1736	2705	2731	112	160	0	0	1981	0
Tacc3	1047.222222	0	1736	2705	2731	112	160	0	0	1981	0
Pcdhgb1	1046.333333	0	1885	3095	3011	224	177	0	149	876	0
Pcdhga4	1046.333333	0	1885	3095	3011	224	177	0	149	876	0
Slc35e4	1045.555556	0	1986	2709	2736	106	82	0	0	1791	0
Bcar1	1037.111111	0	1594	2944	2882	155	147	62	0	1550	0
Gstt2	1034.666667	0	1341	3476	3535	0	118	0	0	842	0
Mamstr	1033.888889	0	1540	3355	3380	0	0	0	0	1030	0
Cntn4	1030.777778	0	1949	2945	3010	99	0	0	0	1274	0
Lrrc8b	1029.777778	0	303	3221	3136	108	143	0	0	2357	0
Hexim1	1027.666667	0	1288	3195	3128	124	123	0	0	1391	0
Pcdhgb2	1022.888889	0	1885	3095	3011	159	180	0	0	876	0
Arhgef6	1021.333333	0	909	3509	3456	0	0	0	0	1318	0
Rhpn2	1019.333333	0	752	3128	3328	113	107	0	0	1746	0
Grik3	1019.333333	0	840	2703	2697	181	133	0	0	2620	0
Ahdc1	1018.222222	0	591	3125	3191	105	0	0	0	2152	0
Minar1	1016.111111	0	1574	3184	3241	171	115	86	0	774	0
H2-Ke6	1015.777778	0	315	2874	2880	91	100	0	0	2882	0
Cndp2	1010.111111	0	1513	3270	3231	171	135	0	90	681	0
Tec	1005.888889	0	453	2815	3065	165	140	0	90	2325	0
Taf6l	1005.666667	0	452	3183	3337	164	166	79	0	1670	0
Slc39a7	1005.555556	0	315	2874	2880	0	99	0	0	2882	0
Rxrb	1005.555556	0	315	2874	2880	0	99	0	0	2882	0
Timm23	1005.333333	0	374	3391	3219	140	203	0	0	1721	0
Parg	1005.333333	0	374	3391	3219	140	203	0	0	1721	0
Zfp503	1003.555556	0	2160	3052	2984	0	213	0	0	623	0
Kyat1	1000.333333	0	962	3131	3099	185	213	0	0	1413	0
Gprin2	998.333333	0	1053	2906	2959	104	148	0	0	1815	0
Spred2	996.888889	0	2039	2119	2143	235	305	203	0	1928	0
Atn1	995.333333	0	2005	2325	2589	159	102	0	0	1778	0
Tril	994.111111	0	1068	2880	2900	81	0	0	0	2018	0
Eif4e3	992.888889	0	1326	2850	2833	102	130	115	0	1580	0
Zbtb7b	985.444444	0	2136	2310	2270	138	178	0	0	1837	0
Bcat1	974.444444	0	789	3238	3242	163	154	0	0	1184	0
Pgpep1l	974.222222	0	612	3596	3661	237	147	0	0	515	0
Sirt5	970.888889	0	0	2825	2970	156	173	70	0	2544	0
Agap2	968.111111	0	1942	1733	1590	621	766	352	304	1405	0
Tmeff1	966.000000	0	526	2939	2877	172	86	0	0	2094	0
Kcnj6	964.666667	0	1075	2959	3076	128	196	0	0	1248	0
Rassf7	964.000000	0	1358	2919	2902	75	76	0	0	1346	0
Lmntd2	964.000000	0	1358	2919	2902	75	76	0	0	1346	0
Cited1	963.000000	0	1875	2294	2463	99	131	0	0	1805	0
Acvr2a	961.888889	0	498	2937	2921	108	137	0	0	2056	0
Trim3	960.888889	0	439	3246	3311	118	89	0	0	1445	0
Galnt17	959.666667	0	2429	2290	2238	139	135	0	0	1406	0
Dpp10	959.666667	0	955	2716	2610	143	148	0	0	2065	0
Serping1	957.777778	0	556	3377	3491	99	175	0	0	922	0
Gpr137	956.444444	0	1068	2624	2514	99	93	0	0	2210	0
Bad	956.444444	0	1068	2624	2514	99	93	0	0	2210	0
Zfp36l2	951.111111	0	602	2952	2906	0	82	0	0	2018	0
Chid1	950.888889	0	800	3044	3168	106	132	139	67	1102	0
Bnc2	949.555556	0	969	2553	2794	158	136	0	0	1936	0
Hyal2	948.444444	0	1543	2565	2569	145	126	0	85	1503	0
