Target_genes	Foxj2|Average	SRX3730230|Trophoblast_stem_cells	SRX3730231|Trophoblast_stem_cells	SRX3730275|Trophoblast_stem_cells	STRING
Ubiad1	114.666667	142	202	0	0
Mtor	114.666667	142	202	0	0
Tnpo3	112.000000	0	336	0	0
Mrpl48	111.666667	0	335	0	0
Epn3	111.333333	0	334	0	0
Mre11a	110.666667	156	176	0	0
Ankrd49	110.666667	156	176	0	0
Dynll1	109.666667	127	202	0	0
Calml4	109.666667	0	329	0	0
1110038F14Rik	109.000000	0	327	0	0
Lyrm9	108.000000	0	324	0	0
Rnaset2b	107.000000	139	182	0	0
AU018091	105.666667	0	317	0	0
Iqsec3	105.333333	143	173	0	0
Pih1d2	105.000000	153	162	0	0
Nkapd1	105.000000	153	162	0	0
Zfp433	104.666667	0	314	0	0
Gm32687	104.666667	0	314	0	0
Hook2	102.333333	147	160	0	0
Exd2	102.333333	187	120	0	0
Rnaseh2b	102.000000	156	150	0	0
Ccdc91	102.000000	0	306	0	0
Kmt2a	100.000000	132	168	0	0
Zscan26	99.333333	0	298	0	0
Cwc22	99.333333	0	298	0	0
3300002I08Rik	99.000000	0	297	0	0
Neu3	98.666667	0	296	0	0
Golga7b	98.666667	143	153	0	0
Bnip3	98.000000	152	142	0	0
Arhgef10l	97.333333	0	292	0	0
Sfn	97.000000	0	291	0	0
Zer1	96.666667	0	290	0	0
Hat1	96.666667	0	290	0	0
Gtse1	96.333333	0	289	0	0
Smg7	95.666667	164	123	0	0
Ptcd2	95.666667	153	134	0	0
Mrps27	95.666667	153	134	0	0
Tas1r3	95.333333	0	286	0	0
Psmd3	95.333333	93	193	0	0
Lrrc49	95.333333	0	286	0	0
Ciart	95.333333	0	286	0	0
Celsr3	95.000000	122	163	0	0
Syngr1	94.666667	0	284	0	0
Arhgap9	94.666667	0	284	0	0
Fam177a2	94.333333	0	283	0	0
Fam177a	94.333333	0	283	0	0
Kat7	92.666667	98	180	0	0
Kifc3	91.666667	0	275	0	0
Rab11fip1	91.333333	0	274	0	0
Nol8	91.333333	0	274	0	0
Cenpp	91.333333	0	274	0	0
Msx2	91.000000	273	0	0	0
Zfp114	90.000000	0	270	0	0
Srrt	89.666667	0	269	0	0
Cdk12	89.666667	0	269	0	0
Slc15a4	88.666667	0	266	0	0
