Target_genes	Foxj2|Average	SRX3730230|Trophoblast_stem_cells	SRX3730231|Trophoblast_stem_cells	SRX3730275|Trophoblast_stem_cells	STRING
Agbl5	39.000000	117	0	0	0
Pde6g	38.666667	0	116	0	0
Oxld1	38.666667	0	116	0	0
Eml1	38.666667	0	116	0	0
Ccdc137	38.666667	0	116	0	0
Wdr77	38.333333	0	115	0	0
Pabpc4	38.333333	0	115	0	0
Olfr1342	38.333333	0	115	0	0
Gm9	38.333333	0	115	0	0
Atp5pb	38.333333	0	115	0	0
Zfp7	37.666667	0	113	0	0
Sync	37.666667	0	113	0	0
Raf1	37.666667	0	113	0	0
Des	37.666667	0	113	0	0
Cwc25	37.666667	0	113	0	0
Atp6v0a1	37.666667	0	113	0	0
Ippk	37.333333	0	112	0	0
Pex10	37.000000	0	111	0	0
Lypd11	37.000000	111	0	0	0
Jup	37.000000	0	111	0	0
Pygo2	36.666667	0	110	0	0
Dhx8	36.666667	0	110	0	0
Pdcd5	36.000000	0	108	0	0
Tmem115	35.666667	0	107	0	0
Sde2	35.000000	0	105	0	0
Amz2	35.000000	0	105	0	0
Metrnl	34.666667	0	104	0	0
Txnip	33.333333	0	100	0	0
Trmt61a	33.333333	0	100	0	0
Ndufs2	33.333333	0	100	0	0
Ckb	33.333333	0	100	0	0
Adamts4	33.333333	0	100	0	0
Rps29	33.000000	99	0	0	0
Pxk	33.000000	0	99	0	0
Fxyd2	33.000000	0	99	0	0
S100a3	32.666667	0	98	0	0
S100a2	32.666667	0	98	0	0
Rbm41	32.666667	0	98	0	0
Src	32.333333	0	97	0	0
Zfp637	32.000000	0	96	0	0
Zyg11a	31.666667	0	95	0	0
Adck1	31.666667	0	95	0	0
Vill	31.000000	0	93	0	0
Ubr1	31.000000	0	93	0	0
Tmco1	31.000000	0	93	0	0
Sost	31.000000	0	93	0	0
Fyco1	31.000000	0	93	0	0
Pygl	30.666667	0	92	0	0
Clcn4	30.666667	0	92	0	0
Ubac2	30.333333	0	91	0	0
Tnnt3	30.333333	0	91	0	0
Lyzl4	30.333333	0	91	0	0
Thumpd3	30.000000	0	90	0	0
Cdc20	30.000000	0	90	0	0
Tppp3	29.333333	0	0	88	0
Hrh1	29.000000	0	87	0	0
Prkcsh	28.666667	0	86	0	0
Ccdc151	28.666667	0	86	0	0
Sec23a	27.666667	0	83	0	0
Gemin2	27.666667	0	83	0	0
Tmem167b	27.000000	81	0	0	0
Id2	27.000000	0	81	0	0
Actl6a	27.000000	81	0	0	0
Laptm5	26.333333	0	79	0	0
Uhrf1bp1	25.000000	0	75	0	0
Ppfia3	24.666667	0	74	0	0
Ctr9	24.333333	0	73	0	0
Naxd	24.000000	72	0	0	0
Vamp2	23.666667	71	0	0	0
Peli3	23.333333	0	70	0	0
Rer1	22.666667	0	68	0	0
Morn1	22.666667	0	68	0	0
Surf6	16.666667	0	50	0	0
