Target_genes	Hoxc8|Average	SRX7416178|Embryoid_Bodies	SRX7416179|Embryoid_Bodies	STRING
Cnot2	660.500000	979	342	0
Tacc1	660.000000	715	605	0
Lhx2	659.000000	771	547	0
C6	659.000000	808	510	0
BC048671	653.500000	877	430	0
Pex2	652.500000	710	595	0
Shroom2	649.000000	739	559	0
Pttg1ip2	647.000000	949	345	0
Slc31a2	646.500000	993	300	0
Usp4	645.500000	990	301	0
Gpx1	645.500000	990	301	0
Tmco5	644.500000	1075	214	0
Gcnt2	644.500000	697	592	0
Atxn7l3b	643.500000	925	362	0
Eml1	643.000000	1017	269	0
Stk33	642.000000	959	325	0
Tanc1	641.500000	875	408	0
Crybg1	641.500000	1006	277	0
P2ry12	640.000000	834	446	0
Psd3	636.500000	846	427	0
Dyrk3	636.000000	902	370	0
Slc44a3	634.000000	920	348	0
Pax6	632.500000	825	440	0
Lysmd3	632.000000	792	472	0
Mro	631.500000	824	439	0
Psma5	630.500000	865	396	0
Mad2l2	629.500000	989	270	0
Fmr1	629.500000	922	337	0
Draxin	629.500000	989	270	0
Trp53bp1	627.500000	1018	237	0
Ncam1	627.500000	920	335	0
Elmo2	625.000000	738	512	0
Uts2b	624.000000	931	317	0
AA623943	624.000000	773	475	0
Clasp2	623.000000	821	425	0
Purb	621.000000	785	457	0
Scfd2	620.500000	1084	157	0
Abr	620.500000	688	553	0
Sgce	620.000000	677	563	0
Peg10	620.000000	677	563	0
Ebf3	617.500000	627	608	0
Pax2	614.000000	768	460	0
Hnrnpa0	613.000000	842	384	0
Nrg1	611.000000	828	394	0
Spag4	608.500000	975	242	0
Nebl	607.500000	847	368	0
Cpsf4l	606.500000	870	343	0
Lpgat1	601.500000	790	413	0
Ptgr1	601.000000	694	508	0
Gspt1	598.500000	938	259	0
Olfr893	598.000000	979	217	0
Pdia6	597.500000	832	363	0
Gm4951	596.000000	804	388	0
Iqschfp	594.500000	708	481	0
Iqcj	594.500000	708	481	0
Aldh3a1	593.000000	946	240	0
Baalc	592.000000	865	319	0
Mutyh	589.500000	792	387	0
Zfpm1	588.500000	948	229	0
C2cd4a	588.500000	824	353	0
Capn10	587.000000	712	462	0
Hmox2	584.500000	612	557	0
Nrf1	584.000000	906	262	0
Tmie	581.000000	669	493	0
Als2cl	581.000000	669	493	0
B3galt2	579.500000	651	508	0
Adgrg1	579.000000	924	234	0
4930550C14Rik	579.000000	805	353	0
Slc45a3	571.000000	724	418	0
Pax8	571.000000	731	411	0
Vmn1r71	569.500000	839	300	0
Epc1	567.000000	811	323	0
Ccdc162	565.500000	876	255	0
Primpol	565.000000	776	354	0
Gsg1l2	565.000000	764	366	0
Glp2r	565.000000	764	366	0
Casp3	565.000000	776	354	0
Nat8	562.500000	554	571	0
Rest	562.000000	936	188	0
Tulp2	557.500000	792	323	0
Dhdh	557.500000	792	323	0
Mrps36	556.500000	849	264	0
Zfp275	556.000000	591	521	0
Ddx6	554.500000	853	256	0
Gfra3	548.000000	850	246	0
Zfc3h1	546.000000	876	216	0
Thap2	546.000000	876	216	0
Prokr2	545.500000	785	306	0
Gmnn	544.500000	825	264	0
Gm11541	543.500000	1087	0	0
Sertad4	542.000000	686	398	0
Slc25a51	540.000000	564	516	0
Unc13c	539.000000	602	476	0
Tcea1	535.500000	882	189	0
Dctn3	534.500000	808	261	0
Arid3c	534.500000	808	261	0
Wbp11	533.000000	637	429	0
Ppp1cb	533.000000	695	371	0
BC049715	533.000000	637	429	0
Mecom	532.000000	1064	0	0
Epb41l4b	532.000000	702	362	0
