Target_genes	Hes1|Average	SRX1550525|Macrophages	SRX1550526|Macrophages	STRING
Ptpmt1	542.000000	752	332	0
Smco4	541.000000	658	424	0
Ccne2	540.500000	552	529	0
Atp10a	540.500000	609	472	0
Rpl7	539.500000	632	447	0
Rdh10	539.500000	632	447	0
Mzt1	539.500000	450	629	0
Bora	539.500000	450	629	0
Sh3pxd2b	539.000000	552	526	0
Pelo	539.000000	493	585	0
Iba57	539.000000	432	646	0
Xpo7	538.000000	587	489	0
Slc5a3	537.500000	593	482	0
Phlda3	537.500000	473	602	0
Mrps6	537.500000	593	482	0
Ypel5	537.000000	550	524	0
Asph	537.000000	593	481	0
Uck2	536.500000	603	470	0
Abcf1	536.500000	474	599	0
Knop1	535.500000	639	432	0
Iqck	535.500000	639	432	0
Gpr176	534.000000	563	505	0
Vav3	533.500000	865	202	0
Rev1	533.500000	624	443	0
Prkaca	533.500000	860	207	0
Naa16	533.500000	567	500	0
Impdh1	533.500000	501	566	0
Fam20c	533.500000	675	392	0
Bag3	533.500000	569	498	0
Pacs1	532.500000	675	390	0
Ocel1	532.500000	531	534	0
Itsn1	532.500000	560	505	0
Dot1l	532.500000	693	372	0
Cryzl1	532.500000	560	505	0
Ssr1	532.000000	553	511	0
Vps26c	531.500000	430	633	0
Klf11	531.500000	558	505	0
Ggta1	531.000000	580	482	0
N4bp2	530.500000	748	313	0
Faf1	530.500000	473	588	0
Arl8a	529.500000	483	576	0
Acbd6	529.500000	488	571	0
Pdxp	528.500000	591	466	0
B3galnt2	527.500000	538	517	0
Yif1b	527.000000	527	527	0
Kcnk6	527.000000	527	527	0
Etnk1	527.000000	633	421	0
Map3k8	526.500000	473	580	0
Ddx50	526.500000	542	511	0
Arih2	526.500000	570	483	0
Ankrd10	526.000000	539	513	0
Ski	525.500000	547	504	0
Commd7	525.500000	655	396	0
Fam91a1	524.000000	590	458	0
Dhrs13	524.000000	589	459	0
Camk2d	524.000000	562	486	0
Phf7	523.500000	732	315	0
Gopc	523.500000	509	538	0
Bap1	523.500000	732	315	0
Rnpepl1	523.000000	651	395	0
Dusp28	523.000000	651	395	0
Frmd6	522.500000	604	441	0
Pts	521.500000	416	627	0
Raph1	520.500000	799	242	0
Nrp2	520.500000	478	563	0
Tarbp1	520.000000	566	474	0
Malt1	520.000000	456	584	0
Abcb1b	520.000000	319	721	0
Trib1	519.500000	511	528	0
Ppp1r13b	519.500000	673	366	0
Pabpc4	519.500000	458	581	0
Dusp5	519.500000	580	459	0
Camk1d	519.500000	616	423	0
Vhl	519.000000	474	564	0
Stat5b	519.000000	603	435	0
Vma21	518.000000	330	706	0
Capn2	517.500000	594	441	0
Zdhhc5	517.000000	423	611	0
Rasal2	517.000000	539	495	0
2210016F16Rik	517.000000	489	545	0
Oxct1	515.000000	537	493	0
Fbxo30	515.000000	451	579	0
Trak1	514.500000	523	506	0
Tmem185b	514.500000	483	546	0
Cdc42bpb	514.500000	480	549	0
Kctd12	514.000000	633	395	0
Ppm1h	513.000000	551	475	0
Pcyt1a	512.500000	416	609	0
Rcbtb2	512.000000	779	245	0
Arhgdia	512.000000	619	405	0
Tlnrd1	511.500000	685	338	0
Rps8	511.500000	530	493	0
Mesd	511.500000	685	338	0
Jmjd1c	511.000000	716	306	0
Akap7	510.000000	534	486	0
Phox2a	509.000000	565	453	0
Nr4a2	508.500000	634	383	0
Tmub1	507.000000	716	298	0
Klf4	507.000000	558	456	0
Agap3	507.000000	716	298	0
Mxi1	506.500000	542	471	0
Adm	506.500000	489	524	0
Pmf1	506.000000	552	460	0
Pdik1l	505.500000	598	413	0
Zfp326	504.500000	537	472	0
Sash1	504.500000	814	195	0
Neurod2	504.500000	513	496	0
Smad7	504.000000	575	433	0
Ikbkb	502.000000	528	476	0
Tmem64	501.500000	446	557	0
St3gal1	501.500000	406	597	0
Fut8	501.000000	487	515	0
Sost	500.500000	579	422	0
Kpna1	500.500000	420	581	0
Tmem170b	500.000000	795	205	0
Cables1	500.000000	534	466	0
Eea1	499.500000	491	508	0
Il10rb	498.500000	465	532	0
Ets1	498.500000	480	517	0
Ulk2	498.000000	705	291	0
Ube2j1	498.000000	753	243	0
Nav2	497.500000	511	484	0
Sdf4	497.000000	480	514	0
B3galt6	497.000000	480	514	0
Csrnp1	496.500000	513	480	0
Ssbp1	496.000000	483	509	0
Pkn2	496.000000	379	613	0
Sertad2	495.500000	536	455	0
Elmo1	495.000000	494	496	0
Mgat1	494.500000	493	496	0
Sfmbt1	494.000000	444	544	0
Appl1	494.000000	620	368	0
Msi2	493.500000	493	494	0
Itgb1	493.500000	543	444	0
Fryl	493.500000	740	247	0
Atp2b1	493.500000	502	485	0
Npepps	492.500000	537	448	0
Dyrk1a	492.500000	418	567	0
Mtss1	492.000000	783	201	0
Llgl1	492.000000	788	196	0
Dhrs11	492.000000	575	409	0
Zkscan6	491.500000	499	484	0
Pvr	491.500000	418	565	0
Mtmr2	491.000000	459	523	0
Junb	491.000000	454	528	0
Rnf111	490.500000	580	401	0
Notch1	490.500000	443	538	0
Shprh	490.000000	555	425	0
Polr2b	490.000000	612	368	0
Noa1	490.000000	612	368	0
Pik3ap1	489.000000	472	506	0
Kansl2	488.000000	445	531	0
1810010H24Rik	488.000000	672	304	0
Ttc39c	487.500000	772	203	0
Nudt19	487.500000	490	485	0
Klf16	487.500000	593	382	0
Ptpn1	486.500000	756	217	0
Herpud1	486.500000	447	526	0
Rnf38	486.000000	471	501	0
Artn	486.000000	472	500	0
Rab3gap2	485.500000	443	528	0
Ppp2r5a	485.500000	829	142	0
Hk1	485.500000	534	437	0
Rasa1	485.000000	543	427	0
Tesmin	484.500000	424	545	0
Pcmtd1	484.500000	552	417	0
Odc1	484.500000	676	293	0
Lrp11	484.500000	418	551	0
Agtpbp1	483.500000	652	315	0
Lrrn4	482.500000	489	476	0
Lrfn4	482.500000	615	350	0
Ggnbp2	482.500000	489	476	0
Stxbp6	482.000000	514	450	0
Atxn1	481.000000	478	484	0
Txnrd3	480.500000	492	469	0
Pex2	480.000000	506	454	0
Cep43	480.000000	751	209	0
Cebpb	480.000000	623	337	0
Trim8	479.500000	556	403	0
Rgs19	479.500000	461	498	0
Lkaaear1	479.500000	461	498	0
Lap3	479.500000	414	545	0
Taf4b	479.000000	486	472	0
Kcnk13	479.000000	577	381	0
Vdac3	478.500000	678	279	0
Utp14b	478.000000	462	494	0
Map3k14	478.000000	556	400	0
Acsl3	478.000000	462	494	0
Gjd3	477.500000	513	442	0
Patl1	477.000000	595	359	0
Coq10a	477.000000	538	416	0
Cc2d1b	477.000000	456	498	0
Ppp1r3d	476.500000	524	429	0
Nacc2	476.500000	789	164	0
Fam217b	476.500000	524	429	0
Tusc1	476.000000	622	330	0
Pm20d2	476.000000	647	305	0
Brd4	476.000000	439	513	0
Pkp4	474.500000	561	388	0
Ccdc148	474.500000	561	388	0
Wdr1	474.000000	669	279	0
Tmem135	473.500000	546	401	0
Sntb2	473.500000	466	481	0
Serbp1	473.500000	461	486	0
Map3k1	473.500000	575	372	0
Gmds	473.500000	621	326	0
Hsf4	472.500000	553	392	0
Fbxl8	472.500000	553	392	0
Actb	472.500000	503	442	0
Pacsin2	472.000000	720	224	0
Tagap1	471.500000	732	211	0
Dek	471.000000	444	498	0
Tatdn2	470.500000	540	401	0
Hilpda	469.500000	396	543	0
G3bp1	469.500000	674	265	0
Mia2	469.000000	582	356	0
Scaf11	468.500000	632	305	0
Nans	468.500000	289	648	0
Hmga2	468.500000	575	362	0
Dennd2c	468.000000	465	471	0
